代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12933725.708799999000
真實報酬,2933725.708799999200

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,11349.313836861073
風險,148168.040771236120
起點值,0.076597583243
找到最佳解世代,1501
找到最佳解實驗#,3
找到最佳解次數,22

投資組合檔數,7
1326(5)[29],2301(12)[12],2474(28)[24],2882(33)[1],2912(40)[4],3008(41)[16],9999(49)[33],
Stock#,1326(5)[29],2301(12)[12],2474(28)[24],2882(33)[1],2912(40)[4],3008(41)[16],9999(49)[33],
張數,22,47,11,61,10,1,-1,
FS( 79 ),1330671.000000000000,1928180.999999999800,1556391.000000000000,1786641.000000000200,1715571.000000000000,1437861.000000000000,1428571.000000000000,11183890.000000000000
FS( 80 ),1355971.000000000000,1882591.000000000000,1490171.000000000200,1779931.000000000200,1728571.000000000000,1436001.000000000000,1428571.000000000000,11101810.000000000000
FS( 81 ),1385011.000000000000,1875541.000000000000,1523281.000000000200,1790911.000000000200,1737271.000000000200,1437861.000000000000,1428571.000000000000,11178450.000000000000
FS( 82 ),1394031.000000000000,1872251.000000000000,1528011.000000000500,1790911.000000000200,1719871.000000000000,1445301.000000000000,1428571.000000000000,11178950.000000000000
FS( 83 ),1397771.000000000000,1833240.999999999500,1556391.000000000000,1806771.000000000500,1763371.000000000000,1440651.000000000000,1428571.000000000000,11226770.000000000000
FS( 84 ),1392271.000000000000,1844050.999999999800,1561121.000000000000,1806771.000000000500,1724271.000000000000,1423931.000000000000,1428571.000000000000,11180990.000000000000
FS( 85 ),1392271.000000000000,1717150.999999999500,1532741.000000000500,1795181.000000000200,1715571.000000000000,1445301.000000000000,1428571.000000000000,11026790.000000000000
FS( 86 ),1408551.000000000000,1674850.999999999500,1546931.000000000200,1842761.000000000500,1732971.000000000200,1492691.000000000000,1428571.000000000000,11127330.000000000000
FS( 87 ),1435831.000000000200,1747230.999999999800,1570581.000000000200,1860451.000000000200,1780771.000000000200,1544721.000000000000,1428571.000000000000,11368160.000000000000
FS( 88 ),1417791.000000000000,1766501.000000000000,1584881.000000000000,1829341.000000000000,1754671.000000000000,1537291.000000000000,1428571.000000000000,11319050.000000000000
FS( 89 ),1405031.000000000000,1756160.999999999800,1575311.000000000200,1887901.000000000200,1737271.000000000200,1533571.000000000000,1428571.000000000000,11323820.000000000000
FS( 90 ),1412291.000000000000,1763210.999999999800,1575311.000000000200,1842761.000000000500,1754671.000000000000,1567021.000000000000,1428571.000000000000,11343840.000000000000
FS( 91 ),1408551.000000000000,1790940.999999999500,1546931.000000000200,1842761.000000000500,1754671.000000000000,1550301.000000000000,1428571.000000000000,11322730.000000000000
FS( 92 ),1377751.000000000000,1731251.000000000000,1523281.000000000200,1790911.000000000200,1689471.000000000200,1519631.000000000000,1428571.000000000000,11060870.000000000000
FS( 93 ),1355971.000000000000,1743470.999999999800,1542201.000000000200,1797621.000000000200,1654671.000000000000,1542861.000000000000,1428571.000000000000,11065370.000000000000
FS( 94 ),1361471.000000000000,1738300.999999999800,1565851.000000000200,1786641.000000000200,1698171.000000000000,1553081.000000000000,1428571.000000000000,11132090.000000000000
FS( 95 ),1355971.000000000000,1713860.999999999500,1565851.000000000200,1784201.000000000200,1680771.000000000200,1584681.000000000000,1428571.000000000000,11113910.000000000000
FS( 96 ),1381491.000000000000,1713860.999999999500,1603801.000000000200,1795181.000000000200,1685171.000000000000,1575381.000000000000,1428571.000000000000,11183460.000000000000
FS( 97 ),1355971.000000000000,1704930.999999999800,1603801.000000000200,1770781.000000000500,1676471.000000000000,1567951.000000000000,1428571.000000000000,11108480.000000000000
FS( 98 ),1341451.000000000000,1711980.999999999800,1641641.000000000000,1757361.000000000200,1685171.000000000000,1559591.000000000000,1428571.000000000000,11125770.000000000000
FS( 99 ),1339690.999999999800,1766501.000000000000,1599071.000000000200,1736621.000000000200,1659070.999999999800,1546581.000000000000,1428571.000000000000,11076110.000000000000
FS( 100 ),1345190.999999999800,1759451.000000000000,1570581.000000000200,1723201.000000000200,1667771.000000000000,1575381.000000000000,1428571.000000000000,11070150.000000000000
FS( 101 ),1343211.000000000000,1752400.999999999500,1537471.000000000200,1770781.000000000500,1685171.000000000000,1576311.000000000000,1428571.000000000000,11093920.000000000000
FS( 102 ),1321431.000000000000,1752400.999999999500,1546931.000000000200,1745771.000000000500,1654671.000000000000,1567951.000000000000,1428571.000000000000,11017730.000000000000
FS( 103 ),1337931.000000000000,1801751.000000000000,1504361.000000000200,1745771.000000000500,1672071.000000000000,1555871.000000000000,1428571.000000000000,11046330.000000000000
FS( 104 ),1348711.000000000000,1822900.999999999500,1528011.000000000500,1779931.000000000200,1650370.999999999800,1617201.000000000000,1428571.000000000000,11175700.000000000000
FS( 105 ),1348711.000000000000,1790940.999999999500,1513821.000000000200,1811041.000000000500,1676471.000000000000,1584681.000000000000,1428571.000000000000,11154240.000000000000
FS( 106 ),1297890.999999999800,1794701.000000000000,1518551.000000000200,1786641.000000000200,1659070.999999999800,1539151.000000000000,1428571.000000000000,11024580.000000000000
FS( 107 ),1297890.999999999800,1735010.999999999800,1546931.000000000200,1781761.000000000500,1685171.000000000000,1565161.000000000000,1428571.000000000000,11040500.000000000000
FS( 108 ),1341451.000000000000,1756160.999999999800,1556391.000000000000,1811041.000000000500,1693871.000000000000,1584681.000000000000,1428571.000000000000,11172170.000000000000
FS( 109 ),1314171.000000000000,1759451.000000000000,1580151.000000000200,1788471.000000000200,1693871.000000000000,1570741.000000000000,1428571.000000000000,11135430.000000000000
FS( 110 ),1326931.000000000000,1752400.999999999500,1565851.000000000200,1804331.000000000000,1698171.000000000000,1571671.000000000000,1428571.000000000000,11147930.000000000000
FS( 111 ),1294150.999999999800,1747230.999999999800,1532741.000000000500,1817751.000000000500,1685171.000000000000,1561451.000000000000,1428571.000000000000,11067070.000000000000
FS( 112 ),1261591.000000000000,1768380.999999999800,1499631.000000000000,1831171.000000000200,1689471.000000000200,1512201.000000000000,1428571.000000000000,10991020.000000000000
FS( 113 ),1285131.000000000200,1768380.999999999800,1480711.000000000200,1856181.000000000200,1754671.000000000000,1528921.000000000000,1428571.000000000000,11102570.000000000000
FS( 114 ),1274351.000000000000,1756160.999999999800,1404921.000000000200,1801891.000000000200,1754671.000000000000,1511271.000000000000,1428571.000000000000,10931840.000000000000
FS( 115 ),1283371.000000000200,1757570.999999999800,1485441.000000000200,1806771.000000000500,1772071.000000000000,1510341.000000000000,1428571.000000000000,11044140.000000000000
FS( 116 ),1312411.000000000000,1837001.000000000000,1499631.000000000000,1820191.000000000200,1754671.000000000000,1521491.000000000000,1428571.000000000000,11173970.000000000000
FS( 117 ),1394031.000000000000,1879300.999999999800,1518551.000000000200,1842761.000000000500,1785171.000000000000,1547511.000000000000,1428571.000000000000,11395900.000000000000
FS( 118 ),1337931.000000000000,1882591.000000000000,1556391.000000000000,1831171.000000000200,1789471.000000000200,1569811.000000000000,1428571.000000000000,11395940.000000000000
FS( 119 ),1341451.000000000000,1858150.999999999500,1509091.000000000200,1820191.000000000200,1802570.999999999800,1562381.000000000000,1428571.000000000000,11322410.000000000000
FS( 120 ),1308671.000000000000,1865201.000000000000,1452331.000000000200,1765901.000000000200,1811271.000000000000,1541001.000000000000,1428571.000000000000,11172950.000000000000
FS( 121 ),1334190.999999999800,1875541.000000000000,1414381.000000000200,1793351.000000000000,1806870.999999999800,1507551.000000000000,1428571.000000000000,11160460.000000000000
FS( 122 ),1352451.000000000000,1893400.999999999500,1480711.000000000200,1811041.000000000500,1832971.000000000200,1533571.000000000000,1428571.000000000000,11332720.000000000000
FS( 123 ),1339690.999999999800,1847341.000000000000,1428571.000000000000,1801891.000000000200,1889471.000000000200,1510341.000000000000,1428571.000000000000,11245880.000000000000
FS( 124 ),1375991.000000000000,1844050.999999999800,1419111.000000000200,1874481.000000000200,1889471.000000000200,1518701.000000000000,1428571.000000000000,11350380.000000000000
FS( 125 ),1390511.000000000000,1808800.999999999800,1428571.000000000000,1881191.000000000200,1885171.000000000000,1538221.000000000000,1428571.000000000000,11361040.000000000000
FS( 126 ),1434071.000000000000,1868490.999999999500,1442871.000000000000,1933041.000000000500,1937371.000000000000,1575381.000000000000,1428571.000000000000,11619800.000000000000
FS( 127 ),1450351.000000000000,1858150.999999999500,1457061.000000000200,1957441.000000000200,1932971.000000000200,1556801.000000000000,1428571.000000000000,11641350.000000000000
FS( 128 ),1475871.000000000000,1858150.999999999500,1442871.000000000000,1941581.000000000000,1972171.000000000000,1562381.000000000000,1428571.000000000000,11681600.000000000000
FS( 129 ),1475871.000000000000,1854390.999999999800,1447601.000000000200,1959881.000000000200,1976471.000000000000,1568881.000000000000,1428571.000000000000,11711670.000000000000
FS( 130 ),1484891.000000000000,1893400.999999999500,1452331.000000000200,2002581.000000000200,1928671.000000000000,1553081.000000000000,1428571.000000000000,11743530.000000000000
FS( 131 ),1493911.000000000000,1858150.999999999500,1414381.000000000200,2002581.000000000200,1946071.000000000000,1521491.000000000000,1428571.000000000000,11665160.000000000000
FS( 132 ),1481371.000000000000,1829951.000000000000,1319781.000000000200,1967811.000000000200,1967771.000000000000,1461091.000000000000,1428571.000000000000,11456350.000000000000
FS( 133 ),1504251.000000000000,1826190.999999999500,1329241.000000000200,2025761.000000000200,2015571.000000000000,1466671.000000000000,1428571.000000000000,11596260.000000000000
FS( 134 ),1504251.000000000000,1822900.999999999500,1329241.000000000200,2014171.000000000200,2002570.999999999800,1468531.000000000000,1428571.000000000000,11570240.000000000000
FS( 135 ),1511731.000000000000,1805041.000000000000,1324511.000000000500,1993431.000000000000,1989571.000000000000,1482461.000000000000,1428571.000000000000,11535320.000000000000
FS( 136 ),1513710.999999999800,1844050.999999999800,1348161.000000000200,1961101.000000000200,1906870.999999999800,1524281.000000000000,1428571.000000000000,11526750.000000000000
FS( 137 ),1500511.000000000000,1829951.000000000000,1348161.000000000200,1963541.000000000500,1889471.000000000200,1584681.000000000000,1428571.000000000000,11544890.000000000000
FS( 138 ),1472131.000000000000,1851100.999999999500,1329241.000000000200,1979401.000000000200,1885171.000000000000,1617201.000000000000,1428571.000000000000,11562820.000000000000
FS( 139 ),1500511.000000000000,1829951.000000000000,1352891.000000000200,2020881.000000000200,1946071.000000000000,1654371.000000000000,1428571.000000000000,11733250.000000000000
FS( 140 ),1466631.000000000200,1822900.999999999500,1272371.000000000000,2007461.000000000200,2019971.000000000000,1621841.000000000000,1428571.000000000000,11639750.000000000000
FS( 141 ),1474111.000000000000,1833240.999999999500,1329241.000000000200,1967811.000000000200,1989571.000000000000,1626491.000000000000,1428571.000000000000,11649040.000000000000
FS( 142 ),1509971.000000000000,1833240.999999999500,1324511.000000000500,2014171.000000000200,1989571.000000000000,1617201.000000000000,1428571.000000000000,11717240.000000000000
FS( 143 ),1524931.000000000000,1833240.999999999500,1357621.000000000000,2016611.000000000200,1946071.000000000000,1640431.000000000000,1428571.000000000000,11747480.000000000000
