代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11552325.619999999180436
真實報酬,1552325.619999999180436

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13223.090164097891829
風險,114031.998474882653682
起點值,0.115959470507837
找到最佳解世代,2298
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,6
AXP[1](3),DIS[6](1),KO[14](8),UNH[23](7),VZ[26](18),WMT[28](21),
FS( 11 ),1618888.620000000111759,1629618.799999999813735,1668162.100000000093132,1666666.000000000000000,1695347.899999999906868,1647898.240000000223517,9926585.660000000149012
FS( 12 ),1634930.660000000149012,1635638.969999999972060,1681626.999999999767169,1683154.000000000000000,1711233.259999999776483,1656997.760000000242144,10003585.650000000372529
FS( 13 ),1605636.500000000000000,1609242.839999999850988,1680130.899999999674037,1682123.500000000000000,1704614.359999999869615,1643064.120000000111759,9924816.219999998807907
FS( 14 ),1671199.620000000111759,1675001.619999999878928,1705564.600000000093132,1711321.000000000000000,1730207.439999999711290,1683158.879999999888241,10176457.160000000149012
FS( 15 ),1656203.800000000046566,1679632.520000000018626,1734489.199999999953434,1717160.500000000000000,1731089.959999999497086,1688846.080000000074506,10207426.060000000521541
FS( 16 ),1661086.160000000149012,1711122.639999999897555,1725512.599999999860302,1742579.500000000000000,1733737.519999999785796,1683158.879999999888241,10257201.300000000745058
FS( 17 ),1672245.840000000083819,1745854.389999999897555,1743964.499999999767169,1763876.500000000000000,1764184.459999999497086,1705907.680000000167638,10396037.369999999180436
FS( 18 ),1662132.379999999888241,1741686.579999999841675,1742468.399999999674037,1763876.500000000000000,1764625.719999999739230,1701357.919999999925494,10376151.499999998137355
FS( 19 ),1638069.320000000065193,1724552.250000000000000,1733491.799999999813735,1741892.500000000000000,1754476.739999999757856,1698514.319999999832362,10291000.929999999701977
FS( 20 ),1657250.020000000251457,1746317.479999999981374,1749450.199999999720603,1758037.000000000000000,1767273.279999999562278,1705907.680000000167638,10384239.659999998286366
FS( 21 ),1645044.120000000111759,1736592.589999999850988,1744961.899999999906868,1740862.000000000000000,1770362.099999999627471,1699367.399999999906868,10337194.109999999403954
FS( 22 ),1687590.400000000139698,1774102.879999999888241,1748951.499999999767169,1768685.500000000000000,1753152.959999999497086,1715575.919999999925494,10448063.160000000149012
FS( 23 ),1682359.300000000046566,1799109.739999999990687,1737980.099999999860302,1794448.000000000000000,1730207.439999999711290,1697945.600000000093132,10442054.179999999701977
FS( 24 ),1701888.739999999990687,1829210.589999999850988,1730000.899999999674037,1806470.500000000232831,1718293.419999999692664,1689699.160000000149012,10475567.309999998658895
FS( 25 ),1683405.520000000251457,1848197.279999999795109,1719029.499999999767169,1812997.000000000000000,1691376.559999999590218,1677756.040000000037253,10432765.899999998509884
FS( 26 ),1687590.400000000139698,1840787.839999999850988,1719029.499999999767169,1810936.000000000000000,1693141.599999999627471,1682874.520000000018626,10434363.859999999403954
FS( 27 ),1697355.120000000111759,1835230.760000000009313,1729003.500000000000000,1807501.000000000000000,1701966.799999999813735,1678893.479999999981374,10449954.660000000149012
FS( 28 ),1707119.840000000083819,1792163.389999999897555,1697086.699999999953434,1820897.500000000000000,1716528.379999999655411,1689130.439999999944121,10422930.249999998137355
FS( 29 ),1731531.639999999897555,1793552.659999999683350,1684619.199999999953434,1816088.500000000000000,1717410.899999999906868,1691974.040000000037253,10435180.940000001341105
FS( 30 ),1735367.780000000027940,1778270.689999999711290,1670156.899999999906868,1810249.000000000000000,1717410.899999999906868,1693111.479999999981374,10404570.750000000000000
FS( 31 ),1751409.820000000065193,1781975.409999999683350,1679133.500000000000000,1840133.500000000000000,1721823.500000000000000,1701926.640000000130385,10476406.370000001043081
FS( 32 ),1763266.980000000214204,1806982.270000000018626,1685616.599999999627471,1852843.000000000000000,1721382.239999999757856,1706476.399999999906868,10536571.490000000223517
FS( 33 ),1776867.840000000083819,1826432.049999999813735,1682125.699999999720603,1797196.000000000000000,1720940.979999999748543,1723538.000000000000000,10527104.570000000298023
FS( 34 ),1745132.500000000000000,1820411.879999999888241,1698084.099999999627471,1795478.500000000000000,1719617.199999999720603,1734912.399999999906868,10513640.580000000074506
FS( 35 ),1724208.099999999860302,1817633.339999999850988,1709055.500000000000000,1800974.500000000000000,1694465.379999999655411,1732068.800000000046566,10478409.619999999180436
FS( 36 ),1716884.559999999823049,1817633.339999999850988,1693097.100000000093132,1763189.500000000000000,1667548.519999999785796,1745718.080000000074506,10404075.099999999627471
FS( 37 ),1749666.120000000111759,1831989.129999999888241,1706561.999999999767169,1771433.500000000000000,1663135.919999999692664,1747992.959999999962747,10470783.629999998956919
FS( 38 ),1743040.059999999823049,1822264.239999999990687,1696089.299999999813735,1729526.500000000000000,1647691.819999999832362,1733774.959999999962747,10372390.879999998956919
FS( 39 ),1738506.440000000176951,1817633.339999999850988,1681626.999999999767169,1752541.000000000000000,1641955.439999999711290,1726381.600000000093132,10358648.820000000298023
FS( 40 ),1713048.419999999925494,1805593.000000000000000,1682125.699999999720603,1754258.500000000000000,1659605.839999999618158,1743158.839999999850988,10357794.299999998882413
FS( 41 ),1748619.900000000139698,1801425.189999999711290,1684120.500000000000000,1778990.500000000000000,1661812.139999999664724,1744865.000000000000000,10419837.230000000447035
FS( 42 ),1765359.419999999925494,1821338.059999999823049,1691601.000000000000000,1829485.000000000000000,1667989.779999999562278,1768182.520000000018626,10543959.779999999329448
FS( 43 ),1784191.379999999888241,1801888.279999999795109,1691601.000000000000000,1804753.000000000000000,1657399.539999999804422,1761357.879999999888241,10501195.079999998211861
FS( 44 ),1822204.040000000037253,1852365.089999999850988,1697585.399999999906868,1762502.500000000000000,1669754.819999999832362,1763917.120000000111759,10568332.969999998807907
FS( 45 ),1806859.480000000214204,1873667.229999999981374,1696588.000000000000000,1761815.500000000000000,1682992.619999999878928,1759651.720000000204891,10581578.550000000745058
FS( 46 ),1818019.160000000149012,1897747.909999999683350,1709554.199999999953434,1787234.500000000000000,1673284.899999999906868,1754248.879999999888241,10640093.550000000745058
FS( 47 ),1800930.900000000139698,1911177.520000000018626,1704068.500000000000000,1791013.000000000000000,1673284.899999999906868,1752258.359999999869615,10632737.179999999701977
FS( 48 ),1824296.480000000214204,1923217.859999999869615,1695091.899999999906868,1822615.000000000000000,1673284.899999999906868,1761926.600000000093132,10700436.740000000223517
FS( 49 ),1806859.480000000214204,1919513.139999999897555,1694094.499999999767169,1831546.000000000000000,1663135.919999999692664,1760220.439999999944121,10675373.479999998584390
FS( 50 ),1815926.719999999972060,1935258.199999999720603,1706561.999999999767169,1849751.500000000000000,1682551.359999999869615,1757092.479999999981374,10747146.259999999776483
FS( 51 ),1812090.580000000074506,1926459.489999999990687,1718032.100000000093132,1870705.000000000000000,1678580.019999999785796,1769319.959999999962747,10775191.149999998509884
FS( 52 ),1796746.020000000251457,1910251.339999999850988,1705564.600000000093132,1876201.000000000000000,1669313.559999999590218,1756239.399999999906868,10714319.919999999925494
FS( 53 ),1843825.919999999925494,1923680.949999999720603,1717034.699999999953434,1882040.500000000000000,1679021.279999999562278,1764201.479999999981374,10809808.830000000074506
FS( 54 ),1843477.179999999934807,1933405.839999999850988,1722021.699999999953434,1878262.000000000000000,1697112.939999999711290,1776713.319999999832362,10850996.980000000447035
FS( 55 ),1843128.440000000176951,1925070.219999999972060,1716037.299999999580905,1900246.000000000000000,1698436.719999999739230,1708182.560000000055879,10791105.240000000223517
FS( 56 ),1841036.000000000000000,1911177.520000000018626,1727008.699999999953434,1895437.000000000000000,1686081.439999999711290,1666381.640000000130385,10727126.300000000745058
FS( 57 ),1836851.120000000111759,1920902.409999999683350,1725013.900000000139698,1887193.000000000000000,1682551.359999999869615,1664675.479999999981374,10717191.269999999552965
FS( 58 ),1859867.959999999962747,1913029.879999999888241,1720525.599999999860302,1911581.500000000000000,1682992.619999999878928,1671784.479999999981374,10759786.039999999105930
FS( 59 ),1889510.860000000102445,1928311.849999999860302,1716536.000000000000000,1914329.500000000000000,1682551.359999999869615,1662400.600000000093132,10793644.169999999925494
FS( 60 ),1874863.780000000027940,1941741.459999999729916,1716536.000000000000000,1918108.000000000232831,1683433.879999999655411,1675765.520000000018626,10810452.639999998733401
FS( 61 ),1844523.400000000139698,1944520.000000000000000,1741969.699999999953434,1915016.500000000000000,1681668.839999999618158,1680030.919999999925494,10807733.359999999403954
FS( 62 ),1868237.719999999972060,1963043.599999999860302,1735486.599999999627471,1923260.500000000000000,1695789.159999999683350,1672637.560000000055879,10858459.140000000596046
FS( 63 ),1848010.800000000046566,1961654.329999999841675,1725013.900000000139698,1918108.000000000232831,1706379.399999999906868,1678040.399999999906868,10837210.830000000074506
FS( 64 ),1847313.320000000065193,1977399.389999999897555,1726509.999999999767169,1890628.000000000000000,1720940.979999999748543,1689130.439999999944121,10851926.129999998956919
FS( 65 ),1804418.300000000046566,1944983.089999999850988,1714541.199999999953434,1870705.000000000000000,1707261.919999999692664,1676902.959999999962747,10718816.469999998807907
FS( 66 ),1822901.520000000251457,1933405.839999999850988,1715538.599999999860302,1868300.500000000000000,1715204.599999999627471,1702211.000000000000000,10757566.059999998658895
FS( 67 ),1846615.840000000083819,1945909.270000000018626,1727507.399999999906868,1910207.500000000000000,1730648.699999999720603,1699651.760000000242144,10860544.469999998807907
FS( 68 ),1855334.340000000083819,1956097.250000000000000,1733491.799999999813735,1916047.000000000000000,1725353.579999999841675,1708466.919999999925494,10894794.889999998733401
FS( 69 ),1840338.520000000251457,1960728.149999999906868,1749450.199999999720603,1889941.000000000000000,1735061.299999999813735,1725528.520000000018626,10901051.689999997615814
FS( 70 ),1891952.040000000037253,2038064.179999999701977,1751943.699999999953434,1900589.500000000000000,1742121.459999999497086,1734628.040000000037253,11059302.919999998062849
FS( 71 ),1958212.639999999897555,2013520.409999999683350,1750946.299999999813735,1916047.000000000000000,1741680.199999999720603,1736902.919999999925494,11117313.469999998807907
FS( 72 ),1978090.820000000065193,2013057.319999999832362,1753938.500000000000000,1913642.500000000000000,1744769.019999999785796,1741168.319999999832362,11144670.480000000447035
FS( 73 ),1972162.239999999990687,2000090.799999999813735,1749450.199999999720603,1909520.500000000232831,1746092.799999999813735,1730078.280000000027940,11107398.819999998435378
FS( 74 ),1997271.520000000251457,2011668.049999999813735,1755434.600000000093132,1928069.500000000000000,1749622.879999999655411,1727234.680000000167638,11169305.229999998584390
FS( 75 ),1984716.879999999888241,2002406.250000000000000,1760421.599999999627471,1881697.000000000000000,1748740.359999999869615,1723253.640000000130385,11101239.730000000447035
FS( 76 ),1989599.239999999990687,2003795.520000000018626,1773387.800000000046566,1853873.500000000000000,1755359.259999999776483,1722116.200000000186265,11098135.519999999552965
FS( 77 ),1997969.000000000000000,2004721.699999999720603,1780868.299999999813735,1850782.000000000000000,1750064.139999999664724,1724675.439999999944121,11109084.580000000074506
FS( 78 ),1996574.040000000037253,2021392.939999999711290,1782364.399999999906868,1843224.999999999767169,1739473.899999999906868,1727519.040000000037253,11110553.320000000298023
FS( 79 ),2045746.379999999888241,2055198.510000000009313,1792837.100000000093132,1892689.000000000000000,1735502.559999999590218,1740315.240000000223517,11262292.790000000968575
FS( 80 ),2030401.820000000065193,2044547.439999999711290,1792338.399999999674037,1904024.500000000000000,1705938.139999999664724,1737187.280000000027940,11214441.579999998211861
FS( 81 ),2059695.980000000214204,2014909.679999999701977,1811787.699999999720603,1904368.000000000000000,1688287.739999999757856,1740030.879999999888241,11219083.980000000447035
FS( 82 ),2018893.400000000139698,1991755.179999999701977,1840712.299999999580905,1996082.500000000000000,1679903.799999999813735,1729509.560000000055879,11256860.740000000223517
FS( 83 ),2017847.179999999934807,2027413.109999999869615,1845699.299999999813735,2024593.000000000000000,1686963.959999999497086,1740315.240000000223517,11342835.789999999105930
FS( 84 ),2023078.280000000027940,2030191.649999999906868,1848691.499999999767169,2030776.000000000000000,1699760.500000000000000,1744865.000000000000000,11377366.929999999701977
FS( 85 ),2036330.400000000139698,2004721.699999999720603,1839216.199999999953434,2040394.000000000000000,1697112.939999999711290,1724675.439999999944121,11342454.679999999701977
FS( 86 ),2000758.919999999925494,1988050.459999999729916,1831735.699999999720603,2028715.000000000000000,1694024.119999999878928,1713585.399999999906868,11256873.599999999627471
FS( 87 ),2026216.940000000176951,1994996.809999999823049,1832234.399999999906868,2026997.500000000000000,1661812.139999999664724,1725244.160000000149012,11267505.949999999254942
FS( 88 ),1993435.379999999888241,1950077.079999999841675,1817273.399999999674037,1997113.000000000000000,1652986.939999999711290,1709888.720000000204891,11120778.519999999552965
FS( 89 ),1959258.860000000102445,1898211.000000000000000,1795829.299999999813735,1977190.000000000000000,1623863.779999999562278,1704201.520000000018626,10958558.459999999031425
FS( 90 ),1986111.840000000083819,1915808.419999999692664,1798322.800000000046566,1992991.000000000000000,1649456.859999999869615,1700504.839999999850988,11043199.759999999776483
FS( 91 ),2024124.500000000000000,1951929.439999999711290,1800816.299999999813735,2008105.000000000000000,1656958.279999999562278,1710173.080000000074506,11152110.599999999627471
FS( 92 ),1997620.260000000009313,1938036.739999999990687,1793834.499999999767169,1994021.500000000000000,1644161.739999999757856,1699651.760000000242144,11067330.500000000000000
FS( 93 ),2016800.959999999962747,1929238.029999999795109,1806301.999999999767169,1970320.000000000000000,1651663.159999999683350,1722684.919999999925494,11097013.069999998435378
FS( 94 ),2029006.860000000102445,1976473.209999999729916,1844203.199999999720603,1995739.000000000000000,1665342.219999999739230,1759367.359999999869615,11270135.849999997764826
FS( 95 ),2024124.500000000000000,1967674.500000000000000,1849688.900000000139698,1968946.000000000000000,1661812.139999999664724,1764770.200000000186265,11237020.239999998360872
FS( 96 ),2007733.719999999972060,1948687.809999999823049,1840712.299999999580905,2016692.500000000000000,1683433.879999999655411,1755955.040000000037253,11253219.250000000000000
FS( 97 ),2003548.840000000083819,1961191.239999999990687,1848691.499999999767169,2044172.500000000000000,1709026.959999999497086,1775860.240000000223517,11342495.279999999329448
FS( 98 ),1999015.219999999972060,1945446.179999999701977,1837720.099999999860302,2033180.500000000000000,1701966.799999999813735,1693111.479999999981374,11210444.279999999329448
FS( 99 ),2009826.160000000149012,1953318.709999999729916,1848192.800000000046566,2017036.000000000000000,1743003.979999999748543,1642779.760000000242144,11214161.410000000149012
FS( 100 ),2054464.879999999888241,1977399.389999999897555,1868639.499999999767169,2022188.500000000000000,1742121.459999999497086,1631121.000000000000000,11295938.729999998584390
FS( 101 ),2078179.200000000186265,2007963.329999999841675,1887590.099999999860302,2005013.500000000000000,1771244.619999999878928,1676334.240000000223517,11426328.990000000223517
FS( 102 ),2098406.120000000111759,2007500.239999999990687,1911028.999999999767169,1989212.499999999767169,1775215.959999999497086,1678609.120000000111759,11459976.940000001341105
FS( 103 ),2099801.080000000074506,1996386.079999999841675,1903049.799999999580905,1928756.500000000000000,1781834.859999999869615,1675196.800000000046566,11385029.120000001043081
FS( 104 ),2126305.319999999832362,2027876.199999999720603,1918509.499999999767169,1962419.500000000000000,1789777.539999999804422,1679746.560000000055879,11504638.619999999180436
FS( 105 ),2129095.239999999757856,2016298.949999999720603,1923995.199999999720603,1946274.999999999767169,1791542.579999999841675,1678040.399999999906868,11485251.369999999180436
FS( 106 ),2122469.180000000167638,2028802.379999999888241,1930976.999999999767169,1913986.000000000000000,1793307.619999999878928,1677471.680000000167638,11467017.859999999403954
FS( 107 ),2095964.940000000176951,1988050.459999999729916,1920005.599999999860302,1879636.000000000000000,1776539.739999999757856,1669225.240000000223517,11329425.980000000447035
FS( 108 ),2095964.940000000176951,2029265.469999999972060,1926987.399999999906868,1897841.500000000000000,1788453.759999999776483,1683158.879999999888241,11421675.949999999254942
FS( 109 ),2088641.400000000139698,2051493.789999999804422,1923496.499999999767169,1917421.000000000000000,1789336.279999999562278,1679177.839999999850988,11449570.809999998658895
FS( 110 ),2073645.580000000074506,2084836.270000000018626,1914519.899999999906868,1896811.000000000000000,1776098.479999999748543,1678609.120000000111759,11424524.350000001490116
FS( 111 ),2072250.620000000111759,2096876.609999999869615,1930478.299999999813735,1899215.500000000000000,1789336.279999999562278,1683158.879999999888241,11471320.189999997615814
FS( 112 ),2079922.900000000139698,2109843.129999999888241,1931974.399999999906868,1896124.000000000000000,1816253.139999999664724,1689699.160000000149012,11523820.730000000447035
FS( 113 ),2037376.620000000111759,2091782.619999999878928,1917013.399999999674037,1894749.999999999767169,1804339.119999999878928,1679746.560000000055879,11425012.320000000298023
FS( 114 ),2020637.099999999860302,2084373.179999999701977,1909034.199999999953434,1887193.000000000000000,1811399.279999999562278,1687708.640000000130385,11400349.400000000372529
FS( 115 ),2001456.400000000139698,2087614.809999999823049,1903548.500000000000000,1885819.000000000000000,1803897.859999999869615,1683158.879999999888241,11365499.449999999254942
FS( 116 ),1940775.639999999897555,2052883.059999999823049,1873127.800000000046566,1885132.000000000000000,1825519.599999999627471,1753964.520000000018626,11331406.619999999180436
FS( 117 ),1932057.139999999897555,2028802.379999999888241,1846696.699999999953434,1854560.500000000000000,1832579.759999999776483,1775291.520000000018626,11269992.000000000000000
FS( 118 ),1964489.959999999962747,2055661.599999999860302,1858166.799999999813735,1908146.500000000000000,1824195.819999999832362,1792637.479999999981374,11403302.160000000149012
FS( 119 ),1965187.440000000176951,2055661.599999999860302,1850187.599999999860302,1913986.000000000000000,1826402.119999999878928,1812258.319999999832362,11423687.080000000074506
FS( 120 ),1951935.320000000065193,2055661.599999999860302,1850187.599999999860302,1913986.000000000000000,1826402.119999999878928,1812258.319999999832362,11410434.959999999031425
FS( 121 ),1964838.700000000186265,2057977.049999999813735,1884099.199999999953434,1931161.000000000000000,1826402.119999999878928,1850362.559999999823049,11514844.630000000819564
FS( 122 ),1946355.480000000214204,2060755.589999999850988,1876119.999999999767169,1927726.000000000000000,1829049.679999999934807,1857187.200000000186265,11497197.949999999254942
FS( 123 ),1972510.980000000214204,2106138.409999999683350,1881605.699999999720603,1928756.500000000000000,1842287.479999999748543,1867708.520000000251457,11599011.589999999850988
FS( 124 ),1934149.580000000074506,2093171.889999999897555,1871631.699999999953434,1929443.500000000000000,1827725.899999999906868,1860883.879999999888241,11517010.449999999254942
FS( 125 ),1947052.959999999962747,2116789.479999999981374,1863652.499999999767169,1915703.500000000000000,1837433.619999999878928,1871689.559999999823049,11552325.619999999180436
