代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12172571.120000001043081
真實報酬,2172571.120000001043081

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16256.360033050910715
風險,225472.128959397698054
起點值,0.072099199613174
找到最佳解世代,2042
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
INTC[11](5),NKE[19](3),
FS( 66 ),5678150.360000000335276,5436705.000000000000000,11114855.359999999403954
FS( 67 ),5840414.059999999590218,5536070.000000000000000,11376484.059999998658895
FS( 68 ),5765437.040000000037253,5579489.999999999068677,11344927.039999999105930
FS( 69 ),5794532.599999999627471,5525215.000000000000000,11319747.599999999627471
FS( 70 ),5803485.080000000074506,5527720.000000000000000,11331205.080000000074506
FS( 71 ),5693817.200000000186265,5543585.000000000000000,11237402.199999999254942
FS( 72 ),5726269.940000000409782,5503505.000000000000000,11229774.940000001341105
FS( 73 ),5688221.899999999441206,5486804.999999999068677,11175026.899999998509884
FS( 74 ),5768794.219999999739230,5577820.000000000000000,11346614.219999998807907
FS( 75 ),5769913.280000000260770,5540244.999999999068677,11310158.279999999329448
FS( 76 ),5688221.899999999441206,5379090.000000000000000,11067311.899999998509884
FS( 77 ),5523720.080000000074506,5396625.000000000000000,10920345.080000000074506
FS( 78 ),5872866.799999999813735,5502670.000000000931323,11375536.800000000745058
FS( 79 ),5728508.059999999590218,5525215.000000000000000,11253723.059999998658895
FS( 80 ),5550577.520000000484288,5464260.000000000000000,11014837.519999999552965
FS( 81 ),5828104.399999999441206,5547760.000000000000000,11375864.399999998509884
FS( 82 ),5474481.440000000409782,5354040.000000000000000,10828521.440000001341105
FS( 83 ),5567363.419999999925494,5569470.000000000000000,11136833.419999999925494
FS( 84 ),5594220.860000000335276,5713090.000000000000000,11307310.859999999403954
FS( 85 ),5637864.200000000186265,5810785.000000000000000,11448649.199999999254942
FS( 86 ),5459933.660000000149012,5640445.000000000000000,11100378.660000000149012
FS( 87 ),5544982.219999999739230,5609550.000000000931323,11154532.220000000670552
FS( 88 ),5737460.540000000037253,5594520.000000000000000,11331980.539999999105930
FS( 89 ),5718436.520000000484288,5580325.000000000000000,11298761.519999999552965
FS( 90 ),5899724.240000000223517,5658815.000000000000000,11558539.240000000223517
FS( 91 ),5803485.080000000074506,5615395.000000000000000,11418880.080000000074506
FS( 92 ),5863914.319999999366701,5599530.000000000000000,11463444.320000000298023
FS( 93 ),5991487.160000000149012,5637105.000000000000000,11628592.160000000149012
FS( 94 ),5999320.580000000074506,5527720.000000000000000,11527040.580000000074506
FS( 95 ),5843771.240000000223517,5488475.000000000000000,11332246.240000000223517
FS( 96 ),5766556.099999999627471,5518535.000000000000000,11285091.099999999627471
FS( 97 ),5718436.520000000484288,5584500.000000000000000,11302936.519999999552965
FS( 98 ),5757603.620000000111759,5592015.000000000000000,11349618.620000001043081
FS( 99 ),5749770.200000000186265,5566965.000000000000000,11316735.199999999254942
FS( 100 ),5936653.219999999739230,5682195.000000000000000,11618848.219999998807907
FS( 101 ),5900843.299999999813735,5808280.000000000000000,11709123.300000000745058
FS( 102 ),5776627.639999999664724,5710585.000000000000000,11487212.640000000596046
FS( 103 ),5967986.899999999441206,5686369.999999999068677,11654356.899999998509884
FS( 104 ),5853842.780000000260770,5699730.000000000000000,11553572.780000001192093
FS( 105 ),5850485.599999999627471,5586170.000000000931323,11436655.600000001490116
FS( 106 ),5906438.599999999627471,5686369.999999999068677,11592808.599999997764826
FS( 107 ),5967986.899999999441206,5789910.000000000000000,11757896.899999998509884
FS( 108 ),6001558.700000000186265,5716429.999999999068677,11717988.699999999254942
FS( 109 ),6081011.959999999962747,5673845.000000000000000,11754856.960000000894070
FS( 110 ),6152631.799999999813735,5671340.000000000000000,11823971.800000000745058
FS( 111 ),6117940.940000000409782,5713925.000000000931323,11831865.940000001341105
FS( 112 ),6143679.319999999366701,5748160.000000000000000,11891839.320000000298023
FS( 113 ),6034011.440000000409782,5803270.000000000000000,11837281.440000001341105
FS( 114 ),6114583.759999999776483,5956910.000000000000000,12071493.759999999776483
FS( 115 ),6133607.780000000260770,5923510.000000000000000,12057117.780000001192093
FS( 116 ),6133607.780000000260770,5955239.999999999068677,12088847.779999999329448
FS( 117 ),6078773.839999999850988,5960250.000000000000000,12039023.839999999850988
FS( 118 ),6093321.620000000111759,5954405.000000000000000,12047726.620000001043081
FS( 119 ),6178370.179999999701977,5956910.000000000000000,12135280.179999999701977
FS( 120 ),6126893.419999999925494,6027050.000000000931323,12153943.420000001788139
FS( 121 ),6204108.559999999590218,6032895.000000000000000,12237003.559999998658895
FS( 122 ),6190679.839999999850988,5921840.000000000000000,12112519.839999999850988
FS( 123 ),6230966.000000000000000,6031225.000000000000000,12262191.000000000000000
FS( 124 ),6177251.120000000111759,5995320.000000000000000,12172571.120000001043081
