代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11224225.500000000000000
真實報酬,1224225.500000000000000

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,11469.262543244160042
風險,146609.064820182189578
起點值,0.078230241474573
找到最佳解世代,2127
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
JNJ[12](5),MCD[15](2),WMT[28](1),
FS( 63 ),3485732.520000000018626,3450702.719999999739230,3741306.319999999832362,10677742.560000000521541
FS( 64 ),3473032.560000000055879,3398570.759999999776483,3737350.899999999906868,10608955.220000000670552
FS( 65 ),3468147.959999999962747,3412841.520000000018626,3773514.740000000223517,10654505.220000000670552
FS( 66 ),3475963.319999999832362,3411967.799999999813735,3836236.399999999906868,10724168.519999999552965
FS( 67 ),3459030.040000000037253,3448955.279999999795109,3844712.300000000279397,10752698.620000001043081
FS( 68 ),3479219.720000000204891,3484486.559999999590218,3815894.240000000223517,10779601.519999999552965
FS( 69 ),3488988.919999999925494,3494388.719999999739230,3809113.520000000018626,10792492.160000000149012
FS( 70 ),3507550.399999999906868,3540113.399999999441206,3795552.080000000074506,10843216.879999998956919
FS( 71 ),3505922.199999999720603,3579430.799999999813735,3806288.220000000204891,10891642.220000000670552
FS( 72 ),3509178.600000000093132,3594866.520000000018626,3847537.600000000093132,10951583.720000000670552
FS( 73 ),3497781.199999999720603,3597487.679999999701977,3841886.999999999534339,10937156.879999998956919
FS( 74 ),3475963.319999999832362,3587003.039999999571592,3811373.760000000242144,10874341.119999999180436
FS( 75 ),3500711.959999999962747,3613797.119999999646097,3783120.760000000242144,10897630.839999999850988
FS( 76 ),3493547.879999999888241,3605933.639999999664724,3840756.879999999888241,10940239.399999998509884
FS( 77 ),3496804.279999999795109,3606224.879999999422580,3835106.280000000260770,10938136.439999999478459
FS( 78 ),3533275.959999999962747,3617000.759999999776483,3811938.819999999832362,10962216.539999999105930
FS( 79 ),3527088.799999999813735,3590789.159999999683350,3842452.060000000055879,10960331.019999999552965
FS( 80 ),3524483.680000000167638,3587294.279999999795109,3849232.780000000260770,10961011.740000000223517
FS( 81 ),3554116.919999999925494,3610593.479999999515712,3844147.240000000223517,11008858.640000000596046
FS( 82 ),3548906.680000000167638,3664764.119999999646097,3887656.859999999869615,11101328.660000000149012
FS( 83 ),3523506.760000000242144,3660395.520000000018626,3870139.999999999534339,11054043.279999999329448
FS( 84 ),3555745.120000000111759,3699421.679999999701977,3902348.420000000391155,11157516.220000000670552
FS( 85 ),3536206.720000000204891,3715439.879999999422580,3904608.659999999683350,11156256.259999999776483
FS( 86 ),3547929.760000000242144,3709906.319999999366701,3878615.899999999906868,11136452.980000000447035
FS( 87 ),3563234.839999999850988,3713983.679999999701977,3901218.300000000279397,11178437.820000000298023
FS( 88 ),3558350.239999999757856,3732040.559999999124557,3854883.379999999888241,11145275.179999999701977
FS( 89 ),3552814.359999999869615,3726798.239999999757856,3845842.420000000391155,11125456.019999999552965
FS( 90 ),3548581.040000000037253,3715148.639999999664724,3808548.460000000428408,11072279.140000000596046
FS( 91 ),3569096.359999999869615,3716604.839999999850988,3887656.859999999869615,11173359.059999998658895
FS( 92 ),3577888.640000000130385,3695635.559999999590218,3907433.960000000428408,11180959.160000000149012
FS( 93 ),3576911.720000000204891,3713692.439999999944121,3887656.859999999869615,11178262.019999999552965
FS( 94 ),3587983.479999999981374,3721555.919999999925494,3902348.420000000391155,11211888.820000000298023
FS( 95 ),3612406.479999999981374,3752718.599999999627471,3947553.220000000204891,11312679.300000000745058
FS( 96 ),3669393.479999999981374,3753009.840000000316650,3942467.679999999701977,11364872.000000000000000
FS( 97 ),3698701.080000000074506,3743981.399999999906868,3910824.319999999832362,11353507.800000000745058
FS( 98 ),3698375.439999999944121,3663599.159999999683350,3869009.879999999888241,11230985.480000000447035
FS( 99 ),3690234.439999999944121,3655153.199999999720603,3883136.379999999888241,11228525.019999999552965
FS( 100 ),3696421.600000000093132,3712236.239999999757856,3925515.879999999888241,11334174.719999998807907
FS( 101 ),3676883.199999999720603,3719517.239999999757856,3915909.859999999869615,11312311.299999998882413
FS( 102 ),3672324.239999999757856,3736700.399999999906868,3922690.580000000074506,11331716.219999998807907
FS( 103 ),3662880.680000000167638,3725633.279999999795109,3893872.520000000018626,11282387.480000000447035
FS( 104 ),3649855.080000000074506,3683985.959999999497086,3778600.280000000260770,11112442.320000000298023
FS( 105 ),3671672.959999999962747,3733787.999999999534339,3819284.600000000093132,11224746.559999998658895
FS( 106 ),3669719.120000000111759,3739612.799999999813735,3785946.060000000055879,11195278.980000000447035
FS( 107 ),3654414.040000000037253,3766698.120000000111759,3796682.199999999720603,11217795.359999999403954
FS( 108 ),3675906.279999999795109,3765241.919999999925494,3797812.319999999832362,11238961.519999999552965
FS( 109 ),3671347.319999999832362,3803103.120000000111759,3856578.560000000055879,11331030.000000000000000
FS( 110 ),3703260.040000000037253,3810384.120000000111759,3896132.760000000242144,11409777.919999999925494
FS( 111 ),3734195.839999999850988,3832809.599999999627471,3887091.800000000279397,11454098.240000000223517
FS( 112 ),3724426.640000000130385,3761164.559999999124557,3752607.520000000018626,11238199.719999998807907
FS( 113 ),3719867.680000000167638,3789706.080000000074506,3777470.159999999683350,11287044.919999999925494
FS( 114 ),3698049.799999999813735,3752136.120000000111759,3669543.699999999720603,11119730.619999999180436
FS( 115 ),3726706.120000000111759,3775726.559999999124557,3730570.179999999701977,11233003.859999999403954
FS( 116 ),3706842.080000000074506,3718934.759999999776483,3678584.659999999683350,11104362.500000000000000
FS( 117 ),3699026.720000000204891,3675831.239999999757856,3568397.959999999962747,10943256.919999999925494
FS( 118 ),3674929.359999999869615,3649037.159999999683350,3910259.260000000242144,11234226.779999999329448
FS( 119 ),3668090.919999999925494,3569528.639999999664724,3947553.220000000204891,11185173.779999999329448
FS( 120 ),3652460.199999999720603,3576809.639999999664724,3927211.060000000055879,11156481.900000000372529
FS( 121 ),3669719.120000000111759,3610011.000000000000000,3969025.499999999534339,11248756.619999999180436
FS( 122 ),3691211.359999999869615,3589915.439999999944121,3982586.940000000409782,11263714.740000000223517
FS( 123 ),3676557.560000000055879,3605351.159999999683350,4003494.159999999683350,11285403.879999998956919
FS( 124 ),3681767.799999999813735,3589624.199999999720603,3997843.560000000055879,11269236.560000000521541
FS( 125 ),3669719.120000000111759,3554966.639999999664724,3999538.740000000223517,11224225.500000000000000
