代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11985089.359999999403954
真實報酬,1985089.359999999403954

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15639.607503360250121
風險,138488.164701855741441
起點值,0.112931004154976
找到最佳解世代,1902
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CVX[5](10),MRK[17](1),NKE[19](4),V[25](2),
FS( 40 ),2771772.339999999850988,2765823.339999999385327,2565214.080000000074506,2638703.520000000018626,10741513.279999999329448
FS( 41 ),2825323.540000000037253,2768616.579999999608845,2622135.040000000502914,2616486.040000000037253,10832561.199999999254942
FS( 42 ),2791630.910000000149012,2740684.179999999701977,2578030.720000000204891,2634550.719999999739230,10744896.530000001192093
FS( 43 ),2786052.660000000149012,2699251.119999999646097,2567098.879999999888241,2647632.040000000037253,10700034.699999999254942
FS( 44 ),2800109.850000000093132,2667594.399999999441206,2573130.240000000223517,2624168.719999999739230,10665003.210000000894070
FS( 45 ),2811712.609999999869615,2678301.819999999832362,2521863.680000000633299,2640779.919999999925494,10652658.030000001192093
FS( 46 ),2801002.370000000111759,2688543.699999999720603,2567098.879999999888241,2661128.639999999664724,10717773.589999999850988
FS( 47 ),2787837.699999999720603,2671318.719999999739230,2613841.920000000391155,2683969.039999999571592,10756967.379999998956919
FS( 48 ),2824207.889999999664724,2642455.239999999757856,2580669.439999999944121,2697258.000000000000000,10744590.569999998435378
FS( 49 ),2872180.839999999850988,2697854.500000000000000,2561444.480000000447035,2716776.160000000149012,10848255.980000000447035
FS( 50 ),2874412.139999999664724,2702975.439999999944121,2560313.600000000093132,2716776.160000000149012,10854477.339999999850988
FS( 51 ),2897171.399999999906868,2778858.459999999497086,2579538.560000000521541,2737124.879999999888241,10992693.300000000745058
FS( 52 ),2909443.549999999813735,2778392.919999999925494,2594993.920000000391155,2724458.839999999850988,11007289.230000000447035
FS( 53 ),2894940.100000000093132,2756047.000000000000000,2619873.280000000260770,2722174.799999999813735,10993035.179999999701977
FS( 54 ),2890923.760000000242144,2781651.699999999720603,2689233.920000000391155,2717814.359999999403954,11079623.740000000223517
FS( 55 ),2888692.459999999962747,2749994.979999999515712,2674155.520000000018626,2697880.919999999925494,11010723.879999998956919
FS( 56 ),2852991.660000000149012,2753253.759999999776483,2688480.000000000000000,2697880.919999999925494,10992606.339999999850988
FS( 57 ),2886684.290000000037253,2726717.979999999515712,2690741.760000000242144,2713038.639999999664724,11017182.669999998062849
FS( 58 ),2861247.469999999739230,2721131.500000000000000,2688103.040000000502914,2714076.839999999850988,10984558.849999999627471
FS( 59 ),2871734.579999999608845,2754650.379999999888241,2689233.920000000391155,2738370.719999999739230,11053989.599999997764826
FS( 60 ),2825100.410000000149012,2752788.219999999739230,2720898.560000000521541,2738578.359999999403954,11037365.550000000745058
FS( 61 ),2726476.949999999720603,2750926.060000000055879,2723537.280000000260770,2725912.319999999832362,10926852.609999999403954
FS( 62 ),2708626.549999999813735,2718803.799999999813735,2673401.600000000093132,2692897.560000000055879,10793729.509999999776483
FS( 63 ),2792746.560000000055879,2780255.079999999608845,2722783.360000000335276,2712623.359999999403954,11008408.359999999403954
FS( 64 ),2773557.379999999888241,2771409.819999999832362,2706574.080000000074506,2714284.479999999981374,10965825.759999999776483
FS( 65 ),2763516.529999999795109,2819360.439999999944121,2742762.240000000223517,2716983.799999999813735,11042623.009999999776483
FS( 66 ),2728038.859999999869615,2887329.279999999795109,2783096.960000000428408,2763079.879999999888241,11161544.980000000447035
FS( 67 ),2738525.970000000204891,2858000.259999999776483,2791390.080000000074506,2773254.239999999757856,11161170.550000000745058
FS( 68 ),2753029.419999999925494,2883139.419999999925494,2817777.280000000260770,2829732.319999999832362,11283678.440000001341105
FS( 69 ),2832909.959999999962747,2885932.659999999683350,2818154.240000000223517,2779068.160000000149012,11316065.019999999552965
FS( 70 ),2821307.199999999720603,2913399.519999999552965,2823431.680000000633299,2797755.760000000242144,11355894.159999998286366
FS( 71 ),2846297.760000000242144,2901761.019999999552965,2811745.920000000391155,2780521.639999999664724,11340326.339999999850988
FS( 72 ),2835587.520000000018626,2906881.959999999497086,2800437.120000000577420,2800247.440000000409782,11343154.039999999105930
FS( 73 ),2835364.389999999664724,2913865.060000000055879,2793651.840000000316650,2790696.000000000000000,11333577.289999999105930
FS( 74 ),2822869.109999999869615,2865914.439999999944121,2815892.480000000447035,2803154.399999999906868,11307830.430000001564622
FS( 75 ),2767756.000000000000000,2887794.819999999832362,2858865.920000000391155,2805230.799999999813735,11319647.539999999105930
FS( 76 ),2810820.089999999850988,2839378.659999999683350,2850195.840000000316650,2828071.199999999720603,11328465.789999999105930
FS( 77 ),2801225.500000000000000,2841240.819999999832362,2799306.240000000223517,2805438.440000000409782,11247211.000000000000000
FS( 78 ),2795647.250000000000000,2852879.319999999832362,2816646.400000000372529,2813536.399999999906868,11278709.370000001043081
FS( 79 ),2735402.149999999906868,2848223.919999999925494,2787243.520000000018626,2793395.319999999832362,11164264.910000000149012
FS( 80 ),2791407.779999999795109,2861724.579999999608845,2768018.560000000521541,2810006.520000000018626,11231157.439999999478459
FS( 81 ),2735848.410000000149012,2843568.519999999552965,2727306.879999999888241,2718644.919999999925494,11025368.730000000447035
FS( 82 ),2770433.560000000055879,2826809.079999999608845,2735223.040000000502914,2752282.600000000093132,11084748.279999999329448
FS( 83 ),2811489.479999999981374,2787703.719999999739230,2689610.879999999888241,2720513.680000000167638,11009317.759999999776483
FS( 84 ),2803903.060000000055879,2807256.399999999441206,2702804.480000000447035,2756227.760000000242144,11070191.699999999254942
FS( 85 ),2821084.070000000298023,2825878.000000000000000,3003618.560000000521541,2750206.199999999720603,11400786.830000000074506
FS( 86 ),2772441.729999999981374,2814705.039999999571592,2953482.879999999888241,2751244.399999999906868,11291874.049999998882413
FS( 87 ),2783151.970000000204891,2826343.539999999571592,2875452.160000000149012,2729442.199999999720603,11214389.869999999180436
FS( 88 ),2766417.220000000204891,2869638.759999999776483,2885630.080000000074506,2767647.959999999962747,11289334.019999999552965
FS( 89 ),2769987.299999999813735,2895709.000000000000000,2882991.360000000335276,2784259.160000000149012,11332946.820000000298023
FS( 90 ),2811266.350000000093132,2887329.279999999795109,2913148.160000000149012,2813951.680000000167638,11425695.469999998807907
FS( 91 ),2846967.149999999906868,2900364.399999999441206,2924080.000000000000000,2838245.560000000055879,11509657.109999999403954
FS( 92 ),2756153.239999999757856,2881742.799999999813735,2916163.840000000316650,2868561.000000000000000,11422620.879999998956919
FS( 93 ),2772664.859999999869615,2917123.839999999385327,2916540.800000000279397,2904898.000000000000000,11511227.500000000000000
FS( 94 ),2767756.000000000000000,2927831.259999999776483,2916917.760000000242144,2894931.279999999795109,11507436.299999998882413
FS( 95 ),2744104.220000000204891,2913865.060000000055879,2930865.280000000260770,2874997.839999999850988,11463832.400000000372529
FS( 96 ),2720229.310000000055879,2911071.819999999832362,2920310.400000000372529,2899499.359999999403954,11451110.890000000596046
FS( 97 ),2711750.370000000111759,2930158.959999999497086,2887137.920000000391155,2925662.000000000000000,11454709.250000000000000
FS( 98 ),2714874.189999999944121,2910140.739999999757856,2900708.480000000447035,2909673.719999999739230,11435397.129999998956919
FS( 99 ),2728261.989999999757856,2910606.279999999795109,2901085.439999999944121,2927530.760000000242144,11467484.469999998807907
FS( 100 ),2707287.770000000018626,2918520.459999999497086,2887137.920000000391155,2907597.319999999832362,11420543.470000000670552
FS( 101 ),2763516.529999999795109,2952504.879999999888241,2847180.160000000149012,2907597.319999999832362,11470798.890000000596046
FS( 102 ),2786945.180000000167638,3002317.659999999683350,2908624.640000000130385,2961791.359999999403954,11659678.839999999850988
FS( 103 ),2765747.830000000074506,2979971.739999999757856,2945943.680000000633299,2958884.399999999906868,11650547.650000000372529
FS( 104 ),2810820.089999999850988,2955763.659999999683350,2898446.720000000204891,2921716.839999999850988,11586747.310000000521541
FS( 105 ),2852322.270000000018626,3017214.939999999944121,2863389.439999999944121,2833885.119999999646097,11566811.769999999552965
FS( 106 ),2817513.989999999757856,3066562.179999999701977,2899200.640000000130385,2839283.760000000242144,11622560.570000000298023
FS( 107 ),2797878.549999999813735,3048871.659999999683350,2922949.120000000577420,2870637.399999999906868,11640336.730000000447035
FS( 108 ),2761508.359999999869615,3036302.079999999608845,2964791.680000000633299,2884549.279999999795109,11647151.400000000372529
FS( 109 ),2767979.129999999888241,3069355.419999999925494,2968184.320000000298023,2903236.879999999888241,11708755.750000000000000
FS( 110 ),2773557.379999999888241,3082856.079999999608845,2997210.240000000223517,2900952.839999999850988,11754576.539999999105930
FS( 111 ),2793192.820000000298023,3099615.519999999552965,3035660.160000000149012,2912788.319999999832362,11841256.820000000298023
FS( 112 ),2764185.919999999925494,3104736.459999999497086,3034529.280000000260770,2921093.919999999925494,11824545.580000000074506
FS( 113 ),2734063.370000000111759,3072614.199999999720603,3063178.240000000223517,2907182.039999999571592,11777037.849999999627471
FS( 114 ),2752136.899999999906868,3075872.979999999515712,3043199.360000000335276,2901368.119999999646097,11772577.359999997541308
FS( 115 ),2732055.199999999720603,3106133.079999999608845,3021335.680000000633299,2911334.839999999850988,11770858.800000000745058
FS( 116 ),2735179.020000000018626,3094029.039999999571592,3020958.720000000204891,2922755.039999999571592,11772921.819999998435378
FS( 117 ),2631646.699999999720603,3136393.179999999701977,2999472.000000000000000,2905313.279999999795109,11672825.159999998286366
FS( 118 ),2625399.060000000055879,3205293.099999999627471,3017566.080000000074506,2920471.000000000000000,11768729.240000000223517
FS( 119 ),2628522.879999999888241,3215069.439999999944121,3006257.280000000260770,2934590.520000000018626,11784440.120000001043081
FS( 120 ),2627407.229999999981374,3266744.379999999888241,3097858.560000000521541,2926492.560000000055879,11918502.730000000447035
FS( 121 ),2631646.699999999720603,3220190.379999999888241,3126884.480000000447035,2907804.959999999962747,11886526.519999999552965
FS( 122 ),2653513.439999999944121,3214138.359999999869615,3115198.720000000204891,2930645.359999999403954,11913495.879999998956919
FS( 123 ),2635216.779999999795109,3210879.579999999608845,3125376.640000000130385,2950578.799999999813735,11922051.800000000745058
FS( 124 ),2655521.609999999869615,3214138.359999999869615,3108036.480000000447035,2994183.199999999720603,11971879.649999998509884
FS( 125 ),2685421.029999999795109,3211810.659999999683350,3115575.680000000633299,3019100.000000000000000,12031907.370000001043081
FS( 126 ),2674487.660000000149012,3195051.219999999739230,3112936.960000000428408,3014947.199999999720603,11997423.039999999105930
FS( 127 ),2682520.339999999850988,3203430.939999999944121,3120853.120000000577420,3052945.319999999832362,12059749.720000000670552
FS( 128 ),2673372.010000000242144,3190861.359999999869615,3068455.680000000633299,3046923.760000000242144,11979612.810000000521541
FS( 129 ),2643249.459999999962747,3193189.060000000055879,3098612.480000000447035,3050038.359999999403954,11985089.359999999403954
