代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10846759.349999999627471
真實報酬,846759.349999999627471

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,10079.503621207915785
風險,267223.808212436153553
起點值,0.037719332302887
找到最佳解世代,1964
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
JPM[13](2),NKE[19](1),
FS( 43 ),5120608.049999999813735,5004050.200000000186265,10124658.250000000000000
FS( 44 ),5148938.799999999813735,5102267.549999999813735,10251206.349999999627471
FS( 45 ),5238787.750000000000000,5105305.200000000186265,10344092.949999999254942
FS( 46 ),5212885.349999999627471,5084041.649999999441206,10296927.000000000000000
FS( 47 ),5174031.750000000000000,5073916.149999999441206,10247947.899999998509884
FS( 48 ),5220979.849999999627471,5136694.249999999068677,10357674.099999997764826
FS( 49 ),5301115.399999999441206,5186309.199999999254942,10487424.599999997764826
FS( 50 ),5297877.599999999627471,5204535.099999999627471,10502412.699999999254942
FS( 51 ),5290592.549999999813735,5183271.549999999813735,10473864.099999999627471
FS( 52 ),5303543.749999999068677,5172133.499999999068677,10475677.249999998137355
FS( 53 ),5346444.599999999627471,5236936.699999999254942,10583381.299999998882413
FS( 54 ),5332683.949999999254942,5314903.049999999813735,10647587.000000000000000
FS( 55 ),5376394.250000000000000,5303765.000000000000000,10680159.250000000000000
FS( 56 ),5424151.799999999813735,5297689.699999999254942,10721841.500000000000000
FS( 57 ),5381250.950000000186265,5296677.149999999441206,10677928.099999999627471
FS( 58 ),5395011.599999999627471,5285539.099999999627471,10680550.699999999254942
FS( 59 ),5380441.500000000000000,5287564.199999999254942,10668005.699999999254942
FS( 60 ),5320542.200000000186265,5235924.149999999441206,10556466.349999999627471
FS( 61 ),5380441.500000000000000,5206560.200000000186265,10587001.699999999254942
FS( 62 ),5358586.349999999627471,5179221.349999999627471,10537807.699999999254942
FS( 63 ),5324589.449999999254942,5147832.299999999813735,10472421.750000000000000
FS( 64 ),5348872.949999999254942,5151882.500000000000000,10500755.449999999254942
FS( 65 ),5344016.249999999068677,5170108.399999999441206,10514124.649999998509884
FS( 66 ),5399058.849999999627471,5190359.399999999441206,10589418.250000000000000
FS( 67 ),5369109.199999999254942,5162007.999999999068677,10531117.199999999254942
FS( 68 ),5457339.250000000000000,5166058.200000000186265,10623397.449999999254942
FS( 69 ),5414438.399999999441206,5135681.699999999254942,10550120.099999997764826
FS( 70 ),5437912.450000000186265,5131631.500000000000000,10569543.949999999254942
FS( 71 ),5525333.049999999813735,5231873.950000000186265,10757207.000000000000000
FS( 72 ),5546378.749999999068677,5259212.799999999813735,10805591.549999998882413
FS( 73 ),5524523.599999999627471,5254150.049999999813735,10778673.649999998509884
FS( 74 ),5503477.899999999441206,5232886.500000000000000,10736364.399999998509884
FS( 75 ),5534237.000000000000000,5293639.500000000000000,10827876.500000000000000
FS( 76 ),5515619.649999999441206,5303765.000000000000000,10819384.649999998509884
FS( 77 ),5567424.449999999254942,5366543.099999999627471,10933967.549999998882413
FS( 78 ),5510762.949999999254942,5393881.950000000186265,10904644.899999998509884
FS( 79 ),5581994.549999998882413,5407045.099999999627471,10989039.649999998509884
FS( 80 ),5645941.099999999627471,5427296.099999999627471,11073237.199999999254942
FS( 81 ),5586851.249999999068677,5377681.149999999441206,10964532.399999998509884
FS( 82 ),5556901.599999999627471,5327053.649999999441206,10883955.250000000000000
FS( 83 ),5581185.099999999627471,5554877.399999999441206,11136062.500000000000000
FS( 84 ),5439531.349999999627471,5451597.299999999813735,10891128.649999998509884
FS( 85 ),5484860.549999999813735,5468810.649999999441206,10953671.199999999254942
FS( 86 ),5509953.499999999068677,5540701.699999999254942,11050655.199999999254942
FS( 87 ),5465433.749999999068677,5562977.799999999813735,11028411.549999998882413
FS( 88 ),5450054.199999999254942,5560952.700000000186265,11011006.899999998509884
FS( 89 ),5407153.349999999627471,5634868.849999999627471,11042022.199999999254942
FS( 90 ),5296258.700000000186265,5532601.299999999813735,10828860.000000000000000
FS( 91 ),5351301.299999999813735,5540701.699999999254942,10892003.000000000000000
FS( 92 ),5427389.599999999627471,5595379.399999999441206,11022769.000000000000000
FS( 93 ),5511572.399999999441206,5691571.649999999441206,11203144.049999998882413
FS( 94 ),5588470.150000000372529,5687521.450000000186265,11275991.600000001490116
FS( 95 ),5600611.899999999441206,5665245.349999999627471,11265857.250000000000000
FS( 96 ),5630561.549999999813735,5687521.450000000186265,11318083.000000000000000
FS( 97 ),5602230.799999998882413,5710810.099999999627471,11313040.899999998509884
FS( 98 ),5606278.049999999813735,5728023.449999999254942,11334301.500000000000000
FS( 99 ),5593326.849999999627471,5720935.599999999627471,11314262.449999999254942
FS( 100 ),5672652.949999999254942,5776625.849999999627471,11449278.799999998882413
FS( 101 ),5637037.149999999441206,5771563.099999999627471,11408600.250000000000000
FS( 102 ),5577947.299999999813735,5720935.599999999627471,11298882.899999998509884
FS( 103 ),5505096.799999999813735,5657144.949999999254942,11162241.750000000000000
FS( 104 ),5508334.599999999627471,5745236.799999999813735,11253571.399999998509884
FS( 105 ),5580375.649999999441206,5818140.399999999441206,11398516.049999998882413
FS( 106 ),5588470.150000000372529,5823203.149999999441206,11411673.300000000745058
FS( 107 ),5547188.199999999254942,5833328.649999999441206,11380516.849999997764826
FS( 108 ),5547188.199999999254942,5814090.200000000186265,11361278.399999998509884
FS( 109 ),5541522.049999998882413,5861680.049999999813735,11403202.099999997764826
FS( 110 ),5563377.200000000186265,5911295.000000000000000,11474672.199999999254942
FS( 111 ),5524523.599999999627471,5828265.899999999441206,11352789.500000000000000
FS( 112 ),5508334.599999999627471,5797889.399999999441206,11306224.000000000000000
FS( 113 ),5576328.399999999441206,5840416.500000000000000,11416744.899999998509884
FS( 114 ),5522904.700000000186265,5794851.749999999068677,11317756.449999999254942
FS( 115 ),5442769.149999999441206,5723973.250000000000000,11166742.399999998509884
FS( 116 ),5467862.099999999627471,5751312.099999999627471,11219174.199999999254942
FS( 117 ),5495383.399999999441206,5789789.000000000000000,11285172.399999998509884
FS( 118 ),5509953.499999999068677,5821178.049999999813735,11331131.549999998882413
FS( 119 ),5521285.799999998882413,5813077.649999999441206,11334363.449999999254942
FS( 120 ),5471909.349999999627471,5820165.499999999068677,11292074.849999997764826
FS( 121 ),5337540.649999999441206,5685496.349999999627471,11023037.000000000000000
FS( 122 ),5148129.349999999627471,5411095.299999999813735,10559224.649999998509884
FS( 123 ),4876963.599999999627471,5259212.799999999813735,10136176.399999998509884
FS( 124 ),4849442.299999999813735,5241999.450000000186265,10091441.750000000000000
FS( 125 ),5092277.299999999813735,5506275.000000000000000,10598552.300000000745058
FS( 126 ),5219360.950000000186265,5701697.149999999441206,10921058.099999999627471
FS( 127 ),5191030.199999999254942,5695621.849999999627471,10886652.049999998882413
FS( 128 ),5188601.849999999627471,5658157.500000000000000,10846759.349999999627471
