代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11315599.189999999478459
真實報酬,1315599.189999999478459

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,12926.472827152734681
風險,357695.262986593006644
起點值,0.036138227605316
找到最佳解世代,1795
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),MCD[15](1),VZ[26](7),
FS( 22 ),3760883.559999999590218,3503175.739999999757856,3591635.099999999627471,10855695.399999998509884
FS( 23 ),3747487.720000000204891,3476084.259999999776483,3567034.899999999906868,10790607.880000000819564
FS( 24 ),3763116.200000000186265,3520889.399999999906868,3596555.139999999664724,10880561.739999998360872
FS( 25 ),3803303.720000000204891,3544333.950000000186265,3617465.310000000055879,10965103.980000000447035
FS( 26 ),3820048.520000000018626,3532872.169999999925494,3587945.070000000298023,10940866.759999999776483
FS( 27 ),3836793.319999999832362,3527141.280000000260770,3477244.169999999925494,10841179.769999999552965
FS( 28 ),3826746.439999999944121,3582366.220000000204891,3468634.099999999627471,10877747.759999999776483
FS( 29 ),3855770.759999999776483,3578198.300000000279397,3458794.020000000018626,10892764.080000000074506
FS( 30 ),3863585.000000000000000,3570383.450000000186265,3442803.889999999664724,10876773.339999999850988
FS( 31 ),3865817.640000000130385,3590702.060000000055879,3457564.009999999776483,10914084.710000000894070
FS( 32 ),3918284.680000000167638,3616751.560000000055879,3432963.810000000055879,10968001.050000000745058
FS( 33 ),3969635.400000000372529,3603205.819999999832362,3397293.520000000018626,10970135.740000000223517
FS( 34 ),3945076.360000000335276,3596432.950000000186265,3402213.560000000055879,10943723.870000001043081
FS( 35 ),3940611.079999999608845,3642801.060000000055879,3419433.700000000186265,11002846.839999999850988
FS( 36 ),3900423.559999999590218,3664682.640000000130385,3421893.719999999739230,10987000.919999998062849
FS( 37 ),4133734.439999999944121,3665724.620000000111759,3399753.540000000037253,11199213.600000001490116
FS( 38 ),4249831.720000000670552,3700630.950000000186265,3366543.270000000018626,11317006.940000001341105
FS( 39 ),4319043.560000000521541,3706882.830000000074506,3340713.060000000055879,11366640.450000001117587
FS( 40 ),4297833.480000000447035,3700109.959999999962747,3328412.959999999962747,11326357.400000000372529
FS( 41 ),4178387.239999999757856,3674581.450000000186265,3306272.779999999795109,11159242.469999998807907
FS( 42 ),4171689.319999999832362,3664682.640000000130385,3349323.129999999888241,11185696.089999999850988
FS( 43 ),4284437.640000000596046,3726159.459999999962747,3360393.219999999739230,11370991.320000000298023
FS( 44 ),4163875.079999999608845,3677707.390000000130385,3323492.919999999925494,11165076.390000000596046
FS( 45 ),4247599.080000000074506,3720949.560000000055879,3367773.279999999795109,11336322.919999999925494
FS( 46 ),4124803.880000000353903,3680312.339999999850988,3306272.779999999795109,11111390.000000000000000
FS( 47 ),4082383.720000000204891,3681354.319999999832362,3297662.709999999962747,11061401.750000000000000
FS( 48 ),3927215.239999999757856,3616751.560000000055879,3221402.089999999850988,10765369.890000000596046
FS( 49 ),3760883.559999999590218,3543291.970000000204891,3242312.259999999776483,10546488.789999999105930
FS( 50 ),4050010.439999999944121,3677186.399999999906868,3290282.649999999906868,11017480.490000000223517
FS( 51 ),4091314.279999999795109,3671976.500000000000000,3265682.450000000186265,11028974.230000000447035
FS( 52 ),4179503.559999999590218,3681875.310000000055879,3300122.729999999515712,11161502.599999997764826
FS( 53 ),4120338.599999999627471,3673018.479999999981374,3298892.719999999739230,11092250.800000000745058
FS( 54 ),4047777.799999999813735,3625608.390000000130385,3279212.560000000055879,10952599.750000000000000
FS( 55 ),4054475.720000000204891,3654262.839999999850988,3296432.700000000186265,11005172.260000001639128
FS( 56 ),4024335.079999999608845,3648010.959999999962747,3268142.469999999739230,10940489.509999997913837
FS( 57 ),3960704.839999999850988,3615709.580000000074506,3279212.560000000055879,10855627.980000000447035
FS( 58 ),3792140.520000000018626,3525057.319999999832362,3191881.849999999627471,10509080.689999999478459
FS( 59 ),3864701.319999999832362,3535477.120000000111759,3215252.040000000037253,10615431.480000000447035
FS( 60 ),3935029.479999999981374,3525057.319999999832362,3161131.599999999627471,10621219.399999998509884
FS( 61 ),3910470.439999999944121,3534435.140000000130385,3151291.520000000018626,10596198.099999999627471
FS( 62 ),3892609.319999999832362,3439093.970000000204891,3097171.080000000074506,10428875.370000001043081
FS( 63 ),4039963.559999999590218,3501091.780000000260770,3172201.689999999944121,10713258.029999999329448
FS( 64 ),4096895.880000000353903,3483899.110000000335276,3164821.629999999888241,10745617.620000001043081
FS( 65 ),4159409.799999999813735,3457328.620000000111759,3129151.339999999850988,10745890.759999999776483
FS( 66 ),4209644.199999999254942,3530788.209999999962747,3172201.689999999944121,10912635.099999999627471
FS( 67 ),4196248.360000001266599,3534956.129999999888241,3178351.739999999757856,10909557.230000000447035
FS( 68 ),4082383.720000000204891,3475042.280000000260770,3129151.339999999850988,10686578.339999999850988
FS( 69 ),4002008.680000000167638,3477647.229999999981374,3114391.219999999739230,10594048.129999998956919
FS( 70 ),3976333.319999999832362,3562568.599999999627471,3183271.779999999795109,10722174.699999999254942
FS( 71 ),3878097.160000000149012,3556316.720000000204891,3194341.869999999646097,10628756.750000000000000
FS( 72 ),3995310.759999999776483,3614146.610000000335276,3259532.399999999906868,10868990.769999999552965
FS( 73 ),4043312.520000000018626,3623003.440000000409782,3284132.599999999627471,10950449.560000000521541
FS( 74 ),4055592.039999999571592,3610499.679999999701977,3292742.669999999925494,10958835.389999998733401
FS( 75 ),4141548.680000000167638,3667808.580000000074506,3348093.119999999646097,11157451.379999998956919
FS( 76 ),4262111.240000000223517,3662077.690000000409782,3355473.180000000167638,11279663.110000001266599
FS( 77 ),4335788.360000001266599,3649573.929999999701977,3345633.099999999627471,11330996.390000000596046
FS( 78 ),4370394.279999999329448,3640717.099999999627471,3349323.129999999888241,11360435.509999997913837
FS( 79 ),4308996.679999999701977,3642801.060000000055879,3341943.070000000298023,11293741.810000000521541
FS( 80 ),4367045.320000000298023,3576114.339999999850988,3341943.070000000298023,11285103.730000000447035
FS( 81 ),4321276.199999999254942,3575593.349999999627471,3372693.320000000298023,11269563.869999999180436
FS( 82 ),4290019.240000000223517,3528704.250000000000000,3330872.979999999515712,11149597.469999998807907
FS( 83 ),4253180.679999999701977,3512553.560000000055879,3282902.589999999850988,11048637.830000000074506
FS( 84 ),4278856.039999999105930,3507864.649999999906868,3301352.739999999757856,11088074.429999999701977
FS( 85 ),4085732.680000000167638,3462538.519999999552965,3291512.660000000149012,10839784.859999999403954
FS( 86 ),4010939.239999999757856,3431800.110000000335276,3222632.099999999627471,10665372.449999999254942
FS( 87 ),3962937.479999999981374,3475563.269999999552965,3234932.200000000186265,10673433.949999999254942
FS( 88 ),3938378.439999999944121,3445866.839999999850988,3297662.709999999962747,10681908.989999998360872
FS( 89 ),3965170.120000000111759,3444303.870000000111759,3273062.509999999776483,10682537.500000000000000
FS( 90 ),4124803.880000000353903,3506822.669999999925494,3261992.419999999925494,10893619.970000000670552
FS( 91 ),4115873.319999999832362,3595911.959999999962747,3293972.680000000167638,11005758.959999999031425
FS( 92 ),4140432.360000000335276,3606331.759999999776483,3277982.549999999813735,11024747.669999999925494
FS( 93 ),4103593.799999999813735,3643843.040000000037253,3258302.389999999664724,11005740.230000000447035
FS( 94 ),4015404.520000000018626,3690732.140000000130385,3307502.790000000037253,11013640.449999999254942
FS( 95 ),4029916.680000000167638,3693858.080000000074506,3301352.739999999757856,11025128.500000000000000
FS( 96 ),4009822.920000000391155,3716260.649999999906868,3296432.700000000186265,11022517.269999999552965
FS( 97 ),3985263.880000000353903,3643843.040000000037253,3282902.589999999850988,10912010.509999999776483
FS( 98 ),3916052.039999999571592,3642280.069999999832362,3286592.619999999646097,10844925.729999998584390
FS( 99 ),4016520.839999999850988,3692295.110000000335276,3280442.570000000298023,10989259.519999999552965
FS( 100 ),4054475.720000000204891,3652699.870000000111759,3261992.419999999925494,10969169.009999999776483
FS( 101 ),4130385.479999999981374,3719907.580000000074506,3321032.899999999906868,11171326.960000000894070
FS( 102 ),4144897.640000000130385,3641759.080000000074506,3446493.919999999925494,11233151.640000000596046
FS( 103 ),4134850.759999999776483,3692295.110000000335276,3478474.180000000167638,11305621.050000000745058
FS( 104 ),4211876.839999999850988,3667808.580000000074506,3516604.489999999757856,11396290.910000000149012
FS( 105 ),4161642.439999999944121,3634986.209999999962747,3555964.810000000055879,11352594.460000000894070
FS( 106 ),4115873.319999999832362,3614667.599999999627471,3552274.779999999795109,11282816.699999999254942
FS( 107 ),4102477.479999999981374,3632902.250000000000000,3574414.959999999962747,11309795.690000001341105
FS( 108 ),4176154.599999999627471,3659993.729999999981374,3635915.459999999962747,11472064.789999999105930
FS( 109 ),4177270.920000000391155,3670413.530000000260770,3633455.439999999944121,11481140.890000000596046
FS( 110 ),4194015.720000000204891,3682917.290000000037253,3616235.299999999813735,11493169.309999998658895
FS( 111 ),4173921.959999999962747,3670413.530000000260770,3634685.450000000186265,11479021.940000001341105
FS( 112 ),4148246.599999999627471,3737621.239999999757856,3634685.450000000186265,11520554.289999999105930
FS( 113 ),4173921.959999999962747,3799098.060000000055879,3672815.759999999776483,11645836.779999999329448
FS( 114 ),4137083.400000000372529,3794930.140000000130385,3692495.919999999925494,11624510.460000000894070
FS( 115 ),3989729.160000000149012,3728764.409999999683350,3635915.459999999962747,11354410.030000001192093
FS( 116 ),4015404.520000000018626,3754292.919999999925494,3729396.219999999739230,11499094.660000000149012
FS( 117 ),3972984.360000000335276,3745436.089999999850988,3693725.930000000167638,11412147.380000000819564
FS( 118 ),3949541.640000000130385,3740226.190000000409782,3685115.859999999869615,11374884.689999999478459
FS( 119 ),4018753.479999999981374,3814727.759999999776483,3710946.070000000298023,11544428.310000000521541
FS( 120 ),4035498.279999999795109,3816290.729999999981374,3708486.049999999813735,11560276.059999998658895
FS( 121 ),3985263.880000000353903,3801703.009999999776483,3643295.520000000018626,11430263.410000000149012
FS( 122 ),3980798.599999999627471,3807433.899999999906868,3612545.270000000018626,11400778.769999999552965
FS( 123 ),3919401.000000000000000,3820979.640000000130385,3617465.310000000055879,11357846.950000001117587
FS( 124 ),3826746.439999999944121,3788678.259999999776483,3624845.369999999646097,11240271.069999998435378
FS( 125 ),3873631.880000000353903,3813164.790000000037253,3648215.560000000055879,11335013.230000000447035
FS( 126 ),3832328.039999999571592,3811601.819999999832362,3628535.399999999906868,11272466.259999999776483
FS( 127 ),3853538.120000000111759,3854843.989999999757856,3670355.739999999757856,11378738.849999999627471
FS( 128 ),3866933.959999999962747,3789720.239999999757856,3621155.339999999850988,11277810.539999999105930
FS( 129 ),3876980.839999999850988,3806391.919999999925494,3632225.430000000167638,11315599.189999999478459
