代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12959179.089999999850988
真實報酬,2959179.089999999850988

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,21657.014564446173608
風險,199352.007468369294656
起點值,0.108637052816649
找到最佳解世代,1815
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,4
HD[9](3),NKE[19](8),UNH[23](2),WBA[27](1),
FS( 34 ),2475041.429999999701977,2749114.650000000372529,2551799.020000000484288,2510831.340000000316650,10286786.440000001341105
FS( 35 ),2519198.899999999441206,2803352.270000000484288,2562216.700000000186265,2507915.210000000428408,10392683.080000000074506
FS( 36 ),2583652.349999999627471,2858220.560000000055879,2631957.280000000260770,2564154.859999999869615,10637985.050000000745058
FS( 37 ),2560065.129999999888241,2833624.430000000167638,2597810.439999999944121,2562071.910000000149012,10553571.910000000149012
FS( 38 ),2600108.549999999813735,2850021.850000000093132,2623565.260000000242144,2585817.540000000037253,10659513.199999999254942
FS( 39 ),2605319.679999999701977,2866419.270000000484288,2651924.500000000000000,2609979.760000000242144,10733643.210000000894070
FS( 40 ),2618484.639999999664724,2889754.060000000055879,2666104.120000000111759,2629142.899999999906868,10803485.719999998807907
FS( 41 ),2649202.879999999888241,2915611.529999999795109,2680862.500000000000000,2653721.710000000428408,10899398.620000001043081
FS( 42 ),2644540.289999999571592,2899844.779999999795109,2690122.660000000149012,2617478.379999999888241,10851986.109999999403954
FS( 43 ),2674709.989999999757856,2932639.620000000111759,2716745.620000000111759,2622894.050000000279397,10946989.279999999329448
FS( 44 ),2674709.989999999757856,2932008.950000000186265,2749445.560000000521541,2675384.390000000130385,11031548.890000000596046
FS( 45 ),2635489.379999999888241,2947145.029999999795109,2745104.860000000335276,2707045.230000000447035,11034784.500000000000000
FS( 46 ),2631923.869999999646097,2962911.779999999795109,2748577.420000000391155,2717876.569999999832362,11061289.640000000596046
FS( 47 ),2626987.009999999776483,2985615.900000000372529,2772306.580000000074506,2735373.350000000093132,11120282.839999999850988
FS( 48 ),2668401.779999999795109,2983093.219999999739230,2784171.160000000149012,2776615.760000000242144,11212281.919999999925494
FS( 49 ),2678275.500000000000000,2957235.750000000000000,2708932.360000000335276,2787863.690000000409782,11132307.300000000745058
FS( 50 ),2692263.269999999552965,2994445.279999999795109,2741921.680000000167638,2823690.430000000167638,11252320.659999998286366
FS( 51 ),2691714.729999999515712,2991922.600000000093132,2769123.399999999906868,2812025.910000000149012,11264786.640000000596046
FS( 52 ),2701314.179999999701977,3021564.089999999850988,2768834.020000000484288,2809526.370000000111759,11301238.660000000149012
FS( 53 ),2715301.949999999720603,3031024.140000000130385,2775200.380000000353903,2789530.049999999813735,11311056.519999999552965
FS( 54 ),2694457.429999999701977,3011473.370000000111759,2752339.360000000335276,2788280.280000000260770,11246550.440000001341105
FS( 55 ),2688697.759999999776483,3029132.130000000353903,2791695.040000000037253,2772449.859999999869615,11281974.789999999105930
FS( 56 ),2632472.409999999683350,3042376.200000000186265,2841468.399999999906868,2835354.950000000186265,11351671.960000000894070
FS( 57 ),2652219.849999999627471,3057512.279999999795109,2802980.860000000335276,2824107.020000000484288,11336820.009999997913837
FS( 58 ),2676081.339999999385327,3068233.669999999925494,2802691.479999999981374,2805360.470000000204891,11352366.960000000894070
FS( 59 ),2695554.509999999776483,3072017.689999999944121,2798640.160000000149012,2815775.220000000204891,11381987.580000000074506
FS( 60 ),2698845.750000000000000,3089045.779999999795109,2804138.380000000353903,2821607.480000000447035,11413637.390000000596046
FS( 61 ),2660722.219999999739230,3068233.669999999925494,2833076.380000000353903,2824940.200000000186265,11386972.469999998807907
FS( 62 ),2679646.849999999627471,3084000.419999999925494,2839153.360000000335276,2852435.140000000130385,11455235.769999999552965
FS( 63 ),2726272.750000000000000,3131300.669999999925494,2854201.120000000111759,2858267.399999999906868,11570041.939999999478459
FS( 64 ),2712010.709999999497086,3080847.070000000298023,2866644.460000000428408,2823273.839999999850988,11482776.080000000074506
FS( 65 ),2692263.269999999552965,3091568.460000000428408,2888926.720000000204891,2780781.660000000149012,11453540.110000001266599
FS( 66 ),2704056.879999999888241,3106073.870000000111759,2916996.580000000074506,2807026.830000000074506,11534154.160000000149012
FS( 67 ),2713930.599999999627471,3123732.630000000353903,2884296.640000000130385,2828689.510000000242144,11550649.380000000819564
FS( 68 ),2732855.229999999515712,3132562.010000000242144,2903395.720000000204891,2857850.810000000055879,11626663.770000001415610
FS( 69 ),2754522.560000000055879,3081477.740000000223517,2891531.140000000130385,2821607.480000000447035,11549138.920000001788139
FS( 70 ),2732855.229999999515712,3060034.960000000428408,2923362.939999999944121,2857434.220000000204891,11573687.349999999627471
FS( 71 ),2713656.329999999608845,3079585.729999999981374,2867512.600000000093132,2839104.260000000242144,11499858.919999999925494
FS( 72 ),2750134.239999999757856,3056881.609999999869615,2886032.920000000391155,3041567.000000000465661,11734615.769999999552965
FS( 73 ),2736695.009999999776483,3032916.150000000372529,2857963.060000000521541,3103638.910000000149012,11731213.130000000819564
FS( 74 ),2744100.299999999813735,3009581.359999999869615,2843783.439999999944121,3059480.370000000111759,11656945.469999998807907
FS( 75 ),2662093.569999999832362,2939576.990000000223517,2773753.479999999981374,3015738.420000000391155,11391162.460000000894070
FS( 76 ),2713656.329999999608845,2979939.870000000111759,2868959.500000000000000,2999074.819999999832362,11561630.519999999552965
FS( 77 ),2761105.039999999571592,3061296.300000000279397,2958667.299999999813735,3098639.830000000074506,11879708.470000000670552
FS( 78 ),2795663.060000000055879,2990661.260000000242144,2965901.799999999813735,3050731.980000000447035,11802958.100000001490116
FS( 79 ),2838723.449999999720603,3025348.109999999869615,2981817.700000000186265,3094057.339999999850988,11939946.599999999627471
FS( 80 ),2845854.469999999739230,3026609.450000000186265,2976319.479999999981374,3187373.500000000465661,12036156.900000000372529
FS( 81 ),2840369.069999999832362,3036700.169999999925494,2971400.020000000484288,3194038.940000000409782,12042508.200000002980232
FS( 82 ),2845580.199999999720603,3053728.260000000242144,2967638.080000000074506,3185290.549999999813735,12052237.089999999850988
FS( 83 ),2866973.259999999776483,3068233.669999999925494,2961271.720000000204891,3199038.020000000484288,12095516.670000001788139
FS( 84 ),2859842.239999999757856,3054989.600000000093132,2976319.479999999981374,3168210.359999999869615,12059361.679999999701977
FS( 85 ),2879041.139999999664724,3032285.479999999981374,2925388.600000000093132,3174459.210000000428408,12011174.429999999701977
FS( 86 ),2836803.560000000055879,2996967.960000000428408,2916417.820000000298023,3166127.410000000149012,11916316.750000000000000
FS( 87 ),2777286.969999999739230,2948406.370000000111759,2868380.740000000223517,3103638.910000000149012,11697712.990000000223517
FS( 88 ),2768784.599999999627471,2931378.279999999795109,2862593.140000000130385,3111554.120000000111759,11674310.140000000596046
FS( 89 ),2863682.019999999552965,2991922.600000000093132,2891820.520000000484288,3191122.810000000055879,11938547.950000001117587
FS( 90 ),2927038.389999999664724,3060665.630000000353903,3029854.780000000260770,3230698.859999999869615,12248257.660000000149012
FS( 91 ),2876846.979999999515712,3027240.120000000111759,3001495.540000000037253,3152379.940000000409782,12057962.580000001937151
FS( 92 ),2863956.289999999571592,3022825.430000000167638,2967638.080000000074506,3153629.710000000428408,12008049.510000001639128
FS( 93 ),2845031.659999999683350,2996337.290000000037253,2982685.839999999850988,3135299.750000000465661,11959354.539999999105930
FS( 94 ),2815136.229999999515712,2955343.740000000223517,2990209.720000000204891,3124051.819999999832362,11884741.509999999776483
FS( 95 ),2770430.219999999739230,2926963.589999999850988,3022909.660000000149012,3115303.430000000167638,11835606.899999998509884
FS( 96 ),2855728.189999999944121,2932639.620000000111759,3060818.439999999944121,3167377.180000000167638,12016563.429999999701977
FS( 97 ),2831866.699999999720603,2952190.390000000130385,3056477.740000000223517,3168210.359999999869615,12008745.189999999478459
FS( 98 ),2839546.259999999776483,2949037.040000000037253,3163548.339999999850988,3149047.220000000204891,12101178.860000001266599
FS( 99 ),2909210.839999999385327,3022825.430000000167638,3294637.479999999981374,3166960.589999999850988,12393634.339999999850988
FS( 100 ),2890011.939999999944121,3032285.479999999981374,3241102.180000000167638,3149047.220000000204891,12312446.820000000298023
FS( 101 ),2917164.669999999925494,3038592.180000000167638,3229816.360000000335276,3159461.970000000204891,12345035.180000001564622
FS( 102 ),2884252.269999999552965,2979939.870000000111759,3183515.560000000521541,3121552.280000000260770,12169259.980000000447035
FS( 103 ),2872732.929999999701977,2942730.339999999850988,3138661.660000000149012,3073227.839999999850988,12027352.769999999552965
FS( 104 ),2951722.689999999944121,2991922.600000000093132,3165574.000000000000000,3106555.040000000037253,12215774.329999998211861
FS( 105 ),2863956.289999999571592,2909304.830000000074506,3074708.680000000167638,3072394.660000000149012,11920364.459999999031425
FS( 106 ),2864230.560000000055879,2898583.439999999944121,3104804.200000000186265,3119885.920000000391155,11987504.119999999180436
FS( 107 ),2941300.429999999701977,2943991.680000000167638,3119851.960000000428408,3115720.020000000484288,12120864.089999999850988
FS( 108 ),2973390.019999999552965,2918134.210000000428408,3123035.140000000130385,3110720.940000000409782,12125280.310000002384186
FS( 109 ),2989297.679999999701977,2943361.010000000242144,3149079.339999999850988,3115720.020000000484288,12197458.050000000745058
FS( 110 ),2990669.029999999795109,2894799.419999999925494,3113774.979999999981374,3172376.260000000242144,12171619.689999999478459
FS( 111 ),2971470.129999999888241,2875248.650000000372529,3081653.799999999813735,3182791.010000000242144,12111163.589999999850988
FS( 112 ),3035375.039999999571592,2925071.580000000074506,3153420.040000000037253,3194872.120000000111759,12308738.780000001192093
FS( 113 ),3025501.319999999832362,2879663.339999999850988,3178885.479999999981374,3313183.680000000167638,12397233.820000000298023
FS( 114 ),3076241.269999999552965,2901106.120000000111759,3178596.100000000093132,3331097.049999999813735,12487040.539999999105930
FS( 115 ),3068835.979999999515712,2902367.460000000428408,3167020.899999999906868,3279856.480000000447035,12418080.820000000298023
FS( 116 ),3071852.949999999720603,2896691.430000000167638,3176281.060000000521541,3249445.410000000149012,12394270.850000001490116
FS( 117 ),3071578.679999999701977,2952190.390000000130385,3176570.439999999944121,3240697.020000000484288,12441036.530000001192093
FS( 118 ),3042780.329999999608845,2954713.070000000298023,3184094.320000000298023,3211952.310000000055879,12393540.030000001192093
FS( 119 ),3078435.429999999701977,2993814.609999999869615,3259043.740000000223517,3213202.080000000074506,12544495.859999999403954
FS( 120 ),3079532.509999999776483,2996337.290000000037253,3368429.380000000353903,3274024.220000000204891,12718323.400000000372529
FS( 121 ),3202131.199999999720603,3008950.689999999944121,3340359.520000000484288,3349010.420000000391155,12900451.830000000074506
FS( 122 ),3190063.319999999832362,3053097.589999999850988,3300425.080000000074506,3333180.000000000465661,12876765.990000000223517
FS( 123 ),3164556.209999999497086,3058773.620000000111759,3289139.260000000242144,3401500.760000000242144,12913969.849999999627471
FS( 124 ),3147277.199999999720603,3062557.640000000130385,3288271.120000000111759,3461073.129999999888241,12959179.089999999850988
