代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11528559.049999998882413
真實報酬,1528559.049999998882413

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14224.131026910217770
風險,155812.085152023704723
起點值,0.091290293772989
找到最佳解世代,2637
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](2),PG[21](1),WMT[28](24),
FS( 26 ),3629327.599999999627471,3566519.779999999795109,3465997.199999999720603,10661845.579999998211861
FS( 27 ),3671408.759999999776483,3599417.500000000000000,3493156.799999999813735,10763984.059999998658895
FS( 28 ),3664632.979999999981374,3603287.820000000298023,3483233.099999999627471,10751154.900000000372529
FS( 29 ),3681750.739999999757856,3596030.969999999739230,3495768.300000000279397,10773551.009999999776483
FS( 30 ),3686743.419999999925494,3585387.589999999850988,3485322.300000000279397,10757454.310000000521541
FS( 31 ),3666772.699999999720603,3590225.489999999757856,3135381.299999999813735,10392380.489999998360872
FS( 32 ),3696728.779999999795109,3593128.229999999515712,3098820.299999999813735,10388678.309999998658895
FS( 33 ),3738096.699999999720603,3623607.000000000000000,3075839.100000000093132,10437543.799999998882413
FS( 34 ),3726328.239999999757856,3636185.539999999571592,3073749.899999999906868,10436264.679999999701977
FS( 35 ),3703147.939999999944121,3600868.870000000111759,3068526.899999999906868,10372544.710000000894070
FS( 36 ),3656787.340000000316650,3560230.510000000242144,3062781.600000000093132,10279800.450000001117587
FS( 37 ),3953851.799999999813735,3621188.049999999813735,3076361.399999999906868,10651402.250000000000000
FS( 38 ),4015190.439999999944121,3726654.270000000018626,3045023.399999999906868,10786869.109999999403954
FS( 39 ),4000569.020000000018626,3748908.609999999869615,3030399.000000000000000,10779877.629999998956919
FS( 40 ),3981311.540000000037253,3739232.810000000055879,3002194.799999999813735,10722740.149999998509884
FS( 41 ),4027672.139999999664724,3701497.189999999944121,3010551.600000000093132,10739721.929999999701977
FS( 42 ),4016260.299999999813735,3726170.479999999515712,3027265.199999999720603,10769696.979999998584390
FS( 43 ),4003065.359999999869615,3695207.919999999459833,2989659.600000000093132,10687933.879999998956919
FS( 44 ),3998072.679999999701977,3705851.299999999813735,3008984.699999999720603,10712909.679999999701977
FS( 45 ),3997002.819999999832362,3727621.849999999627471,3035099.699999999720603,10759725.369999999180436
FS( 46 ),4008414.660000000149012,3728105.640000000130385,3048679.500000000000000,10785200.800000000745058
FS( 47 ),4024462.559999999590218,3695691.709999999962747,3061214.699999999720603,10781369.969999998807907
FS( 48 ),4040867.080000000074506,3656020.929999999701977,3070093.799999999813735,10766982.809999998658895
FS( 49 ),4027315.520000000018626,3647796.500000000000000,3054947.100000000093132,10730060.119999999180436
FS( 50 ),4037657.500000000000000,3665696.729999999515712,3064870.799999999813735,10768226.029999999329448
FS( 51 ),4060124.559999999590218,3674888.739999999757856,3007417.799999999813735,10742432.099999997764826
FS( 52 ),3998072.679999999701977,3611996.039999999571592,2974512.899999999906868,10584582.619999999180436
FS( 53 ),3921756.000000000000000,3578130.739999999757856,2946831.000000000000000,10446718.740000000223517
FS( 54 ),3960627.580000000074506,3642958.599999999627471,3022564.500000000000000,10626151.679999999701977
FS( 55 ),3956348.139999999664724,3631831.429999999701977,3129636.000000000000000,10717816.570000000298023
FS( 56 ),4013050.719999999739230,3671986.000000000000000,3182388.299999999813735,10867426.019999999552965
FS( 57 ),4040510.459999999962747,3687467.279999999795109,3170375.399999999906868,10898354.140000000596046
FS( 58 ),4062264.279999999795109,3668115.679999999701977,3137470.500000000000000,10867851.459999999031425
FS( 59 ),4082235.000000000000000,3675372.529999999795109,3147394.199999999720603,10905002.729999998584390
FS( 60 ),4075459.219999999739230,3698594.450000000186265,3129636.000000000000000,10903690.669999999925494
FS( 61 ),4079738.660000000149012,3671986.000000000000000,3146349.600000000093132,10898075.259999999776483
FS( 62 ),4073676.120000000111759,3662310.200000000186265,3128069.100000000093132,10864056.419999999925494
FS( 63 ),4071179.779999999795109,3620704.260000000242144,3073227.600000000093132,10765112.640000000596046
FS( 64 ),4081521.759999999776483,3673921.159999999683350,3081062.100000000093132,10836506.019999999552965
FS( 65 ),4055488.500000000000000,3666664.310000000055879,3047634.899999999906868,10769788.710000000894070
FS( 66 ),4043720.040000000037253,3664245.359999999869615,3083673.600000000093132,10791640.000000000000000
FS( 67 ),4143930.259999999776483,3765357.469999999739230,3116056.199999999720603,11025344.929999999701977
FS( 68 ),4151775.899999999906868,3791482.130000000353903,3159929.399999999906868,11103188.429999999701977
FS( 69 ),4155698.719999999739230,3761487.149999999906868,3113444.699999999720603,11030631.569999998435378
FS( 70 ),4157481.819999999832362,3759068.200000000186265,3088374.299999999813735,11004925.320000000298023
FS( 71 ),4179592.259999999776483,3763422.310000000055879,3110833.200000000186265,11053848.769999999552965
FS( 72 ),4139650.819999999832362,3762938.520000000018626,3100387.199999999720603,11002977.539999999105930
FS( 73 ),4146069.979999999981374,3787611.810000000055879,3154184.100000000093132,11087866.890000000596046
FS( 74 ),4169963.520000000018626,3854858.620000000111759,3115011.600000000093132,11139834.740000000223517
FS( 75 ),4202415.939999999478459,3918235.109999999869615,3149483.399999999906868,11270135.449999999254942
FS( 76 ),4190290.859999999869615,3884369.810000000055879,3080539.799999999813735,11155201.469999998807907
FS( 77 ),4160334.779999999795109,3779871.169999999459833,3073749.899999999906868,11013956.849999999627471
FS( 78 ),4197066.640000000596046,3819541.950000000186265,3110310.899999999906868,11126920.490000000223517
FS( 79 ),4198136.500000000000000,3850988.299999999813735,3162018.600000000093132,11211144.400000000372529
FS( 80 ),4236651.459999999031425,3866469.580000000074506,3190745.100000000093132,11293867.139999998733401
FS( 81 ),4228449.199999999254942,3860180.310000000055879,3177165.299999999813735,11265795.809999998658895
FS( 82 ),4234868.359999999403954,3866469.580000000074506,3172986.899999999906868,11274325.839999999850988
FS( 83 ),4281942.199999999254942,3887756.339999999850988,3217904.699999999720603,11387604.239999998360872
FS( 84 ),4259118.519999999552965,3873726.429999999701977,3221560.799999999813735,11354406.750000000000000
FS( 85 ),4213114.539999999105930,3841796.289999999571592,3201713.399999999906868,11256625.229999998584390
FS( 86 ),4193143.819999999832362,3791482.130000000353903,3210070.199999999720603,11194697.150000000372529
FS( 87 ),4250916.259999999776483,3803576.880000000353903,3286326.000000000000000,11340820.140000000596046
FS( 88 ),4222386.660000000149012,3766808.839999999850988,3319230.899999999906868,11308427.400000000372529
FS( 89 ),4124672.779999999795109,3733911.120000000111759,3396531.299999999813735,11255116.199999999254942
FS( 90 ),4118253.620000000111759,3675372.529999999795109,3318708.600000000093132,11112335.750000000000000
FS( 91 ),4161404.639999999664724,3709237.830000000074506,3354225.000000000000000,11224868.469999998807907
FS( 92 ),4188151.139999999664724,3701497.189999999944121,3322887.000000000000000,11212536.330000000074506
FS( 93 ),4105415.299999999813735,3669567.049999999813735,3234096.000000000000000,11009079.349999999627471
FS( 94 ),4158908.299999999813735,3684080.750000000000000,3293638.200000000186265,11136628.250000000000000
FS( 95 ),4107555.020000000018626,3627477.320000000298023,3234618.299999999813735,10969651.640000000596046
FS( 96 ),4190290.859999999869615,3712140.570000000298023,3267523.200000000186265,11169955.629999998956919
FS( 97 ),4128952.219999999739230,3668599.469999999739230,3177687.600000000093132,10975240.289999999105930
FS( 98 ),4202415.939999999478459,3711656.779999999795109,3232006.799999999813735,11146080.519999999552965
FS( 99 ),4222386.660000000149012,3742619.339999999850988,3274313.099999999627471,11239320.099999999627471
FS( 100 ),4250916.259999999776483,3717946.049999999813735,3314007.899999999906868,11282871.209999999031425
FS( 101 ),4294780.519999999552965,3812768.890000000130385,3342734.399999999906868,11450284.810000000521541
FS( 102 ),4310471.800000000745058,3812285.099999999627471,3340122.899999999906868,11462880.800000000745058
FS( 103 ),4364321.419999999925494,3861631.679999999701977,3354225.000000000000000,11580179.099999999627471
FS( 104 ),4414248.220000000670552,3952100.409999999683350,3465997.199999999720603,11832346.830000000074506
FS( 105 ),4443847.679999999701977,3924524.380000000353903,3525539.399999999906868,11893912.460000000894070
FS( 106 ),4420310.759999999776483,3880983.279999999795109,3492112.199999999720603,11793407.239999998360872
FS( 107 ),4331869.000000000000000,3923556.799999999813735,3461296.499999999534339,11716723.299999998882413
FS( 108 ),4302982.779999999329448,3904205.200000000186265,3469131.000000000000000,11676319.980000000447035
FS( 109 ),4115400.660000000149012,3928394.700000000186265,3499424.399999999906868,11543220.759999999776483
FS( 110 ),4138580.959999999962747,3997092.880000000353903,3494201.400000000372529,11629876.240000000223517
FS( 111 ),4172816.479999999981374,3998060.459999999962747,3437270.700000000186265,11608148.640000000596046
FS( 112 ),4191717.340000000316650,3948713.880000000353903,3436226.100000000093132,11576658.320000000298023
FS( 113 ),4162831.120000000111759,3865502.000000000000000,3411677.999999999534339,11440012.119999999180436
FS( 114 ),4205625.519999999552965,3918235.109999999869615,3456595.800000000279397,11580457.429999999701977
FS( 115 ),4250203.019999999552965,3941457.029999999795109,3441971.400000000372529,11633632.449999999254942
FS( 116 ),4230945.539999999105930,3988868.450000000186265,3452939.699999999720603,11672754.689999999478459
FS( 117 ),4178522.399999999906868,3966130.320000000298023,3349002.000000000000000,11493655.720000000670552
FS( 118 ),4155698.719999999739230,3956938.310000000055879,3377206.199999999720603,11489844.229999998584390
FS( 119 ),4196353.400000000372529,3973387.169999999459833,3427869.299999999813735,11597610.870000001043081
FS( 120 ),4168893.660000000149012,3957905.890000000130385,3472264.800000000279397,11599065.350000001490116
FS( 121 ),4174599.580000000074506,3945811.140000000130385,3505692.000000000000000,11626103.720000000670552
FS( 122 ),4221316.800000000745058,3983546.760000000242144,3553743.600000000093132,11758608.160000000149012
FS( 123 ),4174599.580000000074506,3923556.799999999813735,3473831.700000000186265,11571989.080000000074506
FS( 124 ),4179235.639999999664724,3884369.810000000055879,3464952.600000000093132,11528559.049999998882413
