代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11325405.580000000074506
真實報酬,1325405.580000000074506

夏普值報酬,0.123840558000000
夏普值風險,0.058035578791576
夏普值,2.133873058193329

二次趨勢線,76.039228393920411 x^2 + -13860.389768767903661 x + 10000000.000000000000000
二次加權預期報酬,11840.869428377194708
風險,194573.619691056577722
二次加權趨勢值,0.060855471811534
一次趨勢線,596.512287593375049 x + 10000000.000000000000000
一次預期報酬,596.512287593375049
一次風險,580436.652857061824761
一次趨勢值,0.001027695760868
找到最佳解世代,1703
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](1),UNH[23](2),WMT[28](6),XOM[29](3),
FS( 75 ),2466487.840000000316650,2434958.979999999981374,2063511.000000000000000,2472988.500000000000000,9437946.320000000298023
FS( 76 ),2494160.759999999776483,2431109.200000000186265,2048207.800000000046566,2503338.500000000000000,9476816.259999999776483
FS( 77 ),2486544.359999999869615,2446305.700000000186265,2046816.600000000093132,2458117.000000000000000,9437783.660000000149012
FS( 78 ),2477658.560000000055879,2440024.479999999981374,2043338.600000000093132,2453261.000000000000000,9414282.640000000596046
FS( 79 ),2478674.080000000074506,2393219.259999999776483,2039512.800000000046566,2434444.000000000000000,9345850.140000000596046
FS( 80 ),2526911.280000000260770,2306092.660000000149012,2048555.600000000093132,2515782.000000000000000,9397341.540000000968575
FS( 81 ),2546713.920000000391155,2348845.479999999981374,2027687.600000000093132,2518513.500000000000000,9441760.500000000000000
FS( 82 ),2537320.359999999869615,2361205.299999999813735,2017949.200000000186265,2465097.500000000000000,9381572.359999999403954
FS( 83 ),2543667.359999999869615,2418749.379999999888241,1999168.000000000000000,2461152.000000000000000,9422736.740000000223517
FS( 84 ),2551029.880000000353903,2427056.799999999813735,2004732.800000000046566,2497268.500000000000000,9480087.980000000447035
FS( 85 ),2573625.200000000186265,2425638.459999999962747,2015862.400000000139698,2495751.000000000000000,9510877.060000000521541
FS( 86 ),2564993.280000000260770,2386532.799999999813735,1990820.800000000046566,2511229.500000000000000,9453576.379999998956919
FS( 87 ),2593935.600000000093132,2404971.219999999739230,2003689.400000000139698,2588318.500000000000000,9590914.720000000670552
FS( 88 ),2588604.120000000111759,2384101.359999999869615,2021079.400000000139698,2635968.000000000000000,9629752.880000000819564
FS( 89 ),2588096.359999999869615,2322910.120000000111759,2030122.199999999953434,2609563.500000000000000,9550692.179999999701977
FS( 90 ),2597997.680000000167638,2355126.700000000186265,2038469.400000000139698,2574054.000000000000000,9565647.780000001192093
FS( 91 ),2587588.600000000093132,2326354.660000000149012,2044382.000000000232831,2563735.000000000000000,9522060.259999999776483
FS( 92 ),2560169.560000000055879,2315210.560000000055879,2034295.800000000046566,2487253.000000000000000,9396928.919999999925494
FS( 93 ),2575656.240000000223517,2348237.620000000111759,2040904.000000000000000,2499393.000000000000000,9464190.859999999403954
FS( 94 ),2586065.320000000298023,2320883.919999999925494,2002646.000000000000000,2477237.500000000000000,9386832.740000000223517
FS( 95 ),2545698.399999999906868,2286033.279999999795109,1980734.600000000093132,2410164.000000000000000,9222630.279999999329448
FS( 96 ),2535797.080000000074506,2257463.859999999869615,1962301.200000000186265,2370405.500000000000000,9125967.640000000596046
FS( 97 ),2569817.000000000000000,2306295.279999999795109,2012732.199999999953434,2455385.500000000000000,9344229.980000000447035
FS( 98 ),2576925.640000000130385,2317844.620000000111759,2084031.200000000186265,2426856.500000000000000,9405657.960000000894070
FS( 99 ),2606629.600000000093132,2375793.939999999944121,2119159.000000000000000,2450529.500000000000000,9552112.039999999105930
FS( 100 ),2602059.759999999776483,2241659.500000000000000,2111159.600000000093132,2437175.500000000000000,9392054.359999999403954
FS( 101 ),2601805.880000000353903,2289072.580000000074506,2089248.200000000186265,2421697.000000000000000,9401823.660000000149012
FS( 102 ),2609168.399999999906868,2272660.359999999869615,2095856.400000000139698,2436568.500000000000000,9414253.660000000149012
FS( 103 ),2590635.160000000149012,2293530.219999999739230,2084031.200000000186265,2485128.500000000000000,9453325.080000000074506
FS( 104 ),2588604.120000000111759,2318249.859999999869615,2095160.800000000046566,2466008.000000000000000,9468022.780000001192093
FS( 105 ),2599013.200000000186265,2316831.520000000018626,2082987.800000000046566,2465401.000000000000000,9464233.519999999552965
FS( 106 ),2570324.759999999776483,2283804.459999999962747,2046468.800000000279397,2478451.500000000000000,9379049.519999999552965
FS( 107 ),2598759.320000000298023,2355734.560000000055879,2051685.800000000046566,2485432.000000000000000,9491611.679999999701977
FS( 108 ),2590889.040000000037253,2383696.120000000111759,2029426.600000000093132,2414413.000000000000000,9418424.759999999776483
FS( 109 ),2558900.160000000149012,2330204.439999999944121,2053424.800000000046566,2379814.000000000000000,9322343.399999998509884
FS( 110 ),2613738.240000000223517,2385722.319999999832362,2074988.399999999906868,2393471.500000000000000,9467920.460000000894070
FS( 111 ),2623131.799999999813735,2348642.859999999869615,2104203.600000000093132,2330950.500000000000000,9406928.759999999776483
FS( 112 ),2600282.600000000093132,2348035.000000000000000,2073249.400000000139698,2265091.000000000000000,9286658.000000000000000
FS( 113 ),2593427.840000000316650,2331217.540000000037253,2056555.000000000232831,2295441.000000000000000,9276641.380000000819564
FS( 114 ),2605867.959999999962747,2354721.459999999962747,2071510.400000000139698,2297262.000000000000000,9329361.820000000298023
FS( 115 ),2581495.480000000447035,2350061.200000000186265,2064554.400000000139698,2256289.500000000000000,9252400.580000001937151
FS( 116 ),2593427.840000000316650,2347427.139999999664724,2100377.800000000279397,2307581.000000000000000,9348813.780000001192093
FS( 117 ),2643696.080000000074506,2383088.259999999776483,2074292.800000000046566,2410771.000000000000000,9511848.140000000596046
FS( 118 ),2672130.640000000130385,2407807.899999999906868,2097247.600000000093132,2402273.000000000000000,9579459.140000000596046
FS( 119 ),2631255.959999999962747,2415710.080000000074506,2051338.000000000000000,2366156.500000000000000,9464460.539999999105930
FS( 120 ),2588350.240000000223517,2346819.279999999795109,2046816.600000000093132,2345518.500000000000000,9327504.619999999180436
FS( 121 ),2578956.680000000167638,2379035.859999999869615,2071162.600000000093132,2344911.500000000000000,9374066.640000000596046
FS( 122 ),2607645.120000000111759,2379643.719999999739230,2105594.800000000279397,2356748.000000000000000,9449631.640000000596046
FS( 123 ),2627447.759999999776483,2404971.219999999739230,2124723.800000000279397,2433837.000000000000000,9590979.779999999329448
FS( 124 ),2633287.000000000000000,2397879.520000000018626,2115681.000000000000000,2407736.000000000000000,9554583.519999999552965
FS( 125 ),2620593.000000000000000,2397676.899999999906868,2112898.600000000093132,2389829.500000000000000,9520998.000000000000000
FS( 126 ),2641157.280000000260770,2427867.279999999795109,2142809.399999999906868,2402576.500000000000000,9614410.460000000894070
FS( 127 ),2634810.280000000260770,2409631.479999999981374,2145244.000000000000000,2370709.000000000000000,9560394.759999999776483
FS( 128 ),2607899.000000000000000,2383696.120000000111759,2132027.600000000093132,2365853.000000000000000,9489475.720000000670552
FS( 129 ),2551029.880000000353903,2359786.959999999962747,2137592.399999999906868,2350981.500000000000000,9399390.740000000223517
FS( 130 ),2561692.840000000316650,2364244.600000000093132,2188371.200000000186265,2371012.500000000000000,9485321.140000000596046
FS( 131 ),2548744.959999999962747,2340132.819999999832362,2210282.600000000093132,2351285.000000000000000,9450445.379999998956919
FS( 132 ),2519041.000000000000000,2271242.020000000018626,2261757.000000000000000,2313651.000000000000000,9365691.019999999552965
FS( 133 ),2492129.720000000204891,2232136.359999999869615,2209934.800000000279397,2266912.000000000000000,9201112.880000000819564
FS( 134 ),2477150.799999999813735,2220384.399999999906868,2233585.200000000186265,2236562.000000000000000,9167682.399999998509884
FS( 135 ),2494160.759999999776483,2274686.560000000055879,2212717.200000000186265,2282390.500000000000000,9263955.019999999552965
FS( 136 ),2463187.399999999906868,2213292.700000000186265,2153591.200000000186265,2296048.000000000000000,9126119.300000000745058
FS( 137 ),2510662.959999999962747,2244293.560000000055879,2193240.400000000372529,2401362.500000000000000,9349559.419999999925494
FS( 138 ),2462679.640000000130385,2214103.179999999701977,2153939.000000000000000,2354623.500000000000000,9185345.320000000298023
FS( 139 ),2475373.640000000130385,2281170.399999999906868,2175850.400000000372529,2318810.500000000000000,9251204.940000001341105
FS( 140 ),2430944.640000000130385,2325949.419999999925494,2116028.800000000279397,2221083.500000000000000,9094006.360000001266599
FS( 141 ),2435768.359999999869615,2299811.439999999944121,2152200.000000000000000,2249005.500000000000000,9136785.300000000745058
FS( 142 ),2456332.640000000130385,2316628.899999999906868,2180371.799999999813735,2323970.000000000000000,9277303.339999999850988
FS( 143 ),2447446.840000000316650,2297380.000000000000000,2206804.600000000093132,2245363.500000000000000,9196994.939999999478459
FS( 144 ),2568801.480000000447035,2309131.959999999962747,2225933.600000000093132,2327915.500000000000000,9431782.540000000968575
FS( 145 ),2593681.720000000204891,2276104.899999999906868,2224194.600000000093132,2285122.000000000000000,9379103.220000000670552
FS( 146 ),2596474.399999999906868,2256856.000000000000000,2233585.200000000186265,2336717.000000000000000,9423632.600000001490116
FS( 147 ),2651566.359999999869615,2333446.359999999869615,2308014.399999999906868,2362818.000000000000000,9655845.119999999180436
FS( 148 ),2649789.200000000186265,2348237.620000000111759,2347663.600000000093132,2315472.000000000000000,9661162.419999999925494
FS( 149 ),2625416.720000000204891,2307511.000000000000000,2325404.399999999906868,2263877.000000000000000,9522209.120000001043081
FS( 150 ),2643949.959999999962747,2284614.939999999944121,2304884.200000000186265,2381938.500000000000000,9615387.600000001490116
FS( 151 ),2637856.840000000316650,2313994.839999999850988,2310101.200000000186265,2422911.000000000000000,9684863.879999998956919
FS( 152 ),2552553.160000000149012,2263745.080000000074506,2330273.600000000093132,2430498.500000000000000,9577070.339999999850988
FS( 153 ),2589619.640000000130385,2229299.679999999701977,2326795.600000000093132,2463276.500000000000000,9608991.419999999925494
FS( 154 ),2588858.000000000000000,2252398.359999999869615,2288885.400000000372529,2430498.500000000000000,9560640.259999999776483
FS( 155 ),2582764.880000000353903,2284412.319999999832362,2288189.800000000279397,2408343.000000000000000,9563710.000000000000000
FS( 156 ),2582003.240000000223517,2241456.879999999888241,2271843.199999999720603,2415930.500000000000000,9511233.820000000298023
FS( 157 ),2585049.799999999813735,2265771.279999999795109,2301754.000000000465661,2459331.000000000000000,9611906.080000000074506
FS( 158 ),2597743.799999999813735,2333243.740000000223517,2292015.600000000093132,2465097.500000000000000,9688100.640000000596046
FS( 159 ),2602313.640000000130385,2397069.040000000037253,2299319.399999999906868,2488770.500000000000000,9787472.580000000074506
FS( 160 ),2646488.759999999776483,2379846.339999999850988,2230107.200000000186265,2502428.000000000000000,9758870.300000000745058
FS( 161 ),2644457.720000000204891,2384506.600000000093132,2248888.399999999906868,2503945.500000000000000,9781798.220000000670552
FS( 162 ),2659436.640000000130385,2457247.179999999701977,2282625.000000000000000,2500607.000000000000000,9899915.820000000298023
FS( 163 ),2642426.680000000167638,2454815.740000000223517,2312188.000000000000000,2465401.000000000000000,9874831.419999999925494
FS( 164 ),2664768.120000000111759,2435566.839999999850988,2334447.200000000186265,2474202.500000000000000,9908984.660000000149012
FS( 165 ),2700819.080000000074506,2455828.839999999850988,2366444.800000000279397,2489074.000000000000000,10012166.720000000670552
FS( 166 ),2685586.280000000260770,2458462.899999999906868,2313231.400000000372529,2481183.000000000000000,9938463.580000000074506
FS( 167 ),2671115.120000000111759,2413278.639999999664724,2307318.800000000279397,2432623.000000000000000,9824335.560000000521541
FS( 168 ),2722145.000000000000000,2465351.979999999981374,2311492.399999999906868,2466918.500000000000000,9965907.880000000819564
FS( 169 ),2717575.160000000149012,2457247.179999999701977,2302797.399999999906868,2510015.500000000000000,9987635.240000000223517
FS( 170 ),2707673.840000000316650,2468391.279999999795109,2300362.800000000279397,2500910.500000000000000,9977338.419999999925494
FS( 171 ),2703865.640000000130385,2467986.040000000037253,2322622.000000000000000,2497572.000000000000000,9992045.679999999701977
FS( 172 ),2709958.759999999776483,2467175.560000000055879,2361227.800000000279397,2563431.500000000000000,10101793.620000001043081
FS( 173 ),2696757.000000000000000,2465149.359999999869615,2366444.800000000279397,2507891.000000000000000,10036242.160000000149012
FS( 174 ),2712497.560000000055879,2453802.639999999664724,2348707.000000000000000,2500910.500000000000000,10015917.699999999254942
FS( 175 ),2720113.959999999962747,2473862.020000000018626,2344533.399999999906868,2494233.500000000000000,10032742.880000000819564
FS( 176 ),2734585.120000000111759,2534850.639999999664724,2336186.200000000186265,2494537.000000000000000,10100158.960000000894070
FS( 177 ),2733315.720000000204891,2537282.080000000074506,2342794.399999999906868,2501214.000000000000000,10114606.200000001117587
FS( 178 ),2735854.520000000484288,2529785.139999999664724,2368183.800000000279397,2513657.500000000000000,10147480.960000000894070
FS( 179 ),2726968.720000000204891,2530798.240000000223517,2364705.799999999813735,2515175.000000000000000,10137647.760000001639128
FS( 180 ),2709958.759999999776483,2523301.299999999813735,2345924.600000000093132,2552505.500000000000000,10131690.160000000149012
FS( 181 ),2729253.640000000130385,2567675.080000000074506,2328534.600000000093132,2555540.500000000000000,10181003.820000000298023
FS( 182 ),2723668.280000000260770,2568080.319999999832362,2364010.200000000186265,2537937.500000000000000,10193696.300000000745058
FS( 183 ),2726207.080000000074506,2594015.680000000167638,2360532.200000000186265,2553112.500000000000000,10233867.460000000894070
FS( 184 ),2754641.640000000130385,2629879.419999999925494,2346272.399999999906868,2541883.000000000000000,10272676.460000000894070
FS( 185 ),2749817.920000000391155,2605565.020000000018626,2365053.600000000093132,2548863.500000000000000,10269300.040000000968575
FS( 186 ),2747786.880000000353903,2612251.479999999515712,2369227.200000000186265,2556147.500000000000000,10285413.059999998658895
FS( 187 ),2770889.959999999962747,2630689.900000000372529,2366097.000000000000000,2565556.000000000000000,10333232.859999999403954
FS( 188 ),2766827.880000000353903,2627650.600000000093132,2392877.600000000093132,2565252.500000000000000,10352608.580000000074506
FS( 189 ),2747025.240000000223517,2611846.240000000223517,2382095.799999999813735,2537027.000000000000000,10277994.280000001192093
FS( 190 ),2772159.359999999869615,2632513.479999999515712,2401920.400000000372529,2517906.500000000000000,10324499.740000000223517
FS( 191 ),2756926.560000000055879,2623800.820000000298023,2403311.600000000093132,2523976.500000000000000,10308015.480000000447035
FS( 192 ),2766066.240000000223517,2574158.919999999925494,2387312.800000000279397,2495144.000000000000000,10222681.960000000894070
FS( 193 ),2777998.600000000093132,2594218.299999999813735,2401224.800000000279397,2528529.000000000000000,10301970.700000001117587
FS( 194 ),2774190.399999999906868,2570714.379999999888241,2372705.200000000186265,2500000.000000000000000,10217609.980000000447035
FS( 195 ),2769874.439999999944121,2546602.600000000093132,2367140.400000000372529,2525494.000000000000000,10209111.440000001341105
FS( 196 ),2766574.000000000000000,2559772.899999999906868,2344185.600000000093132,2528832.500000000000000,10199365.000000000000000
FS( 197 ),2782568.439999999944121,2569296.040000000037253,2392877.600000000093132,2560093.000000000000000,10304835.080000000074506
FS( 198 ),2789423.200000000186265,2588747.560000000055879,2405050.600000000093132,2574661.000000000000000,10357882.359999999403954
FS( 199 ),2788661.560000000055879,2593205.200000000186265,2392877.600000000093132,2592871.000000000000000,10367615.359999999403954
FS( 200 ),2797293.480000000447035,2580034.899999999906868,2401920.400000000372529,2578910.000000000000000,10358158.780000001192093
FS( 201 ),2816334.480000000447035,2589760.660000000149012,2429744.399999999906868,2603493.500000000000000,10439333.040000000968575
FS( 202 ),2860763.480000000447035,2644265.439999999944121,2426614.200000000186265,2616544.000000000000000,10548187.120000001043081
FS( 203 ),2883612.680000000167638,2713764.100000000093132,2407137.399999999906868,2634450.500000000000000,10638964.679999999701977
FS( 204 ),2883358.799999999813735,2694109.959999999962747,2381400.200000000186265,2634147.000000000000000,10593015.960000000894070
FS( 205 ),2877011.799999999813735,2717816.500000000000000,2390095.200000000186265,2656606.000000000000000,10641529.500000000000000
FS( 206 ),2881835.520000000484288,2710724.799999999813735,2416180.200000000186265,2650536.000000000000000,10659276.519999999552965
FS( 207 ),2866602.720000000204891,2720045.320000000298023,2410267.600000000093132,2659641.000000000000000,10656556.640000000596046
FS( 208 ),2863048.399999999906868,2690868.040000000037253,2414441.200000000186265,2684831.500000000000000,10653189.140000000596046
FS( 209 ),2855685.880000000353903,2676076.779999999795109,2396703.399999999906868,2671781.000000000000000,10600247.060000000521541
FS( 210 ),2845530.680000000167638,2668174.600000000093132,2325752.200000000186265,2683010.500000000000000,10522467.980000000447035
FS( 211 ),2862540.640000000130385,2676684.639999999664724,2350793.800000000279397,2705166.000000000000000,10595185.080000000074506
FS( 212 ),2861017.359999999869615,2683978.959999999962747,2330273.600000000093132,2674209.000000000000000,10549478.919999999925494
FS( 213 ),2849085.000000000000000,2675266.299999999813735,2336881.799999999813735,2669049.500000000000000,10530282.599999999627471
FS( 214 ),2865841.080000000074506,2680939.660000000149012,2337577.399999999906868,2672084.500000000000000,10556442.640000000596046
FS( 215 ),2862286.759999999776483,2675468.919999999925494,2373748.600000000093132,2686349.000000000000000,10597853.279999999329448
FS( 216 ),2887167.000000000000000,2688233.979999999515712,2398094.600000000093132,2688170.000000000000000,10661665.580000000074506
FS( 217 ),2911285.600000000093132,2706469.779999999795109,2392529.800000000279397,2731267.000000000000000,10741552.179999999701977
FS( 218 ),2903669.200000000186265,2648115.219999999739230,2309753.399999999906868,2695454.000000000000000,10556991.820000000298023
FS( 219 ),2900114.880000000353903,2628866.320000000298023,2325056.600000000093132,2721555.000000000000000,10575592.800000000745058
FS( 220 ),2883104.920000000391155,2613872.439999999944121,2258626.799999999813735,2690901.500000000000000,10446505.660000000149012
FS( 221 ),2905446.359999999869615,2647102.119999999646097,2296189.200000000186265,2718520.000000000000000,10567257.679999999701977
FS( 222 ),2889959.680000000167638,2625219.160000000149012,2264191.600000000093132,2717306.000000000000000,10496676.439999999478459
FS( 223 ),2883866.560000000055879,2644468.059999999590218,2196370.600000000093132,2711843.000000000000000,10436548.219999998807907
FS( 224 ),2865079.439999999944121,2634134.439999999944121,2406789.600000000093132,2734909.000000000000000,10640912.480000000447035
FS( 225 ),2859747.959999999962747,2653180.719999999739230,2429744.399999999906868,2723679.500000000000000,10666352.580000000074506
