代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14022802.000000000000000
真實報酬,4022802.000000000000000

夏普值報酬,0.393580200000000
夏普值風險,0.081914963209102
夏普值,4.804741216758133

二次趨勢線,13.519435674190532 x^2 + 9627.742007012933755 x + 10000000.000000000000000
二次加權預期報酬,14179.285350657075469
風險,367377.609929457015824
二次加權趨勢值,0.038595943158811
一次趨勢線,12187.975098627875923 x + 10000000.000000000000000
一次預期報酬,12187.975098627875923
一次風險,379830.714046466862783
一次趨勢值,0.032087913504375
找到最佳解世代,2016
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
NKE[19](1),
FS( 34 ),10953249.000000000000000,10953249.000000000000000
FS( 35 ),11001139.500000000000000,11001139.500000000000000
FS( 36 ),11055871.500000000000000,11055871.500000000000000
FS( 37 ),11094640.000000000000000,11094640.000000000000000
FS( 38 ),11108323.000000000000000,11108323.000000000000000
FS( 39 ),11169896.500000000000000,11169896.500000000000000
FS( 40 ),11094640.000000000000000,11094640.000000000000000
FS( 41 ),11151652.500000000000000,11151652.500000000000000
FS( 42 ),11322690.000000000000000,11322690.000000000000000
FS( 43 ),11140250.000000000000000,11140250.000000000000000
FS( 44 ),11179018.500000000000000,11179018.500000000000000
FS( 45 ),11231470.000000000000000,11231470.000000000000000
FS( 46 ),11295324.000000000000000,11295324.000000000000000
FS( 47 ),11327251.000000000000000,11327251.000000000000000
FS( 48 ),11142530.500000000000000,11142530.500000000000000
FS( 49 ),11064993.500000000000000,11064993.500000000000000
FS( 50 ),11135689.000000000000000,11135689.000000000000000
FS( 51 ),11053591.000000000000000,11053591.000000000000000
FS( 52 ),10966932.000000000000000,10966932.000000000000000
FS( 53 ),10882553.500000000000000,10882553.500000000000000
FS( 54 ),10629418.000000000000000,10629418.000000000000000
FS( 55 ),10775370.000000000000000,10775370.000000000000000
FS( 56 ),11069554.500000000000000,11069554.500000000000000
FS( 57 ),10814138.500000000000000,10814138.500000000000000
FS( 58 ),10939566.000000000000000,10939566.000000000000000
FS( 59 ),10944127.000000000000000,10944127.000000000000000
FS( 60 ),10980615.000000000000000,10980615.000000000000000
FS( 61 ),11042188.500000000000000,11042188.500000000000000
FS( 62 ),11094640.000000000000000,11094640.000000000000000
FS( 63 ),11046749.500000000000000,11046749.500000000000000
FS( 64 ),10964651.500000000000000,10964651.500000000000000
FS( 65 ),10836943.500000000000000,10836943.500000000000000
FS( 66 ),10661345.000000000000000,10661345.000000000000000
FS( 67 ),10599771.500000000000000,10599771.500000000000000
FS( 68 ),10818699.500000000000000,10818699.500000000000000
FS( 69 ),11067274.000000000000000,11067274.000000000000000
FS( 70 ),10946407.500000000000000,10946407.500000000000000
FS( 71 ),10930444.000000000000000,10930444.000000000000000
FS( 72 ),10834663.000000000000000,10834663.000000000000000
FS( 73 ),10686430.500000000000000,10686430.500000000000000
FS( 74 ),10583808.000000000000000,10583808.000000000000000
FS( 75 ),10604332.500000000000000,10604332.500000000000000
FS( 76 ),10675028.000000000000000,10675028.000000000000000
FS( 77 ),10663625.500000000000000,10663625.500000000000000
FS( 78 ),10930444.000000000000000,10930444.000000000000000
FS( 79 ),10964651.500000000000000,10964651.500000000000000
FS( 80 ),10987456.500000000000000,10987456.500000000000000
FS( 81 ),10775370.000000000000000,10775370.000000000000000
FS( 82 ),10640820.500000000000000,10640820.500000000000000
FS( 83 ),10818699.500000000000000,10818699.500000000000000
FS( 84 ),10519954.000000000000000,10519954.000000000000000
FS( 85 ),10481185.500000000000000,10481185.500000000000000
FS( 86 ),10645381.500000000000000,10645381.500000000000000
FS( 87 ),10551881.000000000000000,10551881.000000000000000
FS( 88 ),10643101.000000000000000,10643101.000000000000000
FS( 89 ),10467502.500000000000000,10467502.500000000000000
FS( 90 ),10396807.000000000000000,10396807.000000000000000
FS( 91 ),10576966.500000000000000,10576966.500000000000000
FS( 92 ),10412770.500000000000000,10412770.500000000000000
FS( 93 ),10490307.500000000000000,10490307.500000000000000
FS( 94 ),10494868.500000000000000,10494868.500000000000000
FS( 95 ),10474344.000000000000000,10474344.000000000000000
FS( 96 ),10675028.000000000000000,10675028.000000000000000
FS( 97 ),10684150.000000000000000,10684150.000000000000000
FS( 98 ),10825541.000000000000000,10825541.000000000000000
FS( 99 ),10834663.000000000000000,10834663.000000000000000
FS( 100 ),10880273.000000000000000,10880273.000000000000000
FS( 101 ),11039908.000000000000000,11039908.000000000000000
FS( 102 ),11060432.500000000000000,11060432.500000000000000
FS( 103 ),11074115.500000000000000,11074115.500000000000000
FS( 104 ),11261116.500000000000000,11261116.500000000000000
FS( 105 ),11172177.000000000000000,11172177.000000000000000
FS( 106 ),11119725.500000000000000,11119725.500000000000000
FS( 107 ),11226909.000000000000000,11226909.000000000000000
FS( 108 ),11051310.500000000000000,11051310.500000000000000
FS( 109 ),11110603.500000000000000,11110603.500000000000000
FS( 110 ),11005700.500000000000000,11005700.500000000000000
FS( 111 ),10871151.000000000000000,10871151.000000000000000
FS( 112 ),11064993.500000000000000,11064993.500000000000000
FS( 113 ),10925883.000000000000000,10925883.000000000000000
FS( 114 ),10996578.500000000000000,10996578.500000000000000
FS( 115 ),11007981.000000000000000,11007981.000000000000000
FS( 116 ),11119725.500000000000000,11119725.500000000000000
FS( 117 ),11210945.500000000000000,11210945.500000000000000
FS( 118 ),11628277.000000000000000,11628277.000000000000000
FS( 119 ),11568984.000000000000000,11568984.000000000000000
FS( 120 ),11477764.000000000000000,11477764.000000000000000
FS( 121 ),11288482.500000000000000,11288482.500000000000000
FS( 122 ),11327251.000000000000000,11327251.000000000000000
FS( 123 ),11388824.500000000000000,11388824.500000000000000
FS( 124 ),11505130.000000000000000,11505130.000000000000000
FS( 125 ),11441276.000000000000000,11441276.000000000000000
FS( 126 ),11352336.500000000000000,11352336.500000000000000
FS( 127 ),11363739.000000000000000,11363739.000000000000000
FS( 128 ),11372861.000000000000000,11372861.000000000000000
FS( 129 ),11359178.000000000000000,11359178.000000000000000
FS( 130 ),11498288.500000000000000,11498288.500000000000000
FS( 131 ),11484605.500000000000000,11484605.500000000000000
FS( 132 ),11400227.000000000000000,11400227.000000000000000
FS( 133 ),11320409.500000000000000,11320409.500000000000000
FS( 134 ),11350056.000000000000000,11350056.000000000000000
FS( 135 ),11384263.500000000000000,11384263.500000000000000
FS( 136 ),11391105.000000000000000,11391105.000000000000000
FS( 137 ),11238311.500000000000000,11238311.500000000000000
FS( 138 ),11402507.500000000000000,11402507.500000000000000
FS( 139 ),11436715.000000000000000,11436715.000000000000000
FS( 140 ),11420751.500000000000000,11420751.500000000000000
FS( 141 ),11530215.500000000000000,11530215.500000000000000
FS( 142 ),11511971.500000000000000,11511971.500000000000000
FS( 143 ),11509691.000000000000000,11509691.000000000000000
FS( 144 ),11386544.000000000000000,11386544.000000000000000
FS( 145 ),11423032.000000000000000,11423032.000000000000000
FS( 146 ),11270238.500000000000000,11270238.500000000000000
FS( 147 ),11491447.000000000000000,11491447.000000000000000
FS( 148 ),11498288.500000000000000,11498288.500000000000000
FS( 149 ),11450398.000000000000000,11450398.000000000000000
FS( 150 ),11427593.000000000000000,11427593.000000000000000
FS( 151 ),11568984.000000000000000,11568984.000000000000000
FS( 152 ),11680728.500000000000000,11680728.500000000000000
FS( 153 ),11721777.500000000000000,11721777.500000000000000
FS( 154 ),11673887.000000000000000,11673887.000000000000000
FS( 155 ),11648801.500000000000000,11648801.500000000000000
FS( 156 ),11794753.500000000000000,11794753.500000000000000
FS( 157 ),11970352.000000000000000,11970352.000000000000000
FS( 158 ),11945266.500000000000000,11945266.500000000000000
FS( 159 ),11931583.500000000000000,11931583.500000000000000
FS( 160 ),11929303.000000000000000,11929303.000000000000000
FS( 161 ),11904217.500000000000000,11904217.500000000000000
FS( 162 ),11908778.500000000000000,11908778.500000000000000
FS( 163 ),11792473.000000000000000,11792473.000000000000000
FS( 164 ),11726338.500000000000000,11726338.500000000000000
FS( 165 ),11664765.000000000000000,11664765.000000000000000
FS( 166 ),11594069.500000000000000,11594069.500000000000000
FS( 167 ),11603191.500000000000000,11603191.500000000000000
FS( 168 ),11644240.500000000000000,11644240.500000000000000
FS( 169 ),11689850.500000000000000,11689850.500000000000000
FS( 170 ),11625996.500000000000000,11625996.500000000000000
FS( 171 ),11635118.500000000000000,11635118.500000000000000
FS( 172 ),11566703.500000000000000,11566703.500000000000000
FS( 173 ),11557581.500000000000000,11557581.500000000000000
FS( 174 ),11783351.000000000000000,11783351.000000000000000
FS( 175 ),11844924.500000000000000,11844924.500000000000000
FS( 176 ),11833522.000000000000000,11833522.000000000000000
FS( 177 ),11785631.500000000000000,11785631.500000000000000
FS( 178 ),11922461.500000000000000,11922461.500000000000000
FS( 179 ),11945266.500000000000000,11945266.500000000000000
FS( 180 ),12086657.500000000000000,12086657.500000000000000
FS( 181 ),12148231.000000000000000,12148231.000000000000000
FS( 182 ),12177877.500000000000000,12177877.500000000000000
FS( 183 ),12223487.500000000000000,12223487.500000000000000
FS( 184 ),12111743.000000000000000,12111743.000000000000000
FS( 185 ),11997718.000000000000000,11997718.000000000000000
FS( 186 ),12510830.500000000000000,12510830.500000000000000
FS( 187 ),12278219.500000000000000,12278219.500000000000000
FS( 188 ),12316988.000000000000000,12316988.000000000000000
FS( 189 ),12478903.500000000000000,12478903.500000000000000
FS( 190 ),12529074.500000000000000,12529074.500000000000000
FS( 191 ),12524513.500000000000000,12524513.500000000000000
FS( 192 ),12690990.000000000000000,12690990.000000000000000
FS( 193 ),12460659.500000000000000,12460659.500000000000000
FS( 194 ),12478903.500000000000000,12478903.500000000000000
FS( 195 ),12602050.500000000000000,12602050.500000000000000
FS( 196 ),12818698.000000000000000,12818698.000000000000000
FS( 197 ),12809576.000000000000000,12809576.000000000000000
FS( 198 ),12759405.000000000000000,12759405.000000000000000
FS( 199 ),12809576.000000000000000,12809576.000000000000000
FS( 200 ),12862027.500000000000000,12862027.500000000000000
FS( 201 ),12900796.000000000000000,12900796.000000000000000
FS( 202 ),12884832.500000000000000,12884832.500000000000000
FS( 203 ),13010260.000000000000000,13010260.000000000000000
FS( 204 ),12998857.500000000000000,12998857.500000000000000
FS( 205 ),12884832.500000000000000,12884832.500000000000000
FS( 206 ),12741161.000000000000000,12741161.000000000000000
FS( 207 ),12939564.500000000000000,12939564.500000000000000
FS( 208 ),13103760.500000000000000,13103760.500000000000000
FS( 209 ),13115163.000000000000000,13115163.000000000000000
FS( 210 ),13137968.000000000000000,13137968.000000000000000
FS( 211 ),13094638.500000000000000,13094638.500000000000000
FS( 212 ),13201822.000000000000000,13201822.000000000000000
FS( 213 ),13313566.500000000000000,13313566.500000000000000
FS( 214 ),13126565.500000000000000,13126565.500000000000000
FS( 215 ),13058150.500000000000000,13058150.500000000000000
FS( 216 ),13153931.500000000000000,13153931.500000000000000
FS( 217 ),13051309.000000000000000,13051309.000000000000000
FS( 218 ),12891674.000000000000000,12891674.000000000000000
FS( 219 ),12953247.500000000000000,12953247.500000000000000
FS( 220 ),13039906.500000000000000,13039906.500000000000000
FS( 221 ),13110602.000000000000000,13110602.000000000000000
FS( 222 ),13092358.000000000000000,13092358.000000000000000
FS( 223 ),13108321.500000000000000,13108321.500000000000000
FS( 224 ),12805015.000000000000000,12805015.000000000000000
FS( 225 ),12186999.500000000000000,12186999.500000000000000
FS( 226 ),11844924.500000000000000,11844924.500000000000000
FS( 227 ),11806156.000000000000000,11806156.000000000000000
FS( 228 ),12401366.500000000000000,12401366.500000000000000
FS( 229 ),12841503.000000000000000,12841503.000000000000000
FS( 230 ),12827820.000000000000000,12827820.000000000000000
FS( 231 ),12743441.500000000000000,12743441.500000000000000
FS( 232 ),12387683.500000000000000,12387683.500000000000000
FS( 233 ),12622575.000000000000000,12622575.000000000000000
FS( 234 ),12640819.000000000000000,12640819.000000000000000
FS( 235 ),12508550.000000000000000,12508550.000000000000000
FS( 236 ),12743441.500000000000000,12743441.500000000000000
FS( 237 ),12526794.000000000000000,12526794.000000000000000
FS( 238 ),12586087.000000000000000,12586087.000000000000000
FS( 239 ),12750283.000000000000000,12750283.000000000000000
FS( 240 ),12759405.000000000000000,12759405.000000000000000
FS( 241 ),12980613.500000000000000,12980613.500000000000000
FS( 242 ),13179017.000000000000000,13179017.000000000000000
FS( 243 ),13144809.500000000000000,13144809.500000000000000
FS( 244 ),13119724.000000000000000,13119724.000000000000000
FS( 245 ),13290761.500000000000000,13290761.500000000000000
FS( 246 ),13224627.000000000000000,13224627.000000000000000
FS( 247 ),13163053.500000000000000,13163053.500000000000000
FS( 248 ),13090077.500000000000000,13090077.500000000000000
FS( 249 ),14253132.500000000000000,14253132.500000000000000
FS( 250 ),13927021.000000000000000,13927021.000000000000000
FS( 251 ),13646519.500000000000000,13646519.500000000000000
FS( 252 ),14022802.000000000000000,14022802.000000000000000
