代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13429150.320000000298023
真實報酬,3429150.320000000298023

夏普值報酬,0.334215032000000
夏普值風險,0.105816611854389
夏普值,3.158436337575267

二次趨勢線,78.990053879389777 x^2 + -4398.473145309568281 x + 10000000.000000000000000
二次加權預期報酬,21878.884778567429748
風險,167523.471977062057704
二次加權趨勢值,0.130601906230568
一次趨勢線,10382.481325608321640 x + 10000000.000000000000000
一次預期報酬,10382.481325608321640
一次風險,575230.815279784146696
一次趨勢值,0.018049243972715
找到最佳解世代,1864
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AXP[1](2),BA[2](1),JNJ[12](4),V[25](3),
FS( 58 ),2449618.969999999739230,2390339.979999999981374,2538969.839999999850988,2665032.669999999925494,10043961.459999999031425
FS( 59 ),2441574.939999999944121,2392389.699999999720603,2536764.000000000000000,2640554.139999999664724,10011282.779999999329448
FS( 60 ),2418712.959999999962747,2370184.399999999906868,2548528.479999999981374,2656346.739999999757856,9993772.580000000074506
FS( 61 ),2376799.330000000074506,2399905.339999999850988,2536764.000000000000000,2616075.610000000335276,9929544.280000001192093
FS( 62 ),2395004.239999999757856,2394781.039999999571592,2537131.640000000130385,2643712.659999999683350,9970629.580000000074506
FS( 63 ),2407281.969999999739230,2377700.039999999571592,2533455.239999999757856,2650819.330000000074506,9969256.580000000074506
FS( 64 ),2444115.159999999683350,2391706.459999999962747,2541543.319999999832362,2698986.759999999776483,10076351.699999999254942
FS( 65 ),2420829.810000000055879,2375308.699999999720603,2535293.439999999944121,2684773.419999999925494,10016205.369999999180436
FS( 66 ),2430143.949999999720603,2386582.159999999683350,2536764.000000000000000,2734520.110000000335276,10088010.219999998807907
FS( 67 ),2471210.839999999850988,2389315.119999999646097,2546690.279999999795109,2757419.379999999888241,10164635.619999997317791
FS( 68 ),2479254.870000000111759,2421769.020000000018626,2560660.600000000093132,2769263.830000000074506,10230948.320000000298023
FS( 69 ),2490262.489999999757856,2410837.179999999701977,2552940.160000000149012,2738468.259999999776483,10192508.089999999850988
FS( 70 ),2465707.029999999795109,2413228.520000000018626,2515073.239999999757856,2699776.389999999664724,10093785.179999999701977
FS( 71 ),2454276.040000000037253,2402979.919999999925494,2508088.080000000074506,2712410.470000000204891,10077754.509999999776483
FS( 72 ),2475444.540000000037253,2419719.299999999813735,2498897.080000000074506,2744785.299999999813735,10138846.219999998807907
FS( 73 ),2450889.080000000074506,2454564.539999999571592,2498897.080000000074506,2746364.560000000055879,10150715.259999999776483
FS( 74 ),2438187.979999999981374,2468229.339999999850988,2522058.399999999906868,2761367.529999999795109,10189843.250000000000000
FS( 75 ),2482218.459999999962747,2510248.600000000093132,2556984.199999999720603,2786635.689999999944121,10336086.949999999254942
FS( 76 ),2513547.839999999850988,2515372.899999999906868,2610292.000000000000000,2814272.739999999757856,10453485.480000000447035
FS( 77 ),2439034.719999999739230,2536894.959999999962747,2666173.279999999795109,2800849.029999999795109,10442951.989999998360872
FS( 78 ),2407281.969999999739230,2528354.459999999962747,2641909.040000000037253,2762946.790000000037253,10340492.259999999776483
FS( 79 ),2402201.529999999795109,2517764.239999999757856,2638967.919999999925494,2743995.669999999925494,10302929.359999999403954
FS( 80 ),2344623.209999999962747,2487701.679999999701977,2606247.959999999962747,2697407.499999999534339,10135980.349999999627471
FS( 81 ),2338272.659999999683350,2483943.859999999869615,2600733.359999999869615,2694248.979999999515712,10117198.859999999403954
FS( 82 ),2347163.429999999701977,2443974.319999999832362,2615438.959999999962747,2715568.989999999757856,10122145.699999999254942
FS( 83 ),2360287.899999999906868,2429284.659999999683350,2606615.600000000093132,2730571.959999999962747,10126760.120000001043081
FS( 84 ),2369602.040000000037253,2406396.119999999646097,2603674.479999999981374,2739257.889999999664724,10118930.530000001192093
FS( 85 ),2406858.600000000093132,2418352.819999999832362,2628674.000000000000000,2840330.529999999795109,10294215.949999999254942
FS( 86 ),2400931.419999999925494,2393072.939999999944121,2606615.600000000093132,2830854.970000000204891,10231474.929999999701977
FS( 87 ),2386113.469999999739230,2405371.259999999776483,2602571.560000000055879,2793742.360000000335276,10187798.649999998509884
FS( 88 ),2421253.179999999701977,2460372.079999999608845,2610659.640000000130385,2840330.529999999795109,10332615.429999999701977
FS( 89 ),2352667.239999999757856,2395122.659999999683350,2586027.760000000242144,2814272.739999999757856,10148090.400000000372529
FS( 90 ),2352243.870000000111759,2424843.600000000093132,2560660.600000000093132,2804797.180000000167638,10142545.250000000000000
FS( 91 ),2363674.859999999869615,2502391.339999999850988,2568748.680000000167638,2821379.409999999683350,10256194.289999999105930
FS( 92 ),2350550.390000000130385,2517422.619999999646097,2561763.520000000018626,2827696.450000000186265,10257432.980000000447035
FS( 93 ),2317527.529999999795109,2506149.159999999683350,2555513.640000000130385,2811903.850000000093132,10191094.179999999701977
FS( 94 ),2271380.199999999720603,2435433.819999999832362,2546690.279999999795109,2762946.790000000037253,10016451.089999999850988
FS( 95 ),2270956.830000000074506,2426893.319999999832362,2539337.479999999981374,2763736.419999999925494,10000924.050000000745058
FS( 96 ),2298899.250000000000000,2417669.579999999608845,2543749.160000000149012,2817431.259999999776483,10077749.250000000000000
FS( 97 ),2338272.659999999683350,2458322.359999999869615,2545955.000000000000000,2875074.249999999534339,10217624.269999999552965
FS( 98 ),2364944.969999999739230,2478136.319999999832362,2561395.879999999888241,2889287.590000000316650,10293764.759999999776483
FS( 99 ),2370025.409999999683350,2498975.140000000130385,2558454.760000000242144,2895604.629999999888241,10323059.940000001341105
FS( 100 ),2392464.020000000018626,2519130.719999999739230,2557351.839999999850988,2924031.310000000055879,10392977.890000000596046
FS( 101 ),2357747.679999999701977,2537236.579999999608845,2540072.760000000242144,2906659.450000000186265,10341716.469999998807907
FS( 102 ),2304826.429999999701977,2544752.219999999739230,2529778.839999999850988,2897973.520000000018626,10277331.009999999776483
FS( 103 ),2350127.020000000018626,2531087.419999999925494,2547425.560000000055879,2907449.080000000074506,10336089.080000000074506
FS( 104 ),2367485.189999999944121,2532112.279999999795109,2544852.080000000074506,2925610.569999999832362,10370060.119999999180436
FS( 105 ),2366638.449999999720603,2537578.199999999720603,2563601.720000000204891,2955616.509999999776483,10423434.879999998956919
FS( 106 ),2370448.779999999795109,2528696.079999999608845,2560660.600000000093132,2934296.499999999534339,10394101.959999999031425
FS( 107 ),2364098.229999999981374,2529720.939999999944121,2568381.040000000037253,2913766.119999999646097,10375966.330000000074506
FS( 108 ),2387806.949999999720603,2523571.779999999795109,2572425.080000000074506,2923241.680000000167638,10407045.490000000223517
FS( 109 ),2375952.589999999850988,2527329.600000000093132,2575366.199999999720603,2931137.979999999515712,10409786.369999997317791
FS( 110 ),2396697.719999999739230,2549876.520000000018626,2590071.800000000279397,2932717.239999999757856,10469363.280000001192093
FS( 111 ),2402624.899999999906868,2580280.699999999720603,2595586.399999999906868,2935086.129999999888241,10513578.129999998956919
FS( 112 ),2415749.370000000111759,2590187.679999999701977,2613968.399999999906868,2939823.909999999683350,10559729.359999999403954
FS( 113 ),2441574.939999999944121,2578230.979999999981374,2608821.439999999944121,2919293.529999999795109,10547920.889999998733401
FS( 114 ),2443691.790000000037253,2538944.679999999701977,2601101.000000000000000,2905869.819999999832362,10489607.289999999105930
FS( 115 ),2398391.199999999720603,2528696.079999999608845,2598895.160000000149012,2898763.149999999906868,10424745.589999999850988
FS( 116 ),2424640.140000000130385,2550218.140000000130385,2608086.160000000149012,2943772.060000000055879,10526716.500000000000000
FS( 117 ),2447925.489999999757856,2579939.079999999608845,2608453.800000000279397,2975357.259999999776483,10611675.629999998956919
FS( 118 ),2404318.379999999888241,2579597.459999999962747,2596689.319999999832362,2944561.689999999944121,10525166.849999999627471
FS( 119 ),2430143.949999999720603,2603169.239999999757856,2601101.000000000000000,3010100.979999999515712,10644515.169999998062849
FS( 120 ),2440728.199999999720603,2602144.379999999888241,2583454.279999999795109,2976146.889999999664724,10602473.750000000000000
FS( 121 ),2435647.759999999776483,2595311.979999999981374,2574263.279999999795109,2984832.819999999832362,10590055.839999999850988
FS( 122 ),2418712.959999999962747,2597020.079999999608845,2579777.879999999888241,2956406.139999999664724,10551917.059999998658895
FS( 123 ),2400084.679999999701977,2590529.299999999813735,2576836.760000000242144,2949299.470000000204891,10516750.210000000894070
FS( 124 ),2399237.939999999944121,2551584.619999999646097,2554410.720000000204891,2934296.499999999534339,10439529.779999999329448
FS( 125 ),2433530.909999999683350,2574473.159999999683350,2577204.399999999906868,2992729.119999999646097,10577937.589999997988343
FS( 126 ),2487298.899999999906868,2632890.179999999701977,2604409.760000000242144,3067743.970000000204891,10792342.810000000521541
FS( 127 ),2497883.149999999906868,2646554.979999999981374,2600733.359999999869615,3070112.860000000335276,10815284.350000001490116
FS( 128 ),2523708.719999999739230,2654070.619999999646097,2630512.199999999720603,3094591.389999999664724,10902882.929999999701977
FS( 129 ),2534292.969999999739230,2600777.899999999906868,2624997.600000000093132,3116701.029999999795109,10876769.499999998137355
FS( 130 ),2548687.549999999813735,2532453.899999999906868,2625365.239999999757856,3145917.340000000316650,10852424.029999999329448
FS( 131 ),2551227.770000000018626,2622299.959999999962747,2637129.720000000204891,3194084.770000000018626,11004742.220000000670552
FS( 132 ),2573666.379999999888241,2633573.419999999925494,2654041.160000000149012,3168816.610000000335276,11030097.570000000298023
FS( 133 ),2592718.029999999795109,2567640.759999999776483,2659923.399999999906868,3181450.689999999944121,11001732.879999998956919
FS( 134 ),2591447.919999999925494,2615125.939999999944121,2667643.839999999850988,3171185.499999999534339,11045403.199999999254942
FS( 135 ),2572396.270000000018626,2628449.119999999646097,2660658.680000000167638,3167237.350000000093132,11028741.419999999925494
FS( 136 ),2566469.089999999850988,2539627.919999999925494,2668379.120000000111759,3162499.569999999832362,10936975.699999999254942
FS( 137 ),2571549.529999999795109,2571056.959999999962747,2680143.600000000093132,3156182.529999999795109,10978932.619999999180436
FS( 138 ),2530906.009999999776483,2563541.319999999832362,2692275.720000000204891,3124597.330000000074506,10911320.380000000819564
FS( 139 ),2514817.949999999720603,2533478.759999999776483,2672423.160000000149012,3139600.299999999813735,10860320.169999998062849
FS( 140 ),2494919.560000000055879,2537919.819999999832362,2678305.399999999906868,3139600.299999999813735,10850745.079999998211861
FS( 141 ),2510584.250000000000000,2573106.679999999701977,2687496.399999999906868,3149865.489999999757856,10921052.820000000298023
FS( 142 ),2519051.649999999906868,2563199.699999999720603,2717642.879999999888241,3155392.899999999906868,10955287.129999998956919
FS( 143 ),2500846.739999999757856,2528012.839999999850988,2706613.680000000167638,3086695.090000000316650,10822168.349999999627471
FS( 144 ),2516934.799999999813735,2516056.140000000130385,2735657.239999999757856,3093012.129999999888241,10861660.309999998658895
FS( 145 ),2511854.359999999869615,2548168.419999999925494,2723892.760000000242144,3059847.669999999925494,10843763.209999999031425
FS( 146 ),2489839.120000000111759,2523571.779999999795109,2717642.879999999888241,3117490.659999999683350,10848544.439999999478459
FS( 147 ),2536409.819999999832362,2557733.779999999795109,2727201.520000000018626,3130124.739999999757856,10951469.859999999403954
FS( 148 ),2515241.319999999832362,2569348.859999999869615,2724628.040000000037253,3092222.499999999534339,10901440.719999998807907
FS( 149 ),2568162.569999999832362,2592579.020000000018626,2744848.239999999757856,3149075.860000000335276,11054665.690000001341105
FS( 150 ),2563928.870000000111759,2606243.819999999832362,2771685.959999999962747,3175133.649999999906868,11116992.299999998882413
FS( 151 ),2630821.330000000074506,2645188.500000000000000,2759553.839999999850988,3100908.430000000167638,11136472.099999999627471
FS( 152 ),2616426.750000000000000,2615467.560000000055879,2774994.720000000204891,3115121.770000000018626,11122010.800000000745058
FS( 153 ),2624047.409999999683350,2591895.779999999795109,2772421.239999999757856,3085905.459999999962747,11074269.890000000596046
FS( 154 ),2633361.549999999813735,2595995.219999999739230,2786759.199999999720603,3095381.020000000018626,11111496.989999998360872
FS( 155 ),2629127.850000000093132,2554659.199999999720603,2781612.239999999757856,3055109.889999999664724,11020509.179999999701977
FS( 156 ),2639288.729999999981374,2559783.500000000000000,2787126.839999999850988,3078798.790000000037253,11064997.859999999403954
FS( 157 ),2611769.679999999701977,2563199.699999999720603,2799994.239999999757856,3119069.919999999925494,11094033.539999999105930
FS( 158 ),2636748.509999999776483,2550218.140000000130385,2829405.439999999944121,3111173.619999999646097,11127545.709999999031425
FS( 159 ),2621083.819999999832362,2554659.199999999720603,2818008.600000000093132,3067743.970000000204891,11061495.589999999850988
FS( 160 ),2605419.129999999888241,2596678.459999999962747,2826096.680000000167638,3108015.100000000093132,11136209.369999999180436
FS( 161 ),2649026.239999999757856,2618883.759999999776483,2803303.000000000000000,3147496.600000000093132,11218709.599999999627471
FS( 162 ),2625740.890000000130385,2563199.699999999720603,2778303.479999999981374,3077219.529999999795109,11044463.599999999627471
FS( 163 ),2621507.189999999944121,2584380.140000000130385,2784921.000000000000000,3115911.399999999906868,11106719.730000000447035
FS( 164 ),2646062.649999999906868,2642797.159999999683350,2805876.479999999981374,3156182.529999999795109,11250918.819999998435378
FS( 165 ),2631244.699999999720603,2627082.640000000130385,2798156.040000000037253,3131703.999999999534339,11188187.379999998956919
FS( 166 ),2640558.839999999850988,2640064.199999999720603,2819846.800000000279397,3120649.180000000167638,11221119.019999999552965
FS( 167 ),2662574.080000000074506,2633573.419999999925494,2838228.800000000279397,3149075.860000000335276,11283452.160000000149012
FS( 168 ),2714648.590000000316650,2687207.759999999776483,2855140.239999999757856,3164078.830000000074506,11421075.419999999925494
FS( 169 ),2737087.200000000186265,2701555.799999999813735,2845213.959999999962747,3179871.430000000167638,11463728.390000000596046
FS( 170 ),2733276.870000000111759,2768854.939999999944121,2858449.000000000000000,3168816.610000000335276,11529397.420000001788139
FS( 171 ),2739204.049999999813735,2775004.100000000093132,2874625.160000000149012,3171975.129999999888241,11560808.440000001341105
FS( 172 ),2773073.649999999906868,2833421.119999999646097,2883816.160000000149012,3182240.319999999832362,11672551.250000000000000
FS( 173 ),2764182.880000000353903,2875098.759999999776483,2888227.839999999850988,3154603.270000000018626,11682112.750000000000000
FS( 174 ),2764606.250000000000000,2895254.339999999850988,2887860.199999999720603,3145917.340000000316650,11693638.129999998956919
FS( 175 ),2767993.209999999497086,2890813.279999999795109,2908080.399999999906868,3171975.129999999888241,11738862.019999999552965
FS( 176 ),2798052.479999999981374,2952646.500000000000000,2911389.160000000149012,3130124.739999999757856,11792212.880000000819564
FS( 177 ),2784928.009999999776483,2909944.000000000000000,2897418.839999999850988,3120649.180000000167638,11712940.029999999329448
FS( 178 ),2757408.959999999497086,2921217.459999999962747,2899257.040000000037253,3079588.419999999925494,11657471.880000000819564
FS( 179 ),2794242.149999999906868,2916434.779999999795109,2920947.800000000279397,3145127.709999999962747,11776752.440000001341105
FS( 180 ),2769263.319999999832362,2880906.299999999813735,2904771.640000000130385,3115121.770000000018626,11670063.029999999329448
FS( 181 ),2803556.290000000037253,2897645.679999999701977,2931609.359999999869615,3160130.680000000167638,11792942.009999999776483
FS( 182 ),2798475.849999999627471,2898670.539999999571592,2929403.520000000018626,3237514.419999999925494,11864064.329999998211861
FS( 183 ),2843776.439999999944121,2959137.279999999795109,2972417.399999999906868,3306212.229999999515712,12081543.349999997764826
FS( 184 ),2842929.700000000186265,2944789.239999999757856,2987858.279999999795109,3329901.129999999888241,12105478.349999997764826
FS( 185 ),2856054.169999999459833,2932832.539999999571592,2997416.919999999925494,3352800.399999999906868,12139104.029999999329448
FS( 186 ),2847586.770000000018626,2912335.339999999850988,3012122.520000000018626,3303843.340000000316650,12075887.969999998807907
FS( 187 ),2863674.830000000074506,2872707.419999999925494,3040063.160000000149012,3315687.790000000037253,12092133.199999999254942
FS( 188 ),2804826.399999999906868,2881931.159999999683350,3017269.479999999981374,3252517.389999999664724,11956544.429999999701977
FS( 189 ),2825148.160000000149012,2902086.739999999757856,3029769.239999999757856,3286471.479999999515712,12043475.620000001043081
FS( 190 ),2764606.250000000000000,2943764.379999999888241,3016166.560000000055879,3260413.689999999944121,11984950.879999998956919
FS( 191 ),2777307.349999999627471,2963578.339999999850988,2981976.040000000037253,3282523.330000000074506,12005385.060000000521541
FS( 192 ),2761219.290000000037253,2979292.859999999869615,2997049.279999999795109,3252517.389999999664724,11990078.820000000298023
FS( 193 ),2768839.950000000186265,3000131.679999999701977,3015431.279999999795109,3296736.669999999925494,12081139.580000000074506
FS( 194 ),2783234.529999999795109,3024386.699999999720603,3026460.479999999981374,3309370.749999999534339,12143452.459999999031425
FS( 195 ),2780694.310000000055879,3036685.020000000018626,3041901.359999999869615,3272258.139999999664724,12131538.829999998211861
FS( 196 ),2713801.849999999627471,2964261.579999999608845,3004034.439999999944121,3183819.580000000074506,11865917.449999999254942
FS( 197 ),2734546.979999999981374,2968361.020000000018626,3067636.160000000149012,3251727.759999999776483,12022271.919999999925494
FS( 198 ),2715071.959999999497086,2961528.619999999646097,3084547.600000000093132,3202770.700000000186265,11963918.879999998956919
FS( 199 ),2753598.630000000353903,2942056.279999999795109,3058077.520000000018626,3186188.470000000204891,11939920.900000000372529
FS( 200 ),2846740.029999999795109,3004914.359999999869615,3106238.359999999869615,3236724.790000000037253,12194617.539999999105930
FS( 201 ),2822184.569999999832362,2970069.119999999646097,3118738.120000000111759,3228038.860000000335276,12139030.669999998062849
FS( 202 ),2855630.799999999813735,3012430.000000000000000,3141531.800000000279397,3270678.879999999888241,12280271.480000000447035
FS( 203 ),2854360.689999999944121,3102959.299999999813735,3102561.959999999962747,3298315.930000000167638,12358197.879999998956919
FS( 204 ),2884419.959999999497086,3131655.379999999888241,3133076.080000000074506,3331480.389999999664724,12480631.809999998658895
FS( 205 ),2868331.899999999906868,3171966.539999999571592,3129399.680000000167638,3301474.450000000186265,12471172.570000000298023
FS( 206 ),2863251.459999999497086,3139512.640000000130385,3146311.120000000111759,3314898.159999999683350,12463973.379999998956919
FS( 207 ),2896274.319999999832362,3122773.259999999776483,3133443.720000000204891,3325952.979999999515712,12478444.280000001192093
FS( 208 ),2890770.509999999776483,3114916.000000000000000,3096679.720000000204891,3277785.549999999813735,12380151.780000001192093
FS( 209 ),2937341.209999999497086,3150102.859999999869615,3130870.239999999757856,3462558.970000000204891,12680873.279999999329448
FS( 210 ),2973327.660000000149012,3202370.719999999739230,3152561.000000000000000,3544680.489999999757856,12872939.869999999180436
FS( 211 ),2966130.370000000111759,3217743.619999999646097,3113223.520000000018626,3531256.779999999795109,12828354.289999999105930
FS( 212 ),2973751.029999999795109,3238240.819999999832362,3144472.919999999925494,3549418.270000000018626,12905883.039999999105930
FS( 213 ),2976714.620000000111759,3212619.319999999832362,3141899.439999999944121,3539153.080000000074506,12870386.459999999031425
FS( 214 ),2972480.919999999459833,3232091.659999999683350,3130502.600000000093132,3525729.369999999646097,12860804.549999998882413
FS( 215 ),2966977.109999999869615,3219451.719999999739230,3152928.640000000130385,3528887.889999999664724,12868245.359999999403954
FS( 216 ),2954699.380000000353903,3237215.959999999962747,3156237.399999999906868,3532046.409999999683350,12880199.150000000372529
FS( 217 ),3027519.020000000018626,3283334.659999999683350,3197413.080000000074506,3559683.459999999962747,13067950.219999998807907
FS( 218 ),3081287.009999999776483,3314422.079999999608845,3222044.959999999962747,3588110.139999999664724,13205864.190000001341105
FS( 219 ),3058001.660000000149012,3299390.799999999813735,3215059.800000000279397,3549418.270000000018626,13121870.529999999329448
FS( 220 ),3104148.989999999757856,3379329.879999999888241,3238588.760000000242144,3643384.239999999757856,13365451.869999999180436
FS( 221 ),3149872.950000000186265,3372497.479999999981374,3235647.640000000130385,3584951.619999999646097,13342969.689999999478459
FS( 222 ),3179932.219999999739230,3373522.339999999850988,3256970.760000000242144,3584161.989999999757856,13394587.310000000521541
FS( 223 ),3151566.429999999701977,3345509.500000000000000,3252191.439999999944121,3556524.939999999944121,13305792.309999998658895
FS( 224 ),3162150.679999999701977,3407684.339999999850988,3206236.439999999944121,3516253.810000000055879,13292325.269999999552965
FS( 225 ),3186706.139999999664724,3416224.839999999850988,3191898.479999999981374,3562052.350000000093132,13356881.809999998658895
