代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14034276.320000000298023
真實報酬,4034276.320000000298023

夏普值報酬,0.394727632000000
夏普值風險,0.105354899399490
夏普值,3.746647135063469

二次趨勢線,12.335051072968625 x^2 + 13900.516237261912465 x + 10000000.000000000000000
二次加權預期報酬,18020.423295633438102
風險,272606.281692317046691
二次加權趨勢值,0.066104211479516
一次趨勢線,16217.954724773238922 x + 10000000.000000000000000
一次預期報酬,16217.954724773238922
一次風險,286038.278084757213946
一次趨勢值,0.056698546898564
找到最佳解世代,1613
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
PG[21](1),
FS( 116 ),12369113.410000000149012,12369113.410000000149012
FS( 117 ),11873788.240000000223517,11873788.240000000223517
FS( 118 ),11837950.759999999776483,11837950.759999999776483
FS( 119 ),11744517.330000000074506,11744517.330000000074506
FS( 120 ),11644684.349999999627471,11644684.349999999627471
FS( 121 ),11643404.439999999478459,11643404.439999999478459
FS( 122 ),11181356.929999999701977,11181356.929999999701977
FS( 123 ),11530772.360000001266599,11530772.360000001266599
FS( 124 ),11777794.990000000223517,11777794.990000000223517
FS( 125 ),11670282.550000000745058,11670282.550000000745058
FS( 126 ),11764995.890000000596046,11764995.890000000596046
FS( 127 ),11683081.650000000372529,11683081.650000000372529
FS( 128 ),11601167.410000000149012,11601167.410000000149012
FS( 129 ),11837950.759999999776483,11837950.759999999776483
FS( 130 ),11790594.089999999850988,11790594.089999999850988
FS( 131 ),11834111.029999999329448,11834111.029999999329448
FS( 132 ),11640844.620000001043081,11640844.620000001043081
FS( 133 ),11669002.640000000596046,11669002.640000000596046
FS( 134 ),11745797.240000000223517,11745797.240000000223517
FS( 135 ),11666442.820000000298023,11666442.820000000298023
FS( 136 ),11776515.080000000074506,11776515.080000000074506
FS( 137 ),11694600.839999999850988,11694600.839999999850988
FS( 138 ),11601167.410000000149012,11601167.410000000149012
FS( 139 ),11701000.390000000596046,11701000.390000000596046
FS( 140 ),11575569.209999999031425,11575569.209999999031425
FS( 141 ),12138729.610000001266599,12138729.610000001266599
FS( 142 ),12069614.469999998807907,12069614.469999998807907
FS( 143 ),11980020.769999999552965,11980020.769999999552965
FS( 144 ),11969781.490000000223517,11969781.490000000223517
FS( 145 ),11972341.310000000521541,11972341.310000000521541
FS( 146 ),12097772.490000000223517,12097772.490000000223517
FS( 147 ),12347354.939999999478459,12347354.939999999478459
FS( 148 ),12475345.939999999478459,12475345.939999999478459
FS( 149 ),12547020.900000000372529,12547020.900000000372529
FS( 150 ),12471506.209999999031425,12471506.209999999031425
FS( 151 ),12532941.890000000596046,12532941.890000000596046
FS( 152 ),12433108.910000000149012,12433108.910000000149012
FS( 153 ),12506063.779999999329448,12506063.779999999329448
FS( 154 ),12577738.740000000223517,12577738.740000000223517
FS( 155 ),12704449.830000000074506,12704449.830000000074506
FS( 156 ),12701890.009999999776483,12701890.009999999776483
FS( 157 ),12602057.029999999329448,12602057.029999999329448
FS( 158 ),12604616.849999999627471,12604616.849999999627471
FS( 159 ),12797883.259999999776483,12797883.259999999776483
FS( 160 ),12707009.650000000372529,12707009.650000000372529
FS( 161 ),12771005.150000000372529,12771005.150000000372529
FS( 162 ),12831160.919999999925494,12831160.919999999925494
FS( 163 ),12744127.039999999105930,12744127.039999999105930
FS( 164 ),12777404.699999999254942,12777404.699999999254942
FS( 165 ),12659652.979999998584390,12659652.979999998584390
FS( 166 ),12613576.219999998807907,12613576.219999998807907
FS( 167 ),12599497.209999999031425,12599497.209999999031425
FS( 168 ),12654533.339999999850988,12654533.339999999850988
FS( 169 ),12682691.360000001266599,12682691.360000001266599
FS( 170 ),12662212.800000000745058,12662212.800000000745058
FS( 171 ),12613576.219999998807907,12613576.219999998807907
FS( 172 ),12595657.479999998584390,12595657.479999998584390
FS( 173 ),12745406.949999999254942,12745406.949999999254942
FS( 174 ),12805562.719999998807907,12805562.719999998807907
FS( 175 ),12950192.550000000745058,12950192.550000000745058
FS( 176 ),12968111.289999999105930,12968111.289999999105930
FS( 177 ),13111461.209999999031425,13111461.209999999031425
FS( 178 ),12992429.580000000074506,12992429.580000000074506
FS( 179 ),13042346.070000000298023,13042346.070000000298023
FS( 180 ),13019307.689999999478459,13019307.689999999478459
FS( 181 ),13117860.759999999776483,13117860.759999999776483
FS( 182 ),13011628.229999998584390,13011628.229999998584390
FS( 183 ),13050025.529999999329448,13050025.529999999329448
FS( 184 ),13185695.990000000223517,13185695.990000000223517
FS( 185 ),13170337.070000000298023,13170337.070000000298023
FS( 186 ),13253531.219999998807907,13253531.219999998807907
FS( 187 ),13317526.719999998807907,13317526.719999998807907
FS( 188 ),13265050.410000000149012,13265050.410000000149012
FS( 189 ),13279129.419999999925494,13279129.419999999925494
FS( 190 ),13271449.959999999031425,13271449.959999999031425
FS( 191 ),13238172.300000000745058,13238172.300000000745058
FS( 192 ),13266330.320000000298023,13266330.320000000298023
FS( 193 ),13435278.439999999478459,13435278.439999999478459
FS( 194 ),13395601.229999998584390,13395601.229999998584390
FS( 195 ),13394321.320000000298023,13394321.320000000298023
FS( 196 ),13407120.419999999925494,13407120.419999999925494
FS( 197 ),13446797.630000000819564,13446797.630000000819564
FS( 198 ),13532551.599999999627471,13532551.599999999627471
FS( 199 ),13620865.390000000596046,13620865.390000000596046
FS( 200 ),13547910.519999999552965,13547910.519999999552965
FS( 201 ),13573508.719999998807907,13573508.719999998807907
FS( 202 ),13568389.080000000074506,13568389.080000000074506
FS( 203 ),13203614.729999998584390,13203614.729999998584390
FS( 204 ),13271449.959999999031425,13271449.959999999031425
FS( 205 ),13218973.650000000372529,13218973.650000000372529
FS( 206 ),13549190.429999999701977,13549190.429999999701977
FS( 207 ),13410960.150000000372529,13410960.150000000372529
FS( 208 ),13628544.849999999627471,13628544.849999999627471
FS( 209 ),13430158.800000000745058,13430158.800000000745058
FS( 210 ),13510793.130000000819564,13510793.130000000819564
FS( 211 ),13577348.449999999254942,13577348.449999999254942
FS( 212 ),13526152.050000000745058,13526152.050000000745058
FS( 213 ),13400720.870000001043081,13400720.870000001043081
FS( 214 ),13448077.539999999105930,13448077.539999999105930
FS( 215 ),13341845.009999999776483,13341845.009999999776483
FS( 216 ),13568389.080000000074506,13568389.080000000074506
FS( 217 ),13581188.179999999701977,13581188.179999999701977
FS( 218 ),13515912.769999999552965,13515912.769999999552965
FS( 219 ),13656702.870000001043081,13656702.870000001043081
FS( 220 ),13837170.179999999701977,13837170.179999999701977
FS( 221 ),13752696.120000001043081,13752696.120000001043081
FS( 222 ),13737337.199999999254942,13737337.199999999254942
FS( 223 ),13614465.839999999850988,13614465.839999999850988
FS( 224 ),13659262.689999999478459,13659262.689999999478459
FS( 225 ),13664382.330000000074506,13664382.330000000074506
FS( 226 ),13655422.959999999031425,13655422.959999999031425
FS( 227 ),13370003.029999999329448,13370003.029999999329448
FS( 228 ),13335445.459999999031425,13335445.459999999031425
FS( 229 ),13481355.199999999254942,13481355.199999999254942
FS( 230 ),13171616.979999998584390,13171616.979999998584390
FS( 231 ),13285528.969999998807907,13285528.969999998807907
FS( 232 ),13398161.050000000745058,13398161.050000000745058
FS( 233 ),13660542.599999999627471,13660542.599999999627471
FS( 234 ),13743736.750000000000000,13743736.750000000000000
FS( 235 ),13921644.240000000223517,13921644.240000000223517
FS( 236 ),13915244.689999999478459,13915244.689999999478459
FS( 237 ),13999718.750000000000000,13999718.750000000000000
FS( 238 ),14038116.050000000745058,14038116.050000000745058
FS( 239 ),14195544.979999998584390,14195544.979999998584390
FS( 240 ),14232662.370000001043081,14232662.370000001043081
FS( 241 ),14205784.259999999776483,14205784.259999999776483
FS( 242 ),14027876.769999999552965,14027876.769999999552965
FS( 243 ),14132829.390000000596046,14132829.390000000596046
FS( 244 ),14301777.509999999776483,14301777.509999999776483
FS( 245 ),14232662.370000001043081,14232662.370000001043081
FS( 246 ),14377292.199999999254942,14377292.199999999254942
FS( 247 ),14299217.689999999478459,14299217.689999999478459
FS( 248 ),14044515.599999999627471,14044515.599999999627471
FS( 249 ),14050915.150000000372529,14050915.150000000372529
FS( 250 ),14034276.320000000298023,14034276.320000000298023
