代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12053493.259999999776483
真實報酬,2053493.259999999776483

夏普值報酬,0.196649326000000
夏普值風險,0.063365818203672
夏普值,3.103397566301818

二次趨勢線,59.222819030408210 x^2 + -7184.017427560842407 x + 10000000.000000000000000
二次加權預期報酬,12754.331646009926772
風險,231403.325973940314725
二次加權趨勢值,0.055117322071016
一次趨勢線,4031.259948981852176 x + 10000000.000000000000000
一次預期報酬,4031.259948981852176
一次風險,481773.726716136501636
一次趨勢值,0.008367537965301
找到最佳解世代,1797
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),VZ[26](3),
FS( 63 ),4936650.279999999329448,4763901.829999999143183,9700552.109999999403954
FS( 64 ),4972479.220000000670552,4803762.559999999590218,9776241.780000001192093
FS( 65 ),4993768.879999999888241,4824203.959999999962747,9817972.839999999850988
FS( 66 ),4966767.360000000335276,4807850.839999999850988,9774618.199999999254942
FS( 67 ),5020251.140000000596046,4829314.309999999590218,9849565.449999999254942
FS( 68 ),4976633.299999999813735,4760835.619999999180436,9737468.919999998062849
FS( 69 ),5010385.199999999254942,4728129.379999998956919,9738514.579999998211861
FS( 70 ),5070619.360000000335276,4803762.559999999590218,9874381.919999999925494
FS( 71 ),5111121.640000000596046,4824203.959999999962747,9935325.600000001490116
FS( 72 ),5129295.740000000223517,4845667.429999999701977,9974963.169999999925494
FS( 73 ),5144354.279999999329448,4837490.869999999180436,9981845.149999998509884
FS( 74 ),5081523.820000000298023,4888594.369999999180436,9970118.189999999478459
FS( 75 ),5062830.459999999962747,4864064.689999999478459,9926895.149999998509884
FS( 76 ),5062311.199999999254942,4916190.259999999776483,9978501.459999999031425
FS( 77 ),5053483.779999999329448,4800696.349999999627471,9854180.129999998956919
FS( 78 ),5066984.540000000037253,4747548.709999999962747,9814533.250000000000000
FS( 79 ),5041540.799999999813735,4737328.009999999776483,9778868.809999998658895
FS( 80 ),4990134.059999999590218,4705643.839999999850988,9695777.899999998509884
FS( 81 ),4987018.500000000000000,4684180.369999999180436,9671198.869999999180436
FS( 82 ),5054003.040000000037253,4690312.790000000037253,9744315.830000000074506
FS( 83 ),5099697.919999999925494,4758791.479999999515712,9858489.399999998509884
FS( 84 ),5149546.879999999888241,4770034.250000000000000,9919581.129999998956919
FS( 85 ),5185375.820000000298023,4782299.089999999850988,9967674.910000000149012
FS( 86 ),5162528.379999999888241,4800696.349999999627471,9963224.730000000447035
FS( 87 ),5147989.099999999627471,4770034.250000000000000,9918023.349999999627471
FS( 88 ),5182260.259999999776483,4766968.040000000037253,9949228.300000000745058
FS( 89 ),5158893.559999999590218,4765945.969999999739230,9924839.529999999329448
FS( 90 ),5136565.379999999888241,4738350.079999999143183,9874915.459999999031425
FS( 91 ),5160970.599999999627471,4827270.169999998994172,9988240.769999999552965
FS( 92 ),5130853.520000000484288,4865086.759999999776483,9995940.280000001192093
FS( 93 ),5103332.740000000223517,4890638.509999999776483,9993971.250000000000000
FS( 94 ),5159932.080000000074506,4871219.179999999701977,10031151.259999999776483
FS( 95 ),5154739.479999999515712,4853843.990000000223517,10008583.469999998807907
FS( 96 ),5226916.620000000111759,4856910.200000000186265,10083826.820000000298023
FS( 97 ),5232109.220000000670552,4850777.779999999329448,10082887.000000000000000
FS( 98 ),5249764.059999999590218,4848733.639999999664724,10098497.699999999254942
FS( 99 ),5180183.220000000670552,4791497.719999999739230,9971680.940000001341105
FS( 100 ),5043617.839999999850988,4711776.259999999776483,9755394.099999999627471
FS( 101 ),4822413.080000000074506,4572774.740000000223517,9395187.820000000298023
FS( 102 ),4736215.919999999925494,4446038.059999999590218,9182253.980000000447035
FS( 103 ),4940804.360000000335276,4615701.679999999701977,9556506.039999999105930
FS( 104 ),5054003.040000000037253,4720974.889999999664724,9774977.929999999701977
FS( 105 ),4997922.959999999962747,4708710.049999999813735,9706633.009999999776483
FS( 106 ),4934053.979999999515712,4702577.629999998956919,9636631.609999999403954
FS( 107 ),4853568.679999999701977,4589127.859999999403954,9442696.539999999105930
FS( 108 ),4987018.500000000000000,4635121.009999999776483,9622139.509999999776483
FS( 109 ),4985460.720000000670552,4672937.599999999627471,9658398.320000000298023
FS( 110 ),4925226.559999999590218,4580951.299999999813735,9506177.859999999403954
FS( 111 ),5025443.740000000223517,4689290.719999999739230,9714734.460000000894070
FS( 112 ),4955343.640000000596046,4639209.290000000037253,9594552.929999999701977
FS( 113 ),4945996.959999999962747,4646363.779999999329448,9592360.739999998360872
FS( 114 ),5058157.120000000111759,4673959.669999998994172,9732116.789999999105930
FS( 115 ),5035309.679999999701977,4665783.109999999403954,9701092.789999999105930
FS( 116 ),5098659.399999999441206,4739372.149999999441206,9838031.549999998882413
FS( 117 ),5124622.399999999441206,4720974.889999999664724,9845597.289999999105930
FS( 118 ),5080485.299999999813735,4622856.169999998994172,9703341.469999998807907
FS( 119 ),5039463.759999999776483,4555399.549999999813735,9594863.309999998658895
FS( 120 ),5083600.860000000335276,4578907.159999999217689,9662508.019999999552965
FS( 121 ),5047252.660000000149012,4541090.569999999366701,9588343.230000000447035
FS( 122 ),5056599.339999999850988,4495097.419999998994172,9551696.759999997913837
FS( 123 ),5051926.000000000000000,4506340.189999999478459,9558266.189999999478459
FS( 124 ),5067503.799999999813735,4519627.099999999627471,9587130.899999998509884
FS( 125 ),4982864.419999999925494,4470567.740000000223517,9453432.160000000149012
FS( 126 ),5061791.940000000409782,4449104.269999999552965,9510896.210000000894070
FS( 127 ),5116314.240000000223517,4447060.129999998956919,9563374.369999999180436
FS( 128 ),5129295.740000000223517,4390846.279999999329448,9520142.019999999552965
FS( 129 ),5181741.000000000000000,4378581.439999999478459,9560322.439999999478459
FS( 130 ),5253398.879999999888241,4497141.559999999590218,9750540.439999999478459
FS( 131 ),5291304.860000000335276,4503273.979999999515712,9794578.839999999850988
FS( 132 ),5284554.479999999515712,4481810.509999999776483,9766364.989999998360872
FS( 133 ),5345827.160000000149012,4520649.169999998994172,9866476.329999998211861
FS( 134 ),5335961.220000000670552,4513494.679999999701977,9849455.900000000372529
FS( 135 ),5360885.699999999254942,4527803.659999999217689,9888689.359999999403954
FS( 136 ),5368155.339999999850988,4533936.079999999143183,9902091.419999998062849
FS( 137 ),5339076.779999999329448,4496119.490000000223517,9835196.269999999552965
FS( 138 ),5382694.620000000111759,4565620.250000000000000,9948314.870000001043081
FS( 139 ),5442928.779999999329448,4568686.459999999962747,10011615.239999998360872
FS( 140 ),5425793.199999999254942,4568686.459999999962747,9994479.660000000149012
FS( 141 ),5392041.299999999813735,4623878.240000000223517,10015919.539999999105930
FS( 142 ),5324537.500000000000000,4585039.579999999143183,9909577.079999998211861
FS( 143 ),5757081.080000000074506,4690312.790000000037253,10447393.870000001043081
FS( 144 ),5846393.799999999813735,4717908.679999999701977,10564302.480000000447035
FS( 145 ),5825104.140000000596046,4738350.079999999143183,10563454.219999998807907
FS( 146 ),5797064.099999999627471,4718930.750000000000000,10515994.849999999627471
FS( 147 ),5864567.899999999441206,4750614.919999998994172,10615182.819999998435378
FS( 148 ),5847951.580000000074506,4742438.359999999403954,10590389.939999999478459
FS( 149 ),5828738.959999999962747,4791497.719999999739230,10620236.679999999701977
FS( 150 ),5821469.320000000298023,4781277.019999999552965,10602746.339999999850988
FS( 151 ),5819911.540000000037253,4747548.709999999962747,10567460.250000000000000
FS( 152 ),5836527.860000000335276,4715864.540000000037253,10552392.400000000372529
FS( 153 ),5859894.559999999590218,4721996.959999999962747,10581891.519999999552965
FS( 154 ),5883780.520000000484288,4679070.019999999552965,10562850.539999999105930
FS( 155 ),5864048.640000000596046,4630010.659999999217689,10494059.300000000745058
FS( 156 ),5879107.179999999701977,4609569.259999999776483,10488676.439999999478459
FS( 157 ),5911820.559999999590218,4632054.799999999813735,10543875.359999999403954
FS( 158 ),5821469.320000000298023,4581973.369999999180436,10403442.689999999478459
FS( 159 ),5710347.679999999701977,4520649.169999998994172,10230996.849999997764826
FS( 160 ),5766947.020000000484288,4603436.839999999850988,10370383.859999999403954
FS( 161 ),5760715.899999999441206,4607525.119999999180436,10368241.019999999552965
FS( 162 ),5843278.240000000223517,4638187.219999999739230,10481465.460000000894070
FS( 163 ),5883261.259999999776483,4677025.879999998956919,10560287.139999998733401
FS( 164 ),5914936.120000000111759,4639209.290000000037253,10554145.410000000149012
FS( 165 ),5944014.679999999701977,4598326.490000000223517,10542341.169999999925494
FS( 166 ),5934148.740000000223517,4618767.889999999664724,10552916.629999998956919
FS( 167 ),5940379.860000000335276,4591172.000000000000000,10531551.859999999403954
FS( 168 ),5931552.440000000409782,4622856.169999998994172,10554408.609999999403954
FS( 169 ),5927917.620000000111759,4645341.709999999962747,10573259.330000000074506
FS( 170 ),5942976.160000000149012,4658628.619999999180436,10601604.779999999329448
FS( 171 ),5905070.179999999701977,4591172.000000000000000,10496242.179999999701977
FS( 172 ),5887934.599999999627471,4554377.479999999515712,10442312.079999998211861
FS( 173 ),6033846.660000000149012,4671915.529999999329448,10705762.189999999478459
FS( 174 ),6045270.379999999888241,4707687.979999999515712,10752958.359999999403954
FS( 175 ),6050982.240000000223517,4670893.459999999962747,10721875.699999999254942
FS( 176 ),6053578.540000000037253,4636143.079999999143183,10689721.619999999180436
FS( 177 ),6085772.660000000149012,4632054.799999999813735,10717827.460000000894070
FS( 178 ),6027615.540000000037253,4580951.299999999813735,10608566.839999999850988
FS( 179 ),6036962.220000000670552,4645341.709999999962747,10682303.929999999701977
FS( 180 ),6071752.640000000596046,4655562.409999999217689,10727315.050000000745058
FS( 181 ),6119005.299999999813735,4753681.129999998956919,10872686.429999999701977
FS( 182 ),6101350.459999999962747,4711776.259999999776483,10813126.719999998807907
FS( 183 ),6057732.620000000111759,4656584.479999999515712,10714317.099999999627471
FS( 184 ),6111216.399999999441206,4691334.859999999403954,10802551.259999997913837
FS( 185 ),6112774.179999999701977,4736305.939999999478459,10849080.119999999180436
FS( 186 ),6168854.259999999776483,4798652.209999999962747,10967506.469999998807907
FS( 187 ),6156911.279999999329448,4774122.529999999329448,10931033.809999998658895
FS( 188 ),6166257.959999999962747,4778210.809999999590218,10944468.769999999552965
FS( 189 ),6234800.279999999329448,4825226.029999999329448,11060026.309999998658895
FS( 190 ),6201567.640000000596046,4780254.950000000186265,10981822.589999999850988
FS( 191 ),6134583.099999999627471,4724041.099999999627471,10858624.199999999254942
FS( 192 ),6105504.540000000037253,4688268.649999999441206,10793773.189999999478459
FS( 193 ),6189624.660000000149012,4752659.059999999590218,10942283.719999998807907
FS( 194 ),6148083.860000000335276,4652496.200000000186265,10800580.060000000521541
FS( 195 ),6005806.620000000111759,4626944.450000000186265,10632751.070000000298023
FS( 196 ),5996459.940000000409782,4581973.369999999180436,10578433.309999998658895
FS( 197 ),6059290.399999999441206,4608547.189999999478459,10667837.589999999850988
FS( 198 ),6098234.899999999441206,4592194.069999999366701,10690428.969999998807907
FS( 199 ),5977766.580000000074506,4512472.609999999403954,10490239.189999999478459
FS( 200 ),6055655.580000000074506,4586061.649999999441206,10641717.230000000447035
FS( 201 ),5980882.140000000596046,4541090.569999999366701,10521972.710000000894070
FS( 202 ),6101350.459999999962747,4586061.649999999441206,10687412.109999999403954
FS( 203 ),6012037.740000000223517,4540068.500000000000000,10552106.240000000223517
FS( 204 ),6119005.299999999813735,4688268.649999999441206,10807273.949999999254942
FS( 205 ),6148083.860000000335276,4807850.839999999850988,10955934.699999999254942
FS( 206 ),6189624.660000000149012,4806828.769999999552965,10996453.429999999701977
FS( 207 ),6253493.640000000596046,4931521.309999999590218,11185014.949999999254942
FS( 208 ),6276341.080000000074506,5011242.769999999552965,11287583.849999999627471
FS( 209 ),6354749.339999999850988,5009198.629999998956919,11363947.969999998807907
FS( 210 ),6427445.740000000223517,5107317.349999999627471,11534763.089999999850988
FS( 211 ),6470544.320000000298023,5188060.879999998956919,11658605.199999999254942
FS( 212 ),6436273.160000000149012,5101184.929999999701977,11537458.089999999850988
FS( 213 ),6307496.679999999701977,5173751.899999999441206,11481248.579999998211861
FS( 214 ),6265436.620000000111759,5154332.569999999366701,11419769.189999999478459
FS( 215 ),5992305.860000000335276,5209524.349999999627471,11201830.210000000894070
FS( 216 ),6026057.759999999776483,5186016.740000000223517,11212074.500000000000000
FS( 217 ),6075906.720000000670552,5125714.609999999403954,11201621.330000000074506
FS( 218 ),6103427.500000000000000,5108339.419999998994172,11211766.919999998062849
FS( 219 ),6061367.440000000409782,5048037.290000000037253,11109404.730000000447035
FS( 220 ),6123678.640000000596046,5121626.329999999143183,11245304.969999998807907
FS( 221 ),6188586.140000000596046,5134913.240000000223517,11323499.380000000819564
FS( 222 ),6160546.099999999627471,5143089.799999999813735,11303635.899999998509884
FS( 223 ),6084214.879999999888241,5206458.139999999664724,11290673.019999999552965
FS( 224 ),6050982.240000000223517,5198281.579999999143183,11249263.820000000298023
FS( 225 ),6110177.879999999888241,5219745.049999999813735,11329922.929999999701977
FS( 226 ),6070194.860000000335276,5174773.969999999739230,11244968.830000000074506
FS( 227 ),6078503.020000000484288,5194193.299999999813735,11272696.320000000298023
FS( 228 ),6146526.080000000074506,5223833.329999999143183,11370359.410000000149012
FS( 229 ),6078503.020000000484288,5214634.700000000186265,11293137.720000000670552
FS( 230 ),6085253.399999999441206,5184994.669999998994172,11270248.069999998435378
FS( 231 ),6171450.559999999590218,5259605.779999999329448,11431056.339999999850988
FS( 232 ),6152237.940000000409782,5327062.399999999441206,11479300.339999999850988
FS( 233 ),6059290.399999999441206,5303554.790000000037253,11362845.189999999478459
FS( 234 ),6084734.140000000596046,5295378.229999999515712,11380112.370000001043081
FS( 235 ),6083176.360000000335276,5336261.029999999329448,11419437.390000000596046
FS( 236 ),6149122.379999999888241,5361812.779999999329448,11510935.160000000149012
FS( 237 ),6212472.099999999627471,5349547.939999999478459,11562020.039999999105930
FS( 238 ),6230126.940000000409782,5347503.799999999813735,11577630.740000000223517
FS( 239 ),6311650.759999999776483,5368967.269999999552965,11680618.029999999329448
FS( 240 ),6381750.860000000335276,5369989.339999999850988,11751740.199999999254942
FS( 241 ),6409271.640000000596046,5383276.250000000000000,11792547.890000000596046
FS( 242 ),6413944.979999999515712,5438468.029999999329448,11852413.009999997913837
FS( 243 ),6395251.620000000111759,5481394.969999999739230,11876646.589999999850988
FS( 244 ),6443023.540000000037253,5441534.240000000223517,11884557.780000001192093
FS( 245 ),6429003.520000000484288,5461975.639999999664724,11890979.160000000149012
FS( 246 ),6429522.779999999329448,5438468.029999999329448,11867990.809999998658895
FS( 247 ),6448735.399999999441206,5407805.929999999701977,11856541.329999998211861
FS( 248 ),6402002.000000000000000,5474240.479999999515712,11876242.480000000447035
FS( 249 ),6395770.879999999888241,5457887.359999999403954,11853658.239999998360872
FS( 250 ),6437311.679999999701977,5524321.909999999217689,11961633.589999999850988
FS( 251 ),6533894.040000000037253,5523299.839999999850988,12057193.879999998956919
FS( 252 ),6526105.140000000596046,5527388.119999999180436,12053493.259999999776483
