代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,17127364.179999999701977
真實報酬,7127364.179999999701977

夏普值報酬,0.704036418000000
夏普值風險,0.191768215508083
夏普值,3.671288363062042

二次趨勢線,96.985941855884903 x^2 + 5744.997920869559493 x + 10000000.000000000000000
二次加權預期報酬,38396.931679017463466
風險,530812.771793920081109
二次加權趨勢值,0.072336111185216
一次趨勢線,24111.638640564062371 x + 10000000.000000000000000
一次預期報酬,24111.638640564062371
一次風險,872143.655644724727608
一次趨勢值,0.027646407199671
找到最佳解世代,2938
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),MRK[17](6),V[25](5),
FS( 74 ),4426437.250000000000000,2711832.719999999739230,3430638.000000000000000,10568908.969999998807907
FS( 75 ),4472733.429999999701977,2531189.040000000037253,3657683.000000000000000,10661606.469999998807907
FS( 76 ),4465017.399999998509884,2469899.219999999739230,3587823.000000000000000,10522740.619999997317791
FS( 77 ),4606477.949999999254942,2497855.979999999981374,3632733.000000000000000,10737067.929999999701977
FS( 78 ),4552465.740000000223517,2521511.699999999720603,3767463.000000000000000,10841441.439999999478459
FS( 79 ),4583329.859999999403954,2520436.439999999944121,3672653.000000000000000,10776420.299999998882413
FS( 80 ),4552465.740000000223517,2491404.420000000391155,3787423.000000000000000,10831294.160000000149012
FS( 81 ),4598761.919999999925494,2569898.399999999906868,3962073.000000000000000,11130734.320000000298023
FS( 82 ),4624482.019999999552965,2606457.239999999757856,4051892.999999999534339,11282833.259999999776483
FS( 83 ),4675922.219999998807907,2612908.800000000279397,4054388.000000000000000,11343220.019999999552965
FS( 84 ),4853390.910000000149012,2647317.120000000111759,4253988.000000000000000,11754697.030000001192093
FS( 85 ),4876539.000000000000000,2644091.339999999850988,4204088.000000000000000,11724719.339999999850988
FS( 86 ),4868822.969999998807907,2646241.859999999869615,4129238.000000000000000,11644303.829999998211861
FS( 87 ),4742794.480000000447035,2710757.459999999962747,4086822.999999999534339,11540375.939999999478459
FS( 88 ),4747938.500000000000000,2668822.319999999832362,4268958.000000000000000,11685719.820000000298023
FS( 89 ),4760798.550000000745058,2623661.399999999906868,4111773.000000000000000,11496233.950000001117587
FS( 90 ),4570469.809999998658895,2686026.479999999981374,4069357.999999999534339,11325855.289999999105930
FS( 91 ),4390429.109999999403954,2760219.420000000391155,4021953.000000000465661,11172602.529999999329448
FS( 92 ),4516457.599999999627471,2801079.300000000279397,4024447.999999999534339,11341985.900000000372529
FS( 93 ),4498453.529999999329448,2738714.219999999739230,4059378.000000000000000,11296546.750000000000000
FS( 94 ),4652774.129999998956919,2767746.239999999757856,4141713.000000000465661,11562234.369999999180436
FS( 95 ),4683638.250000000000000,2770972.020000000018626,4041913.000000000000000,11496524.269999999552965
FS( 96 ),4624482.019999999552965,2805380.339999999850988,4051892.999999999534339,11481756.359999999403954
FS( 97 ),4562753.779999999329448,2808606.120000000111759,4134228.000000000000000,11505588.899999998509884
FS( 98 ),4501025.539999999105930,2813982.420000000391155,4101793.000000000465661,11416801.959999999031425
FS( 99 ),4804522.719999998807907,2855917.560000000055879,4164168.000000000465661,11824609.279999999329448
FS( 100 ),4889399.050000000745058,2863444.379999999888241,4111773.000000000000000,11864617.429999999701977
FS( 101 ),4963987.339999999850988,2878498.020000000018626,4149197.999999999534339,11991684.359999999403954
FS( 102 ),4989707.439999999478459,2965594.079999999608845,4224048.000000000000000,12179350.519999999552965
FS( 103 ),5120879.949999999254942,2960217.780000000260770,4159178.000000000465661,12240276.730000000447035
FS( 104 ),5126023.969999998807907,2978497.199999999720603,4166663.000000000000000,12271185.169999998062849
FS( 105 ),5180036.179999999701977,2966669.339999999850988,4256483.000000000000000,12403189.519999999552965
FS( 106 ),5280344.570000000298023,2858068.079999999608845,4336323.000000000000000,12474736.650000000372529
FS( 107 ),5316352.710000000894070,2803229.819999999832362,4321353.000000000000000,12440936.530000001192093
FS( 108 ),5285488.589999999850988,2788176.180000000167638,4353788.000000000000000,12427453.769999999552965
FS( 109 ),5244336.429999999701977,2765595.719999999739230,4281433.000000000000000,12291366.149999998509884
FS( 110 ),5154316.080000000074506,2751617.339999999850988,4321353.000000000000000,12227287.419999999925494
FS( 111 ),5141456.029999999329448,2816132.939999999944121,4161673.000000000000000,12119262.969999998807907
FS( 112 ),5033431.609999999403954,2804305.079999999608845,4014468.000000000000000,11852205.689999999478459
FS( 113 ),4999995.480000000447035,2683875.959999999962747,4019458.000000000000000,11703330.440000001341105
FS( 114 ),5010283.519999999552965,2626887.180000000167638,3897203.000000000000000,11534374.699999999254942
FS( 115 ),4981991.410000000149012,2663446.020000000018626,3827343.000000000000000,11472781.429999999701977
FS( 116 ),4992279.449999999254942,2758068.899999999906868,3829838.000000000000000,11580187.349999999627471
FS( 117 ),5126023.969999998807907,2786025.660000000149012,3827343.000000000000000,11739393.629999998956919
FS( 118 ),5046291.660000000149012,2707531.680000000167638,3819858.000000000000000,11573682.339999999850988
FS( 119 ),4922835.179999999701977,2700004.859999999869615,3909678.000000000000000,11532519.039999999105930
FS( 120 ),5005139.500000000000000,2736563.699999999720603,3809878.000000000000000,11551582.199999999254942
FS( 121 ),5138884.019999999552965,2856992.819999999832362,3864768.000000000000000,11860645.839999999850988
FS( 122 ),5234048.390000000596046,2903229.000000000000000,3982033.000000000000000,12119311.390000000596046
FS( 123 ),5216044.320000000298023,2994626.100000000093132,3929638.000000000000000,12140309.419999999925494
FS( 124 ),5234048.390000000596046,3006453.959999999962747,3884728.000000000000000,12125231.350000001490116
FS( 125 ),5246908.439999999478459,3016131.300000000279397,3792413.000000000000000,12055453.740000000223517
FS( 126 ),5144028.039999999105930,2904304.260000000242144,3747503.000000000000000,11795836.299999998882413
FS( 127 ),5092587.839999999850988,2998927.140000000130385,3784928.000000000000000,11876443.980000000447035
FS( 128 ),4974275.379999998956919,2969895.120000000111759,3725048.000000000000000,11669219.500000000000000
FS( 129 ),5041147.640000000596046,3015056.040000000037253,3710078.000000000000000,11766282.679999999701977
FS( 130 ),5010283.519999999552965,2904304.260000000242144,3769958.000000000000000,11684546.779999999329448
FS( 131 ),5090015.830000000074506,2844089.699999999720603,3735028.000000000000000,11669134.529999999329448
FS( 132 ),5228904.369999999180436,2883874.319999999832362,3764968.000000000000000,11877747.689999999478459
FS( 133 ),5226332.359999999403954,2920433.160000000149012,3759978.000000000000000,11906744.519999999552965
FS( 134 ),5396085.019999999552965,2979572.459999999962747,3907183.000000000000000,12282841.480000000447035
FS( 135 ),5419233.109999999403954,2996776.620000000111759,4016963.000000000465661,12432973.730000000447035
FS( 136 ),5576125.719999998807907,2976346.680000000167638,3997003.000000000000000,12549476.399999998509884
FS( 137 ),5617277.879999998956919,3004303.439999999944121,4186623.000000000465661,12808205.319999998435378
FS( 138 ),5565837.679999999701977,3188172.899999999906868,4189118.000000000000000,12943129.580000000074506
FS( 139 ),5758738.429999999701977,3166667.699999999720603,4169158.000000000000000,13094565.129999998956919
FS( 140 ),5799890.589999999850988,3252688.500000000000000,4191613.000000000000000,13244193.089999999850988
FS( 141 ),5879622.899999998509884,3332257.739999999757856,4196603.000000000000000,13408484.639999998733401
FS( 142 ),5882194.910000000149012,3308602.020000000018626,4253988.000000000000000,13444785.929999999701977
FS( 143 ),5879622.899999998509884,3227957.520000000018626,4136722.999999999534339,13244304.419999998062849
FS( 144 ),5879622.899999998509884,3211828.620000000111759,4166663.000000000000000,13258115.519999999552965
FS( 145 ),5982503.300000000745058,3219355.439999999944121,4191613.000000000000000,13393472.740000000223517
FS( 146 ),6003079.379999998956919,3226882.260000000242144,4081833.000000000000000,13311795.639999998733401
FS( 147 ),6116247.820000000298023,3227957.520000000018626,4311373.000000000000000,13655579.339999999850988
FS( 148 ),6082811.689999999478459,3208602.839999999850988,4308878.000000000000000,13600293.529999999329448
FS( 149 ),6067379.629999998956919,3183871.859999999869615,4266463.000000000000000,13517715.489999998360872
FS( 150 ),6023655.460000000894070,3156990.359999999869615,4281433.000000000000000,13462079.820000000298023
FS( 151 ),6080239.679999999701977,3236559.600000000093132,4313868.000000000000000,13630668.279999999329448
FS( 152 ),6051947.570000000298023,3290322.600000000093132,4296403.000000000000000,13638674.169999999925494
FS( 153 ),5982503.300000000745058,3261290.579999999608845,4278938.000000000000000,13522732.880000000819564
FS( 154 ),6075095.660000000149012,3305376.239999999757856,4268958.000000000000000,13649430.900000000372529
FS( 155 ),6188264.099999999627471,3331182.479999999981374,4283928.000000000000000,13803375.580000000074506
FS( 156 ),6129107.869999999180436,3331182.479999999981374,4229038.000000000000000,13689329.349999999627471
FS( 157 ),5864190.839999999850988,3320429.879999999888241,4144208.000000000000000,13328829.719999998807907
FS( 158 ),6026227.469999998807907,3302150.459999999962747,4179138.000000000000000,13507516.929999999701977
FS( 159 ),6046803.550000000745058,3384945.479999999981374,4191613.000000000000000,13623363.030000001192093
FS( 160 ),6111103.800000000745058,3369891.839999999850988,4229038.000000000000000,13710034.640000000596046
FS( 161 ),6216556.210000000894070,3501073.560000000055879,4303888.000000000000000,14021518.770000001415610
FS( 162 ),6211412.189999999478459,3494622.000000000000000,4239018.000000000000000,13945053.189999999478459
FS( 163 ),6224272.240000000223517,3543008.700000000186265,4303888.000000000000000,14071169.940000001341105
FS( 164 ),6152255.960000000894070,3513976.680000000167638,4378738.000000000000000,14044971.640000000596046
FS( 165 ),6226844.250000000000000,3534406.619999999646097,4348798.000000000000000,14110049.869999999180436
FS( 166 ),6247420.330000000074506,3475267.319999999832362,4398698.000000000000000,14121386.650000000372529
FS( 167 ),6180548.070000000298023,3487095.180000000167638,4433628.000000000000000,14101272.250000000000000
FS( 168 ),6072523.649999998509884,3418278.540000000037253,4378738.000000000000000,13869541.189999997615814
FS( 169 ),6069951.640000000596046,3312903.060000000055879,4371253.000000000000000,13754108.700000001117587
FS( 170 ),6118819.830000000074506,3251613.239999999757856,4423648.000000000000000,13794082.070000000298023
FS( 171 ),6257708.369999999180436,3301075.199999999720603,4388718.000000000000000,13947502.569999998435378
FS( 172 ),6352872.740000000223517,3330107.219999999739230,4426143.000000000000000,14109123.960000000894070
FS( 173 ),6288572.490000000223517,3392472.300000000279397,4396203.000000000000000,14077248.790000000968575
FS( 174 ),6340012.689999999478459,3436557.959999999962747,4510973.000000000000000,14287544.649999998509884
FS( 175 ),6324580.629999998956919,3498923.040000000037253,4508478.000000000000000,14331982.669999998062849
FS( 176 ),6383736.859999999403954,3536557.140000000130385,4545903.000000000000000,14466198.000000000000000
FS( 177 ),6435177.059999998658895,3516127.200000000186265,4565863.000000000000000,14517168.259999997913837
FS( 178 ),6682090.019999999552965,3459138.420000000391155,4620753.000000000000000,14761982.439999999478459
FS( 179 ),6779826.399999998509884,3441934.259999999776483,4603288.000000000000000,14825049.659999998286366
FS( 180 ),6797830.469999998807907,3427955.879999999888241,4603288.000000000000000,14829075.349999997764826
FS( 181 ),6761822.330000000074506,3421504.319999999832362,4578338.000000000000000,14761665.650000000372529
FS( 182 ),6777254.390000000596046,3368816.579999999608845,4640713.000000000000000,14786784.970000000670552
FS( 183 ),6815834.539999999105930,3368816.579999999608845,4610773.000000000000000,14795425.119999999180436
FS( 184 ),6754106.300000000745058,3334408.260000000242144,4585823.000000000000000,14674338.560000000521541
FS( 185 ),6700094.089999999850988,3360214.500000000000000,4408678.000000000000000,14468987.589999999850988
FS( 186 ),6838982.629999998956919,3444084.780000000260770,4438618.000000000000000,14721686.410000000149012
FS( 187 ),6810690.519999999552965,3424730.100000000093132,4338818.000000000000000,14574239.619999999180436
FS( 188 ),6810690.519999999552965,3401074.379999999888241,4311373.000000000000000,14523138.899999998509884
FS( 189 ),6646081.879999998956919,3352687.680000000167638,4311373.000000000000000,14310143.559999998658895
FS( 190 ),6792686.449999999254942,3403224.899999999906868,4229038.000000000000000,14424950.349999999627471
FS( 191 ),6833838.609999999403954,3416128.020000000018626,4251493.000000000000000,14501460.629999998956919
FS( 192 ),6980443.179999999701977,3495697.259999999776483,4258978.000000000000000,14735119.439999999478459
FS( 193 ),6990731.219999998807907,3461288.939999999944121,4421153.000000000000000,14873174.159999998286366
FS( 194 ),6954723.080000000074506,3487095.180000000167638,4473548.000000000000000,14915367.259999999776483
FS( 195 ),6998447.250000000000000,3501073.560000000055879,4550893.000000000000000,15050414.810000000521541
FS( 196 ),7011307.300000000745058,3533331.359999999869615,4598298.000000000000000,15142937.660000000149012
FS( 197 ),6983015.189999999478459,3486019.920000000391155,4658178.000000000000000,15127214.109999999403954
FS( 198 ),7029311.369999999180436,3537632.399999999906868,4665663.000000000000000,15232607.769999999552965
FS( 199 ),7001019.259999999776483,3580642.799999999813735,4683128.000000000000000,15264791.059999998658895
FS( 200 ),6908426.899999998509884,3570965.459999999962747,4633228.000000000000000,15112621.359999999403954
FS( 201 ),6975299.160000000149012,3626878.979999999515712,4675643.000000000000000,15277822.140000000596046
FS( 202 ),7301944.429999999701977,3625803.719999999739230,4680633.000000000000000,15608382.149999998509884
FS( 203 ),7528281.309999998658895,3513976.680000000167638,4690613.000000000000000,15732871.989999998360872
FS( 204 ),7538569.349999999627471,3534406.619999999646097,4720553.000000000000000,15793529.969999998807907
FS( 205 ),7492273.169999999925494,3487095.180000000167638,4623248.000000000000000,15602617.349999999627471
FS( 206 ),7440832.969999998807907,3443009.520000000484288,4540913.000000000000000,15424756.489999998360872
FS( 207 ),7253076.240000000223517,3487095.180000000167638,4610773.000000000000000,15350945.419999999925494
FS( 208 ),7070463.529999999329448,3446235.299999999813735,4775443.000000000000000,15292142.829999998211861
FS( 209 ),7214496.089999999850988,3366666.060000000055879,4820353.000000000000000,15401516.150000000372529
FS( 210 ),6926430.969999998807907,3325806.180000000167638,4725543.000000000000000,14977781.149999998509884
FS( 211 ),6954723.080000000074506,3361289.760000000242144,4820353.000000000000000,15136366.839999999850988
FS( 212 ),6934147.000000000000000,3297849.420000000391155,4842808.000000000000000,15074805.419999999925494
FS( 213 ),7011307.300000000745058,3509675.640000000130385,4885223.000000000000000,15406206.940000001341105
FS( 214 ),7129619.759999999776483,3517202.459999999962747,4965063.000000000000000,15611886.219999998807907
FS( 215 ),7139907.800000000745058,3504299.340000000316650,4970053.000000000000000,15614261.140000000596046
FS( 216 ),7402252.820000000298023,3594621.180000000167638,5062368.000000000000000,16059243.000000000000000
FS( 217 ),7458837.039999999105930,3613975.859999999869615,5057378.000000000000000,16130191.899999998509884
FS( 218 ),7469125.080000000074506,3572040.719999999739230,5039913.000000000000000,16081079.800000000745058
FS( 219 ),7422828.899999998509884,3546234.479999999515712,4985023.000000000000000,15954087.379999998956919
FS( 220 ),7512849.250000000000000,3559137.600000000093132,4990013.000000000000000,16062000.849999999627471
FS( 221 ),7592581.559999998658895,3635481.060000000055879,4962568.000000000000000,16190631.619999999180436
FS( 222 ),7605441.609999999403954,3687093.540000000037253,5024943.000000000000000,16317479.149999998509884
FS( 223 ),7566861.460000000894070,3778490.640000000130385,5014963.000000000000000,16360316.100000001490116
FS( 224 ),7366244.679999999701977,3798920.579999999608845,5002488.000000000000000,16167654.259999999776483
FS( 225 ),7345668.599999999627471,3920424.959999999962747,4990013.000000000000000,16256107.559999998658895
FS( 226 ),7564289.449999999254942,3916123.920000000391155,5017458.000000000000000,16497872.369999999180436
FS( 227 ),7512849.250000000000000,3894618.719999999739230,5029933.000000000000000,16437401.969999998807907
FS( 228 ),7502561.210000000894070,3932252.819999999832362,5102288.000000000000000,16537103.030000001192093
FS( 229 ),7371388.699999999254942,3902145.540000000037253,5009973.000000000000000,16283508.239999998360872
FS( 230 ),7345668.599999999627471,3893543.459999999962747,5052388.000000000000000,16291601.059999998658895
FS( 231 ),7237644.179999999701977,3965585.880000000353903,5174643.000000000000000,16377874.060000000521541
FS( 232 ),7209352.070000000298023,3956983.799999999813735,5129733.000000000000000,16296069.870000001043081
FS( 233 ),7219640.109999999403954,3953758.020000000484288,4992508.000000000000000,16165907.129999998956919
FS( 234 ),7103899.660000000149012,3946231.200000000186265,5007478.000000000000000,16057609.859999999403954
FS( 235 ),6941863.029999999329448,3946231.200000000186265,4985023.000000000000000,15873118.230000000447035
FS( 236 ),6975299.160000000149012,3908597.100000000093132,4990013.000000000000000,15873910.259999999776483
FS( 237 ),7268508.300000000745058,3994617.899999999906868,5099793.000000000000000,16362920.200000001117587
FS( 238 ),7217068.099999999627471,4036553.040000000037253,5134723.000000000000000,16388345.140000000596046
FS( 239 ),7152767.849999999627471,3986015.819999999832362,5074843.000000000000000,16213627.669999999925494
FS( 240 ),7237644.179999999701977,4061284.020000000484288,5286918.000000000000000,16585847.199999999254942
FS( 241 ),7134763.779999999329448,4086015.000000000000000,5374243.000000000000000,16595022.779999999329448
FS( 242 ),7165627.899999998509884,4059133.500000000000000,5429133.000000000000000,16653895.399999998509884
FS( 243 ),7049887.449999999254942,4008596.280000000260770,5429133.000000000000000,16487617.730000000447035
FS( 244 ),7181059.960000000894070,4021499.399999999906868,5548893.000000000000000,16751453.360000001266599
FS( 245 ),7283940.359999999403954,4052681.939999999944121,5459073.000000000000000,16795696.299999997019768
FS( 246 ),7361100.660000000149012,4059133.500000000000000,5384223.000000000000000,16804458.160000000149012
FS( 247 ),7425400.910000000149012,4005370.500000000000000,5374243.000000000000000,16805015.410000000149012
FS( 248 ),7680029.899999998509884,3977413.740000000223517,5381728.000000000000000,17039172.640000000596046
FS( 249 ),7775194.269999999552965,4009671.540000000037253,5411668.000000000000000,17196534.809999998658895
FS( 250 ),7682601.910000000149012,3989241.600000000093132,5491508.000000000000000,17163352.509999997913837
FS( 251 ),7775194.269999999552965,3984940.560000000055879,5498993.000000000000000,17259128.829999998211861
FS( 252 ),7741758.140000000596046,3929027.040000000037253,5456578.000000000000000,17127364.179999999701977
