代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13308053.860000001266599
真實報酬,3308053.860000001266599

夏普值報酬,0.322105386000000
夏普值風險,0.091706678432314
夏普值,3.512343828238587

二次趨勢線,13.470872637372667 x^2 + 10931.915089779628033 x + 10000000.000000000000000
二次加權預期報酬,15449.147714178589013
風險,229765.324680579506094
二次加權趨勢值,0.067238813061353
一次趨勢線,13472.848398106903915 x + 10000000.000000000000000
一次預期報酬,13472.848398106903915
一次風險,248767.009316362469690
一次趨勢值,0.054158501302611
找到最佳解世代,1632
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
INTC[11](3),MRK[17](15),MSFT[18](1),NKE[19](4),V[25](2),
FS( 38 ),2074715.000000000000000,1951455.920000000158325,2132607.759999999776483,1835979.000000000000000,2211454.879999999888241,10206212.559999998658895
FS( 39 ),2072324.119999999878928,1958613.060000000055879,2136421.699999999720603,1838025.000000000000000,2214240.000000000000000,10219623.879999998956919
FS( 40 ),2071128.679999999701977,1970437.900000000139698,2136715.080000000074506,1832228.000000000000000,2223452.320000000298023,10233961.980000000447035
FS( 41 ),2075910.439999999711290,1964214.300000000046566,2143169.439999999944121,1798128.000000000000000,2223238.080000000074506,10204660.259999999776483
FS( 42 ),2085473.959999999962747,1964214.300000000046566,2171333.920000000391155,1792331.000000000000000,2222381.120000000111759,10235734.300000000745058
FS( 43 ),2096232.919999999925494,1987241.620000000111759,2193630.799999999813735,1800856.000000000000000,2217882.080000000074506,10295843.419999999925494
FS( 44 ),2097428.359999999869615,1986308.080000000074506,2169280.259999999776483,1819611.000000000000000,2226023.200000000186265,10298650.899999998509884
FS( 45 ),2093244.320000000065193,1979773.300000000046566,2159598.720000000204891,1807676.000000000000000,2206955.840000000316650,10247248.179999999701977
FS( 46 ),2137475.599999999627471,1991598.140000000130385,2153437.740000000223517,1799151.000000000000000,2210597.920000000391155,10292260.400000000372529
FS( 47 ),2124325.759999999776483,2001555.899999999906868,2181015.459999999962747,1786534.000000000000000,2240163.040000000037253,10333594.160000000149012
FS( 48 ),2103405.559999999590218,2000000.000000000000000,2170453.780000000260770,1780055.000000000000000,2237377.920000000391155,10291292.259999999776483
FS( 49 ),2138073.320000000298023,2026761.479999999981374,2193337.420000000391155,1808358.000000000000000,2274227.200000000186265,10440757.420000001788139
FS( 50 ),2157200.359999999869615,2037030.419999999925494,2190990.380000000353903,1820975.000000000000000,2275512.640000000130385,10481708.800000000745058
FS( 51 ),2171545.639999999664724,2036719.240000000223517,2206539.520000000018626,1825067.000000000000000,2267371.520000000018626,10507242.919999999925494
FS( 52 ),2180511.439999999478459,2057568.300000000279397,2193630.799999999813735,1832228.000000000000000,2272727.520000000018626,10536666.060000000521541
FS( 53 ),2211592.879999999888241,2058813.020000000018626,2209473.320000000298023,1837002.000000000000000,2256016.799999999813735,10572898.019999999552965
FS( 54 ),2211592.879999999888241,2053522.959999999962747,2205072.620000000111759,1824385.000000000000000,2245947.520000000018626,10540520.980000000447035
FS( 55 ),2225340.439999999478459,2052278.240000000223517,2213287.259999999776483,1818588.000000000000000,2258373.439999999944121,10567867.379999998956919
FS( 56 ),2215776.919999999925494,2047299.360000000335276,2198618.259999999776483,1826431.000000000000000,2258373.439999999944121,10546498.980000000447035
FS( 57 ),2223547.280000000260770,2041386.939999999944121,2177201.520000000018626,1813814.000000000000000,2256231.040000000037253,10512180.780000001192093
FS( 58 ),2222351.839999999850988,2026761.479999999981374,2183069.120000000111759,1815519.000000000000000,2261587.040000000037253,10509288.480000000447035
FS( 59 ),2221156.399999999906868,2028317.380000000353903,2149330.420000000391155,1815178.000000000000000,2207170.080000000074506,10421152.280000001192093
FS( 60 ),2239685.719999999739230,2015247.820000000298023,2149330.420000000391155,1831205.000000000000000,2205456.160000000149012,10440925.120000001043081
FS( 61 ),2243869.759999999776483,2009335.399999999906868,2166639.839999999850988,1796082.000000000000000,2225808.959999999962747,10441735.960000000894070
FS( 62 ),2261203.639999999664724,2000622.360000000335276,2167226.600000000093132,1794718.000000000000000,2240591.520000000018626,10464362.119999999180436
FS( 63 ),2276146.639999999664724,1992531.680000000167638,2185416.159999999683350,1768120.000000000000000,2240591.520000000018626,10462806.000000000000000
FS( 64 ),2333527.759999999776483,2008713.040000000037253,2188936.720000000204891,1768802.000000000000000,2259016.160000000149012,10558995.679999999701977
FS( 65 ),2353850.240000000223517,2003111.800000000279397,2178668.420000000391155,1755162.000000000000000,2262229.760000000242144,10553022.220000000670552
FS( 66 ),2351459.359999999869615,2010268.939999999944121,2191283.759999999776483,1775963.000000000000000,2256231.040000000037253,10585206.099999999627471
FS( 67 ),2362816.040000000037253,2010268.939999999944121,2228836.399999999906868,1779373.000000000000000,2276155.359999999869615,10657449.740000000223517
FS( 68 ),2368793.240000000223517,2008713.040000000037253,2229716.540000000037253,1787557.000000000000000,2286653.120000000111759,10681432.940000001341105
FS( 69 ),2382540.799999999813735,2001867.080000000074506,2238224.560000000055879,1756867.000000000000000,2292651.840000000316650,10672151.279999999329448
FS( 70 ),2369988.679999999701977,2005912.419999999925494,2238224.560000000055879,1757208.000000000000000,2299079.040000000037253,10670412.699999999254942
FS( 71 ),2349068.479999999515712,1984752.180000000167638,2242038.500000000000000,1740158.000000000000000,2323288.160000000149012,10639305.320000000298023
FS( 72 ),2342493.559999999590218,1986308.080000000074506,2262575.100000000093132,1733338.000000000000000,2316218.240000000223517,10640932.980000000447035
FS( 73 ),2371184.120000000111759,1972616.160000000149012,2273430.159999999683350,1738453.000000000000000,2328001.439999999944121,10683684.879999998956919
FS( 74 ),2376563.599999999627471,1971060.260000000242144,2278124.240000000223517,1751752.000000000000000,2320288.799999999813735,10697788.899999998509884
FS( 75 ),2378356.759999999776483,1967326.100000000093132,2276363.959999999962747,1773235.000000000000000,2304006.560000000055879,10699288.380000000819564
FS( 76 ),2405851.879999999888241,1976350.320000000065193,2276950.720000000204891,1783465.000000000000000,2309576.799999999813735,10752194.719999998807907
FS( 77 ),2396288.359999999869615,1983818.640000000130385,2285752.120000000111759,1796764.000000000000000,2292866.080000000074506,10755489.200000001117587
FS( 78 ),2416610.839999999850988,1987863.980000000214204,2312156.320000000298023,1809381.000000000000000,2304220.799999999813735,10830232.940000001341105
FS( 79 ),2440519.639999999664724,1972927.340000000083819,2312743.080000000074506,1829841.000000000000000,2303792.320000000298023,10859823.379999998956919
FS( 80 ),2447692.280000000260770,1963903.120000000111759,2313623.220000000204891,1821657.000000000000000,2322645.439999999944121,10869521.060000000521541
FS( 81 ),2437531.040000000037253,1943365.240000000223517,2306875.479999999981374,1873489.000000000000000,2345783.359999999869615,10907044.119999999180436
FS( 82 ),2471601.080000000074506,1929050.960000000195578,2310689.420000000391155,1937256.000000000000000,2352424.799999999813735,11001022.260000001639128
FS( 83 ),2653905.679999999701977,1812358.460000000195578,2458846.320000000298023,1908271.000000000000000,2350496.640000000130385,11183878.100000001490116
FS( 84 ),2652112.519999999552965,1702511.920000000158325,2461193.359999999869615,1884742.000000000000000,2357566.560000000055879,11058126.359999999403954
FS( 85 ),2719057.160000000149012,1714336.760000000242144,2440363.380000000353903,1875194.000000000000000,2356281.120000000111759,11105232.420000001788139
FS( 86 ),2791979.000000000000000,1722116.260000000242144,2440363.380000000353903,1877922.000000000000000,2379633.279999999795109,11212013.919999999925494
FS( 87 ),2815290.080000000074506,1723049.800000000046566,2465887.439999999944121,1879627.000000000000000,2377705.120000000111759,11261559.440000001341105
FS( 88 ),2769863.359999999869615,1744521.220000000204891,2468527.859999999869615,1899746.000000000000000,2385846.240000000223517,11268504.679999999701977
FS( 89 ),2791381.280000000260770,1738919.980000000214204,2478209.399999999906868,1910999.000000000000000,2397843.680000000167638,11317353.339999999850988
FS( 90 ),2796163.040000000037253,1729895.760000000242144,2472341.799999999813735,1880650.000000000000000,2401485.760000000242144,11280536.360000001266599
FS( 91 ),2791381.280000000260770,1760702.580000000074506,2480849.820000000298023,1901451.000000000000000,2409626.879999999888241,11344011.559999998658895
FS( 92 ),2767472.479999999515712,1749188.920000000158325,2467060.959999999962747,1914068.000000000000000,2402556.959999999962747,11300347.320000000298023
FS( 93 ),2724436.639999999664724,1726472.780000000027940,2460606.600000000093132,1912704.000000000000000,2396986.720000000204891,11221206.740000000223517
FS( 94 ),2734597.879999999888241,1714647.940000000176951,2462366.880000000353903,1906566.000000000000000,2386703.200000000186265,11204881.900000002235174
FS( 95 ),2741172.799999999813735,1711224.960000000195578,2465887.439999999944121,1908953.000000000000000,2399129.120000000111759,11226367.320000000298023
FS( 96 ),2717264.000000000000000,1705312.540000000037253,2434495.780000000260770,1931118.000000000000000,2362065.600000000093132,11150255.919999999925494
FS( 97 ),2728620.679999999701977,1716826.200000000186265,2440950.140000000130385,1951578.000000000000000,2378562.080000000074506,11216537.099999999627471
FS( 98 ),2667653.240000000223517,1717759.740000000223517,2417479.740000000223517,2018414.000000000000000,2352853.279999999795109,11174160.000000000000000
FS( 99 ),2667055.519999999552965,1683529.940000000176951,2421293.680000000167638,2020460.000000000000000,2355638.400000000372529,11147977.540000000968575
FS( 100 ),2686182.559999999590218,1688820.000000000232831,2456205.899999999906868,2025234.000000000000000,2387774.400000000372529,11244216.859999999403954
FS( 101 ),2668848.679999999701977,1691931.800000000046566,2438309.720000000204891,2014322.000000000000000,2374277.279999999795109,11187689.479999998584390
FS( 102 ),2674825.879999999888241,1691309.440000000176951,2442710.420000000391155,2022847.000000000000000,2398914.879999999888241,11230607.620000001043081
FS( 103 ),2659285.160000000149012,1697533.040000000037253,2460606.600000000093132,2033418.000000000000000,2407698.720000000204891,11258541.520000001415610
FS( 104 ),2673630.439999999478459,1709357.880000000121072,2490237.979999999981374,2031713.000000000000000,2428694.240000000223517,11333633.539999999105930
FS( 105 ),2627008.280000000260770,1722738.620000000111759,2445057.459999999962747,2058311.000000000000000,2353710.240000000223517,11206825.599999999627471
FS( 106 ),2680205.359999999869615,1719938.000000000232831,2469408.000000000000000,2060357.000000000000000,2412197.760000000242144,11342106.119999999180436
FS( 107 ),2670641.839999999850988,1738608.800000000046566,2472048.420000000391155,2041943.000000000000000,2372349.120000000111759,11295591.179999999701977
FS( 108 ),2659285.160000000149012,1749500.100000000093132,2378753.580000000074506,2049445.000000000000000,2301649.920000000391155,11138633.759999999776483
FS( 109 ),2596524.559999999590218,1735497.000000000232831,2393715.959999999962747,2060357.000000000000000,2326287.520000000018626,11112382.039999999105930
FS( 110 ),2597122.280000000260770,1691309.440000000176951,2428628.180000000167638,2036487.000000000000000,2351139.359999999869615,11104686.259999999776483
FS( 111 ),2575006.639999999664724,1704379.000000000232831,2420120.159999999683350,2066495.000000000000000,2386703.200000000186265,11152704.000000000000000
FS( 112 ),2591145.080000000074506,1729273.400000000139698,2469114.620000000111759,2090365.000000000000000,2412412.000000000000000,11292310.100000001490116
FS( 113 ),2609674.399999999906868,1753234.260000000242144,2500506.280000000260770,2111166.000000000000000,2407484.479999999981374,11382065.420000001788139
FS( 114 ),2589949.639999999664724,1775950.400000000139698,2510774.580000000074506,2120032.000000000000000,2430836.640000000130385,11427543.260000001639128
FS( 115 ),2590547.359999999869615,1770971.520000000018626,2504026.839999999850988,2192665.000000000000000,2427623.040000000037253,11485833.759999997913837
FS( 116 ),2585765.599999999627471,1742965.320000000065193,2484663.759999999776483,2200508.000000000000000,2419267.680000000167638,11433170.359999999403954
FS( 117 ),2663469.200000000186265,1750122.460000000195578,2548033.839999999850988,2209374.000000000000000,2438549.279999999795109,11609548.779999999329448
FS( 118 ),2765081.599999999627471,1749500.100000000093132,2534244.979999999981374,2210056.000000000000000,2432764.799999999813735,11691647.480000000447035
FS( 119 ),2811703.759999999776483,1749811.280000000027940,2518109.080000000074506,2190619.000000000000000,2402556.959999999962747,11672800.080000001937151
FS( 120 ),2842785.200000000186265,1746077.120000000111759,2509014.299999999813735,2168454.000000000000000,2402128.479999999981374,11668459.100000001490116
FS( 121 ),2794967.599999999627471,1761324.940000000176951,2508427.540000000037253,2208692.000000000000000,2408341.439999999944121,11681753.519999999552965
FS( 122 ),2791381.280000000260770,1753856.620000000111759,2508720.920000000391155,2158224.000000000000000,2414340.160000000149012,11626522.980000000447035
FS( 123 ),2754322.639999999664724,1753234.260000000242144,2505493.740000000223517,2170500.000000000000000,2420767.359999999869615,11604318.000000000000000
FS( 124 ),2756115.799999999813735,1753234.260000000242144,2514588.520000000018626,2146630.000000000000000,2442834.080000000074506,11613402.660000000149012
FS( 125 ),2762690.719999999739230,1761324.940000000176951,2514881.899999999906868,2146630.000000000000000,2449904.000000000000000,11635431.560000000521541
FS( 126 ),2759104.399999999906868,1751056.000000000232831,2509601.060000000055879,2132990.000000000000000,2442834.080000000074506,11595585.540000000968575
FS( 127 ),2800347.080000000074506,1749500.100000000093132,2521629.640000000130385,2165044.000000000000000,2453331.840000000316650,11689852.660000000149012
FS( 128 ),2705309.599999999627471,1747010.660000000149012,2533364.839999999850988,2164703.000000000000000,2477755.200000000186265,11628143.300000000745058
FS( 129 ),2655698.839999999850988,1775328.040000000037253,2555661.720000000204891,2163339.000000000000000,2486967.520000000018626,11636995.119999999180436
FS( 130 ),2674228.160000000149012,1773460.960000000195578,2587346.759999999776483,2181753.000000000000000,2546526.240000000223517,11763315.119999999180436
FS( 131 ),2674228.160000000149012,1763192.020000000018626,2589987.180000000167638,2201190.000000000000000,2556809.760000000242144,11785407.119999999180436
FS( 132 ),2607283.519999999552965,1767548.540000000037253,2588226.899999999906868,2185504.000000000000000,2551882.240000000223517,11700445.199999999254942
FS( 133 ),2540338.879999999888241,1783107.540000000037253,2576491.699999999720603,2189937.000000000000000,2549097.120000000111759,11638972.239999998360872
FS( 134 ),2594731.399999999906868,1792442.940000000176951,2584119.580000000074506,2192324.000000000000000,2567521.760000000242144,11731139.679999999701977
FS( 135 ),2584570.160000000149012,1825428.020000000018626,2628713.339999999850988,2205282.000000000000000,2572877.760000000242144,11816871.279999999329448
FS( 136 ),2578592.959999999962747,1931540.400000000139698,2592040.839999999850988,2162657.000000000000000,2579304.959999999962747,11844136.160000000149012
FS( 137 ),2653307.959999999962747,1930295.680000000167638,2644555.859999999869615,2175956.000000000000000,2613369.120000000111759,12017484.620000001043081
FS( 138 ),2658687.439999999478459,1902289.480000000214204,2643382.339999999850988,2186186.000000000000000,2637578.240000000223517,12028123.500000000000000
FS( 139 ),2679009.919999999925494,1906957.180000000167638,2640448.540000000037253,2291896.000000000000000,2628794.400000000372529,12147106.040000000968575
FS( 140 ),2734597.879999999888241,1906023.640000000130385,2687682.720000000204891,2263934.000000000000000,2663715.520000000018626,12255953.759999999776483
FS( 141 ),2753127.200000000186265,1920026.740000000223517,2696190.740000000223517,2289509.000000000000000,2670571.200000000186265,12329424.879999998956919
FS( 142 ),2720252.599999999627471,1903845.380000000121072,2693843.699999999720603,2318835.000000000000000,2668428.799999999813735,12305205.480000000447035
FS( 143 ),2707700.479999999515712,1907579.540000000037253,2708806.080000000074506,2308946.000000000000000,2682782.879999999888241,12315814.980000000447035
FS( 144 ),2993410.639999999664724,1930606.860000000102445,2759560.820000000298023,2320199.000000000000000,2706349.279999999795109,12710126.599999999627471
FS( 145 ),2987433.439999999478459,1917848.480000000214204,2755453.500000000000000,2304513.000000000000000,2674641.760000000242144,12639890.179999999701977
FS( 146 ),2916304.759999999776483,1887352.840000000083819,2720834.659999999683350,2295988.000000000000000,2647004.799999999813735,12467485.059999998658895
FS( 147 ),2877452.959999999962747,1843787.640000000130385,2787431.920000000391155,2326337.000000000000000,2661573.120000000111759,12496582.640000000596046
FS( 148 ),2848164.679999999701977,1862769.620000000111759,2765428.420000000391155,2306900.000000000000000,2693494.879999999888241,12476757.600000001490116
FS( 149 ),2758506.679999999701977,1822316.220000000204891,2692670.180000000167638,2292237.000000000000000,2590445.439999999944121,12156175.519999999552965
FS( 150 ),2661078.320000000298023,1755101.340000000083819,2581772.540000000037253,2195734.000000000000000,2491038.080000000074506,11684724.279999999329448
FS( 151 ),2684389.399999999906868,1725850.420000000158325,2679468.080000000074506,2224037.000000000000000,2570306.879999999888241,11884051.780000001192093
FS( 152 ),2701723.280000000260770,1738919.980000000214204,2629006.720000000204891,2238018.000000000000000,2563451.200000000186265,11871119.179999999701977
FS( 153 ),2555281.879999999888241,1703134.280000000027940,2494051.920000000391155,2130944.000000000000000,2439406.240000000223517,11322818.320000000298023
FS( 154 ),2627008.280000000260770,1707490.800000000046566,2587053.380000000353903,2233244.000000000000000,2492109.279999999795109,11646905.740000000223517
FS( 155 ),2679607.639999999664724,1724916.880000000121072,2614924.479999999981374,2249953.000000000000000,2538170.879999999888241,11807572.879999998956919
FS( 156 ),2657492.000000000000000,1708424.340000000083819,2635461.080000000074506,2246202.000000000000000,2535600.000000000000000,11783179.419999999925494
FS( 157 ),2712482.240000000223517,1708424.340000000083819,2664212.320000000298023,2317471.000000000000000,2588731.520000000018626,11991321.419999999925494
FS( 158 ),2744759.120000000111759,1742342.960000000195578,2718487.620000000111759,2328724.000000000000000,2619796.320000000298023,12154110.019999999552965
FS( 159 ),2723241.200000000186265,1751678.360000000102445,2699124.540000000037253,2329065.000000000000000,2610584.000000000000000,12113693.100000001490116
FS( 160 ),2768667.919999999925494,1710913.780000000027940,2720247.899999999906868,2301444.000000000000000,2614011.840000000316650,12115285.439999999478459
FS( 161 ),2745954.559999999590218,1697533.040000000037253,2684162.159999999683350,2286440.000000000000000,2580161.920000000391155,11994251.679999999701977
FS( 162 ),2737586.479999999515712,1698155.400000000139698,2691203.280000000260770,2289168.000000000000000,2579090.720000000204891,11995203.880000000819564
FS( 163 ),2852946.439999999478459,1707490.800000000046566,2759560.820000000298023,2324291.000000000000000,2633721.920000000391155,12278010.979999998584390
FS( 164 ),2935431.799999999813735,1744521.220000000204891,2799460.500000000000000,2375100.000000000000000,2669285.760000000242144,12523799.279999999329448
FS( 165 ),2983249.399999999906868,1702823.100000000093132,2763668.140000000130385,2319858.000000000000000,2643148.479999999981374,12412747.120000001043081
FS( 166 ),2946190.759999999776483,1687264.100000000093132,2751052.799999999813735,2285758.000000000000000,2633936.160000000149012,12304201.820000000298023
FS( 167 ),2859521.359999999869615,1671082.740000000223517,2724061.839999999850988,2261547.000000000000000,2579519.200000000186265,12095732.140000000596046
FS( 168 ),2927661.439999999478459,1691620.620000000111759,2729929.439999999944121,2246884.000000000000000,2587446.080000000074506,12183541.580000000074506
FS( 169 ),2973685.879999999888241,1692865.340000000083819,2747238.859999999869615,2218240.000000000000000,2611226.720000000204891,12243256.800000000745058
FS( 170 ),3031067.000000000000000,1689753.540000000037253,2737850.699999999720603,2224719.000000000000000,2593659.040000000037253,12277049.280000001192093
FS( 171 ),3067527.919999999925494,1695043.600000000093132,2753693.220000000204891,2188232.000000000000000,2610584.000000000000000,12315080.740000000223517
FS( 172 ),3032860.160000000149012,1704067.820000000065193,2770415.880000000353903,2220286.000000000000000,2618510.879999999888241,12346140.740000002086163
FS( 173 ),3119529.559999999590218,1715892.660000000149012,2832319.060000000055879,2260865.000000000000000,2667571.840000000316650,12596178.119999999180436
FS( 174 ),3079482.320000000298023,1722738.620000000111759,2839066.799999999813735,2278597.000000000000000,2661787.359999999869615,12581672.099999999627471
FS( 175 ),3095023.040000000037253,1723049.800000000046566,2769829.120000000111759,2256432.000000000000000,2639506.400000000372529,12483840.360000001266599
FS( 176 ),3099804.799999999813735,1705312.540000000037253,2753399.839999999850988,2257455.000000000000000,2626223.520000000018626,12442195.699999999254942
FS( 177 ),3041228.240000000223517,1719315.640000000130385,2763081.380000000353903,2263934.000000000000000,2644005.439999999944121,12431564.700000001117587
FS( 178 ),3058562.120000000111759,1732385.200000000186265,2775403.339999999850988,2247566.000000000000000,2668000.320000000298023,12481916.980000000447035
FS( 179 ),3038239.639999999664724,1700022.480000000214204,2725235.359999999869615,2240746.000000000000000,2639720.640000000130385,12343964.120000001043081
FS( 180 ),3081275.479999999515712,1700333.660000000149012,2732276.479999999981374,2277915.000000000000000,2676141.439999999944121,12467942.059999998658895
FS( 181 ),3081873.200000000186265,1701889.560000000055879,2713206.780000000260770,2262570.000000000000000,2639934.879999999888241,12399474.419999998062849
FS( 182 ),3038239.639999999664724,1684152.300000000046566,2634287.560000000055879,2196757.000000000000000,2570735.359999999869615,12124171.859999999403954
FS( 183 ),2950374.799999999813735,1662058.520000000018626,2557715.380000000353903,2203918.000000000000000,2506677.600000000093132,11880744.300000000745058
FS( 184 ),3136863.439999999478459,1681662.860000000102445,2751346.180000000167638,2247225.000000000000000,2584660.959999999962747,12401758.440000001341105
FS( 185 ),3059757.559999999590218,1672638.640000000130385,2624899.399999999906868,2256432.000000000000000,2515247.200000000186265,12128974.800000000745058
FS( 186 ),2964720.080000000074506,1714336.760000000242144,2622552.359999999869615,2231539.000000000000000,2506463.359999999869615,12039611.559999998658895
FS( 187 ),3112954.639999999664724,1695043.600000000093132,2677707.799999999813735,2265639.000000000000000,2562808.479999999981374,12314153.519999999552965
FS( 188 ),2924075.120000000111759,1657702.000000000232831,2597028.299999999813735,2186527.000000000000000,2536456.959999999962747,11901789.379999998956919
FS( 189 ),2973685.879999999888241,1683218.760000000242144,2631940.520000000018626,2274505.000000000000000,2553810.400000000372529,12117160.560000000521541
FS( 190 ),2988031.160000000149012,1697221.860000000102445,2708806.080000000074506,2333157.000000000000000,2566879.040000000037253,12294095.140000000596046
FS( 191 ),3011342.240000000223517,1696910.680000000167638,2710272.979999999981374,2373054.000000000000000,2596444.160000000149012,12388024.060000000521541
FS( 192 ),2916304.759999999776483,1660502.620000000111759,2647196.280000000260770,2303490.000000000000000,2521674.400000000372529,12049168.060000000521541
