代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11742095.779999999329448
真實報酬,1742095.779999999329448

夏普值報酬,0.165509578000000
夏普值風險,0.058565259194491
夏普值,2.826070955314212

二次趨勢線,98.734981771514086 x^2 + 4247.568168219931067 x + 10000000.000000000000000
二次加權預期報酬,20769.221784653291252
風險,104132.798927957526757
二次加權趨勢值,0.199449376166506
一次趨勢線,13540.850815040786983 x + 10000000.000000000000000
一次預期報酬,13540.850815040786983
一次風險,202952.623571801465005
一次趨勢值,0.066719269634128
找到最佳解世代,1828
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](3),MCD[15](1),MMM[16](2),
FS( 38 ),3322966.280000000260770,3538705.419999999925494,3499201.059999999590218,10360873.759999999776483
FS( 39 ),3346092.040000000502914,3557096.980000000447035,3488717.299999999813735,10391907.320000000298023
FS( 40 ),3362040.839999999850988,3596109.380000000353903,3554428.009999999776483,10512579.230000000447035
FS( 41 ),3386761.479999999981374,3573259.259999999776483,3554989.639999999664724,10515011.379999998956919
FS( 42 ),3387558.919999999925494,3564063.480000000447035,3544131.459999999962747,10495754.859999999403954
FS( 43 ),3363635.720000000204891,3567686.060000000055879,3536455.849999999627471,10467778.629999998956919
FS( 44 ),3348484.360000000335276,3568800.699999999720603,3540012.839999999850988,10457298.900000000372529
FS( 45 ),3348484.360000000335276,3569358.020000000018626,3547875.659999999683350,10465719.040000000968575
FS( 46 ),3351674.120000000577420,3570751.319999999832362,3555176.849999999627471,10477603.289999999105930
FS( 47 ),3372407.560000000055879,3566292.760000000242144,3579701.359999999869615,10518402.679999999701977
FS( 48 ),3351674.120000000577420,3555982.339999999850988,3585504.870000000111759,10493162.330000001937151
FS( 49 ),3346889.479999999981374,3561276.879999999888241,3563226.879999999888241,10471394.239999998360872
FS( 50 ),3358851.080000000074506,3563506.160000000149012,3579514.149999999441206,10501872.390000000596046
FS( 51 ),3369217.800000000279397,3566292.760000000242144,3562852.459999999962747,10498364.019999999552965
FS( 52 ),3351674.120000000577420,3584684.319999999832362,3601230.509999999776483,10537589.949999999254942
FS( 53 ),3363635.720000000204891,3588585.560000000055879,3613399.159999999683350,10565621.439999999478459
FS( 54 ),3389153.800000000279397,3581340.400000000372529,3596924.679999999701977,10567419.880000000819564
FS( 55 ),3379584.520000000484288,3597502.679999999701977,3598609.569999999832362,10575697.769999999552965
FS( 56 ),3362838.280000000260770,3594716.080000000074506,3597111.889999999664724,10554667.250000000000000
FS( 57 ),3358851.080000000074506,3604190.520000000018626,3585317.659999999683350,10548360.259999999776483
FS( 58 ),3374799.880000000353903,3608370.420000000391155,3565098.979999999981374,10548270.280000001192093
FS( 59 ),3383571.720000000204891,3607255.779999999795109,3575582.739999999757856,10566411.240000000223517
FS( 60 ),3382774.280000000260770,3590257.520000000018626,3569779.229999999981374,10542812.030000001192093
FS( 61 ),3397128.200000000186265,3603633.199999999720603,3581011.829999999608845,10581774.230000000447035
FS( 62 ),3384369.160000000149012,3611714.340000000316650,3581947.879999999888241,10578032.379999998956919
FS( 63 ),3381976.839999999850988,3611714.340000000316650,3570528.069999999832362,10564220.250000000000000
FS( 64 ),3403507.720000000204891,3602797.219999999739230,3560605.939999999478459,10566911.879999998956919
FS( 65 ),3394735.880000000353903,3634007.140000000130385,3561541.989999999757856,10590286.009999999776483
FS( 66 ),3402710.280000000260770,3626761.980000000447035,3554989.639999999664724,10584462.900000000372529
FS( 67 ),3397925.640000000130385,3621467.440000000409782,3556861.739999999757856,10576255.820000000298023
FS( 68 ),3404305.160000000149012,3622024.759999999776483,3551619.859999999869615,10577950.779999999329448
FS( 69 ),3401912.839999999850988,3656021.279999999795109,3558359.419999999459833,10616294.539999999105930
FS( 70 ),3424241.160000000149012,3657693.239999999757856,3551432.649999999441206,10633368.050000000745058
FS( 71 ),3412279.560000000055879,3643760.239999999757856,3531775.599999999627471,10587816.399999998509884
FS( 72 ),3434607.880000000353903,3660201.179999999701977,3563788.509999999776483,10658598.570000000298023
FS( 73 ),3467302.919999999925494,3686673.880000000353903,3561167.569999999832362,10715145.370000001043081
FS( 74 ),3447366.919999999925494,3696148.319999999832362,3553866.379999999888241,10697382.620000001043081
FS( 75 ),3436202.760000000707805,3713703.900000000372529,3578765.309999999590218,10728672.970000000670552
FS( 76 ),3434607.880000000353903,3717605.140000000130385,3585130.449999999720603,10737344.470000000670552
FS( 77 ),3451354.120000000577420,3740455.259999999776483,3636238.779999999329448,10828049.160000000149012
FS( 78 ),3437797.640000000130385,3948614.279999999795109,3653087.679999999701977,11039500.599999999627471
FS( 79 ),3448164.360000000335276,3924649.520000000018626,3650653.949999999720603,11023468.830000000074506
FS( 80 ),3429823.240000000223517,3925485.500000000000000,3671434.259999999776483,11026744.000000000000000
FS( 81 ),3440987.400000000372529,3899291.460000000428408,3666192.379999999888241,11006472.240000002086163
FS( 82 ),3446569.479999999981374,3933287.980000000447035,3647096.959999999962747,11026955.420000001788139
FS( 83 ),3460125.960000000428408,3935517.259999999776483,3679297.079999999608845,11074941.300000000745058
FS( 84 ),3454543.880000000353903,3974251.000000000000000,3699890.179999999701977,11128686.060000000521541
FS( 85 ),3481656.839999999850988,3997379.779999999795109,3735085.659999999683350,11214123.279999999329448
FS( 86 ),3484049.160000000149012,4011591.440000000409782,3733026.349999999627471,11228667.949999999254942
FS( 87 ),3499997.960000000428408,4019393.920000000391155,3718985.599999999627471,11238378.480000000447035
FS( 88 ),3469695.240000000223517,4022737.840000000316650,3706068.109999999869615,11198502.189999999478459
FS( 89 ),3474479.880000000353903,4027196.400000000372529,3681356.389999999664724,11183033.670000001788139
FS( 90 ),3482454.280000000260770,4018557.940000000409782,3683415.699999999720603,11184428.919999999925494
FS( 91 ),3476074.760000000707805,4050603.840000000316650,3680045.919999999459833,11206725.520000001415610
FS( 92 ),3487238.919999999925494,4076240.560000000055879,3699890.179999999701977,11263370.660000000149012
FS( 93 ),3496808.200000000186265,4104385.219999999739230,3705132.059999999590218,11306326.480000000447035
FS( 94 ),3503187.720000000204891,4079863.140000000130385,3647658.589999999850988,11230710.449999999254942
FS( 95 ),3492821.000000000000000,4096582.739999999757856,3655146.989999999757856,11244551.730000000447035
FS( 96 ),3500795.400000000372529,4128349.980000000447035,3665630.750000000000000,11294777.130000000819564
FS( 97 ),3523123.720000000204891,4129464.620000000111759,3716364.659999999683350,11368954.000000000000000
FS( 98 ),3539869.960000000428408,4119154.199999999720603,3701762.279999999329448,11360787.439999999478459
FS( 99 ),3590906.120000000577420,4165969.080000000074506,3697269.239999999757856,11454145.440000001341105
FS( 100 ),3621208.839999999850988,4173771.560000000055879,3735647.289999999571592,11530628.689999999478459
FS( 101 ),3619613.960000000428408,4176000.840000000316650,3756802.019999999552965,11552417.820000000298023
FS( 102 ),3622803.720000000204891,4177951.460000000428408,3789938.189999999478459,11590694.370000001043081
FS( 103 ),3625993.479999999981374,4204702.819999999366701,3827941.819999999832362,11658639.119999999180436
FS( 104 ),3651511.560000000055879,4246501.819999999366701,3825695.299999999813735,11723709.679999999701977
FS( 105 ),3659485.960000000428408,4284120.919999999925494,3869689.649999999441206,11813297.530000001192093
FS( 106 ),3667460.360000000335276,4257648.219999999739230,3860703.569999999832362,11785813.150000000372529
FS( 107 ),3666662.919999999925494,4214177.259999999776483,3845539.559999999590218,11726380.739999998360872
FS( 108 ),3629183.240000000223517,4233962.120000000111759,3838051.159999999683350,11701197.519999999552965
FS( 109 ),3598880.520000000484288,4219750.459999999962747,3855461.689999999478459,11674093.669999999925494
FS( 110 ),3614031.880000000353903,4221143.759999999776483,3873995.479999999981374,11709172.120000001043081
FS( 111 ),3614829.320000000298023,4137267.100000000093132,3882607.139999999664724,11634704.559999998658895
FS( 112 ),3590906.120000000577420,4174886.199999999720603,3914807.259999999776483,11680600.580000000074506
FS( 113 ),3612437.000000000000000,4198850.959999999962747,3931656.159999999683350,11742945.119999999180436
FS( 114 ),3608449.800000000279397,4212505.299999999813735,3955619.039999999571592,11776575.139999998733401
FS( 115 ),3613234.440000000409782,4235355.419999999925494,3992124.989999999757856,11840715.849999999627471
FS( 116 ),3618816.520000000484288,4267401.319999999366701,3994371.509999999776483,11880590.349999999627471
FS( 117 ),3637157.640000000130385,4293316.700000000186265,3994371.509999999776483,11924846.849999999627471
FS( 118 ),3606057.479999999981374,4283842.259999999776483,3985011.009999999776483,11874911.750000000000000
FS( 119 ),3594095.880000000353903,4313658.880000000819564,3973029.569999999832362,11880785.330000001937151
FS( 120 ),3608449.800000000279397,4309200.319999999366701,3985759.849999999627471,11903410.969999998807907
FS( 121 ),3622803.720000000204891,4290251.440000000409782,3980330.759999999776483,11893386.919999999925494
FS( 122 ),3592501.000000000000000,4283563.599999999627471,3927350.329999999608845,11803415.929999999701977
FS( 123 ),3614031.880000000353903,4299725.880000000819564,3943075.969999999739230,11856834.730000000447035
FS( 124 ),3574957.320000000298023,4267122.660000000149012,3891218.799999999813735,11733299.780000001192093
FS( 125 ),3576552.200000000186265,4267958.639999999664724,3897583.939999999478459,11742095.779999999329448
