代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11390921.909999998286366
真實報酬,1390921.909999998286366

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,11208.882154080816690
風險,110095.006828738478362
起點值,0.101810994675872
找到最佳解世代,2565
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](3),JNJ[12](11),NKE[19](8),V[25](2),
FS( 12 ),2400963.999999999534339,2550366.680000000167638,2663213.450000000186265,2523688.899999999906868,10138233.029999999329448
FS( 13 ),2403322.000000000000000,2556248.919999999925494,2681223.209999999962747,2475521.470000000204891,10116315.599999999627471
FS( 14 ),2391060.399999999906868,2523161.319999999832362,2619314.659999999683350,2482628.140000000130385,10016164.519999999552965
FS( 15 ),2403322.000000000000000,2504044.040000000037253,2612561.000000000000000,2457359.979999999981374,9977287.019999999552965
FS( 16 ),2413225.600000000093132,2476103.399999999906868,2615937.829999999608845,2421037.000000000000000,9926303.830000000074506
FS( 17 ),2408509.600000000093132,2482720.919999999925494,2631696.369999999646097,2412351.069999999832362,9935277.959999999031425
FS( 18 ),2495283.999999999534339,2527205.359999999869615,2718368.339999999850988,2502368.890000000130385,10243226.589999999850988
FS( 19 ),2533012.000000000000000,2555881.279999999795109,2730750.050000000279397,2548957.060000000055879,10368600.390000000596046
FS( 20 ),2511318.399999999906868,2553307.800000000279397,2696981.750000000000000,2582911.149999999906868,10344519.099999999627471
FS( 21 ),2460857.199999999720603,2544852.080000000074506,2627193.929999999701977,2548167.430000000167638,10181070.639999998733401
FS( 22 ),2437277.199999999720603,2550734.319999999832362,2617063.439999999944121,2516582.229999999981374,10121657.189999999478459
FS( 23 ),2423600.799999999813735,2516543.800000000279397,2604681.729999999981374,2552115.580000000074506,10096941.910000000149012
FS( 24 ),2466044.799999999813735,2541175.680000000167638,2660962.229999999981374,2585280.040000000037253,10253462.750000000000000
FS( 25 ),2452368.399999999906868,2530881.760000000242144,2687976.869999999646097,2586859.299999999813735,10258086.329999998211861
FS( 26 ),2471232.399999999906868,2510661.560000000055879,2705986.629999999888241,2574225.220000000204891,10262105.810000000521541
FS( 27 ),2489624.799999999813735,2512867.399999999906868,2699232.970000000204891,2589228.189999999944121,10290953.359999999403954
FS( 28 ),2506602.399999999906868,2511764.479999999981374,2675595.159999999683350,2537112.610000000335276,10231074.649999998509884
FS( 29 ),2502358.000000000000000,2523528.959999999962747,2659836.619999999646097,2548167.430000000167638,10233891.009999999776483
FS( 30 ),2491039.600000000093132,2516911.439999999944121,2696981.750000000000000,2533164.459999999962747,10238097.250000000000000
FS( 31 ),2580172.000000000000000,2523528.959999999962747,2671092.720000000204891,2563960.029999999795109,10338753.709999999031425
FS( 32 ),2593848.399999999906868,2512867.399999999906868,2651957.349999999627471,2548167.430000000167638,10306840.580000000074506
FS( 33 ),2655628.000000000000000,2507352.800000000279397,2667715.889999999664724,2560011.879999999888241,10390708.570000000298023
FS( 34 ),2675435.199999999720603,2492647.199999999720603,2709363.459999999962747,2540271.129999999888241,10417716.989999998360872
FS( 35 ),2667889.600000000093132,2488970.800000000279397,2694730.530000000260770,2530005.939999999944121,10381596.870000001043081
FS( 36 ),2656099.600000000093132,2491911.919999999925494,2696981.750000000000000,2517371.859999999869615,10362365.129999998956919
FS( 37 ),2671190.799999999813735,2490809.000000000000000,2694730.530000000260770,2529216.310000000055879,10385946.640000000596046
FS( 38 ),2666946.399999999906868,2490441.359999999869615,2685725.649999999906868,2510265.189999999944121,10353378.599999999627471
FS( 39 ),2686282.000000000000000,2485294.399999999906868,2726247.609999999869615,2500789.629999999888241,10398613.640000000596046
FS( 40 ),2672605.600000000093132,2481250.359999999869615,2713865.899999999906868,2520530.379999999888241,10388252.239999998360872
FS( 41 ),2666003.200000000186265,2481985.640000000130385,2782528.109999999869615,2515002.970000000204891,10445519.919999999925494
FS( 42 ),2680622.800000000279397,2476838.680000000167638,2776900.060000000055879,2527637.049999999813735,10461998.589999999850988
FS( 43 ),2670247.599999999627471,2470956.439999999944121,2751011.030000000260770,2501579.259999999776483,10393794.329999998211861
FS( 44 ),2676378.399999999906868,2479044.520000000018626,2739754.929999999701977,2531585.200000000186265,10426763.050000000745058
FS( 45 ),2678264.799999999813735,2472794.640000000130385,2737503.709999999962747,2537112.610000000335276,10425675.759999999776483
FS( 46 ),2666474.799999999813735,2473162.279999999795109,2739754.929999999701977,2518951.119999999646097,10398343.129999998956919
FS( 47 ),2718822.399999999906868,2494117.760000000242144,2799412.260000000242144,2556853.360000000335276,10569205.780000001192093
FS( 48 ),2700430.000000000000000,2495588.319999999832362,2793784.209999999962747,2560801.509999999776483,10550604.039999999105930
FS( 49 ),2702316.399999999906868,2506617.520000000018626,2815170.800000000279397,2540271.129999999888241,10564375.850000001490116
FS( 50 ),2674963.599999999627471,2507352.800000000279397,2805040.310000000055879,2595545.229999999515712,10582901.940000001341105
FS( 51 ),2690526.399999999906868,2505514.600000000093132,2837683.000000000000000,2635026.729999999515712,10668750.730000000447035
FS( 52 ),2749476.399999999906868,2536396.359999999869615,2791532.990000000223517,2664243.040000000037253,10741648.789999999105930
FS( 53 ),2804182.000000000000000,2517279.080000000074506,2719493.950000000186265,2650029.700000000186265,10690984.730000000447035
FS( 54 ),2778243.999999999534339,2509191.000000000000000,2756639.079999999608845,2642923.029999999795109,10686997.109999999403954
FS( 55 ),2775886.000000000000000,2520220.199999999720603,2749885.419999999925494,2638974.879999999888241,10684966.500000000000000
FS( 56 ),2804653.599999999627471,2522058.399999999906868,2748759.810000000055879,2661084.520000000018626,10736556.330000000074506
FS( 57 ),2795693.200000000186265,2533087.600000000093132,2721745.169999999925494,2657136.369999999646097,10707662.339999999850988
FS( 58 ),2802295.600000000093132,2538969.839999999850988,2716117.119999999646097,2665032.669999999925494,10722415.229999998584390
FS( 59 ),2800880.799999999813735,2536764.000000000000000,2682348.819999999832362,2640554.139999999664724,10660547.759999997913837
FS( 60 ),2816443.599999999627471,2548528.479999999981374,2675595.159999999683350,2656346.739999999757856,10696913.980000000447035
FS( 61 ),2790505.600000000093132,2536764.000000000000000,2686851.260000000242144,2616075.610000000335276,10630196.469999998807907
FS( 62 ),2823989.200000000186265,2537131.640000000130385,2701484.189999999944121,2643712.659999999683350,10706317.689999999478459
FS( 63 ),2847097.599999999627471,2533455.239999999757856,2671092.720000000204891,2650819.330000000074506,10702464.890000000596046
FS( 64 ),2856529.600000000093132,2541543.319999999832362,2689102.479999999981374,2698986.759999999776483,10786162.160000000149012
FS( 65 ),2845211.199999999720603,2535293.439999999944121,2672218.329999999608845,2684773.419999999925494,10737496.389999998733401
FS( 66 ),2913121.600000000093132,2536764.000000000000000,2639575.639999999664724,2734520.110000000335276,10823981.349999999627471
FS( 67 ),2911706.799999999813735,2546690.279999999795109,2698107.359999999869615,2757419.379999999888241,10913923.820000000298023
FS( 68 ),2980560.399999999906868,2560660.600000000093132,2680097.599999999627471,2769263.830000000074506,10990582.429999999701977
FS( 69 ),2918309.200000000186265,2552940.160000000149012,2673343.939999999944121,2738468.259999999776483,10883061.560000000521541
FS( 70 ),2874450.399999999906868,2515073.239999999757856,2658711.010000000242144,2699776.389999999664724,10748011.039999999105930
FS( 71 ),2817386.799999999813735,2508088.080000000074506,2651957.349999999627471,2712410.470000000204891,10689842.699999999254942
FS( 72 ),2782960.000000000000000,2498897.080000000074506,2671092.720000000204891,2744785.299999999813735,10697735.100000001490116
FS( 73 ),2808898.000000000000000,2498897.080000000074506,2657585.399999999906868,2746364.560000000055879,10711745.040000000968575
FS( 74 ),2860302.399999999906868,2522058.399999999906868,2690228.089999999850988,2761367.529999999795109,10833956.419999999925494
FS( 75 ),2870206.000000000000000,2556984.199999999720603,2736378.099999999627471,2786635.689999999944121,10950203.989999998360872
FS( 76 ),2895200.799999999813735,2610292.000000000000000,2745382.979999999981374,2814272.739999999757856,11065148.519999999552965
FS( 77 ),2914536.399999999906868,2666173.279999999795109,2745382.979999999981374,2800849.029999999795109,11126941.689999999478459
FS( 78 ),2918780.799999999813735,2641909.040000000037253,2713865.899999999906868,2762946.790000000037253,11037502.530000001192093
FS( 79 ),2925854.799999999813735,2638967.919999999925494,2658711.010000000242144,2743995.669999999925494,10967529.400000000372529
FS( 80 ),2912178.399999999906868,2606247.959999999962747,2612561.000000000000000,2697407.499999999534339,10828394.859999999403954
FS( 81 ),2890013.200000000186265,2600733.359999999869615,2613686.609999999869615,2694248.979999999515712,10798682.149999998509884
FS( 82 ),2852285.199999999720603,2615438.959999999962747,2569787.819999999832362,2715568.989999999757856,10753080.970000000670552
FS( 83 ),2831534.799999999813735,2606615.600000000093132,2565285.379999999888241,2730571.959999999962747,10734007.740000000223517
FS( 84 ),2894729.200000000186265,2603674.479999999981374,2572039.040000000037253,2739257.889999999664724,10809700.609999999403954
FS( 85 ),2936230.000000000000000,2628674.000000000000000,2683474.429999999701977,2840330.529999999795109,11088708.959999999031425
FS( 86 ),2924911.600000000093132,2606615.600000000093132,2660962.229999999981374,2830854.970000000204891,11023344.400000000372529
FS( 87 ),2941889.200000000186265,2602571.560000000055879,2681223.209999999962747,2793742.360000000335276,11019426.330000000074506
FS( 88 ),2953207.599999999627471,2610659.640000000130385,2704861.020000000018626,2840330.529999999795109,11109058.789999999105930
FS( 89 ),2923496.799999999813735,2586027.760000000242144,2663213.450000000186265,2814272.739999999757856,10987010.750000000000000
FS( 90 ),2870206.000000000000000,2560660.600000000093132,2585546.359999999869615,2804797.180000000167638,10821210.139999998733401
FS( 91 ),2874922.000000000000000,2568748.680000000167638,2597928.069999999832362,2821379.409999999683350,10862978.160000000149012
FS( 92 ),2884353.999999999534339,2561763.520000000018626,2596802.459999999962747,2827696.450000000186265,10870616.429999999701977
FS( 93 ),2989049.200000000186265,2555513.640000000130385,2574290.260000000242144,2811903.850000000093132,10930756.949999999254942
FS( 94 ),2898973.599999999627471,2546690.279999999795109,2549526.839999999850988,2762946.790000000037253,10758137.509999997913837
FS( 95 ),2888598.399999999906868,2539337.479999999981374,2556280.500000000000000,2763736.419999999925494,10747952.800000000745058
FS( 96 ),2929627.599999999627471,2543749.160000000149012,2605807.339999999850988,2817431.259999999776483,10896615.359999999403954
FS( 97 ),2986691.199999999720603,2545955.000000000000000,2710489.069999999832362,2875074.249999999534339,11118209.519999999552965
FS( 98 ),3009799.600000000093132,2561395.879999999888241,2690228.089999999850988,2889287.590000000316650,11150711.160000000149012
FS( 99 ),3022532.800000000279397,2558454.760000000242144,2690228.089999999850988,2895604.629999999888241,11166820.280000001192093
FS( 100 ),3056959.599999999627471,2557351.839999999850988,2722870.780000000260770,2924031.310000000055879,11261213.529999999329448
FS( 101 ),3049885.600000000093132,2540072.760000000242144,2748759.810000000055879,2906659.450000000186265,11245377.620000001043081
FS( 102 ),3025833.999999999534339,2529778.839999999850988,2729624.439999999944121,2897973.520000000018626,11183210.799999998882413
FS( 103 ),3057431.199999999720603,2547425.560000000055879,2789281.770000000018626,2907449.080000000074506,11301587.609999999403954
FS( 104 ),3029606.799999999813735,2544852.080000000074506,2784779.329999999608845,2925610.569999999832362,11284848.779999999329448
FS( 105 ),3068749.599999999627471,2563601.720000000204891,2743131.760000000242144,2955616.509999999776483,11331099.589999999850988
FS( 106 ),3064505.200000000186265,2560660.600000000093132,2745382.979999999981374,2934296.499999999534339,11304845.280000001192093
FS( 107 ),3029606.799999999813735,2568381.040000000037253,2748759.810000000055879,2913766.119999999646097,11260513.769999999552965
FS( 108 ),3019231.599999999627471,2572425.080000000074506,2748759.810000000055879,2923241.680000000167638,11263658.169999999925494
FS( 109 ),3034322.800000000279397,2575366.199999999720603,2770146.399999999906868,2931137.979999999515712,11310973.379999998956919
FS( 110 ),3039510.399999999906868,2590071.800000000279397,2774648.839999999850988,2932717.239999999757856,11336948.279999999329448
FS( 111 ),2973014.799999999813735,2595586.399999999906868,2760015.909999999683350,2935086.129999999888241,11263703.239999998360872
FS( 112 ),2965940.799999999813735,2613968.399999999906868,2797161.040000000037253,2939823.909999999683350,11316894.149999998509884
FS( 113 ),2967827.199999999720603,2608821.439999999944121,2791532.990000000223517,2919293.529999999795109,11287475.160000000149012
FS( 114 ),2943303.999999999534339,2601101.000000000000000,2738629.319999999832362,2905869.819999999832362,11188904.140000000596046
FS( 115 ),2926798.000000000000000,2598895.160000000149012,2727373.220000000204891,2898763.149999999906868,11151829.530000001192093
FS( 116 ),2985748.000000000000000,2608086.160000000149012,2757764.689999999944121,2943772.060000000055879,11295370.910000000149012
FS( 117 ),2971128.399999999906868,2608453.800000000279397,2783653.720000000204891,2975357.259999999776483,11338593.179999999701977
FS( 118 ),2913121.600000000093132,2596689.319999999832362,2752136.639999999664724,2944561.689999999944121,11206509.250000000000000
FS( 119 ),2922553.599999999627471,2601101.000000000000000,2785904.939999999944121,3010100.979999999515712,11319660.519999999552965
FS( 120 ),2891899.600000000093132,2583454.279999999795109,2958123.270000000018626,2976146.889999999664724,11409624.039999999105930
FS( 121 ),2903689.600000000093132,2574263.279999999795109,2971630.589999999850988,2984832.819999999832362,11434416.289999999105930
FS( 122 ),2883410.799999999813735,2579777.879999999888241,2889461.060000000055879,2956406.139999999664724,11309055.879999998956919
FS( 123 ),2880109.600000000093132,2576836.760000000242144,2913098.869999999646097,2949299.470000000204891,11319344.700000001117587
FS( 124 ),2860302.399999999906868,2554410.720000000204891,2870325.689999999944121,2934296.499999999534339,11219335.310000000521541
FS( 125 ),2916894.399999999906868,2577204.399999999906868,2904093.990000000223517,2992729.119999999646097,11390921.909999998286366
