代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12158224.700000001117587
真實報酬,2158224.700000001117587

夏普值報酬,0.207122470000000
夏普值風險,0.053926836157060
夏普值,3.840805149346450

預期報酬,16243.506948604745048
風險,126684.503790946109802
趨勢值,0.128220156866302
找到最佳解世代,2133
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MRK[17](20),MSFT[18](13),V[25](2),
20131105,3197293.089999999850988,3656685.000000000000000,3771305.550000000279397,10625284.640000000596046
20131106,3239585.290000000037253,3810377.000000000000000,3803408.249999999534339,10853371.539999999105930
20131107,3229717.109999999869615,3742513.000000000000000,3747610.700000000186265,10719841.809999998658895
20131108,3298794.369999999646097,3770457.000000000000000,3788885.600000000093132,10858137.969999998807907
20131111,3312891.770000000018626,3751495.000000000465661,3807994.350000000093132,10872382.120000001043081
20131112,3354479.100000000093132,3728541.000000000000000,3788885.600000000093132,10871906.699999999254942
20131113,3336857.350000000093132,3808380.999999999534339,3817930.899999999906868,10963170.250000000000000
20131114,3370691.109999999869615,3794409.000000000465661,3824810.049999999813735,10989911.160000000149012
20131115,3388312.859999999869615,3776445.000000000465661,3859970.149999999906868,11024729.009999999776483
20131118,3384083.639999999664724,3712573.000000000465661,3820223.949999999720603,10916881.589999999850988
20131119,3388312.859999999869615,3666665.000000000000000,3772069.899999999906868,10827048.759999999776483
20131120,3392542.080000000074506,3700597.000000000000000,3785828.200000000186265,10878968.280000001192093
20131121,3427080.709999999962747,3732533.000000000000000,3852326.649999999906868,11011941.359999999403954
20131122,3449636.549999999813735,3749499.000000000000000,3862263.200000000186265,11061399.750000000000000
20131125,3500387.189999999944121,3756485.000000000000000,3858441.449999999720603,11115314.639999998733401
20131126,3494748.229999999981374,3727543.000000000000000,3889015.450000000186265,11111307.679999999701977
20131127,3512369.979999999981374,3752493.000000000000000,3898187.649999999906868,11163051.630000000819564
20131129,3512369.979999999981374,3805387.000000000465661,3888251.099999999627471,11206009.080000000074506
20131202,3537040.430000000167638,3837323.000000000465661,3919589.450000000186265,11293953.880000000819564
20131203,3507435.889999999664724,3823351.000000000000000,3855384.049999999813735,11186171.939999999478459
20131204,3475716.740000000223517,3886225.000000000000000,3874492.799999999813735,11236435.539999999105930
20131205,3440473.240000000223517,3792413.000000000000000,3854619.699999999720603,11087506.939999999478459
20131206,3481355.700000000186265,3828341.000000000000000,3857677.099999999627471,11167374.800000000745058
20131209,3493338.490000000223517,3863271.000000000000000,3852326.649999999906868,11208937.140000000596046
20131210,3484175.180000000167638,3803391.000000000000000,3811051.750000000000000,11098618.929999999701977
20131211,3450341.420000000391155,3753491.000000000000000,3930290.350000000093132,11134123.769999999552965
20131212,3405934.609999999869615,3714569.000000000000000,3887486.750000000000000,11007991.359999999403954
20131213,3410163.830000000074506,3661675.000000000000000,3962393.050000000279397,11034232.880000000819564
20131216,3389722.600000000093132,3680637.000000000465661,3970036.549999999813735,11040397.150000000372529
20131217,3376330.069999999832362,3644709.000000000465661,4074752.500000000000000,11095792.570000000298023
20131218,3446817.069999999832362,3650697.000000000000000,4115263.050000000279397,11212778.120000001043081
20131219,3439063.500000000000000,3617763.000000000000000,4129021.350000000093132,11185848.849999999627471
20131220,3476421.609999999869615,3672652.999999999534339,4126728.300000000279397,11275803.910000000149012
20131223,3479241.089999999850988,3654688.999999999534339,4166474.499999999534339,11300405.589999999850988
20131224,3482765.439999999944121,3700597.000000000000000,4179468.449999999720603,11362831.889999998733401
20131226,3504616.410000000149012,3736525.000000000000000,4207749.400000000372529,11448891.810000000521541
20131227,3509550.500000000000000,3721555.000000000000000,4197812.849999999627471,11428919.349999999627471
20131230,3520123.549999999813735,3721555.000000000000000,4221507.699999999254942,11463187.250000000000000
20131231,3527877.119999999646097,3733530.999999999534339,4255139.099999999627471,11516548.219999998807907
20140102,3488404.400000000372529,3708580.999999999534339,4223036.400000000372529,11420022.800000000745058
20140103,3505321.279999999795109,3683630.999999999534339,4226093.800000000745058,11415047.080000000074506
20140106,3506026.150000000372529,3605787.000000000465661,4200870.250000000000000,11312684.400000000372529
20140107,3532106.339999999850988,3633730.999999999534339,4232972.949999999254942,11398811.289999999105930
20140108,3509550.500000000000000,3568861.000000000000000,4246731.250000000000000,11325143.750000000000000
20140109,3490519.010000000242144,3545907.000000000000000,4240616.449999999254942,11277043.459999999031425
20140110,3515894.330000000074506,3596805.000000000000000,4225329.449999999254942,11338029.779999999329448
20140113,3744272.209999999962747,3491016.999999999534339,4183290.199999999720603,11418580.409999998286366
20140114,3735813.770000000018626,3570857.000000000000000,4254374.750000000000000,11561046.519999999552965
20140115,3701980.010000000242144,3668661.000000000000000,4275776.549999998882413,11646418.559999998658895
20140116,3700570.270000000018626,3681635.000000000000000,4237559.049999998882413,11619765.319999998435378
20140117,3661802.420000000391155,3630737.000000000465661,4437054.400000000372529,11729594.820000000298023
20140121,3653343.979999999981374,3609779.000000000000000,4431703.949999999254942,11694827.929999999701977
20140122,3619510.220000000204891,3585827.000000000000000,4452341.400000000372529,11657679.620000001043081
20140123,3637131.970000000204891,3598801.000000000000000,4361383.750000000000000,11597317.720000000670552
20140124,3663917.029999999795109,3673651.000000000000000,4227622.500000000000000,11565191.529999999329448
20140127,3702684.879999999888241,3595807.000000000000000,4132078.750000000000000,11430571.629999998956919
20140128,3726650.459999999962747,3619759.000000000465661,4222272.050000000745058,11568682.510000001639128
20140129,3680129.040000000037253,3658680.999999999534339,4148894.450000000186265,11487705.489999998360872
20140130,3771762.139999999664724,3678641.000000000000000,4220743.349999999627471,11671147.489999998360872
20140131,3733699.160000000149012,3776445.000000000465661,4116791.750000000000000,11626936.910000000149012
20140203,3670965.729999999981374,3640716.999999999534339,4079338.599999999627471,11391022.329999998211861
20140204,3771762.139999999664724,3627743.000000000000000,4099976.049999999813735,11499482.189999999478459
20140205,3773171.879999999888241,3574849.000000000000000,4119849.149999999906868,11467871.029999999329448
20140206,3790088.760000000242144,3610777.000000000000000,4184818.899999999906868,11585685.660000000149012
20140207,3860575.760000000242144,3648701.000000000000000,4238323.400000000372529,11747601.160000000149012
20140210,3869034.200000000186265,3672652.999999999534339,4214628.550000000745058,11756316.750000000000000
20140211,3926128.670000000391155,3709579.000000000000000,4248259.949999999254942,11883968.619999999180436
20140212,3876787.770000000018626,3739519.000000000000000,4283420.050000000745058,11899727.820000000298023
20140213,3883836.470000000204891,3753491.000000000000000,4281127.000000000000000,11918455.470000000670552
20140214,3907802.049999999813735,3754488.999999999534339,4318580.150000000372529,11980872.199999999254942
20140218,3925423.799999999813735,3734529.000000000000000,4320108.849999999627471,11980062.649999998509884
20140219,3879607.250000000000000,3743511.000000000000000,4278069.599999999627471,11901188.849999999627471
20140220,3933882.240000000223517,3767463.000000000000000,4270426.099999999627471,11971772.339999999850988
20140221,3949389.379999999888241,3790416.999999999534339,4268133.050000000745058,12007940.429999999701977
20140224,3959962.430000000167638,3761475.000000000000000,4322401.900000000372529,12043840.330000000074506
20140225,3940930.939999999944121,3746505.000000000000000,4339981.949999999254942,12027418.889999998733401
20140226,3966306.260000000242144,3739519.000000000000000,4320873.199999999254942,12026699.459999999031425
20140227,3993796.189999999944121,3778441.000000000000000,4323930.599999999627471,12096168.789999999105930
20140228,4017056.900000000372529,3823351.000000000000000,4317815.800000000745058,12158224.700000001117587
