代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14569344.359999999403954
真實報酬,4569344.359999999403954

夏普值報酬,0.448234436000000
夏普值風險,0.096861511654232
夏普值,4.627580432567164

預期報酬,35790.452199207145895
風險,210957.872596493369201
趨勢值,0.169656869206606
找到最佳解世代,3324
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,3
CAT[3](2),DIS[6](7),XOM[29](1),
20101220,4772862.839999999850988,3796352.760000000242144,4072632.119999999646097,12641848.719999998807907
20101221,4840900.319999999366701,3824011.020000000018626,4100828.119999999646097,12765740.459999999031425
20101222,4837830.959999999962747,3887522.580000000074506,4105339.479999999515712,12830694.019999999552965
20101223,4831692.240000000223517,3861913.080000000074506,4127896.280000000260770,12821502.600000001490116
20101227,4812252.959999999962747,3839376.719999999739230,4117181.800000000279397,12768812.480000000447035
20101228,4792813.679999999701977,3827084.160000000149012,4140302.520000000018626,12760201.359999999403954
20101229,4797417.719999999739230,3851669.280000000260770,4137482.919999999925494,12786570.919999999925494
20101230,4802021.760000000707805,3839376.719999999739230,4136919.000000000000000,12778318.480000000447035
20101231,4791279.000000000000000,3842449.859999999869615,4123384.919999999925494,12757114.779999999329448
20110103,4816345.440000000409782,3874205.640000000130385,4204025.479999999515712,12894577.559999998658895
20110104,4793836.799999999813735,3994058.100000000093132,4223762.680000000633299,13011658.580000001937151
20110105,4835273.160000000149012,4093422.959999999962747,4212484.280000000260770,13141181.400000002235174
20110106,4785140.280000000260770,4061667.179999999701977,4239552.440000000409782,13086360.900000002235174
20110107,4794859.919999999925494,4041179.580000000074506,4262673.160000000149012,13098713.660000000149012
20110110,4777466.879999999888241,4046301.479999999981374,4236732.839999999850988,13060502.199999999254942
20110111,4806114.240000000223517,4036057.679999999701977,4268312.359999999403954,13110485.279999999329448
20110112,4782582.479999999515712,4012496.939999999944121,4318501.240000000223517,13113581.660000000149012
20110113,4815833.879999999888241,4021716.359999999869615,4325832.199999999254942,13163383.439999999478459
20110114,4809183.600000000558794,4024789.500000000000000,4389555.160000000149012,13223529.260000001639128
20110118,4922749.919999999925494,4035033.299999999813735,4438616.199999999254942,13396400.419999998062849
20110119,4887452.280000000260770,4004301.900000000372529,4412111.959999999962747,13303867.140000000596046
20110120,4788721.200000000186265,4012496.939999999944121,4384479.879999999888241,13185699.019999999552965
20110121,4744727.040000000037253,4070886.600000000093132,4453842.040000000037253,13269456.679999999701977
20110124,4837830.959999999962747,4091374.199999999720603,4431849.160000000149012,13361055.320000000298023
20110125,4828622.879999999888241,4083179.160000000149012,4436924.440000000409782,13348727.480000000447035
20110126,4898195.040000000037253,4040155.199999999720603,4492188.599999999627471,13430539.839999999850988
20110127,4943212.319999999366701,4042203.959999999962747,4504594.839999999850988,13490012.119999999180436
20110128,4894614.120000000111759,3979716.780000000260770,4454405.959999999962747,13328737.859999999403954
20110131,4962651.600000000558794,3981765.539999999571592,4549708.440000000409782,13494126.580000001937151
20110201,5013807.600000000558794,4085227.920000000391155,4731854.599999999627471,13830891.120000001043081
20110202,5069056.080000000074506,4147715.100000000093132,4703658.599999999627471,13920430.779999999329448
20110203,5060871.120000000111759,4148739.479999999981374,4705350.359999999403954,13914961.959999999031425
20110204,5094634.080000000074506,4170251.459999999962747,4696327.639999999664724,13961214.179999999701977
20110207,5139651.360000000335276,4193812.199999999720603,4732982.440000000409782,14066447.000000000000000
20110208,5146813.200000000186265,4218397.320000000298023,4679410.040000000037253,14044621.559999998658895
20110209,5104865.280000000260770,4441712.160000000149012,4655161.479999999515712,14201739.920000001788139
20110210,5146301.639999999664724,4436590.259999999776483,4691816.280000000260770,14274709.179999999701977
20110211,5296700.280000000260770,4446834.060000000521541,4670387.319999999366701,14413922.660000000149012
20110214,5282376.600000000558794,4429419.599999999627471,4788246.599999999627471,14500043.799999998882413
20110215,5269076.040000000037253,4414053.900000000372529,4678846.120000000111759,14361977.060000002384186
20110216,5297211.839999999850988,4476541.080000000074506,4719448.359999999403954,14493202.279999999329448
20110217,5287492.200000000186265,4476541.080000000074506,4730162.839999999850988,14494197.120000001043081
20110218,5415382.200000000186265,4462199.759999999776483,4765125.879999999888241,14642708.839999999850988
20110222,5218431.600000000558794,4368981.179999999701977,4818134.359999999403954,14405548.140000000596046
20110223,5116631.160000000149012,4315713.419999999925494,4910053.319999999366701,14342398.899999998509884
20110224,5144766.959999999962747,4345420.439999999478459,4848022.120000000111759,14338210.519999999552965
20110225,5217920.040000000037253,4399712.580000000074506,4812495.160000000149012,14430128.780000001192093
20110228,5265495.120000000111759,4480638.599999999627471,4823209.639999999664724,14569344.359999999403954
