代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12802288.070000000298023
真實報酬,2802288.070000000298023

夏普值報酬,0.271528807000000
夏普值風險,0.074939201494486
夏普值,3.623321326955686

預期報酬,23469.525329903233796
風險,144267.887457269884180
趨勢值,0.162680176049951
找到最佳解世代,3043
找到最佳解實驗#,2
找到最佳解次數,11

stock[index](rank)
投資組合檔數,4
BA[2](1),CSCO[4](15),UNH[23](8),VZ[26](16),
20130408,2935897.839999999850988,2500000.000000000000000,2802477.079999999608845,2833637.320000000298023,11072012.240000000223517
20130409,2951465.619999999646097,2548614.399999999906868,2815608.569999999832362,2829624.500000000000000,11145313.089999999850988
20130410,2972109.849999999627471,2609382.399999999906868,2826023.199999999720603,2858287.500000000000000,11265802.949999999254942
20130411,2996138.379999999888241,2636120.320000000298023,2851833.369999999646097,2895549.399999999906868,11379641.470000000670552
20130412,3008321.859999999869615,2617889.919999999925494,2854097.419999999925494,2915613.500000000000000,11395922.699999999254942
20130415,2936574.699999999720603,2558337.280000000260770,2788892.779999999795109,2903001.780000000260770,11186806.539999999105930
20130416,2940635.859999999869615,2571706.240000000223517,2844135.600000000093132,2892683.100000000093132,11249160.799999998882413
20130417,2933867.259999999776483,2507292.159999999683350,2808816.419999999925494,2839943.180000000167638,11089919.019999999552965
20130418,2914576.750000000000000,2501215.359999999869615,2702858.879999999422580,2918479.799999999813735,11037130.789999999105930
20130419,2976847.869999999646097,2486631.040000000037253,2718707.229999999515712,2995296.640000000130385,11177482.779999999329448
20130422,2942328.009999999776483,2502430.719999999739230,2681576.809999999590218,2991857.080000000074506,11118192.619999999180436
20130423,2984293.330000000074506,2541322.240000000223517,2650785.729999999515712,2999309.459999999962747,11175710.759999999776483
20130424,3073977.279999999795109,2478123.520000000018626,2662105.979999999515712,2969499.939999999944121,11183706.719999998807907
20130425,3102405.399999999906868,2508507.520000000018626,2687010.529999999795109,3050902.859999999869615,11348826.309999998658895
20130426,3142340.139999999664724,2512153.600000000093132,2693349.869999999646097,3074406.520000000484288,11422250.129999998956919
20130429,3110189.290000000037253,2549829.760000000242144,2717348.799999999813735,3064661.100000000093132,11442028.950000001117587
20130430,3093606.219999999739230,2542537.600000000093132,2713726.319999999832362,3090457.799999999813735,11440327.940000001341105
20130501,3085822.330000000074506,2476908.159999999683350,2704217.309999999590218,3003895.540000000037253,11270843.339999999850988
20130502,3120680.619999999646097,2519445.760000000242144,2693349.869999999646097,3011347.920000000391155,11344824.169999999925494
20130503,3172460.409999999683350,2531599.359999999869615,2667992.509999999776483,3019946.820000000298023,11391999.099999999627471
20130506,3187689.759999999776483,2529168.639999999664724,2725952.189999999944121,2983831.439999999944121,11426642.029999999329448
20130507,3207995.560000000055879,2476908.159999999683350,2739536.489999999757856,3033705.060000000055879,11458145.269999999552965
20130508,3182613.310000000055879,2518230.399999999906868,2830551.299999999813735,3044597.000000000000000,11575992.009999999776483
20130509,3201903.819999999832362,2531599.359999999869615,2807910.799999999813735,3021666.600000000093132,11563080.580000000074506
20130510,3189381.909999999683350,2564414.080000000074506,2848663.699999999720603,3031985.280000000260770,11634444.969999998807907
20130513,3206980.270000000018626,2585075.199999999720603,2825117.579999999608845,3012494.439999999944121,11629667.489999998360872
20130514,3252668.319999999832362,2585075.199999999720603,2795232.119999999646097,3048036.560000000055879,11681012.199999999254942
20130515,3283465.449999999720603,2577783.040000000037253,2789798.399999999906868,3072686.740000000223517,11723733.630000000819564
20130516,3268574.529999999795109,2903499.520000000018626,2813797.329999999608845,3049756.340000000316650,12035627.719999998807907
20130517,3347767.149999999906868,2946037.119999999646097,2845494.029999999795109,3058355.240000000223517,12197653.539999999105930
20130520,3340998.549999999813735,2910791.679999999701977,2832815.350000000093132,3023386.380000000353903,12107991.960000000894070
20130521,3342013.839999999850988,2918083.840000000316650,2846852.459999999497086,2984977.959999999962747,12091928.099999997764826
20130522,3314262.580000000074506,2836654.719999999739230,2820136.669999999925494,2950582.359999999869615,11921636.329999998211861
20130523,3375856.839999999850988,2857315.840000000316650,2823759.149999999906868,2974659.280000000260770,12031591.109999999403954
20130524,3384317.589999999850988,2859746.560000000055879,2810174.850000000093132,2945996.280000000260770,12000235.280000001192093
20130528,3388040.319999999832362,2903499.520000000018626,2868134.529999999795109,2913320.459999999962747,12072994.829999998211861
20130529,3353520.459999999962747,2931452.800000000279397,2868587.339999999850988,2841662.959999999962747,11995223.559999998658895
20130530,3402592.810000000055879,2961836.800000000279397,2927905.449999999720603,2813573.220000000204891,12105908.280000001192093
20130531,3351151.449999999720603,2931452.800000000279397,2835985.020000000018626,2779177.620000000111759,11897766.890000000596046
20130603,3409361.409999999683350,2963052.159999999683350,2843682.789999999571592,2789496.299999999813735,12005592.660000000149012
20130604,3371118.819999999832362,2960621.439999999944121,2823759.149999999906868,2799814.980000000447035,11955314.390000000596046
20130605,3333214.659999999683350,2955760.000000000000000,2796137.739999999757856,2768858.939999999944121,11853971.339999999850988
20130606,3376195.270000000018626,2983713.280000000260770,2803835.509999999776483,2864593.359999999869615,12028337.419999999925494
20130607,3468586.659999999683350,2976421.119999999646097,2833268.159999999683350,2880071.380000000353903,12158347.320000000298023
20130610,3460125.909999999683350,2960621.439999999944121,2883530.069999999832362,2896695.920000000391155,12200973.339999999850988
20130611,3443542.839999999850988,2925376.000000000000000,2894850.319999999832362,2876631.820000000298023,12140400.980000000447035
20130612,3414099.429999999701977,2915653.119999999646097,2890322.219999999739230,2860580.540000000037253,12080655.309999998658895
20130613,3457418.469999999739230,2959406.080000000074506,2904812.140000000130385,2903001.780000000260770,12224638.469999998807907
20130614,3446250.279999999795109,2927806.719999999739230,2888963.789999999571592,2927651.959999999962747,12190672.750000000000000
20130617,3486861.879999999888241,3001943.679999999701977,2914773.959999999962747,2907014.600000000093132,12310594.119999999180436
20130618,3522397.029999999795109,3016528.000000000000000,2974092.070000000298023,2955168.439999999944121,12468185.539999999105930
20130619,3460464.339999999850988,2999512.959999999962747,2955074.049999999813735,2869179.439999999944121,12284230.789999999105930
20130620,3372134.109999999869615,2970344.320000000298023,2888963.789999999571592,2806694.100000000093132,12038136.319999998435378
20130621,3383640.729999999981374,2975205.760000000242144,2893491.889999999664724,2838796.660000000149012,12091135.039999999105930
20130624,3311555.139999999664724,2924160.639999999664724,2927452.640000000130385,2815866.259999999776483,11979034.679999999701977
20130625,3339306.399999999906868,2918083.840000000316650,2885794.119999999646097,2891536.580000000074506,12034720.939999999478459
20130626,3409699.839999999850988,2964267.520000000018626,2933339.169999999925494,2904148.299999999813735,12211454.829999998211861
20130627,3490923.040000000037253,2993436.159999999683350,2992657.279999999795109,2923639.140000000130385,12400655.619999999180436
20130628,3466894.509999999776483,2958190.719999999739230,2965035.870000000111759,2885803.980000000447035,12275925.080000000074506
20130701,3493968.909999999683350,2958190.719999999739230,2971828.019999999552965,2886950.500000000000000,12310938.149999998509884
20130702,3434066.799999999813735,2955760.000000000000000,2955526.859999999403954,2902428.520000000484288,12247782.179999999701977
20130703,3482123.859999999869615,2988574.719999999739230,2967752.729999999981374,2924212.399999999906868,12362663.710000000894070
20130705,3526458.189999999944121,2986144.000000000000000,2996279.759999999776483,2940836.939999999944121,12449718.889999998733401
20130708,3532211.500000000000000,2993436.159999999683350,3059220.350000000093132,2933384.560000000055879,12518252.570000000298023
20130709,3542702.830000000074506,3057850.240000000223517,3077785.559999999590218,2921346.100000000093132,12599684.729999998584390
20130710,3570454.089999999850988,3088234.240000000223517,3065106.879999999422580,2897269.180000000167638,12621064.389999998733401
20130711,3617157.429999999701977,3144140.800000000279397,3095445.149999999906868,2935677.600000000093132,12792420.980000000447035
20130712,3447604.000000000000000,3152648.320000000298023,3079143.989999999757856,2889816.799999999813735,12569213.109999999403954
20130715,3575868.969999999739230,3151432.959999999962747,3061937.209999999962747,2864020.100000000093132,12653259.240000000223517
20130716,3527473.479999999981374,3124695.040000000037253,3029787.699999999720603,2882364.420000000391155,12564320.639999998733401
20130717,3546425.560000000055879,3125910.399999999906868,2998996.620000000111759,2908734.380000000353903,12580066.960000000894070
20130718,3642539.679999999701977,3142925.439999999944121,3194610.539999999571592,2864593.359999999869615,12844669.019999997690320
20130719,3619864.869999999646097,3138064.000000000000000,3235363.439999999944121,2863446.840000000316650,12856739.149999998509884
20130722,3616480.569999999832362,3125910.399999999906868,3268418.570000000298023,2881791.160000000149012,12892600.699999999254942
20130723,3647954.560000000055879,3106464.639999999664724,3291511.879999999422580,2886950.500000000000000,12932881.579999998211861
20130724,3619526.439999999944121,3110110.719999999739230,3284266.919999999925494,2888097.020000000484288,12902001.100000001490116
20130725,3611065.689999999944121,3099172.479999999981374,3288342.209999999962747,2907014.600000000093132,12905594.979999998584390
20130726,3573838.389999999664724,3099172.479999999981374,3269776.999999999534339,2924785.660000000149012,12867573.529999999329448
20130729,3547102.419999999925494,3078511.359999999869615,3296039.979999999981374,2951728.880000000353903,12873382.640000000596046
20130730,3578237.979999999981374,3119833.600000000093132,3272493.859999999403954,2890390.060000000055879,12860955.500000000000000
20130731,3556916.889999999664724,3110110.719999999739230,3298756.839999999385327,2836503.620000000111759,12802288.070000000298023
