代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11434415.740000000223517
真實報酬,1434415.740000000223517

夏普值報酬,0.134741574000000
夏普值風險,0.045093242491203
夏普值,2.988065762320922

預期報酬,12531.962920373100133
風險,132983.917166022612946
趨勢值,0.094236680550834
找到最佳解世代,1530
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
DIS[6](1),IBM[10](14),MRK[17](20),UNH[23](2),WBA[27](3),
20141212,1977948.619999999646097,1916265.719999999972060,1911259.839999999850988,2002636.010000000009313,2171693.500000000000000,9979803.689999999478459
20141215,1965193.409999999916181,1887655.479999999981374,1885763.600000000093132,1992700.279999999795109,2140794.500000000000000,9872107.269999999552965
20141216,1949411.539999999804422,1867307.679999999934807,1880796.799999999813735,1943629.939999999944121,2110187.000000000000000,9751332.959999999031425
20141217,1975570.529999999795109,1873720.320000000065193,1908279.760000000009313,2010341.270000000018626,2098527.000000000000000,9866438.879999998956919
20141218,2002161.899999999906868,1944629.320000000065193,1952980.959999999962747,2073199.969999999972060,2168195.500000000000000,10141167.649999998509884
20141219,2008215.219999999739230,1954864.879999999888241,1972848.159999999916181,2078269.219999999972060,2134673.000000000000000,10148870.480000000447035
20141222,2036536.109999999869615,1990997.640000000130385,1952318.719999999972060,2089421.570000000065193,2164989.000000000000000,10234263.039999999105930
20141223,2047129.419999999692664,2000863.240000000223517,1894372.719999999972060,2085568.939999999944121,2230285.000000000000000,10258219.320000000298023
20141224,2041292.289999999804422,1995683.800000000046566,1902650.719999999972060,2082121.850000000093132,2234949.000000000000000,10256697.660000000149012
20141226,2054479.879999999888241,2002096.440000000176951,1913246.560000000055879,2079485.839999999850988,2228827.500000000000000,10278136.220000000670552
20141229,2064640.809999999823049,1979528.879999999888241,1911590.959999999962747,2075024.899999999906868,2238447.000000000000000,10269232.549999998882413
20141230,2047345.609999999869615,1973856.160000000149012,1908942.000000000000000,2085568.939999999944121,2216876.000000000000000,10232588.709999999031425
20141231,2036319.919999999692664,1978665.640000000130385,1880465.679999999934807,2049881.420000000158325,2221248.500000000000000,10166581.160000000149012
20150102,2026807.559999999823049,1998643.479999999981374,1893710.479999999981374,2043595.550000000046566,2215418.500000000000000,10178175.570000000298023
20150105,1997189.529999999795109,1967196.879999999888241,1921855.679999999934807,2009935.729999999981374,2171693.500000000000000,10067871.320000000298023
20150106,1986596.219999999739230,1924774.800000000046566,1997351.040000000037253,2005880.330000000074506,2177232.000000000000000,10091834.390000000596046
20150107,2006918.079999999841675,1912196.160000000149012,2040065.520000000018626,2026360.100000000093132,2232908.500000000000000,10218448.359999999403954
20150108,2027672.320000000065193,1953755.000000000000000,2081124.399999999906868,2123081.389999999664724,2260601.000000000000000,10446234.109999999403954
20150109,2037617.059999999823049,1962264.080000000307336,2071521.919999999925494,2103209.929999999701977,2205799.000000000000000,10380411.990000000223517
20150112,2042157.049999999580905,1929337.640000000130385,2062912.799999999813735,2079485.839999999850988,2206673.500000000000000,10320566.829999998211861
20150113,2057938.919999999692664,1933900.479999999981374,2059270.479999999981374,2090029.879999999888241,2193847.500000000000000,10334987.259999997913837
20150114,2037184.679999999934807,1921445.160000000149012,2074170.879999999888241,2095301.899999999906868,2185977.000000000000000,10314079.619999999180436
20150115,2039778.959999999729916,1906276.800000000046566,2049005.760000000009313,2118214.910000000149012,2179855.500000000000000,10293131.929999999701977
20150116,2057722.729999999981374,1937970.039999999804422,2087084.560000000055879,2144777.780000000260770,2216293.000000000000000,10443848.109999999403954
20150120,2048210.369999999646097,1935626.959999999962747,2073177.520000000018626,2141736.230000000447035,2216876.000000000000000,10415627.080000000074506
20150121,2035887.539999999804422,1875693.440000000176951,2058277.119999999878928,2216761.129999999888241,2203467.000000000000000,10390086.230000000447035
20150122,2057074.159999999916181,1916389.039999999804422,2072515.280000000027940,2308615.939999999478459,2216001.500000000000000,10570595.919999998062849
20150123,2047777.989999999757856,1922308.400000000139698,2069204.080000000074506,2271103.490000000223517,2203467.000000000000000,10513860.960000000894070
20150126,2053182.739999999757856,1928351.080000000307336,2080131.040000000037253,2263195.459999999962747,2210754.500000000000000,10535614.820000000298023
20150127,2031563.739999999757856,1895178.000000000000000,2071521.919999999925494,2230752.259999999776483,2184228.000000000000000,10413243.919999999925494
20150128,2003459.039999999804422,1869034.160000000149012,2034767.600000000093132,2199322.910000000149012,2150414.000000000000000,10256997.710000000894070
20150129,2015349.489999999757856,1917498.919999999925494,2055959.280000000027940,2218180.519999999552965,2173734.000000000000000,10380722.209999999031425
20150130,1966490.549999999580905,1890738.479999999981374,1996026.560000000055879,2154510.740000000223517,2149831.000000000000000,10157597.330000000074506
20150202,1987460.979999999981374,1907386.679999999934807,2015893.760000000009313,2175598.820000000298023,2183062.000000000000000,10269402.240000000223517
20150203,2034374.209999999729916,1954371.600000000093132,2020529.439999999944121,2186142.860000000335276,2180147.000000000000000,10375565.109999999403954
20150204,2189598.629999999888241,1935750.280000000260770,1955298.799999999813735,2188373.330000000074506,2176649.000000000000000,10445670.039999999105930
20150205,2219000.469999999739230,1947465.679999999934807,1959272.239999999990687,2206622.629999999888241,2180147.000000000000000,10512508.019999999552965
20150206,2205596.689999999478459,1932790.600000000093132,1946689.679999999934807,2181884.689999999478459,2219791.000000000000000,10486752.660000000149012
20150209,2199327.179999999701977,1920828.560000000055879,1931458.159999999916181,2159377.219999999739230,2227078.500000000000000,10438069.619999999180436
20150210,2203434.790000000037253,1955481.479999999981374,1948676.399999999906868,2209664.179999999701977,2235532.000000000000000,10552788.849999999627471
20150211,2202353.839999999850988,1951041.959999999962747,1945034.080000000074506,2227507.939999999478459,2318318.000000000000000,10644255.820000000298023
20150212,2239322.330000000074506,1954988.200000000186265,1949669.760000000009313,2227305.169999999925494,2330852.500000000000000,10702137.960000000894070
20150213,2252077.540000000037253,1978172.360000000102445,1947351.919999999925494,2219194.370000000111759,2294998.000000000000000,10691794.190000001341105
20150217,2250996.589999999850988,1985078.280000000260770,1946689.679999999934807,2225683.009999999776483,2273718.500000000000000,10682166.059999998658895
20150218,2245375.649999999441206,2000246.640000000130385,1947020.799999999813735,2225885.780000000260770,2267597.000000000000000,10686125.869999999180436
20150219,2246024.219999999739230,2021211.039999999804422,1930464.799999999813735,2231157.799999999813735,2247483.500000000000000,10676341.359999999403954
20150220,2260292.759999999776483,2018251.360000000102445,1932120.399999999906868,2283675.230000000447035,2248358.000000000000000,10742697.750000000000000
20150223,2269805.120000000111759,2009125.679999999934807,1930464.799999999813735,2360322.290000000037253,2290917.000000000000000,10860634.890000000596046
20150224,2262887.040000000037253,2032803.120000000111759,1932451.520000000018626,2340653.600000000558794,2343387.000000000000000,10912182.280000001192093
20150225,2282344.139999999664724,2007892.479999999981374,1936756.080000000074506,2312671.339999999850988,2332310.000000000000000,10871974.039999999105930
20150226,2260508.950000000186265,1983968.400000000139698,1952318.719999999972060,2304763.309999999590218,2380116.000000000000000,10881675.379999998956919
20150227,2250131.830000000074506,1997163.640000000130385,1938411.679999999934807,2304155.000000000000000,2421800.500000000000000,10911662.650000000372529
20150302,2289262.219999999739230,1979158.919999999925494,1939736.159999999916181,2319768.290000000037253,2437541.500000000000000,10965467.089999999850988
20150303,2299206.959999999962747,1985941.520000000018626,1931789.280000000027940,2288541.709999999962747,2425590.000000000000000,10931069.470000000670552
20150304,2282344.139999999664724,1966087.000000000000000,1916557.760000000009313,2308007.629999999888241,2420051.500000000000000,10893048.029999999329448
20150305,2270669.879999999888241,1987791.320000000065193,1919868.959999999962747,2327676.320000000298023,2425298.500000000000000,10931304.980000000447035
20150306,2244510.889999999664724,1954741.560000000055879,1882121.280000000027940,2288947.250000000000000,2400521.000000000000000,10770841.980000000447035
20150309,2275642.250000000000000,1982735.200000000186265,1896028.319999999832362,2329906.790000000037253,2434043.500000000000000,10918356.059999998658895
20150310,2228729.019999999552965,1946232.479999999981374,1873512.159999999916181,2280430.910000000149012,2411306.500000000000000,10740211.070000000298023
20150311,2224405.219999999739230,1933777.160000000149012,1856293.919999999925494,2285702.929999999701977,2405185.000000000000000,10705364.230000000447035
20150312,2316934.540000000037253,1948328.919999999925494,1859936.239999999990687,2329501.250000000000000,2455906.000000000000000,10910606.949999999254942
20150313,2301152.669999999925494,1902700.520000000018626,1860929.600000000093132,2337003.740000000223517,2440456.500000000000000,10842243.029999999329448
20150316,2321258.339999999850988,1937230.120000000111759,1891392.639999999897555,2403309.530000000260770,2529364.000000000000000,11082554.629999998956919
20150317,2312394.549999999813735,1935750.280000000260770,1869869.839999999850988,2384654.689999999478459,2514497.500000000000000,11017166.859999999403954
20150318,2334229.740000000223517,1970896.479999999981374,1908942.000000000000000,2432508.410000000149012,2541315.500000000000000,11187892.130000000819564
20150319,2321258.339999999850988,1970896.479999999981374,1927484.719999999972060,2448730.009999999776483,2546562.500000000000000,11214932.050000000745058
20150320,2344174.479999999515712,2008755.719999999972060,1939736.159999999916181,2415881.269999999552965,2571923.000000000000000,11280470.629999998956919
20150323,2339634.490000000223517,2030336.719999999972060,1944702.959999999962747,2413853.570000000298023,2562886.500000000000000,11291414.240000000223517
20150324,2315637.399999999441206,2010235.560000000055879,1941391.760000000009313,2395198.730000000447035,2565218.500000000000000,11227681.949999999254942
20150325,2270021.309999999590218,1963373.959999999962747,1929140.319999999832362,2363161.070000000298023,2503420.500000000000000,11029117.160000000149012
20150326,2275209.870000000111759,1980515.440000000176951,1907286.399999999906868,2357280.740000000223517,2461444.500000000000000,10981736.950000001117587
20150327,2280398.429999999701977,1978172.360000000102445,1912253.199999999953434,2392968.259999999776483,2486222.000000000000000,11050014.250000000000000
20150330,2294234.589999999850988,2006166.000000000000000,1931789.280000000027940,2453596.490000000223517,2506627.000000000000000,11192413.359999999403954
20150331,2267643.219999999739230,1979405.560000000055879,1903312.959999999962747,2398645.820000000298023,2468440.500000000000000,11017448.059999998658895
20150401,2279533.669999999925494,1963127.320000000065193,1882783.520000000018626,2381613.139999999664724,2456197.500000000000000,10963255.149999998509884
20150402,2291640.309999999590218,1978788.959999999962747,1890730.399999999906868,2379788.209999999962747,2506044.000000000000000,11046991.879999998956919
20150406,2283641.279999999329448,1998396.839999999850988,1893379.359999999869615,2386682.389999999664724,2565510.000000000000000,11127609.869999997317791
20150407,2279317.479999999515712,1998766.800000000046566,1901657.359999999869615,2379585.439999999478459,2544230.500000000000000,11103557.579999998211861
20150408,2299423.149999999441206,1996053.760000000009313,1892386.000000000000000,2396618.120000000111759,2555890.500000000000000,11140371.529999999329448
20150409,2308286.939999999478459,2002096.440000000176951,1901657.359999999869615,2403917.839999999850988,2699891.500000000000000,11315850.080000000074506
20150410,2312178.360000000335276,2008509.080000000307336,1895697.199999999953434,2413042.490000000223517,2682401.500000000000000,11311828.630000000819564
20150413,2302666.000000000000000,2002589.719999999972060,1878478.959999999962747,2420544.980000000447035,2673365.000000000000000,11277644.660000000149012
20150414,2305908.849999999627471,2001603.160000000149012,1912584.319999999832362,2431697.330000000074506,2681235.500000000000000,11333029.160000000149012
20150415,2312826.929999999701977,2024170.719999999972060,1935431.600000000093132,2378977.129999999888241,2668409.500000000000000,11319815.879999998956919
20150416,2337040.209999999962747,2011838.719999999972060,1915233.280000000027940,2465762.689999999478459,2609526.500000000000000,11339401.399999998509884
20150417,2306557.419999999925494,1981502.000000000000000,1883445.760000000009313,2407162.160000000149012,2534902.500000000000000,11113569.839999999850988
20150420,2339634.490000000223517,2049204.679999999934807,1907617.520000000018626,2404526.150000000372529,2539566.500000000000000,11240549.339999999850988
20150421,2327960.229999999515712,2025773.879999999888241,1909273.119999999878928,2418720.049999999813735,2538692.000000000000000,11220419.279999999329448
20150422,2333581.169999999925494,2039339.080000000307336,1910266.479999999981374,2388912.860000000335276,2536651.500000000000000,11208751.089999999850988
20150423,2356497.309999999590218,2099519.240000000223517,1904306.319999999832362,2398037.509999999776483,2527032.000000000000000,11285392.379999998956919
20150424,2367955.379999999888241,2093846.520000000018626,1907286.399999999906868,2406756.620000000111759,2506335.500000000000000,11282180.420000001788139
20150427,2381575.349999999627471,2105561.919999999925494,1890730.399999999906868,2357077.969999999739230,2510416.500000000000000,11245362.140000000596046
20150428,2376386.790000000037253,2144901.000000000000000,1986092.959999999962747,2384451.919999999925494,2509250.500000000000000,11401083.169999999925494
20150429,2374008.700000000186265,2150820.360000000335276,1976159.359999999869615,2303749.459999999962747,2465234.000000000000000,11269971.879999998956919
20150430,2350443.990000000223517,2112467.839999999850988,1972185.919999999925494,2258937.290000000037253,2417428.000000000000000,11111463.039999999105930
20150501,2389358.189999999478459,2141818.000000000000000,1982119.520000000018626,2295435.889999999664724,2432877.500000000000000,11241609.099999997764826
20150504,2400383.879999999888241,2145517.600000000093132,2007946.879999999888241,2323012.610000000335276,2452408.000000000000000,11329268.970000000670552
20150505,2395627.700000000186265,2134542.120000000111759,2002980.080000000074506,2298882.980000000447035,2423549.500000000000000,11255582.380000000819564
20150506,2372062.990000000223517,2097176.160000000149012,1995364.319999999832362,2301316.219999999739230,2422383.500000000000000,11188303.190000001341105
20150507,2362118.250000000000000,2108768.240000000223517,1996688.799999999813735,2327068.009999999776483,2455323.000000000000000,11249966.300000000745058
20150508,2380494.399999999441206,2129609.320000000298023,2011258.080000000074506,2345722.850000000558794,2478351.500000000000000,11345436.150000000372529
20150511,2347849.709999999962747,2110371.399999999906868,1986755.199999999953434,2327270.780000000260770,2455906.000000000000000,11228153.089999999850988
20150512,2361685.870000000111759,2103342.160000000149012,1968212.479999999981374,2324634.769999999552965,2453865.500000000000000,11211740.779999999329448
20150513,2360604.919999999925494,2124676.520000000018626,1959603.359999999869615,2349372.709999999962747,2450659.000000000000000,11244916.509999997913837
20150514,2376602.979999999515712,2146504.160000000149012,1979470.560000000055879,2403512.299999999813735,2487971.000000000000000,11394061.000000000000000
20150515,2384602.009999999776483,2136761.879999999888241,1994370.959999999962747,2419733.900000000372529,2520619.000000000000000,11456087.750000000000000
20150518,2385250.580000000074506,2134295.479999999981374,1987086.319999999832362,2429264.089999999850988,2517412.500000000000000,11453308.970000000670552
20150519,2390222.950000000186265,2139474.919999999925494,2003973.439999999944121,2444471.839999999850988,2502254.500000000000000,11480397.650000000372529
20150520,2382440.110000000335276,2142927.879999999888241,2001986.719999999972060,2458462.969999999739230,2474562.000000000000000,11460379.679999999701977
20150521,2386547.719999999739230,2137748.439999999944121,1990066.399999999906868,2442646.910000000149012,2540149.500000000000000,11497158.970000000670552
20150522,2383737.250000000000000,2123936.600000000093132,1966225.760000000009313,2425005.919999999925494,2520036.000000000000000,11418941.529999999329448
20150526,2366009.669999999925494,2098162.720000000204891,1952649.839999999850988,2397631.969999999739230,2493801.000000000000000,11308255.199999999254942
20150527,2386115.339999999850988,2121223.560000000055879,1968874.719999999972060,2422167.139999999664724,2512165.500000000000000,11410546.259999999776483
20150528,2389574.379999999888241,2117647.280000000260770,1976821.600000000093132,2425614.230000000447035,2508376.000000000000000,11418033.490000000223517
20150529,2386115.339999999850988,2092243.360000000102445,2016224.879999999888241,2437577.660000000149012,2502254.500000000000000,11434415.740000000223517
