代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13091522.839999999850988
真實報酬,3091522.839999999850988

夏普值報酬,0.300452284000000
夏普值風險,0.074788026074730
夏普值,4.017384864520715

預期報酬,23684.243716096760181
風險,150365.814426731289132
趨勢值,0.157510826555842
找到最佳解世代,2520
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
CAT[3](2),CVX[5](4),KO[14](15),XOM[29](1),
20101230,2982647.060000000055879,2825414.750000000000000,2798185.600000000093132,2968110.629999999888241,11574358.039999999105930
20101231,2975974.519999999552965,2814619.000000000000000,2810147.200000000186265,2958400.470000000204891,11559141.189999999478459
20110103,2991543.779999999795109,2835902.049999999813735,2786224.000000000000000,3016256.839999999850988,11629926.669999999925494
20110104,2977563.219999999273568,2825414.750000000000000,2728979.200000000186265,3030417.490000000223517,11562374.659999998286366
20110105,3003300.159999999683350,2820479.549999999813735,2712745.600000000093132,3022325.690000000409782,11558851.000000000000000
20110106,2972161.640000000130385,2797345.799999999813735,2693094.399999999906868,3041746.010000000242144,11504347.849999999627471
20110107,2978198.699999999720603,2812768.299999999813735,2687968.000000000000000,3058334.200000000186265,11537269.199999999254942
20110110,2967395.539999999571592,2788709.199999999720603,2693948.800000000279397,3039723.060000000055879,11489776.599999999627471
20110111,2985188.979999999981374,2832509.100000000093132,2678569.600000000093132,3062380.100000000093132,11558647.779999999329448
20110112,2970572.939999999478459,2851633.000000000000000,2693094.399999999906868,3098388.609999999869615,11613688.949999999254942
20110113,2991226.039999999571592,2843304.850000000093132,2708473.600000000093132,3103648.279999999795109,11646652.769999999552965
20110114,2987095.419999999925494,2863354.100000000093132,2697366.399999999906868,3149366.950000000186265,11697182.870000001043081
20110118,3057633.699999999720603,2879393.500000000000000,2711891.200000000186265,3184566.279999999795109,11833484.679999997839332
20110119,3035709.640000000130385,2867672.399999999906868,2709328.000000000000000,3165550.549999999813735,11778260.589999999850988
20110120,2974385.819999999832362,2859652.699999999720603,2688822.399999999906868,3145725.640000000130385,11668586.560000000521541
20110121,2947060.179999999701977,2892656.850000000093132,2681987.200000000186265,3195490.210000000428408,11717194.440000001341105
20110124,3004888.859999999403954,2902527.250000000000000,2702492.799999999813735,3179711.200000000186265,11789620.109999999403954
20110125,2999169.539999999571592,2901910.350000000093132,2689676.800000000279397,3183352.510000000242144,11774109.199999999254942
20110126,3042382.179999999701977,2919183.549999999813735,2689676.800000000279397,3223002.330000000074506,11874244.859999999403954
20110127,3070343.299999999348074,2922576.500000000000000,2678569.600000000093132,3231903.310000000055879,11903392.709999999031425
20110128,3040158.000000000000000,2880010.400000000372529,2658064.000000000000000,3195894.799999999813735,11774127.199999999254942
20110131,3082417.419999999925494,2928128.600000000093132,2685404.800000000279397,3264270.510000000242144,11960221.330000000074506
20110201,3114191.419999999925494,2967918.649999999906868,2693948.800000000279397,3394953.080000000074506,12171011.950000001117587
20110202,3148507.339999999850988,2975938.350000000093132,2685404.800000000279397,3374723.580000000074506,12184574.070000000298023
20110203,3143423.500000000000000,3001539.700000000186265,2673443.200000000186265,3375937.350000000093132,12194343.750000000000000
20110204,3164394.339999999850988,2995370.700000000186265,2672588.800000000279397,3369463.910000000149012,12201817.750000000000000
20110207,3192355.459999999497086,3012335.449999999720603,2670880.000000000000000,3395762.260000000242144,12271333.169999999925494
20110208,3196803.819999999832362,3014803.049999999813735,2686259.200000000186265,3357326.210000000428408,12255192.280000001192093
20110209,3170749.140000000130385,2968535.549999999813735,2698220.799999999813735,3339928.839999999850988,12177434.329999998211861
20110210,3196486.079999999608845,2982724.250000000000000,2714454.399999999906868,3366227.190000000409782,12259891.920000001788139
20110211,3289901.640000000130385,2975013.000000000000000,2716163.200000000186265,3350852.770000000018626,12331930.609999999403954
20110214,3281004.919999999925494,2990435.500000000000000,2697366.399999999906868,3435412.080000000074506,12404218.900000000372529
20110215,3272743.679999999701977,2971620.050000000279397,2699929.600000000093132,3356921.620000000111759,12301214.949999999254942
20110216,3290219.379999999422580,2981490.449999999720603,2708473.600000000093132,3386052.100000000093132,12366235.529999999329448
20110217,3284182.319999999832362,2997221.399999999906868,2758028.800000000279397,3393739.310000000055879,12433171.830000000074506
20110218,3363617.319999999832362,3045031.149999999906868,2758028.800000000279397,3418823.890000000130385,12585501.160000000149012
20110222,3241287.419999999925494,3094383.149999999906868,2723852.799999999813735,3456855.350000000093132,12516378.720000000670552
20110223,3178057.159999999683350,3154530.899999999906868,2730688.000000000000000,3522803.520000000018626,12586079.579999998211861
20110224,3195532.859999999403954,3147128.100000000093132,2728979.200000000186265,3478298.620000000111759,12549938.780000001192093
20110225,3240969.679999999701977,3149287.250000000000000,2747776.000000000000000,3452809.450000000186265,12590842.379999998956919
20110228,3270519.500000000000000,3200181.500000000000000,2730688.000000000000000,3460496.660000000149012,12661885.660000000149012
20110301,3172973.319999999832362,3173963.250000000000000,2773408.000000000000000,3430961.589999999850988,12551306.160000000149012
20110302,3208242.459999999497086,3191544.899999999906868,2752902.399999999906868,3442290.109999999869615,12594979.869999999180436
20110303,3312461.179999999701977,3213753.299999999813735,2800748.800000000279397,3472229.770000000018626,12799193.049999998882413
20110304,3274014.640000000130385,3200181.500000000000000,2785369.600000000093132,3442290.109999999869615,12701855.849999999627471
20110307,3245100.299999999348074,3177356.200000000186265,2786224.000000000000000,3427724.870000000111759,12636405.370000001043081
20110308,3308648.299999999348074,3200798.399999999906868,2804166.399999999906868,3422869.790000000037253,12736482.890000000596046
20110309,3252408.319999999832362,3150521.049999999813735,2803312.000000000465661,3413968.810000000055879,12620210.179999999701977
20110310,3126265.539999999571592,3056135.350000000093132,2789641.600000000093132,3292591.810000000055879,12264634.300000000745058
20110311,3178057.159999999683350,3082353.600000000093132,2769136.000000000000000,3322531.470000000204891,12352078.230000000447035
20110314,3244147.079999999608845,3109188.750000000000000,2731542.399999999906868,3333050.810000000055879,12417929.040000000968575
20110315,3201252.179999999701977,3122452.100000000093132,2693094.399999999906868,3292996.400000000372529,12309795.080000000074506
20110316,3190131.279999999795109,3069398.700000000186265,2631577.600000000093132,3208841.680000000167638,12099949.259999999776483
20110317,3276556.560000000055879,3153605.549999999813735,2660627.200000000186265,3283690.830000000074506,12374480.139999998733401
20110318,3338198.119999999646097,3170878.750000000000000,2678569.600000000093132,3271148.540000000037253,12458795.009999997913837
20110321,3418586.339999999850988,3244598.299999999813735,2716163.200000000186265,3351661.950000000186265,12731009.789999999105930
20110322,3393167.140000000130385,3245832.100000000093132,2713600.000000000000000,3340333.430000000167638,12692932.669999999925494
20110323,3392213.919999999925494,3253543.350000000093132,2746067.200000000186265,3341951.790000000037253,12733776.259999997913837
20110324,3443370.060000000055879,3250458.849999999627471,2764009.600000000093132,3347211.460000000428408,12805049.970000000670552
20110325,3466247.339999999850988,3293641.850000000093132,2786224.000000000000000,3383219.970000000204891,12929333.160000000149012
20110328,3476097.279999999795109,3270816.550000000279397,2778534.400000000372529,3377151.120000000111759,12902599.350000001490116
20110329,3512319.640000000130385,3311840.400000000372529,2807584.000000000000000,3368250.140000000130385,12999994.180000001564622
20110330,3543775.899999999906868,3331581.200000000186265,2821254.400000000372529,3418419.299999999813735,13115030.800000000745058
20110331,3538056.579999999608845,3315541.799999999813735,2834070.400000000372529,3403854.060000000055879,13091522.839999999850988
