代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12490950.949999999254942
真實報酬,2490950.949999999254942

夏普值報酬,0.240395095000000
夏普值風險,0.057648461126354
夏普值,4.170017556463527

預期報酬,18352.597122604001925
風險,146427.693639049888588
趨勢值,0.125335560961876
找到最佳解世代,2183
找到最佳解實驗#,1
找到最佳解次數,44

stock[index](rank)
投資組合檔數,2
TRV[22](2),V[25](1),
20121107,5032962.049999998882413,5308309.939999999478459,10341271.989999998360872
20121108,5054204.259999999776483,5290436.900000000372529,10344641.160000000149012
20121109,5052739.280000000260770,5321714.719999998807907,10374454.000000000000000
20121112,5012452.330000000074506,5333630.080000000074506,10346082.410000000149012
20121113,4997802.530000000260770,5303841.679999999701977,10301644.210000000894070
20121114,4986082.689999999478459,5211497.639999999664724,10197580.329999998211861
20121115,5004394.939999999478459,5212987.059999999590218,10217382.000000000000000
20121116,5028567.110000000335276,5314267.619999999180436,10342834.730000000447035
20121119,5093758.720000000670552,5422995.279999999329448,10516754.000000000000000
20121120,5101083.620000000111759,5449804.839999999850988,10550888.460000000894070
20121121,5143568.040000000037253,5461720.200000000186265,10605288.240000000223517
20121123,5220479.489999999292195,5515339.319999999366701,10735818.809999998658895
20121126,5190447.399999999441206,5482572.080000000074506,10673019.480000000447035
20121127,5188249.929999999701977,5466188.459999999962747,10654438.390000000596046
20121128,5197772.299999998882413,5484061.500000000000000,10681833.799999998882413
20121129,5213887.080000000074506,5518318.159999999217689,10732205.239999998360872
20121130,5187517.439999999478459,5574916.119999999180436,10762433.559999998658895
20121203,5197039.809999999590218,5534701.779999999329448,10731741.589999999850988
20121204,5166275.229999999515712,5495976.859999999403954,10662252.089999999850988
20121205,5420449.259999999776483,5513849.900000000372529,10934299.160000000149012
20121206,5358187.610000000335276,5528744.099999999627471,10886931.710000000894070
20121207,5375767.370000000111759,5531722.939999999478459,10907490.309999998658895
20121210,5372104.919999999925494,5536191.200000000186265,10908296.120000001043081
20121211,5378697.330000000074506,5545127.719999998807907,10923825.049999998882413
20121212,5369907.450000000186265,5506402.799999999813735,10876310.250000000000000
20121213,5364047.530000000260770,5481082.659999999217689,10845130.189999999478459
20121214,5374302.389999999664724,5467677.879999999888241,10841980.269999999552965
20121217,5434366.569999999366701,5552574.819999999366701,10986941.389999998733401
20121218,5444621.429999999701977,5612151.619999999180436,11056773.049999998882413
20121219,5378697.330000000074506,5554064.239999999292195,10932761.570000000298023
20121220,5407264.439999999478459,5677686.099999999627471,11084950.539999999105930
20121221,5334015.439999999478459,5613641.039999999105930,10947656.479999998584390
20121224,5300320.899999999441206,5630024.659999999217689,10930345.559999998658895
20121226,5293728.489999999292195,5576405.539999999105930,10870134.029999997466803
20121227,5260766.439999999478459,5563000.759999999776483,10823767.199999999254942
20121228,5218282.019999999552965,5534701.779999999329448,10752983.799999998882413
20121231,5260766.439999999478459,5644918.859999999403954,10905685.299999998882413
20130102,5336945.399999999441206,5786413.759999999776483,11123359.160000000149012
20130103,5377964.839999999850988,5790882.019999999552965,11168846.859999999403954
20130104,5424844.200000000186265,5837054.039999999105930,11261898.239999998360872
20130107,5351595.200000000186265,5878757.799999999813735,11230353.000000000000000
20130108,5361117.569999999366701,5933866.339999999850988,11294983.910000000149012
20130109,5416054.319999999366701,6024720.959999999962747,11440775.279999999329448
20130110,5453411.309999999590218,5977059.519999999552965,11430470.829999998211861
20130111,5482710.909999999217689,6000890.239999999292195,11483601.149999998509884
20130114,5490035.809999999590218,5981527.779999999329448,11471563.589999999850988
20130115,5534717.700000000186265,5974080.679999999701977,11508798.379999998956919
20130116,5533985.209999999962747,5965144.159999999217689,11499129.369999999180436
20130117,5559622.360000000335276,5953228.799999999813735,11512851.160000000149012
20130118,5589654.450000000186265,5893652.000000000000000,11483306.449999999254942
20130122,5709782.809999999590218,5921950.979999999515712,11631733.789999999105930
20130123,5687075.620000000111759,5921950.979999999515712,11609026.599999999627471
20130124,5720037.669999999925494,5941313.439999999478459,11661351.109999999403954
20130125,5739082.409999999217689,5951739.379999999888241,11690821.789999999105930
20130128,5665833.409999999217689,5822159.839999999850988,11487993.250000000000000
20130129,5699527.950000000186265,5834075.200000000186265,11533603.150000000372529
20130130,5682680.679999999701977,5771519.559999999590218,11454200.239999998360872
20130131,5747139.799999998882413,5880247.219999998807907,11627387.019999997690320
20130201,5851885.870000000111759,5904077.939999999478459,11755963.809999998658895
20130204,5713445.259999999776483,5832585.779999999329448,11546031.039999999105930
20130205,5761057.110000000335276,5939824.019999999552965,11700881.129999998956919
20130206,5783764.299999998882413,5988974.879999999888241,11772739.179999999701977
20130207,5795484.139999999664724,5848969.400000000372529,11644453.539999999105930
20130208,5776439.399999999441206,5875778.959999999962747,11652218.359999999403954
20130211,5802076.549999998882413,5820670.419999998994172,11622746.969999998807907
20130212,5852618.360000000335276,5838543.459999999962747,11691161.820000000298023
20130213,5859210.769999999552965,5762583.039999999105930,11621793.809999998658895
20130214,5884847.919999999925494,5807265.639999999664724,11692113.559999998658895
20130215,5888510.370000000111759,5883226.059999999590218,11771736.429999999701977
20130219,5903892.659999999217689,5868331.859999999403954,11772224.519999999552965
20130220,5868000.649999999441206,5786413.759999999776483,11654414.410000000149012
20130221,5887777.879999999888241,5862374.179999999701977,11750152.059999998658895
20130222,5933924.750000000000000,5936845.179999999701977,11870769.929999999701977
20130225,5805006.509999999776483,5804286.799999999813735,11609293.309999998658895
20130226,5862873.220000000670552,5877268.379999999888241,11740141.600000001490116
20130227,5917077.479999999515712,5953228.799999999813735,11870306.279999999329448
20130228,5890707.839999999850988,5907056.779999999329448,11797764.619999999180436
20130301,5910485.069999999366701,5886204.900000000372529,11796689.969999998807907
20130304,5898032.739999999292195,5939824.019999999552965,11837856.759999997913837
20130305,5966886.799999998882413,5968123.000000000000000,11935009.799999998882413
20130306,5938319.689999999478459,5997911.400000000372529,11936231.089999999850988
20130307,5947842.059999999590218,5977059.519999999552965,11924901.579999998211861
20130308,5980804.110000000335276,5983017.200000000186265,11963821.310000000521541
20130311,5988129.009999999776483,6002379.659999999217689,11990508.669999998062849
20130312,5987396.519999999552965,5950249.959999999962747,11937646.480000000447035
20130313,6015231.139999999664724,5933866.339999999850988,11949097.480000000447035
20130314,6032810.899999999441206,5983017.200000000186265,12015828.099999999627471
20130315,6026950.979999999515712,5904077.939999999478459,11931028.919999998062849
20130318,6045263.229999999515712,5886204.900000000372529,11931468.129999998956919
20130319,6093607.569999999366701,5808755.059999999590218,11902362.629999998956919
20130320,6141219.419999999925494,5932376.919999998994172,12073596.339999999850988
20130321,6134627.009999999776483,5875778.959999999962747,12010405.969999998807907
20130322,6130232.069999999366701,5960675.900000000372529,12090907.969999998807907
20130325,6106792.389999999664724,6106639.059999999590218,12213431.449999999254942
20130326,6106059.899999999441206,6236218.599999999627471,12342278.500000000000000
20130327,6106792.389999999664724,6280901.200000000186265,12387693.589999999850988
20130328,6166856.569999999366701,6324094.379999999888241,12490950.949999999254942
