代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11624631.799999998882413
真實報酬,1624631.799999998882413

夏普值報酬,0.153763180000000
夏普值風險,0.041465187843994
夏普值,3.708247520269521

預期報酬,13491.197699465254118
風險,106655.543065362726338
趨勢值,0.126493169616110
找到最佳解世代,3555
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,4
BA[2](8),HD[9](4),JNJ[12](6),V[25](1),
20121127,2608193.259999999776483,2826425.319999999832362,2551163.499999999534339,2861817.919999999925494,10847600.000000000000000
20121128,2594187.660000000149012,2855940.160000000149012,2568959.499999999534339,2871175.279999999795109,10890262.599999999627471
20121129,2595238.080000000074506,2829949.479999999981374,2566364.249999999534339,2889110.219999999739230,10880662.030000001192093
20121130,2600840.319999999832362,2866512.639999999664724,2585272.499999999534339,2918741.859999999869615,10971367.319999998435378
20121203,2591736.679999999701977,2862547.959999999962747,2582306.499999999534339,2897687.799999999348074,10934278.939999997615814
20121204,2592787.099999999627471,2829949.479999999981374,2590092.249999999534339,2877413.519999999552965,10890242.349999999627471
20121205,2586484.580000000074506,2820258.040000000037253,2594170.499999999534339,2886770.879999999888241,10887684.000000000000000
20121206,2590336.120000000111759,2834354.680000000167638,2597136.499999999534339,2894568.679999999701977,10916395.980000000447035
20121207,2613445.359999999869615,2839200.399999999906868,2611966.499999999534339,2896128.239999999757856,10960740.500000000000000
20121210,2644607.819999999832362,2777087.080000000074506,2617527.749999999534339,2898467.580000000074506,10937690.230000000447035
20121211,2654761.879999999888241,2770479.279999999795109,2636065.249999999534339,2903146.259999999776483,10964452.669999999925494
20121212,2642506.979999999981374,2772241.359999999869615,2630874.749999999534339,2882871.979999999515712,10928495.070000000298023
20121213,2602240.879999999888241,2749334.319999999832362,2623088.999999999534339,2869615.719999999739230,10844279.919999998062849
20121214,2591736.679999999701977,2733916.120000000111759,2620864.499999999534339,2862597.699999999720603,10809114.999999998137355
20121217,2613795.500000000000000,2788981.120000000111759,2630133.249999999534339,2907045.160000000149012,10939955.029999999329448
20121218,2644257.679999999701977,2775325.000000000000000,2630503.999999999534339,2938236.359999999869615,10988323.039999999105930
20121219,2643907.540000000037253,2721141.040000000037253,2618639.999999999534339,2907824.939999999944121,10891513.519999999552965
20121220,2668067.200000000186265,2729951.439999999944121,2623088.999999999534339,2972546.679999999701977,10993654.320000000298023
20121221,2667016.779999999795109,2701317.640000000130385,2605292.999999999534339,2939016.139999999664724,10912643.559999998658895
20121224,2660013.979999999981374,2712330.640000000130385,2596024.249999999534339,2947593.719999999739230,10915962.589999999850988
20121226,2661764.679999999701977,2693388.279999999795109,2601585.499999999534339,2919521.639999999664724,10876260.099999997764826
20121227,2655112.020000000018626,2690304.640000000130385,2598619.499999999534339,2912503.620000000111759,10856539.780000001192093
20121228,2615196.060000000055879,2671802.799999999813735,2576003.749999999534339,2897687.799999999348074,10760690.409999998286366
20121231,2638655.439999999944121,2724665.200000000186265,2598990.249999999534339,2955391.519999999552965,10917702.410000000149012
20130102,2698529.379999999888241,2796469.959999999962747,2626425.749999999534339,3029470.620000000111759,11150895.710000000894070
20130103,2712534.979999999981374,2788540.600000000093132,2622718.249999999534339,3031809.959999999962747,11155603.789999999105930
20130104,2720238.060000000055879,2783254.359999999869615,2652748.999999999534339,3055983.139999999664724,11212224.559999998658895
20130107,2665616.219999999739230,2768276.680000000167638,2647187.749999999534339,3077816.979999999515712,11158897.629999998956919
20130108,2595588.219999999739230,2785016.439999999944121,2647558.499999999534339,3106668.840000000316650,11134832.000000000000000
20130109,2687675.040000000037253,2782813.839999999850988,2659422.499999999534339,3154235.419999999925494,11284146.799999998882413
20130110,2699229.660000000149012,2802637.239999999757856,2676476.999999999534339,3129282.459999999962747,11307626.359999999403954
20130111,2631652.639999999664724,2806161.399999999906868,2682408.999999999534339,3141758.939999999944121,11261981.979999998584390
20130114,2680322.099999999627471,2796469.959999999962747,2690194.749999999534339,3131621.799999999348074,11298608.609999997541308
20130115,2693977.560000000055879,2817174.399999999906868,2683150.499999999534339,3127722.899999999906868,11322025.359999999403954
20130116,2602941.160000000149012,2813209.720000000204891,2690936.249999999534339,3123044.219999999739230,11230131.350000001490116
20130117,2635154.040000000037253,2865631.600000000093132,2702800.249999999534339,3116805.979999999515712,11320391.870000001043081
20130118,2627450.959999999962747,2884133.439999999944121,2715034.999999999534339,3085614.779999999795109,11312234.179999999701977
20130122,2596638.639999999664724,2896468.000000000000000,2695014.499999999534339,3100430.599999999627471,11288551.739999998360872
20130123,2601190.459999999962747,2927744.919999999925494,2700946.499999999534339,3100430.599999999627471,11330312.479999998584390
20130124,2637254.879999999888241,2966951.199999999720603,2710215.249999999534339,3110567.739999999757856,11424989.070000000298023
20130125,2627100.819999999832362,2987655.639999999664724,2740616.749999999534339,3116026.199999999720603,11471399.409999998286366
20130128,2591036.399999999906868,2977083.160000000149012,2729494.249999999534339,3048185.340000000316650,11345799.150000000372529
20130129,2578781.500000000000000,2960343.399999999906868,2758783.499999999534339,3054423.580000000074506,11352331.980000000447035
20130130,2611694.660000000149012,2962105.479999999981374,2746919.499999999534339,3021672.819999999832362,11342392.460000000894070
20130131,2586484.580000000074506,2948008.839999999850988,2740616.749999999534339,3078596.759999999776483,11353706.929999999701977
20130201,2621498.580000000074506,2964748.600000000093132,2750256.250000000000000,3091073.239999999757856,11427576.669999999925494
20130204,2633403.339999999850988,2923339.720000000204891,2747660.999999999534339,3053643.799999999348074,11358047.859999999403954
20130205,2657212.859999999869615,2924661.279999999795109,2768052.249999999534339,3109787.959999999962747,11459714.349999997764826
20130206,2671218.459999999962747,2936995.839999999850988,2795116.999999999534339,3135520.699999999720603,11538851.999999998137355
20130207,2711134.419999999925494,2921137.120000000111759,2782882.249999999534339,3062221.379999999888241,11477375.169999998062849
20130208,2680672.239999999757856,2951973.520000000018626,2798453.749999999534339,3076257.419999999925494,11507356.929999999701977
20130211,2656512.580000000074506,2924220.759999999776483,2795858.499999999534339,3047405.559999999590218,11423997.399999998509884
20130212,2660714.259999999776483,2965629.639999999664724,2810317.749999999534339,3056762.919999999925494,11493424.569999998435378
20130213,2618347.319999999832362,2971356.399999999906868,2805127.249999999534339,3016994.139999999664724,11411825.109999999403954
20130214,2623599.419999999925494,2966510.680000000167638,2810688.499999999534339,3040387.540000000037253,11441186.140000000596046
20130215,2627100.819999999832362,2974440.040000000037253,2823664.749999999534339,3080156.319999999832362,11505361.929999999701977
20130219,2613795.500000000000000,2975761.600000000093132,2853324.749999999534339,3072358.519999999552965,11515240.369999999180436
20130220,2618347.319999999832362,2926863.879999999888241,2841831.499999999534339,3029470.620000000111759,11416513.320000000298023
20130221,2661414.540000000037253,2836116.759999999776483,2849987.999999999534339,3069239.399999999906868,11416758.699999999254942
20130222,2684173.639999999664724,2888979.160000000149012,2827001.499999999534339,3108228.399999999906868,11508382.699999999254942
20130225,2627100.819999999832362,2815852.839999999850988,2801790.499999999068677,3038827.979999999515712,11283572.139999998733401
20130226,2648809.500000000000000,2976202.120000000111759,2808463.999999999534339,3077037.199999999720603,11510512.819999998435378
20130227,2708683.439999999944121,2998228.120000000111759,2829596.749999999068677,3116805.979999999515712,11653314.289999999105930
20130228,2692577.000000000000000,3017611.000000000000000,2821810.999999999534339,3092632.799999999348074,11624631.799999998882413
