代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11383911.740000000223517
真實報酬,1383911.740000000223517

夏普值報酬,0.129691174000000
夏普值風險,0.044862198066957
夏普值,2.890878726147925

預期報酬,12298.707586910217287
風險,106627.700399782275781
趨勢值,0.115342519259051
找到最佳解世代,1936
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CAT[3](1),DD[7](3),JNJ[12](5),MCD[15](10),MRK[17](4),
Stock#,CAT[3](1),DD[7](3),JNJ[12](5),MCD[15](10),MRK[17](4),
張數,22024,31630,21836,20612,39960,
20140124,1897808.640000000130385,1955401.700000000186265,1978600.719999999972060,1946408.800000000046566,2077122.799999999813735,9855342.660000000149012
20140127,2010571.520000000251457,1941484.500000000232831,1963970.599999999860302,1938988.479999999748543,2099100.799999999813735,9954115.899999998509884
20140128,2036559.840000000083819,1939586.700000000186265,1967464.359999999869615,1941255.800000000046566,2112687.199999999720603,9997553.900000000372529
20140129,1995815.440000000176951,2014866.100000000093132,1941261.160000000149012,1920025.439999999944121,2086313.600000000093132,9958281.740000000223517
20140130,2052637.360000000102445,2041119.000000000232831,1954362.760000000009313,1933423.239999999757856,2138261.600000000093132,10119803.959999999031425
20140131,2068274.399999999906868,2049975.400000000139698,1931871.679999999934807,1941049.679999999934807,2116683.200000000186265,10107854.359999999403954
20140203,2035458.640000000130385,2012968.300000000046566,1894968.840000000083819,1917345.879999999888241,2081118.800000000046566,9941860.460000000894070
20140204,2037220.560000000055879,2025304.000000000232831,1891475.080000000074506,1918788.719999999972060,2138261.600000000093132,10011049.960000000894070
20140205,2025327.599999999860302,2020243.199999999953434,1905886.840000000083819,1928888.599999999860302,2139060.799999999813735,10019407.039999999105930
20140206,2066512.479999999981374,2053454.700000000186265,1937985.760000000009313,1956920.919999999925494,2148651.200000000186265,10163525.060000000521541
20140207,2089417.440000000176951,2054087.300000000046566,1966154.200000000186265,1977120.679999999934807,2188611.200000000186265,10275390.820000000298023
20140210,2081268.560000000055879,2064841.500000000232831,1988645.279999999795109,1955271.959999999962747,2193406.399999999906868,10283433.699999999254942
20140211,2091399.599999999860302,2109756.100000000093132,2030133.679999999934807,1965165.719999999972060,2225774.000000000000000,10422229.099999999627471
20140212,2118048.640000000130385,2088880.300000000279397,2018123.880000000121072,1955890.319999999832362,2197802.000000000000000,10378745.140000000596046
20140213,2116727.200000000186265,2085717.300000000046566,2021180.920000000158325,1967639.159999999683350,2201798.000000000000000,10393062.580000000074506
20140214,2126417.759999999776483,2104062.700000000186265,2025548.120000000111759,1974235.000000000000000,2215384.399999999906868,10445647.980000000447035
20140218,2126638.000000000000000,2107225.700000000186265,2012664.880000000121072,1979181.879999999888241,2225374.399999999906868,10451084.859999999403954
20140219,2118929.600000000093132,2091727.000000000000000,2001091.800000000046566,1969494.239999999757856,2199400.399999999906868,10380643.039999999105930
20140220,2134566.640000000130385,2123357.000000000000000,2017250.439999999944121,1973616.639999999897555,2230169.600000000093132,10478960.320000000298023
20140221,2147340.560000000055879,2115449.500000000000000,1998471.479999999981374,1988045.040000000037253,2238960.799999999813735,10488267.380000000819564
20140224,2143376.239999999757856,2114816.899999999906868,1989518.719999999972060,1989075.639999999897555,2244954.799999999813735,10481742.299999998882413
20140225,2123334.399999999906868,2127152.600000000093132,1989518.719999999972060,1991549.080000000074506,2234165.600000000093132,10465720.400000000372529
20140226,2140733.360000000335276,2154354.399999999906868,1989518.719999999972060,1976502.319999999832362,2248551.200000000186265,10509660.000000000000000
20140227,2129721.360000000335276,2185035.500000000000000,1994977.719999999972060,1959806.599999999860302,2264135.600000000093132,10533676.779999999329448
20140228,2135667.839999999850988,2194208.200000000186265,2011573.080000000074506,1961249.439999999944121,2277322.399999999906868,10580020.960000000894070
20140303,2121132.000000000000000,2181872.500000000000000,1999344.920000000158325,1944141.479999999748543,2254545.200000000186265,10501036.099999999627471
20140304,2136769.040000000037253,2228052.299999999813735,2038213.000000000000000,1957745.399999999906868,2280119.600000000093132,10640899.339999999850988
20140305,2122453.439999999944121,2248295.500000000000000,2021836.000000000000000,1958569.879999999888241,2272926.800000000279397,10624081.619999999180436
