代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13461511.710000000894070
真實報酬,3461511.710000000894070

夏普值報酬,0.337451171000000
夏普值風險,0.091746098267842
夏普值,3.678098331929623

預期報酬,29721.498111340817559
風險,202706.321980061475188
趨勢值,0.146623439372869
找到最佳解世代,2053
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](7),CSCO[4](3),INTC[11](13),JPM[13](1),WMT[28](10),
20171006,2157887.400000000372529,2095621.679999999934807,2260047.680000000167638,2132684.120000000111759,2023824.740000000223517,10670065.619999999180436
20171009,2156301.849999999627471,2096242.599999999860302,2273164.120000000111759,2121462.080000000074506,2063020.280000000260770,10710190.929999999701977
20171010,2177498.150000000372529,2083203.279999999795109,2261188.239999999757856,2137304.959999999962747,2155245.080000000074506,10814439.709999999031425
20171011,2181754.099999999627471,2085686.960000000195578,2241228.439999999944121,2130923.799999999813735,2196233.880000000353903,10835827.180000001564622
20171012,2185676.250000000000000,2065196.599999999860302,2234955.359999999869615,2112220.399999999906868,2205712.540000000037253,10803761.149999998509884
20171013,2175912.600000000558794,2078235.919999999925494,2262328.800000000279397,2109359.879999999888241,2219033.900000000372529,10844871.099999999627471
20171016,2167651.049999999813735,2082582.359999999869615,2267461.319999999832362,2152927.799999999813735,2196490.060000000055879,10867112.590000001713634
20171017,2158221.200000000186265,2086307.880000000121072,2269172.160000000149012,2148086.919999999925494,2202638.380000000353903,10864426.540000000968575
20171018,2170071.100000000558794,2083203.279999999795109,2295405.040000000037253,2156228.399999999906868,2208786.700000000186265,10913694.519999999552965
20171019,2161726.100000000558794,2095621.679999999934807,2286280.560000000055879,2158868.879999999888241,2213397.940000000409782,10915895.160000000149012
20171020,2209376.049999999813735,2126667.679999999701977,2305670.080000000074506,2189674.479999999981374,2240040.660000000149012,11071428.949999999254942
20171023,2189097.700000000186265,2132876.879999999888241,2328481.279999999795109,2185933.799999999813735,2271038.440000000409782,11107428.100000001490116
20171024,2219807.299999999813735,2147158.040000000037253,2335324.640000000130385,2220700.120000000111759,2253874.380000000353903,11176864.480000002309680
20171025,2156552.200000000186265,2129772.279999999329448,2325629.879999999888241,2222900.520000000018626,2266683.380000000353903,11101538.259999999776483
20171026,2163645.450000000186265,2127909.520000000484288,2358135.840000000316650,2238743.399999999906868,2270269.900000000372529,11158704.110000001266599
20171027,2140196.000000000000000,2137844.240000000223517,2532071.239999999757856,2239403.520000000018626,2258741.800000000279397,11308256.800000000745058
20171030,2163478.549999999813735,2113628.360000000335276,2530360.399999999906868,2231482.080000000074506,2227487.840000000316650,11266437.230000000447035
20171031,2152880.400000000372529,2120458.479999999515712,2594231.760000000242144,2213878.879999999888241,2236710.320000000298023,11318159.839999999850988
20171101,2157219.799999999813735,2149641.719999999739230,2663805.919999999925494,2220700.120000000111759,2252849.660000000149012,11444217.219999998807907
20171102,2191684.650000000372529,2124184.000000000000000,2686046.840000000316650,2235442.799999999813735,2274881.140000000130385,11512239.429999999701977
20171103,2184341.049999999813735,2140327.919999999925494,2642705.560000000055879,2231482.080000000074506,2297424.980000000447035,11496281.589999999850988
20171106,2203701.450000000186265,2136602.399999999441206,2663235.640000000130385,2217619.560000000055879,2272319.340000000316650,11493478.390000000596046
20171107,2220892.150000000372529,2135981.479999999515712,2667797.879999999888241,2172951.439999999944121,2278723.840000000316650,11476346.789999999105930
20171108,2216218.950000000186265,2142190.679999999701977,2663235.640000000130385,2148527.000000000000000,2312283.420000000391155,11482455.689999999478459
20171109,2192268.799999999813735,2114249.279999999329448,2640424.439999999944121,2148306.959999999962747,2313308.140000000130385,11408557.620000001043081
20171110,2176830.549999999813735,2110523.759999999776483,2599364.279999999795109,2145666.479999999981374,2329191.300000000279397,11361576.370000001043081
20171113,2189932.200000000186265,2108040.080000000074506,2609059.040000000037253,2153367.879999999888241,2330984.560000000055879,11391383.759999999776483
20171114,2184424.500000000000000,2113628.360000000335276,2615332.120000000111759,2140385.520000000018626,2333546.360000000335276,11387316.859999999403954
20171115,2193604.000000000000000,2117974.799999999813735,2592520.919999999925494,2160629.199999999720603,2301267.680000000167638,11365996.599999999627471
20171116,2200613.799999999813735,2227877.639999999664724,2603356.239999999757856,2166790.319999999832362,2552067.900000000372529,11750705.900000000372529
20171117,2188597.000000000000000,2229119.479999999515712,2545187.680000000167638,2159529.000000000000000,2496989.200000000186265,11619422.359999999403954
20171120,2208374.650000000372529,2266374.679999999701977,2544617.399999999906868,2178672.479999999981374,2497245.380000000353903,11695284.590000001713634
20171121,2228068.850000000558794,2275688.479999999515712,2562866.359999999869615,2176912.160000000149012,2472652.100000000093132,11716187.949999999254942
20171122,2212714.049999999813735,2263270.080000000074506,2546328.239999999757856,2170531.000000000000000,2469834.120000000111759,11662677.489999998360872
20171124,2218805.900000000372529,2265753.759999999776483,2552031.040000000037253,2163489.719999999739230,2475213.900000000372529,11675294.320000000298023
20171127,2216302.400000000372529,2289348.719999999739230,2537203.760000000242144,2154908.160000000149012,2475213.900000000372529,11672976.940000001341105
20171128,2236413.850000000558794,2342747.839999999850988,2550890.479999999981374,2230381.879999999888241,2479056.600000000093132,11839490.650000000372529
20171129,2247345.799999999813735,2327224.839999999850988,2506408.640000000130385,2282531.359999999869615,2499294.820000000298023,11862805.459999999031425
20171130,2309933.299999999813735,2316048.279999999329448,2557163.560000000055879,2299914.520000000018626,2490840.880000000353903,11973900.539999999105930
20171201,2264703.400000000372529,2334675.879999999888241,2548039.080000000074506,2305855.600000000093132,2493915.040000000037253,11947189.000000000000000
20171204,2319696.950000000186265,2342126.919999999925494,2537203.760000000242144,2353384.240000000223517,2485204.920000000391155,12037616.790000000968575
20171205,2299418.600000000558794,2316669.200000000186265,2477324.359999999869615,2326319.319999999832362,2506211.680000000167638,11925943.160000000149012
20171206,2322200.450000000186265,2322878.399999999441206,2477894.640000000130385,2308936.160000000149012,2492121.780000000260770,11924031.429999999701977
20171207,2353076.950000000186265,2322257.479999999515712,2456794.279999999795109,2302114.919999999925494,2479312.780000000260770,11913556.410000000149012
20171208,2385872.799999999813735,2335296.799999999813735,2472191.840000000316650,2330940.160000000149012,2473420.640000000130385,11997722.240000000223517
20171211,2363007.500000000000000,2357029.000000000000000,2489870.520000000018626,2324118.919999999925494,2483155.480000000447035,12017181.419999999925494
20171212,2419586.599999999627471,2353924.399999999441206,2471051.279999999795109,2351183.839999999850988,2477263.340000000316650,12073009.459999999031425
20171213,2435442.099999999627471,2368826.479999999515712,2471621.560000000055879,2321698.479999999981374,2504418.420000000391155,12102007.039999999105930
20171214,2452465.900000000372529,2353303.479999999515712,2467059.319999999832362,2302995.080000000074506,2488279.080000000074506,12064102.859999999403954
20171215,2452966.599999999627471,2371310.160000000149012,2541195.720000000204891,2335561.000000000000000,2487766.720000000204891,12188800.200000001117587
20171218,2471325.599999999627471,2389316.839999999850988,2638143.319999999832362,2353604.279999999795109,2508004.940000000409782,12360394.980000000447035
20171219,2480588.549999999813735,2378140.279999999329448,2682625.160000000149012,2343702.479999999981374,2531061.140000000130385,12416117.609999999403954
20171220,2486012.799999999813735,2405460.759999999776483,2712279.720000000204891,2335561.000000000000000,2529780.240000000223517,12469094.519999999552965
20171221,2462062.649999999441206,2392421.440000000409782,2666657.319999999832362,2372747.759999999776483,2512103.820000000298023,12405992.990000000223517
20171222,2462646.799999999813735,2393663.279999999329448,2663235.640000000130385,2364386.240000000223517,2515946.520000000018626,12399878.479999998584390
20171226,2464816.500000000000000,2389316.839999999850988,2627878.279999999795109,2354924.520000000018626,2540283.620000000111759,12377219.759999997913837
20171227,2466986.200000000186265,2394284.200000000186265,2629589.120000000111759,2359325.319999999832362,2542845.420000000391155,12393030.259999999776483
20171228,2473078.049999999813735,2396146.959999999962747,2635862.200000000186265,2371867.600000000093132,2546431.940000000409782,12423386.750000000000000
20171229,2461061.250000000000000,2378140.279999999329448,2632440.520000000018626,2353164.199999999720603,2529780.240000000223517,12354586.489999998360872
20180102,2477167.099999999627471,2412911.799999999813735,2671789.840000000316650,2375388.240000000223517,2525681.360000000335276,12462938.339999999850988
20180103,2485178.299999999813735,2432160.320000000298023,2581115.319999999832362,2377808.680000000167638,2547712.840000000316650,12423975.459999999031425
20180104,2475748.450000000186265,2420983.759999999776483,2533782.080000000074506,2399372.600000000093132,2550018.460000000428408,12379905.350000001490116
20180105,2577307.099999999627471,2454513.440000000409782,2551460.760000000242144,2383969.799999999813735,2565133.080000000074506,12532384.180000001564622
20180108,2588239.049999999813735,2479971.160000000149012,2551460.760000000242144,2387490.439999999944121,2603047.720000000204891,12610209.130000000819564
20180109,2657335.650000000372529,2464448.160000000149012,2487589.399999999906868,2399592.639999999664724,2571793.760000000242144,12580759.610000001266599
20180110,2672607.000000000000000,2478108.399999999441206,2423718.040000000037253,2425997.439999999944121,2553348.800000000279397,12553779.679999999701977
20180111,2738198.700000000186265,2489905.879999999888241,2475613.520000000018626,2438979.799999999813735,2562315.100000000093132,12705012.999999998137355
20180112,2805709.750000000000000,2537716.719999999739230,2465918.760000000242144,2479247.120000000111759,2584090.400000000372529,12872682.750000001862645
20180116,2796947.500000000000000,2517226.360000000335276,2460215.959999999962747,2470445.520000000018626,2579479.160000000149012,12824314.500000000000000
20180117,2929215.750000000000000,2558207.080000000074506,2531500.959999999962747,2486288.399999999906868,2630971.340000000316650,13136183.529999999329448
20180118,2838672.500000000000000,2564416.279999999329448,2536633.479999999981374,2492229.479999999981374,2671960.140000000130385,13103911.880000000819564
20180119,2818394.150000000372529,2563795.360000000335276,2556023.000000000000000,2486728.479999999981374,2679389.360000000335276,13104330.350000001490116
20180122,2820647.299999999813735,2586769.399999999441206,2609059.040000000037253,2515773.759999999776483,2701420.840000000316650,13233670.339999999850988
20180123,2800535.849999999627471,2614089.879999999888241,2626737.720000000204891,2513133.279999999795109,2712948.940000000409782,13267445.669999998062849
20180124,2793025.349999999627471,2618436.320000000298023,2595372.319999999832362,2545259.120000000111759,2710130.960000000428408,13262224.070000000298023
20180125,2863290.250000000000000,2601671.479999999515712,2583396.439999999944121,2545919.240000000223517,2730881.540000000037253,13325158.949999999254942
20180126,2864208.200000000186265,2642652.200000000186265,2855990.279999999795109,2559561.719999999739230,2776737.760000000242144,13699150.159999998286366
20180129,2844180.200000000186265,2660658.879999999888241,2850287.479999999981374,2556921.240000000223517,2806454.640000000130385,13718502.440000001341105
20180130,2818227.250000000000000,2623403.679999999701977,2782424.160000000149012,2532936.879999999888241,2759829.880000000353903,13516821.849999999627471
20180131,2957254.950000000186265,2579318.360000000335276,2745355.959999999962747,2545259.120000000111759,2730881.540000000037253,13558069.929999999701977
20180201,2978701.599999999627471,2589253.080000000074506,2717412.239999999757856,2571663.919999999925494,2703214.100000000093132,13560244.939999999478459
20180202,2911691.250000000000000,2541442.240000000223517,2631870.239999999757856,2514673.560000000055879,2676571.380000000353903,13276248.670000001788139
20180205,2744540.900000000372529,2407944.440000000409782,2538914.600000000093132,2394091.639999999664724,2564108.360000000335276,12649599.940000001341105
20180206,2844931.250000000000000,2494252.320000000298023,2561155.520000000018626,2466924.879999999888241,2584858.940000000409782,12952122.910000000149012
20180207,2905098.700000000186265,2504807.959999999962747,2577693.640000000130385,2483647.919999999925494,2634814.040000000037253,13106062.260000001639128
20180208,2751050.000000000000000,2407323.520000000484288,2437975.040000000037253,2373847.959999999962747,2562315.100000000093132,12532511.619999999180436
20180209,2777503.650000000372529,2454513.440000000409782,2506408.640000000130385,2421376.600000000093132,2545663.400000000372529,12705465.730000000447035
20180212,2869048.299999999813735,2520951.879999999888241,2556593.279999999795109,2458783.399999999906868,2550274.640000000130385,12955651.500000000000000
20180213,2863707.500000000000000,2560069.839999999850988,2535492.919999999925494,2473966.160000000149012,2586908.380000000353903,13020144.800000000745058
20180214,2877810.549999999813735,2613468.959999999962747,2587958.680000000167638,2531176.560000000055879,2605353.340000000316650,13215768.089999999850988
20180215,2974696.000000000000000,2737032.040000000037253,2618753.800000000279397,2541738.479999999981374,2644548.880000000353903,13516769.200000001117587
20180216,2962846.100000000558794,2752555.040000000037253,2598223.720000000204891,2523475.160000000149012,2684256.780000000260770,13521356.800000000745058
20180220,2948743.049999999813735,2735790.200000000186265,2641565.000000000000000,2524135.279999999795109,2410912.720000000204891,13261146.250000000000000
20180221,2940564.950000000186265,2689221.200000000186265,2619894.359999999869615,2534697.199999999720603,2344562.100000000093132,13128939.809999998658895
20180222,2970189.700000000186265,2666247.160000000149012,2611910.439999999944121,2530076.359999999869615,2376584.600000000093132,13155008.259999999776483
20180223,2976365.000000000000000,2732064.679999999701977,2721974.479999999981374,2581345.680000000167638,2379658.760000000242144,13391408.599999999627471
20180226,3033277.900000000372529,2816509.799999999813735,2800673.120000000111759,2613471.520000000018626,2385550.900000000372529,13649483.240000000223517
20180227,3042958.099999999627471,2796640.360000000335276,2846295.520000000018626,2582445.879999999888241,2344562.100000000093132,13612901.959999999031425
20180228,3022679.750000000000000,2780496.440000000409782,2810938.160000000149012,2541518.439999999944121,2305878.920000000391155,13461511.710000000894070
