代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12383444.890000000596046
真實報酬,2383444.890000000596046

夏普值報酬,0.229644489000000
夏普值風險,0.073356997808258
夏普值,3.130505553134120

預期報酬,22704.625451625866845
風險,189015.535801091638859
趨勢值,0.120120419495670
找到最佳解世代,1863
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](1),NKE[19](4),UNH[23](2),WMT[28](5),
20141216,3001229.410000000614673,3021128.680000000167638,2956506.000000000000000,2818694.879999999888241,11797558.969999998807907
20141217,3059360.890000000130385,3062611.560000000055879,3057986.049999999813735,2861844.399999999906868,12041802.900000000372529
20141218,3112854.220000000204891,3146225.490000000223517,3153605.549999999813735,2919943.359999999869615,12332628.620000001043081
20141219,3151814.680000000633299,3073630.450000000186265,3161316.799999999813735,2893442.079999999608845,12280204.009999999776483
20141222,3200360.650000000372529,3109279.799999999813735,3178281.550000000279397,2934892.799999999813735,12422814.800000000745058
20141223,3208400.110000000335276,3110576.140000000130385,3172421.000000000000000,2944406.079999999608845,12435803.330000000074506
20141224,3202215.910000000614673,3120946.859999999869615,3167177.350000000093132,2936591.600000000093132,12426931.720000000670552
20141226,3208090.900000000372529,3138447.450000000186265,3163167.500000000000000,2952900.079999999608845,12462605.930000001564622
20141229,3232209.280000000260770,3153355.359999999869615,3156381.600000000093132,2943726.560000000055879,12485672.800000000745058
20141230,3224169.820000000298023,3139743.790000000037253,3172421.000000000000000,2948822.959999999962747,12485157.570000000298023
20141231,3245814.520000000484288,3116409.669999999925494,3118133.800000000279397,2917904.799999999813735,12398262.789999999105930
20150102,3198196.180000000633299,3080112.150000000372529,3108571.850000000093132,2918584.320000000298023,12305464.500000001862645
20150105,3131097.610000000335276,3030203.060000000055879,3057369.150000000372529,2910090.320000000298023,12128760.140000000596046
20150106,3121512.100000000558794,3012702.469999999739230,3051200.149999999906868,2932514.479999999981374,12117929.200000001117587
20150107,3228498.760000000242144,3074926.790000000037253,3082353.600000000093132,3010319.519999999552965,12396098.669999999925494
20150108,3299926.270000000484288,3145577.320000000298023,3229484.250000000000000,3073854.639999999664724,12748842.480000000447035
20150109,3243340.840000000316650,3111224.310000000055879,3199256.149999999906868,3035801.519999999552965,12589622.820000000298023
20150112,3228807.970000000204891,3106687.120000000111759,3163167.500000000000000,3058565.439999999944121,12557228.029999999329448
20150113,3207472.480000000447035,3079463.979999999981374,3179206.899999999906868,3034442.479999999981374,12500585.840000001713634
20150114,3173768.590000000316650,3037332.930000000167638,3187226.600000000093132,2942707.279999999795109,12341035.400000000372529
20150115,3123367.360000000335276,3008165.279999999795109,3222081.449999999720603,2968868.799999999813735,12322482.890000000596046
20150116,3219531.670000000391155,3013998.810000000055879,3262488.399999999906868,2948143.439999999944121,12444162.320000000298023
20150120,3192630.400000000372529,3034092.080000000074506,3257861.650000000372529,2945425.359999999869615,12430009.490000000223517
20150121,3201288.280000000260770,3030851.229999999981374,3371988.149999999906868,2943726.560000000055879,12547854.220000000670552
20150122,3279827.620000000111759,3106687.120000000111759,3511716.000000000000000,3000126.719999999739230,12898357.460000000894070
20150123,3258182.920000000391155,3116409.669999999925494,3454652.750000000000000,3007261.680000000167638,12836507.019999999552965
20150126,3288794.710000000428408,3122891.370000000111759,3442623.200000000186265,3011338.799999999813735,12865648.080000001937151
20150127,3251689.510000000242144,3062611.560000000055879,3393271.200000000186265,2973965.200000000186265,12681537.469999998807907
20150128,3238702.690000000409782,3024369.529999999795109,3345461.449999999720603,2949842.239999999757856,12558375.910000000149012
20150129,3327755.170000000391155,3074926.790000000037253,3374147.299999999813735,2980420.639999999664724,12757249.900000002235174
20150130,3228807.970000000204891,2990016.520000000018626,3277294.000000000000000,2887326.399999999906868,12383444.890000000596046
