代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11914475.860000001266599
真實報酬,1914475.860000001266599

夏普值報酬,0.182747586000000
夏普值風險,0.063357912946149
夏普值,2.884368778929440

預期報酬,18175.516556524380576
風險,207398.379979980702046
趨勢值,0.087635769181412
找到最佳解世代,2106
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](2),UNH[23](1),
20110309,5143205.699999999254942,5418998.880000000819564,10562204.580000000074506
20110310,5204288.700000000186265,5333737.480000000447035,10538026.179999999701977
20110311,5207682.200000000186265,5309377.080000001005828,10517059.280000001192093
20110314,5135740.000000000000000,5257002.219999999739230,10392742.219999998807907
20110315,5098411.500000000000000,5211935.480000000447035,10310346.980000000447035
20110316,4980317.699999999254942,5098659.620000000111759,10078977.320000000298023
20110317,4981675.099999999627471,5148598.440000000409782,10130273.539999999105930
20110318,4953848.399999999441206,5188793.100000000558794,10142641.500000000000000
20110321,5006108.299999999813735,5260656.280000000260770,10266764.580000000074506
20110322,5013574.000000000000000,5205845.380000000819564,10219419.380000000819564
20110323,5058368.199999999254942,5207063.400000000372529,10265431.599999999627471
20110324,5085516.200000000186265,5334955.500000000000000,10420471.699999999254942
20110325,5107234.599999999627471,5328865.400000000372529,10436100.000000000000000
20110328,5090267.099999999627471,5343481.639999999664724,10433748.739999998360872
20110329,5115379.000000000000000,5417780.860000000335276,10533159.859999999403954
20110330,5145241.799999999813735,5529838.700000000186265,10675080.500000000000000
20110331,5164245.399999999441206,5505478.300000000745058,10669723.699999999254942
20110401,5157458.399999999441206,5555417.120000000111759,10712875.519999999552965
20110404,5184606.399999999441206,5554199.100000000558794,10738805.500000000000000
20110405,5198859.099999999627471,5492080.080000001005828,10690939.179999999701977
20110406,5207003.500000000000000,5476245.820000000298023,10683249.320000000298023
20110407,5158815.799999999813735,5411690.760000000707805,10570506.560000000521541
20110408,5160851.900000000372529,5405600.660000001080334,10566452.560000002384186
20110411,5175104.599999999627471,5398292.540000000037253,10573397.140000000596046
20110412,5202931.299999999813735,5457975.520000000484288,10660906.820000000298023
20110413,5218541.399999999441206,5399510.560000000521541,10618051.960000000894070
20110414,5230757.999999999068677,5459193.540000000037253,10689951.539999999105930
20110415,5251797.699999999254942,5478681.860000000335276,10730479.559999998658895
20110418,5226007.099999999627471,5304505.000000000000000,10530512.099999999627471
20110419,5198859.099999999627471,5354443.820000000298023,10553302.919999999925494
20110420,5321025.099999999627471,5388548.380000000819564,10709573.480000000447035
20110421,5219898.799999999813735,5823381.520000000484288,11043280.320000000298023
20110425,5234830.199999999254942,5811201.320000000298023,11046031.519999999552965
20110426,5221934.899999999441206,5767352.600000000558794,10989287.500000000000000
20110427,5285054.000000000000000,5872102.320000000298023,11157156.320000000298023
20110428,5295913.199999999254942,5980506.100000000558794,11276419.300000000745058
20110429,5314916.799999999813735,5996340.360000000335276,11311257.160000000149012
20110502,5337313.899999999441206,6075511.660000001080334,11412825.560000000521541
20110503,5357674.899999999441206,6051151.260000000707805,11408826.160000000149012
20110504,5366497.999999999068677,6036535.020000000484288,11403033.019999999552965
20110505,5334599.099999999627471,6038971.060000000521541,11373570.160000000149012
20110506,5341386.099999999627471,6104744.139999999664724,11446130.239999998360872
20110509,5382786.799999999813735,6147374.839999999850988,11530161.640000000596046
20110510,5409934.799999998882413,6152246.919999999925494,11562181.719999998807907
20110511,5396360.799999999813735,6092563.940000000409782,11488924.740000000223517
20110512,5474411.299999999813735,6099872.060000000521541,11574283.359999999403954
20110513,5479840.899999999441206,6084037.800000000745058,11563878.699999999254942
20110516,5506988.899999999441206,6110834.240000000223517,11617823.140000000596046
20110517,5492736.200000000186265,6088909.880000000819564,11581646.080000001937151
20110518,5531422.099999999627471,6164427.120000000111759,11695849.219999998807907
20110519,5599970.799999999813735,6157119.000000000000000,11757089.800000000745058
20110520,5587754.199999999254942,6058459.380000000819564,11646213.580000000074506
20110523,5599292.099999999627471,5987814.219999999739230,11587106.320000000298023
20110524,5608793.899999999441206,5841651.820000000298023,11450445.719999998807907
20110525,5614223.500000000000000,5830689.639999999664724,11444913.140000000596046
20110526,5594541.200000000186265,5809983.300000000745058,11404524.500000000000000
20110527,5539566.500000000000000,5883064.500000000000000,11422631.000000000000000
20110531,5534136.900000000372529,5962235.800000000745058,11496372.700000001117587
20110601,5496129.700000000186265,5889154.600000000558794,11385284.300000000745058
20110602,5480519.599999999627471,6015828.680000000633299,11496348.280000001192093
20110603,5466266.900000000372529,5950055.600000000558794,11416322.500000000000000
20110606,5477126.099999999627471,5864794.200000000186265,11341920.300000000745058
20110607,5506988.899999999441206,5842869.839999999850988,11349858.739999998360872
20110608,5507667.599999999627471,5870884.300000000745058,11378551.900000000372529
20110609,5515133.299999999813735,6163209.100000000558794,11678342.400000000372529
20110610,5454050.299999999813735,6018264.719999999739230,11472315.019999999552965
20110613,5479162.200000000186265,5981724.120000000111759,11460886.320000000298023
20110614,5529386.000000000000000,6041407.100000000558794,11570793.100000001490116
20110615,5513775.899999999441206,6010956.600000000558794,11524732.500000000000000
20110616,5552461.799999999813735,6048715.219999999739230,11601177.019999999552965
20110617,5600649.499999999068677,6085255.820000000298023,11685905.320000000298023
20110620,5612187.399999999441206,6244816.440000000409782,11857003.839999999850988
20110621,5619653.099999999627471,6360528.339999999850988,11980181.439999999478459
20110622,5609472.599999999627471,6306935.460000000894070,11916408.060000000521541
20110623,5585039.400000000372529,6230200.200000000186265,11815239.600000001490116
20110624,5554497.899999999441206,6146156.820000000298023,11700654.719999998807907
20110627,5587075.499999999068677,6215583.960000000894070,11802659.460000000894070
20110628,5724851.599999999627471,6305717.440000000409782,12030569.039999999105930
20110629,5739782.999999999068677,6277702.980000000447035,12017485.980000000447035
20110630,5722815.499999999068677,6282575.060000000521541,12005390.559999998658895
20110701,5813082.599999999627471,6471368.160000001080334,12284450.760000001639128
20110705,5812403.899999999441206,6437263.600000000558794,12249667.500000000000000
20110706,5827335.299999999813735,6471368.160000001080334,12298703.460000000894070
20110707,5840909.299999999813735,6410467.160000001080334,12251376.460000000894070
20110708,5809689.099999999627471,6343476.060000000521541,12153165.160000000149012
20110711,5792721.599999999627471,6204621.780000000260770,11997343.379999998956919
20110712,5768288.399999999441206,6261868.719999999739230,12030157.119999999180436
20110713,5766252.299999998882413,6300845.360000000335276,12067097.660000000149012
20110714,5823941.799999999813735,6366618.440000000409782,12190560.240000000223517
20110715,5801544.700000000186265,6330077.839999999850988,12131622.539999999105930
20110718,5796115.099999999627471,6327641.800000000745058,12123756.900000000372529
20110719,5851089.799999998882413,6266740.800000000745058,12117830.599999999627471
20110720,5855161.999999999068677,6274048.919999999925494,12129210.919999998062849
20110721,5873486.900000000372529,6352002.200000000186265,12225489.100000001490116
20110722,6010584.299999999813735,6425083.400000000372529,12435667.699999999254942
20110725,5980721.500000000000000,6288665.160000001080334,12269386.660000000149012
20110726,5973934.499999999068677,6243598.419999999925494,12217532.919999998062849
20110727,5910815.399999999441206,6076729.680000000633299,11987545.080000000074506
20110728,5889775.699999999254942,6080383.740000000223517,11970159.439999999478459
20110729,5869414.700000000186265,6045061.160000001080334,11914475.860000001266599
