代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11703900.429999999701977
真實報酬,1703900.429999999701977

夏普值報酬,0.161690043000000
夏普值風險,0.058143256265387
夏普值,2.780890740999891

預期報酬,18072.955555493605061
風險,144489.556709073280217
趨勢值,0.125081396656806
找到最佳解世代,2046
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](5),MRK[17](16),UNH[23](2),WBA[27](1),
20150122,2603139.660000000149012,2700638.200000000186265,2995736.919999999459833,2959350.399999999906868,11258865.179999999701977
20150123,2591375.719999999739230,2696323.399999999906868,2947057.869999999646097,2942611.359999999869615,11177368.349999997764826
20150126,2598215.219999999739230,2710562.239999999757856,2936795.799999999813735,2952343.359999999869615,11197916.619999999180436
20150127,2570857.219999999739230,2699343.759999999776483,2894695.000000000000000,2916918.879999999888241,11081814.859999999403954
20150128,2535291.819999999832362,2651449.479999999981374,2853909.849999999627471,2871762.399999999906868,10912413.549999998882413
20150129,2550338.719999999739230,2679064.200000000186265,2878380.939999999478459,2902904.799999999813735,11010688.660000000149012
20150130,2488509.639999999664724,2600966.319999999832362,2795758.119999999646097,2870983.839999999850988,10756217.919999998062849
20150202,2515046.900000000372529,2626855.120000000111759,2823123.639999999664724,2915361.759999999776483,10880387.419999999925494
20150203,2574413.759999999776483,2632895.839999999850988,2836806.399999999906868,2911468.959999999962747,10955584.960000000894070
20150204,2770844.200000000186265,2547894.279999999795109,2839700.829999999608845,2906797.600000000093132,11065236.910000000149012
20150205,2808051.080000000074506,2553072.040000000037253,2863382.529999999329448,2911468.959999999962747,11135974.609999999403954
20150206,2791089.119999999646097,2536675.799999999813735,2831280.669999999459833,2964411.040000000037253,11123456.629999998956919
20150209,2783155.300000000279397,2516827.719999999739230,2802073.239999999292195,2974143.040000000037253,11076199.299999998882413
20150210,2788353.319999999832362,2539264.680000000167638,2867329.479999999515712,2985432.159999999683350,11180379.639999998733401
20150211,2786985.419999999925494,2534518.399999999906868,2890484.919999999459833,3095987.679999999701977,11307976.419999999925494
20150212,2833767.600000000093132,2540559.120000000111759,2890221.789999999571592,3112726.719999999739230,11377275.230000000447035
20150213,2849908.819999999832362,2537538.759999999776483,2879696.589999999385327,3064845.279999999795109,11331989.449999999254942
20150217,2848540.919999999925494,2536675.799999999813735,2888116.750000000000000,3036427.839999999850988,11309761.309999998658895
20150218,2841427.839999999850988,2537107.279999999795109,2888379.879999999422580,3028252.959999999962747,11295167.959999997168779
20150219,2842248.580000000074506,2515533.279999999795109,2895221.259999999776483,3001392.639999999664724,11254395.759999997913837
20150220,2860304.859999999869615,2517690.680000000167638,2963371.929999999701977,3002560.479999999515712,11343927.949999999254942
20150223,2872342.379999999888241,2515533.279999999795109,3062835.069999999832362,3059395.359999999869615,11510106.089999999850988
20150224,2863587.819999999832362,2518122.159999999683350,3037311.459999999962747,3129465.759999999776483,11548487.199999999254942
20150225,2888210.019999999552965,2523731.399999999906868,3000999.519999999552965,3114673.120000000111759,11527614.059999998658895
20150226,2860578.439999999944121,2544010.959999999962747,2990737.449999999720603,3178515.040000000037253,11573841.890000000596046
20150227,2847446.600000000093132,2525888.799999999813735,2989948.059999999590218,3234182.079999999608845,11597465.539999999105930
20150302,2896964.580000000074506,2527614.719999999739230,3010209.069999999832362,3255203.200000000186265,11689991.570000000298023
20150303,2909549.259999999776483,2517259.200000000186265,2969687.049999999813735,3239242.719999999739230,11635738.230000000447035
20150304,2888210.019999999552965,2497411.120000000111759,2994947.529999999329448,3231846.399999999906868,11612415.069999998435378
20150305,2873436.700000000186265,2501725.919999999925494,3020471.139999999664724,3238853.439999999944121,11634487.199999999254942
20150306,2840333.519999999552965,2452537.200000000186265,2970213.309999999590218,3205764.639999999664724,11468848.669999998062849
20150309,2879729.040000000037253,2470659.359999999869615,3023365.569999999832362,3250531.839999999850988,11624285.810000000521541
20150310,2820362.180000000167638,2441318.719999999739230,2959161.849999999627471,3220168.000000000000000,11441010.750000000000000
20150311,2814890.580000000074506,2418881.759999999776483,2966003.229999999515712,3211993.120000000111759,11411768.689999999478459
20150312,2931982.819999999832362,2423628.040000000037253,3022839.309999999590218,3279727.839999999850988,11658178.009999997913837
20150313,2912011.479999999981374,2424922.479999999981374,3032575.119999999646097,3259096.000000000000000,11628605.080000000074506
20150316,2937454.419999999925494,2464618.639999999664724,3118618.629999999422580,3377826.399999999906868,11898518.089999999850988
20150317,2926237.639999999664724,2436572.439999999944121,3094410.669999999459833,3357973.120000000111759,11815193.870000001043081
20150318,2953869.219999999739230,2487487.079999999608845,3156509.349999999627471,3393786.879999999888241,11991652.529999997466803
20150319,2937454.419999999925494,2511649.959999999962747,3177559.750000000000000,3400793.919999999925494,12027458.049999998882413
20150320,2966453.900000000372529,2527614.719999999739230,3134932.689999999478459,3434661.279999999795109,12063662.589999997988343
20150323,2960708.719999999739230,2534086.919999999925494,3132301.389999999664724,3422593.600000000093132,12049690.629999998956919
20150324,2930341.339999999850988,2529772.120000000111759,3108093.429999999701977,3425707.839999999850988,11993914.730000000447035
20150325,2872615.959999999962747,2513807.359999999869615,3066518.889999999664724,3343180.479999999515712,11796122.690000001341105
20150326,2879181.879999999888241,2485329.680000000167638,3058888.119999999646097,3287124.159999999683350,11710523.839999999850988
20150327,2885747.800000000279397,2491801.879999999888241,3105199.000000000000000,3320212.959999999962747,11802961.640000000596046
20150330,2903256.919999999925494,2517259.200000000186265,3183874.869999999646097,3347462.559999999590218,11951853.550000000745058
20150331,2869606.580000000074506,2480151.919999999925494,3112566.639999999664724,3296466.879999999888241,11758792.019999999552965
20150401,2884653.479999999981374,2453400.159999999683350,3090463.719999999739230,3280117.120000000111759,11708634.480000000447035
20150402,2899973.959999999962747,2463755.680000000167638,3088095.549999999813735,3346684.000000000000000,11798509.190000001341105
20150406,2889851.500000000000000,2467207.520000000018626,3097041.969999999739230,3426097.120000000111759,11880198.109999999403954
20150407,2884379.900000000372529,2477994.520000000018626,3087832.419999999459833,3397679.679999999701977,11847886.519999999552965
20150408,2909822.839999999850988,2465913.079999999608845,3109935.339999999385327,3413250.879999999888241,11898922.140000000596046
20150409,2921039.619999999646097,2477994.520000000018626,3119408.019999999552965,3605555.200000000186265,12123997.359999999403954
20150410,2925964.060000000055879,2470227.879999999888241,3131248.869999999646097,3582198.399999999906868,12109639.209999999031425
20150413,2913926.540000000037253,2447790.919999999925494,3140984.679999999701977,3570130.719999999739230,12072832.859999999403954
20150414,2918030.239999999757856,2492233.359999999869615,3155456.829999999608845,3580641.279999999795109,12146361.709999999031425
20150415,2926784.800000000279397,2522005.479999999981374,3087043.029999999329448,3563512.959999999962747,12099346.269999999552965
20150416,2957425.759999999776483,2495685.200000000186265,3199662.669999999459833,3484878.399999999906868,12137652.029999999329448
20150417,2918850.979999999981374,2454263.120000000111759,3123618.099999999627471,3385222.719999999739230,11881954.919999998062849
20150420,2960708.719999999739230,2485761.159999999683350,3120197.409999999683350,3391451.200000000186265,11958118.489999998360872
20150421,2945935.400000000372529,2487918.559999999590218,3138616.509999999776483,3390283.359999999869615,11962753.829999998211861
20150422,2953048.479999999981374,2489213.000000000000000,3099936.399999999906868,3387558.399999999906868,11929756.280000001192093
20150423,2982047.959999999962747,2481446.359999999869615,3111777.250000000000000,3374712.159999999683350,11949983.730000000447035
20150424,2996547.700000000186265,2485329.680000000167638,3123091.839999999385327,3347073.279999999795109,11952042.500000000000000
20150427,3013783.239999999757856,2463755.680000000167638,3058624.989999999292195,3352523.200000000186265,11888687.109999999403954
20150428,3007217.319999999832362,2588021.919999999925494,3094147.539999999571592,3350966.079999999608845,12040352.859999999403954
20150429,3004207.939999999944121,2575077.520000000018626,2989421.799999999813735,3292184.799999999813735,11860892.059999998658895
20150430,2974387.719999999739230,2569899.759999999776483,2931270.069999999832362,3228342.879999999888241,11703900.429999999701977
