代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11382427.009999999776483
真實報酬,1382427.009999999776483

夏普值報酬,0.129542701000000
夏普值風險,0.047578719333233
夏普值,2.722702561468843

預期報酬,13230.261858923964610
風險,151436.103638309839880
趨勢值,0.087365308146881
找到最佳解世代,1717
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](3),INTC[11](1),MSFT[18](4),PG[21](2),WBA[27](17),
20160721,2121396.150000000372529,2263539.500000000000000,2237816.719999999739230,2128304.679999999701977,2061049.340000000083819,10812106.390000000596046
20160722,2104968.200000000186265,2289299.000000000000000,2268696.799999999813735,2139787.200000000186265,2052219.889999999897555,10854971.089999999850988
20160725,2076806.000000000232831,2291280.500000000000000,2275113.439999999944121,2141784.160000000149012,2057769.829999999841675,10842753.929999999701977
20160726,2062511.550000000046566,2317700.500000000000000,2276316.560000000055879,2128554.299999999813735,2051715.349999999860302,10836798.259999999776483
20160727,2196495.350000000093132,2300527.500000000000000,2253457.279999999795109,2108335.080000000074506,2016649.819999999832362,10875465.029999999329448
20160728,2226151.000000000000000,2296564.500000000000000,2254259.359999999869615,2117071.780000000260770,2004540.859999999869615,10898587.500000000000000
20160729,2223377.450000000186265,2302509.000000000000000,2273108.240000000223517,2136542.139999999664724,1999243.189999999944121,10934780.019999999552965
20160801,2262633.850000000093132,2301848.500000000000000,2269097.839999999850988,2157010.979999999515712,1999747.729999999748543,10990338.899999998509884
20160802,2229137.900000000372529,2282694.000000000000000,2269097.839999999850988,2165747.679999999701977,1991675.090000000083819,10938352.509999999776483
20160803,2257086.750000000000000,2262218.500000000000000,2284738.399999999906868,2146027.700000000186265,2008072.639999999897555,10958143.990000002086163
20160804,2258793.550000000279397,2284015.000000000000000,2301582.080000000074506,2148024.660000000149012,2014379.389999999897555,11006794.680000001564622
20160805,2293142.900000000372529,2310435.000000000000000,2324441.359999999869615,2141284.919999999925494,2031533.750000000000000,11100837.929999999701977
20160808,2312131.050000000279397,2314398.000000000000000,2328451.760000000242144,2140785.679999999701977,2034056.449999999720603,11129822.939999999478459
20160809,2321518.450000000186265,2306472.000000000000000,2334066.320000000298023,2146526.939999999478459,2040615.469999999972060,11149199.180000001564622
20160810,2304237.100000000093132,2280712.500000000000000,2326847.600000000093132,2154514.780000000260770,2081230.939999999944121,11147542.919999999925494
20160811,2302743.650000000372529,2290620.000000000000000,2338076.719999999739230,2164998.820000000298023,2091574.009999999776483,11188013.200000001117587
20160812,2308077.400000000372529,2283354.500000000000000,2323639.279999999795109,2172737.040000000037253,2101917.079999999608845,11189725.299999998882413
20160815,2335812.900000000372529,2305811.500000000000000,2330858.000000000000000,2172237.799999999813735,2109232.910000000149012,11253953.109999999403954
20160816,2333679.399999999906868,2325626.500000000000000,2303587.279999999795109,2161254.519999999552965,2088799.039999999804422,11212946.739999998360872
20160817,2330265.800000000279397,2313077.000000000000000,2308399.760000000242144,2170740.080000000074506,2081735.479999999748543,11204218.120000001043081
20160818,2327278.899999999906868,2309774.500000000000000,2310003.919999999925494,2182721.839999999850988,2085014.989999999990687,11214794.150000000372529
20160819,2333252.700000000186265,2327608.000000000000000,2310806.000000000000000,2179476.780000000260770,2083501.370000000111759,11234644.850000001490116
20160822,2315117.950000000186265,2335534.000000000000000,2312811.200000000186265,2167994.259999999776483,2087285.419999999925494,11218742.830000000074506
20160823,2322371.850000000093132,2338176.000000000000000,2321634.080000000074506,2181723.360000000335276,2078203.699999999720603,11242108.989999998360872
20160824,2304877.149999999906868,2321663.500000000000000,2324040.320000000298023,2179476.780000000260770,2055247.129999999888241,11185304.879999998956919
20160825,2295063.049999999813735,2317700.500000000000000,2332863.200000000186265,2194204.360000000335276,2022704.300000000046566,11162535.410000000149012
20160826,2281622.000000000000000,2328929.000000000000000,2327248.640000000130385,2186216.519999999552965,2002774.969999999972060,11126791.130000000819564
20160829,2279061.799999999813735,2348083.500000000000000,2330055.919999999925494,2204189.160000000149012,2026992.889999999897555,11188383.269999999552965
20160830,2261567.100000000093132,2357991.000000000000000,2321634.080000000074506,2185218.040000000037253,2031281.479999999748543,11157691.699999999254942
20160831,2263700.600000000093132,2370540.500000000000000,2304389.359999999869615,2179476.780000000260770,2036074.609999999869615,11154181.849999997764826
20160901,2277141.650000000372529,2379127.000000000000000,2309602.880000000353903,2204438.780000000260770,2057013.020000000018626,11227323.330000001937151
20160902,2298476.650000000372529,2383090.000000000000000,2312811.200000000186265,2201692.959999999962747,2074167.379999999888241,11270238.190000001341105
20160906,2297836.600000000093132,2415454.500000000000000,2310404.959999999962747,2212676.240000000223517,2059535.719999999972060,11295908.020000001415610
20160907,2311917.700000000186265,2408189.000000000000000,2312410.159999999683350,2195452.459999999962747,2090817.199999999720603,11318786.519999999552965
20160908,2251326.299999999813735,2406868.000000000000000,2303186.240000000223517,2191208.919999999925494,2135973.529999999795109,11288562.990000000223517
20160909,2200335.649999999906868,2340818.000000000000000,2254259.359999999869615,2152767.439999999478459,2091826.280000000027940,11040006.729999998584390
20160912,2249619.500000000000000,2383090.000000000000000,2287946.719999999739230,2202941.059999999590218,2108223.829999999608845,11231821.109999999403954
20160913,2303170.350000000093132,2352046.500000000000000,2267092.640000000130385,2172986.660000000149012,2074924.189999999944121,11170220.339999999850988
20160914,2384670.049999999813735,2352707.000000000000000,2256264.560000000055879,2171988.179999999701977,2042885.900000000139698,11208515.689999999478459
20160915,2465743.049999999813735,2414794.000000000000000,2293561.279999999795109,2198198.280000000260770,2053481.239999999990687,11425777.849999999627471
20160916,2451875.300000000279397,2488109.500000000000000,2295967.520000000018626,2197948.660000000149012,2055751.669999999925494,11489652.650000000372529
20160919,2423286.399999999906868,2454424.000000000000000,2283134.240000000223517,2205936.500000000000000,2038597.310000000055879,11405378.450000001117587
20160920,2423073.049999999813735,2453103.000000000000000,2278321.760000000242144,2211178.519999999552965,2034308.719999999972060,11399985.050000000745058
20160921,2422646.350000000093132,2473578.500000000000000,2316420.560000000055879,2191708.160000000149012,2032795.099999999860302,11437148.669999999925494
20160922,2445474.800000000279397,2480183.500000000000000,2318826.799999999813735,2221412.939999999478459,2078203.699999999720603,11544101.739999998360872
20160923,2404724.950000000186265,2456405.500000000000000,2303186.240000000223517,2190709.679999999701977,2069878.789999999804422,11424905.160000000149012
20160926,2408351.899999999906868,2420738.500000000000000,2281931.120000000111759,2192956.259999999776483,2035317.800000000046566,11339295.580000001937151
20160927,2412832.250000000000000,2455745.000000000000000,2324040.320000000298023,2205686.879999999888241,2042633.629999999888241,11440938.079999998211861
20160928,2431180.350000000093132,2472918.000000000000000,2327248.640000000130385,2233145.080000000074506,2034813.259999999776483,11499305.330000000074506
20160929,2393417.400000000372529,2464992.000000000000000,2301983.120000000111759,2202441.820000000298023,1998234.109999999869615,11361068.449999999254942
20160930,2411978.850000000093132,2493393.500000000000000,2310003.919999999925494,2240384.059999999590218,2033804.180000000167638,11489564.509999997913837
20161003,2400671.299999999813735,2487449.000000000000000,2302785.200000000186265,2213175.479999999515712,2027749.699999999720603,11431830.679999999701977
20161004,2410912.100000000093132,2479523.000000000000000,2295566.479999999981374,2205437.259999999776483,2024217.919999999925494,11415656.759999999776483
20161005,2411978.850000000093132,2509245.500000000000000,2311608.080000000074506,2217918.259999999776483,2031029.209999999962747,11481779.899999998509884
20161006,2429900.250000000000000,2514529.500000000000000,2315618.479999999981374,2227154.200000000186265,2025731.539999999804422,11512933.969999998807907
20161007,2433527.200000000186265,2516511.000000000000000,2318024.719999999739230,2246624.559999999590218,2015136.199999999720603,11529823.679999999701977
20161010,2475983.850000000093132,2511227.000000000000000,2327649.680000000167638,2223160.280000000260770,2009333.989999999990687,11547354.799999998882413
20161011,2481317.600000000093132,2461689.500000000000000,2293561.279999999795109,2210180.040000000037253,1969727.599999999860302,11416476.019999997690320
20161012,2503506.000000000000000,2452442.500000000000000,2290352.959999999962747,2210928.899999999441206,1975277.539999999804422,11432507.899999998509884
20161013,2495825.400000000372529,2441874.500000000000000,2282733.200000000186265,2202691.439999999478459,1972754.840000000083819,11395879.379999998956919
20161014,2509693.149999999906868,2473578.500000000000000,2302785.200000000186265,2207434.219999999739230,1975529.810000000055879,11469020.880000000819564
20161017,2507986.350000000093132,2463010.500000000000000,2294764.399999999906868,2192457.019999999552965,1967961.709999999962747,11426179.980000000447035
20161018,2506279.550000000279397,2493393.500000000000000,2312410.159999999683350,2182971.459999999962747,1969727.599999999860302,11464782.270000001415610
20161019,2498812.300000000279397,2345441.500000000000000,2307196.640000000130385,2135294.040000000037253,1947023.300000000046566,11233767.780000001192093
20161020,2497532.200000000186265,2340157.500000000000000,2295967.520000000018626,2120067.219999999739230,2043894.979999999748543,11297619.420000001788139
20161021,2487718.100000000093132,2321663.500000000000000,2392618.159999999683350,2105090.019999999552965,2057769.829999999841675,11364859.609999999403954
20161024,2510119.850000000093132,2328929.000000000000000,2446357.520000000018626,2099348.759999999776483,2096619.409999999916181,11481374.539999999105930
20161025,2522920.850000000093132,2318361.000000000000000,2445956.479999999981374,2170989.700000000186265,2079969.590000000083819,11538197.620000001043081
20161026,2466169.750000000000000,2306472.000000000000000,2431519.040000000037253,2181723.360000000335276,2076185.539999999804422,11462069.689999999478459
20161027,2442487.900000000372529,2299206.500000000000000,2410263.919999999925494,2161254.519999999552965,2072653.759999999776483,11385866.599999999627471
20161028,2426273.300000000279397,2294583.000000000000000,2401040.000000000000000,2167744.639999999664724,2045913.139999999897555,11335554.080000001937151
20161031,2422433.000000000000000,2303169.500000000000000,2403045.200000000186265,2166746.160000000149012,2087033.150000000139698,11382427.009999999776483
