代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11761578.369999999180436
真實報酬,1761578.369999999180436

夏普值報酬,0.167457837000000
夏普值風險,0.051130744184185
夏普值,3.275090939353011

預期報酬,14611.762004747566607
風險,132772.516454661148600
趨勢值,0.110051103910026
找到最佳解世代,2769
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,4
KO[14](1),MCD[15](4),PG[21](2),WMT[28](3),
20190814,2827035.500000000000000,2849899.119999999646097,2782065.240000000223517,2722238.109999999869615,11181237.969999998807907
20190815,2873983.500000000000000,2873462.680000000167638,2820506.840000000316650,2888596.279999999795109,11456549.299999998882413
20190816,2902792.500000000000000,2876095.479999999981374,2863513.380000000353903,2896286.179999999701977,11538687.540000000968575
20190819,2917730.500000000000000,2880176.319999999832362,2888980.939999999944121,2917305.239999999757856,11604193.000000000000000
20190820,2874517.000000000000000,2876095.479999999981374,2856786.100000000093132,2872191.159999999683350,11479589.740000000223517
20190821,2886254.000000000000000,2905582.839999999850988,2863993.900000000372529,2871422.169999999459833,11527252.910000000149012
20190822,2907060.500000000000000,2889522.760000000242144,2869279.620000000111759,2868602.539999999571592,11534465.419999998062849
20190823,2867048.000000000000000,2825940.639999999664724,2818825.020000000018626,2840918.899999999906868,11352732.560000000521541
20190826,2909728.000000000000000,2855559.639999999664724,2866877.020000000018626,2870653.179999999701977,11502817.839999999850988
20190827,2919331.000000000000000,2844238.600000000093132,2896429.000000000000000,2881675.369999999646097,11541673.969999998807907
20190828,2940137.500000000000000,2870829.879999999888241,2916851.100000000093132,2889365.269999999552965,11617183.750000000000000
20190829,2936936.500000000000000,2903344.959999999962747,2911565.380000000353903,2924226.149999999906868,11676072.990000000223517
20190830,2936403.000000000000000,2869513.479999999981374,2888740.680000000167638,2928840.089999999850988,11623497.250000000000000
20190903,2950274.000000000000000,2858455.719999999739230,2915890.060000000055879,2938580.629999999888241,11663200.410000000149012
20190904,2975348.500000000000000,2876490.399999999906868,2960338.160000000149012,2971134.539999999571592,11783311.599999999627471
20190905,2940671.000000000000000,2889522.760000000242144,2949526.460000000428408,2959087.029999999795109,11738807.250000000000000
20190906,2946539.500000000000000,2896631.319999999832362,2952169.320000000298023,2940887.600000000093132,11736227.740000000223517
20190909,2908661.000000000000000,2860167.039999999571592,2935351.120000000111759,2981900.399999999906868,11686079.560000000521541
20190910,2902259.000000000000000,2760383.919999999925494,2880331.580000000074506,2974723.159999999683350,11517697.660000000149012
20190911,2921998.500000000000000,2767229.199999999720603,2913727.720000000204891,2973954.169999999459833,11576909.589999999850988
20190912,2940137.500000000000000,2792899.000000000000000,2949766.720000000204891,2997023.869999999646097,11679827.089999999850988
20190913,2894790.000000000000000,2762095.239999999757856,2934149.820000000298023,3010096.699999999720603,11601131.759999999776483
20190916,2878785.000000000000000,2730370.000000000000000,2877208.200000000186265,2962419.319999999832362,11448782.519999999552965
20190917,2893723.000000000000000,2762621.799999999813735,2911084.860000000335276,2986514.339999999850988,11553944.000000000000000
20190918,2893189.500000000000000,2770256.919999999925494,2917091.360000000335276,3003175.789999999571592,11583713.570000000298023
20190919,2908661.000000000000000,2771441.680000000167638,2928864.100000000093132,3001894.139999999664724,11610860.919999998062849
20190920,2876117.500000000000000,2756566.359999999869615,2937032.939999999944121,2998561.850000000093132,11568278.649999998509884
20190923,2888388.000000000000000,2784868.959999999962747,2960578.420000000391155,3014966.969999999739230,11648802.350000001490116
20190924,2896924.000000000000000,2791187.680000000167638,2969948.560000000055879,3034960.709999999962747,11693020.949999999254942
20190925,2889988.500000000000000,2799217.719999999739230,2955773.220000000204891,3036755.019999999552965,11681734.459999999031425
20190926,2901725.500000000000000,2798822.799999999813735,2986766.760000000242144,3032397.409999999683350,11719712.470000000670552
20190927,2897457.500000000000000,2806194.639999999664724,2993013.520000000018626,3036242.359999999869615,11732908.019999999552965
20190930,2904393.000000000000000,2826598.839999999850988,2988448.580000000074506,3042137.949999999720603,11761578.369999999180436
