代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10578844.800000000745058
真實報酬,578844.800000000745058

夏普值報酬,0.049184480000000
夏普值風險,0.055700566898782
夏普值,0.883015788499554

預期報酬,12052.660036631546973
風險,316386.775870945188217
趨勢值,0.038094702294219
找到最佳解世代,2251
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
NKE[19](2),PG[21](1),
20190219,5628991.999999999068677,5289913.919999999925494,10918905.919999998062849
20190220,5646963.200000000186265,5252352.080000000074506,10899315.280000001192093
20190221,5587724.799999999813735,5278804.080000000074506,10866528.879999998956919
20190222,5641638.400000000372529,5303668.959999999962747,10945307.359999999403954
20190225,5668928.000000000000000,5267694.239999999292195,10936622.239999998360872
20190226,5710860.799999999813735,5281449.280000000260770,10992310.080000000074506
20190227,5735488.000000000000000,5232777.599999999627471,10968265.599999999627471
20190228,5706201.599999999627471,5213732.160000000149012,10919933.759999999776483
20190301,5801382.399999999441206,5207912.719999999739230,11009295.119999999180436
20190304,5700211.200000000186265,5230661.440000000409782,10930872.640000000596046
20190305,5686899.199999999254942,5242300.320000000298023,10929199.519999999552965
20190306,5666265.599999999627471,5233835.680000000633299,10900101.280000001192093
20190307,5674918.400000000372529,5213732.160000000149012,10888650.560000000521541
20190308,5644300.799999999813735,5206325.599999999627471,10850626.399999998509884
20190311,5712191.999999999068677,5268223.280000000260770,10980415.279999999329448
20190312,5686233.600000000558794,5293088.160000000149012,10979321.760000001639128
20190313,5719513.600000000558794,5352869.680000000633299,11072383.280000001192093
20190314,5782080.000000000000000,5360276.239999999292195,11142356.239999998360872
20190315,5777420.799999999813735,5419528.719999999739230,11196949.519999999552965
20190318,5845311.999999999068677,5370328.000000000000000,11215640.000000000000000
20190319,5836659.199999999254942,5390960.560000000521541,11227619.759999999776483
20190320,5770099.199999999254942,5381437.839999999850988,11151537.039999999105930
20190321,5857958.400000000372529,5422173.919999999925494,11280132.320000000298023
20190322,5470579.199999999254942,5378263.599999999627471,10848842.799999998882413
20190325,5479897.599999999627471,5394134.799999999813735,10874032.399999998509884
20190326,5549785.599999999627471,5450213.040000000037253,10999998.640000000596046
20190327,5530483.200000000186265,5443864.560000000521541,10974347.760000001639128
20190328,5593715.200000000186265,5478252.160000000149012,11071967.359999999403954
20190329,5605030.399999999441206,5504704.160000000149012,11109734.559999998658895
20190401,5672921.599999999627471,5483013.519999999552965,11155935.119999999180436
20190402,5615680.000000000000000,5488832.959999999962747,11104512.960000000894070
20190403,5622336.000000000000000,5485658.719999999739230,11107994.719999998807907
20190404,5676249.599999999627471,5471903.680000000633299,11148153.280000001192093
20190405,5684236.799999999813735,5483542.560000000521541,11167779.359999999403954
20190408,5639641.599999999627471,5553375.839999999850988,11193017.439999999478459
20190409,5609689.599999999627471,5536975.599999999627471,11146665.199999999254942
20190410,5649625.599999999627471,5536446.560000000521541,11186072.160000000149012
20190411,5657612.799999999813735,5541736.959999999962747,11199349.759999999776483
20190412,5740147.199999999254942,5558137.200000000186265,11298284.399999998509884
20190415,5779417.599999999627471,5593582.879999999888241,11373000.480000000447035
20190416,5843980.799999999813735,5630086.639999999664724,11474067.439999999478459
20190417,5905881.599999999627471,5599931.359999999403954,11505812.959999999031425
20190418,5937164.799999999813735,5610512.160000000149012,11547676.960000000894070
20190422,5814694.399999999441206,5608396.000000000000000,11423090.399999998509884
20190423,5819353.600000000558794,5457619.599999999627471,11276973.199999999254942
20190424,5883251.200000000186265,5485658.719999999739230,11368909.919999999925494
20190425,5828006.400000000372529,5463968.080000000074506,11291974.480000000447035
20190426,5877926.400000000372529,5600460.400000000372529,11478386.800000000745058
20190429,5874598.400000000372529,5543324.080000000074506,11417922.480000000447035
20190430,5845977.599999999627471,5633260.879999999888241,11479238.480000000447035
20190501,5717516.799999999813735,5551259.680000000633299,11268776.480000000447035
20190502,5675584.000000000000000,5584589.200000000186265,11260173.199999999254942
20190503,5704204.799999999813735,5612099.280000000260770,11316304.080000000074506
20190506,5562431.999999999068677,5590937.680000000633299,11153369.679999999701977
20190507,5493875.200000000186265,5539091.759999999776483,11032966.960000000894070
20190508,5509184.000000000000000,5558666.239999999292195,11067850.239999998360872
20190509,5523161.599999999627471,5514755.919999999925494,11037917.519999999552965
20190510,5587724.799999999813735,5608396.000000000000000,11196120.800000000745058
20190513,5493209.599999999627471,5613686.400000000372529,11106896.000000000000000
20190514,5569088.000000000000000,5586705.359999999403954,11155793.359999999403954
20190515,5591718.400000000372529,5644899.759999999776483,11236618.160000000149012
20190516,5609689.599999999627471,5719494.400000000372529,11329184.000000000000000
20190517,5628991.999999999068677,5684577.759999999776483,11313569.759999997913837
20190520,5514508.799999999813735,5678229.280000000260770,11192738.080000000074506
20190521,5567091.200000000186265,5627441.440000000409782,11194532.640000000596046
20190522,5537804.799999999813735,5645957.839999999850988,11183762.640000000596046
20190523,5500531.200000000186265,5648074.000000000000000,11148605.199999999254942
20190524,5468582.399999999441206,5644370.719999999739230,11112953.119999999180436
20190528,5404684.799999999813735,5526394.799999999813735,10931079.599999999627471
20190529,5249600.000000000000000,5512110.719999999739230,10761710.719999998807907
20190530,5275558.400000000372529,5572421.280000000260770,10847979.679999999701977
20190531,5134451.200000000186265,5444393.599999999627471,10578844.800000000745058
