代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12205295.160000000149012
真實報酬,2205295.160000000149012

夏普值報酬,0.211829516000000
夏普值風險,0.061553245860902
夏普值,3.441402854346476

預期報酬,17541.845432245823758
風險,119214.704019688389963
趨勢值,0.147144981623649
找到最佳解世代,1396
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),CSCO[4](3),INTC[11](4),JNJ[12](6),PG[21](16),
20140428,2257773.379999999888241,2111926.459999999962747,2126816.750000000000000,2200166.199999999720603,2108819.000000000000000,10805501.789999999105930
20140429,2251122.879999999888241,2124770.479999999515712,2138933.000000000000000,2193436.099999999627471,2096106.500000000000000,10804368.959999999031425
20140430,2242610.240000000223517,2120183.330000000074506,2155895.750000000000000,2199080.699999999720603,2098903.250000000000000,10816673.269999999552965
20140501,2247930.639999999664724,2111009.030000000260770,2136509.750000000000000,2182581.099999999627471,2093564.000000000000000,10771594.519999999552965
20140502,2251920.940000000409782,2104587.019999999552965,2133278.750000000000000,2156094.899999999906868,2082885.500000000000000,10728767.109999999403954
20140505,2283843.339999999850988,2106421.879999999888241,2113892.750000000000000,2171074.799999999813735,2077292.000000000000000,10752524.769999999552965
20140506,2259103.479999999515712,2084403.559999999823049,2116316.000000000000000,2160436.899999999906868,2062799.750000000000000,10683059.689999999478459
20140507,2251122.879999999888241,2098165.009999999776483,2130047.750000000000000,2190830.899999999906868,2087207.750000000000000,10757374.289999999105930
20140508,2234629.639999999664724,2111926.459999999962747,2127624.500000000000000,2181929.799999999813735,2088987.500000000000000,10745097.899999998509884
20140509,2225318.940000000409782,2111926.459999999962747,2124393.500000000000000,2190830.899999999906868,2094835.250000000000000,10747305.050000000745058
20140512,2252985.019999999552965,2127522.769999999552965,2130047.750000000000000,2182363.999999999534339,2078054.750000000000000,10770974.289999999105930
20140513,2256443.279999999329448,2097247.580000000074506,2136509.750000000000000,2193218.999999999534339,2075003.750000000000000,10758423.359999999403954
20140514,2256975.320000000298023,2092660.429999999701977,2126816.750000000000000,2189962.500000000000000,2063816.750000000000000,10730231.750000000000000
20140515,2237821.879999999888241,2218348.339999999850988,2100968.750000000000000,2186054.699999999720603,2047544.750000000000000,10790738.419999999925494
20140516,2270808.360000000335276,2235779.509999999776483,2085621.499999999767169,2183666.599999999627471,2042459.750000000000000,10818335.719999998807907
20140519,2297676.379999999888241,2233944.650000000372529,2103392.000000000000000,2184969.199999999720603,2032289.750000000232831,10852271.980000000447035
20140520,2298208.419999999925494,2212843.759999999776483,2103392.000000000000000,2176502.299999999813735,2039917.250000000000000,10830863.730000000447035
20140521,2304326.879999999888241,2245871.240000000223517,2116316.000000000000000,2195824.199999999720603,2046527.749999999767169,10908866.070000000298023
20140522,2307785.139999999664724,2236696.939999999478459,2112277.250000000000000,2191916.399999999906868,2050595.750000000232831,10899271.479999998584390
20140523,2333855.099999999627471,2249540.959999999962747,2123585.750000000000000,2192350.600000000093132,2047290.500000000000000,10946622.910000000149012
20140527,2377748.399999999441206,2266972.129999999888241,2157511.250000000000000,2188659.899999999906868,2036103.500000000000000,11026995.179999999701977
20140528,2371363.919999999925494,2277063.860000000335276,2171243.000000000000000,2177587.799999999813735,2036611.999999999767169,11033870.580000000074506
20140529,2414725.179999999701977,2264219.839999999850988,2177705.000000000000000,2187574.399999999906868,2044239.500000000232831,11088463.919999999925494
20140530,2405680.500000000000000,2258715.259999999776483,2206784.000000000000000,2202771.399999999906868,2054155.250000000232831,11128106.410000000149012
20140602,2389187.259999999776483,2273394.139999999664724,2201937.500000000000000,2218185.500000000000000,2043222.500000000000000,11125926.899999998509884
20140603,2422971.799999999813735,2264219.839999999850988,2234247.500000000000000,2224481.399999999906868,2032289.750000000232831,11178210.289999999105930
20140604,2450637.879999999888241,2247706.099999999627471,2229401.000000000000000,2229257.600000000093132,2030510.000000000000000,11187512.580000000074506
20140605,2460214.599999999627471,2266054.700000000186265,2234247.500000000000000,2240981.000000000000000,2036866.250000000000000,11238364.050000000745058
20140606,2453298.080000000074506,2277981.290000000037253,2275442.750000000000000,2240112.600000000093132,2034832.250000000000000,11281666.970000000670552
20140609,2492669.040000000037253,2275229.000000000000000,2254441.250000000000000,2240981.000000000000000,2036357.750000000000000,11299678.039999999105930
20140610,2507300.139999999664724,2293577.599999999627471,2281097.000000000000000,2260085.799999999813735,2037883.250000000232831,11379943.789999999105930
20140611,2496925.360000000335276,2297247.319999999366701,2256056.750000000000000,2243151.999999999534339,2035595.000000000000000,11328976.429999999701977
20140612,2455160.219999999739230,2262384.979999999515712,2258480.000000000000000,2226001.099999999627471,2027967.500000000232831,11229993.799999998882413
20140613,2428292.200000000186265,2266054.700000000186265,2412760.250000000000000,2226001.099999999627471,2024916.500000000000000,11358024.750000000000000
20140616,2452766.040000000037253,2250458.389999999664724,2424068.750000000000000,2224264.299999999813735,2026187.750000000000000,11377745.230000000447035
20140617,2449573.799999999813735,2247706.099999999627471,2419222.250000000000000,2212975.100000000093132,2023391.000000000000000,11352868.250000000000000
20140618,2452234.000000000000000,2259632.689999999478459,2417606.750000000000000,2232079.899999999906868,2028730.250000000232831,11390283.589999999850988
20140619,2443721.360000000335276,2266972.129999999888241,2430530.750000000000000,2253789.899999999906868,2040171.499999999767169,11435185.640000000596046
20140620,2418449.459999999962747,2277981.290000000037253,2439416.000000000000000,2285486.499999999534339,2032289.750000000232831,11453623.000000000000000
20140623,2416321.299999999813735,2266054.700000000186265,2441839.250000000000000,2274197.299999999813735,2021865.500000000000000,11420278.050000000745058
20140624,2401690.200000000186265,2250458.389999999664724,2463648.500000000000000,2270723.699999999720603,2008898.750000000232831,11395419.539999999105930
20140625,2403818.360000000335276,2267889.559999999590218,2494343.000000000000000,2296124.399999999906868,2016780.499999999767169,11478955.820000000298023
20140626,2418183.440000000409782,2261467.549999999813735,2486265.500000000000000,2293736.299999999813735,1998983.000000000000000,11458635.789999999105930
20140627,2446913.599999999627471,2266054.700000000186265,2498381.750000000000000,2279407.699999999720603,2009153.000000000000000,11499910.750000000000000
20140630,2472185.500000000000000,2279816.150000000372529,2495958.500000000000000,2271375.000000000000000,1998220.250000000000000,11517555.400000000372529
20140701,2487880.679999999701977,2300917.040000000037253,2502420.500000000000000,2298512.500000000000000,2015763.500000000000000,11605494.219999998807907
20140702,2486816.599999999627471,2296329.889999999664724,2502420.500000000000000,2298295.399999999906868,2022882.500000000000000,11606744.889999998733401
20140703,2501447.700000000186265,2311008.769999999552965,2515344.500000000000000,2288743.000000000000000,2033561.000000000000000,11650104.969999998807907
20140707,2553055.580000000074506,2314678.490000000223517,2506459.250000000000000,2311538.500000000000000,2038900.250000000000000,11724632.070000000298023
20140708,2536562.339999999850988,2299999.610000000335276,2487073.250000000000000,2295256.000000000000000,2048307.500000000000000,11667198.699999999254942
20140709,2537626.419999999925494,2333944.519999999552965,2495150.750000000000000,2302203.199999999720603,2076529.250000000000000,11745454.139999998733401
20140710,2528315.719999999739230,2333944.519999999552965,2525037.500000000000000,2296992.799999999813735,2075003.750000000000000,11759294.289999999105930
20140711,2533104.080000000074506,2341283.959999999962747,2524229.750000000000000,2281795.799999999813735,2063562.500000000000000,11743976.089999999850988
20140714,2565824.540000000037253,2333944.519999999552965,2543615.750000000000000,2287874.599999999627471,2067630.499999999767169,11798889.910000000149012
20140715,2535764.279999999329448,2355045.410000000149012,2561386.250000000000000,2242283.599999999627471,2066105.000000000232831,11760584.539999999105930
20140716,2521399.200000000186265,2383485.740000000223517,2798864.750000000000000,2219271.000000000000000,2057969.000000000000000,11980989.690000001341105
20140717,2476441.820000000298023,2351375.689999999478459,2722128.500000000000000,2179107.500000000000000,2044239.500000000232831,11773293.009999999776483
20140718,2512088.500000000000000,2377063.729999999515712,2722128.500000000000000,2210152.799999999813735,2048053.250000000000000,11869486.779999999329448
20140721,2499053.519999999552965,2371559.150000000372529,2751207.500000000000000,2198646.499999999534339,2041188.500000000000000,11861655.169999999925494
20140722,2519803.080000000074506,2380733.450000000186265,2810173.250000000000000,2224698.500000000000000,2036611.999999999767169,11972020.280000001192093
20140723,2585510.019999999552965,2355962.839999999850988,2786748.500000000000000,2218619.699999999720603,2033815.249999999767169,11980656.309999998658895
20140724,2581253.700000000186265,2369724.290000000037253,2766554.750000000000000,2218836.799999999813735,2040680.000000000232831,11977049.539999999105930
20140725,2598278.979999999515712,2382568.309999999590218,2766554.750000000000000,2216882.899999999906868,2022882.500000000000000,11987167.439999999478459
20140728,2634191.679999999701977,2377981.160000000149012,2764939.249999999068677,2216882.899999999906868,2015255.000000000232831,12009249.989999998360872
20140729,2617166.399999999441206,2358715.129999999888241,2761708.250000000000000,2213626.399999999906868,1999745.750000000232831,11950961.929999999701977
20140730,2611047.940000000409782,2351375.689999999478459,2774632.250000000000000,2221007.799999999813735,1987287.500000000000000,11945351.179999999701977
20140731,2543212.839999999850988,2314678.490000000223517,2737475.750000000000000,2173028.699999999720603,1965930.499999999767169,11734326.279999999329448
20140801,2557311.899999999441206,2293577.599999999627471,2725359.500000000000000,2168903.799999999813735,2025170.750000000232831,11770323.549999998882413
20140804,2542946.820000000298023,2309173.910000000149012,2750399.750000000000000,2174548.399999999906868,2014238.000000000000000,11791306.880000000819564
20140805,2530443.879999999888241,2290825.309999999590218,2651046.500000000000000,2167166.999999999534339,2019068.750000000000000,11658551.439999999478459
20140806,2526187.559999999590218,2287155.589999999850988,2653469.750000000000000,2186488.899999999906868,2061782.750000000000000,11715084.549999998882413
20140807,2513418.599999999627471,2280733.580000000074506,2639738.000000000000000,2169555.100000000093132,2037629.000000000000000,11641074.279999999329448
20140808,2520335.120000000111759,2296329.889999999664724,2633276.000000000000000,2194521.599999999627471,2058223.250000000000000,11702685.859999999403954
20140811,2553587.620000000111759,2314678.490000000223517,2667201.500000000000000,2196258.399999999906868,2071698.500000000000000,11803424.509999999776483
20140812,2553055.580000000074506,2307339.049999999813735,2676086.750000000000000,2184752.099999999627471,2070173.000000000000000,11791406.480000000447035
20140813,2586840.120000000111759,2311926.200000000186265,2754438.500000000000000,2208850.199999999720603,2071698.500000000000000,11933753.519999999552965
20140814,2593756.639999999664724,2251375.819999999366701,2741514.500000000000000,2214928.999999999534339,2083648.250000000000000,11885224.209999999031425
20140815,2606525.599999999627471,2241284.089999999850988,2760092.750000000000000,2196475.500000000000000,2079326.000000000000000,11883703.939999999478459
20140818,2637915.959999999962747,2259632.689999999478459,2779478.749999999068677,2229691.799999999813735,2096106.500000000000000,12002825.699999999254942
20140819,2674360.700000000186265,2260550.120000000111759,2773824.500000000000000,2235336.399999999906868,2102462.750000000000000,12046534.470000000670552
20140820,2675424.779999999329448,2266972.129999999888241,2786748.500000000000000,2240763.899999999906868,2105513.750000000000000,12075423.059999998658895
20140821,2675690.799999999813735,2283485.870000000111759,2839252.250000000000000,2262039.699999999720603,2117463.500000000000000,12177932.119999999180436
20140822,2695376.279999999329448,2261467.549999999813735,2822289.500000000000000,2238375.799999999813735,2120260.250000000000000,12137769.379999998956919
20140825,2701228.719999999739230,2266054.700000000186265,2811788.750000000000000,2241198.100000000093132,2124074.000000000000000,12144344.269999999552965
20140826,2683937.419999999925494,2276146.429999999701977,2810981.000000000000000,2245757.199999999720603,2120006.000000000000000,12136828.049999998882413
20140827,2716923.899999999441206,2275229.000000000000000,2810173.250000000000000,2240981.000000000000000,2118226.250000000000000,12161533.399999998509884
20140828,2720116.139999999664724,2279816.150000000372529,2798864.750000000000000,2235119.299999999813735,2111107.250000000000000,12145023.589999999850988
20140829,2726766.639999999664724,2292660.169999999925494,2820674.000000000000000,2252053.100000000093132,2113141.250000000000000,12205295.160000000149012
