代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11509476.939999999478459
真實報酬,1509476.939999999478459

夏普值報酬,0.142247694000000
夏普值風險,0.049899398461873
夏普值,2.850689555079298

預期報酬,14438.542862523159783
風險,107448.061465142149245
趨勢值,0.134376950739193
找到最佳解世代,2845
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](1),PG[21](10),TRV[22](12),WMT[28](2),
20120614,2736023.370000000111759,2481929.819999999832362,2453358.399999999906868,2870050.639999999664724,10541362.230000000447035
20120615,2730804.180000000633299,2470144.919999999925494,2464630.120000000111759,2875143.080000000074506,10540722.300000000745058
20120618,2731384.090000000316650,2446967.949999999720603,2451415.000000000465661,2890844.770000000484288,10520611.810000002384186
20120619,2755160.399999999906868,2443825.310000000055879,2466184.840000000316650,2877689.300000000279397,10542859.850000001490116
20120620,2767918.419999999925494,2372330.250000000000000,2481732.040000000502914,2907819.569999999832362,10529800.280000001192093
20120621,2748781.390000000130385,2347189.129999999888241,2432369.680000000167638,2873021.229999999981374,10401361.429999999701977
20120622,2752840.760000000242144,2350331.770000000018626,2462298.040000000502914,2856046.430000000167638,10421517.000000000000000
20120625,2708187.690000000409782,2329904.609999999869615,2415656.439999999944121,2893390.990000000223517,10347139.730000000447035
20120626,2742982.290000000037253,2328333.290000000037253,2415656.439999999944121,2910365.790000000037253,10397337.809999998658895
20120627,2776037.160000000149012,2356224.219999999739230,2442086.680000000167638,2910790.160000000149012,10485138.220000000670552
20120628,2773137.610000000335276,2368401.949999999720603,2442864.040000000502914,2898483.430000000167638,10482887.030000001192093
20120629,2812571.490000000223517,2406113.629999999888241,2481343.360000000335276,2958743.970000000204891,10658772.450000001117587
20120702,2825329.510000000242144,2403756.649999999906868,2484452.800000000279397,2943042.279999999795109,10656581.240000000223517
20120703,2817790.680000000633299,2410434.759999999776483,2492615.080000000074506,3002454.080000000074506,10723294.600000001490116
20120705,2789955.000000000000000,2410041.930000000167638,2486007.520000000484288,3016458.290000000037253,10702462.740000000223517
20120706,2785895.630000000353903,2407292.120000000111759,2458799.919999999925494,3028340.649999999906868,10680328.320000000298023
20120709,2783575.990000000223517,2417898.529999999795109,2451415.000000000465661,3045315.450000000186265,10698204.969999998807907
20120710,2746461.750000000000000,2424969.469999999739230,2456856.520000000484288,3060168.399999999906868,10688456.140000000596046
20120711,2741242.560000000521541,2412006.079999999608845,2430426.280000000260770,3066533.950000000186265,10650208.870000001043081
20120712,2749361.299999999813735,2502356.979999999981374,2419154.560000000521541,3068655.800000000279397,10739528.640000000596046
20120713,2794594.280000000260770,2556960.350000000093132,2453747.080000000540167,3105575.990000000223517,10910877.700000001117587
20120716,2775457.250000000000000,2545961.109999999869615,2431203.640000000130385,3097088.590000000316650,10849710.589999999850988
20120717,2861863.840000000316650,2567173.929999999701977,2460743.320000000298023,3102181.029999999795109,10991962.119999999180436
20120718,2861863.840000000316650,2546353.939999999478459,2487562.240000000223517,3091571.779999999795109,10987351.799999998882413
20120719,2840987.080000000540167,2550282.239999999757856,2475513.160000000149012,3035554.939999999944121,10902337.419999999925494
20120720,2817790.680000000633299,2542818.470000000204891,2437422.520000000484288,3066109.580000000074506,10864141.250000000000000
20120723,2782416.169999999925494,2529462.250000000000000,2399720.560000000521541,3049134.779999999795109,10760733.759999999776483
20120724,2792854.549999999813735,2514927.539999999571592,2366682.760000000242144,3061441.510000000242144,10735906.359999999403954
20120725,2800973.290000000037253,2514927.539999999571592,2370180.879999999888241,3058895.290000000037253,10744977.000000000000000
20120726,2882740.600000000093132,2536140.359999999869615,2394667.720000000204891,3126370.120000000111759,10939918.800000000745058
20120727,2896078.530000000260770,2556960.350000000093132,2437811.200000000186265,3162441.569999999832362,11053291.650000000372529
20120730,2887959.790000000037253,2557353.179999999701977,2456856.520000000484288,3181962.590000000316650,11084132.080000000074506
20120731,2849685.730000000447035,2535354.700000000186265,2435090.439999999944121,3158622.240000000223517,10978753.110000001266599
20120801,2849685.730000000447035,2514534.709999999962747,2462298.040000000502914,3124248.270000000484288,10950766.750000000000000
20120802,2840407.169999999925494,2494893.209999999962747,2443641.399999999906868,3142496.180000000167638,10921437.959999999031425
20120803,2886220.060000000521541,2573066.379999999888241,2476290.520000000484288,3163714.680000000167638,11099291.640000000596046
20120806,2879261.140000000130385,2585244.109999999869615,2468905.600000000558794,3152256.689999999944121,11085667.540000000968575
20120807,2888539.700000000186265,2601350.139999999664724,2463075.399999999906868,3139949.959999999962747,11092915.199999999254942
20120808,2927973.580000000540167,2620991.639999999664724,2480177.320000000298023,3153529.800000000279397,11182672.340000001713634
20120809,2897238.350000000093132,2621384.470000000204891,2483286.760000000242144,3134008.779999999795109,11135918.359999999403954
20120810,2879261.140000000130385,2622955.789999999571592,2486784.879999999888241,3126794.490000000223517,11115796.300000000745058
20120813,2891439.250000000000000,2611563.720000000204891,2477067.879999999888241,3114912.130000000353903,11094982.980000000447035
20120814,2881580.780000000260770,2621384.470000000204891,2469682.959999999962747,3140798.700000000186265,11113446.910000000149012
20120815,2893178.980000000447035,2617849.000000000000000,2477845.240000000223517,3159470.979999999981374,11148344.200000001117587
20120816,2914055.740000000223517,2631990.879999999888241,2488728.280000000260770,3061865.880000000353903,11096640.780000001192093
20120817,2926233.850000000093132,2631990.879999999888241,2531483.080000000074506,3055075.959999999962747,11144783.769999999552965
20120820,2925653.940000000409782,2622170.129999999888241,2551305.760000000242144,3068231.430000000167638,11167361.259999999776483
20120821,2878681.230000000447035,2622955.789999999571592,2535369.880000000353903,3031311.240000000223517,11068318.140000000596046
20120822,2879841.049999999813735,2626098.429999999701977,2543920.840000000316650,3045739.819999999832362,11095600.140000000596046
20120823,2851425.460000000428408,2619420.320000000298023,2518656.640000000130385,3036828.050000000279397,11026330.470000002533197
20120824,2874041.950000000186265,2632776.539999999571592,2541977.440000000409782,3060168.399999999906868,11108964.330000000074506
20120827,2878101.320000000298023,2636312.009999999776483,2533426.480000000447035,3076718.830000000074506,11124558.640000000596046
20120828,2878101.320000000298023,2631598.049999999813735,2520211.360000000335276,3072899.500000000000000,11102810.230000000447035
20120829,2901877.630000000353903,2626884.089999999850988,2518656.640000000130385,3088176.819999999832362,11135595.180000001564622
20120830,2865923.210000000428408,2627276.919999999925494,2506607.560000000055879,3066109.580000000074506,11065917.270000001415610
20120831,2868822.760000000242144,2639454.649999999906868,2516324.560000000055879,3080962.529999999795109,11105564.500000000000000
20120904,2879841.049999999813735,2647704.080000000074506,2512437.760000000242144,3119580.200000000186265,11159563.089999999850988
20120905,2945370.880000000353903,2643382.950000000186265,2508162.280000000260770,3121277.680000000167638,11218193.790000000968575
20120906,3007421.250000000000000,2680701.799999999813735,2539645.360000000335276,3174748.300000000279397,11402516.710000000894070
20120907,3000462.330000000540167,2691701.039999999571592,2534592.520000000018626,3132735.669999999925494,11359491.560000000521541
20120910,2987704.310000000521541,2691308.209999999962747,2538479.320000000298023,3119580.200000000186265,11337072.040000000968575
20120911,2990023.950000000186265,2681487.459999999962747,2602222.840000000316650,3142920.550000000279397,11416654.800000000745058
20120912,2998142.690000000409782,2675202.179999999701977,2625154.960000000428408,3143344.919999999925494,11441844.750000000000000
20120913,3050334.590000000316650,2707021.409999999683350,2660524.840000000316650,3188752.510000000242144,11606633.349999999627471
20120914,3035836.840000000316650,2716842.159999999683350,2665577.680000000167638,3161592.830000000074506,11579849.509999999776483
20120917,3024238.640000000130385,2720377.629999999888241,2661690.880000000353903,3139949.959999999962747,11546257.109999999403954
20120918,3009740.890000000130385,2719199.139999999664724,2660913.520000000018626,3138252.479999999981374,11528106.029999999329448
20120919,3056133.690000000409782,2720770.459999999962747,2651973.880000000353903,3156076.020000000484288,11584954.050000000745058
20120920,3053814.049999999813735,2732555.359999999869615,2660524.840000000316650,3172202.080000000074506,11619096.330000000074506
20120921,3058453.330000000540167,2727055.739999999757856,2666743.720000000204891,3159470.979999999981374,11611723.770000001415610
20120924,3068891.710000000428408,2740411.959999999962747,2659358.800000000279397,3171777.709999999962747,11640440.179999999701977
20120925,3046855.130000000353903,2733733.850000000093132,2661690.880000000353903,3151407.950000000186265,11593687.810000002384186
20120926,3012060.530000000260770,2722341.779999999795109,2634483.280000000260770,3148437.359999999869615,11517322.950000001117587
20120927,3049174.770000000018626,2722341.779999999795109,2658970.120000000111759,3139525.590000000316650,11570012.259999999776483
20120928,3031777.470000000204891,2724698.759999999776483,2653139.920000000391155,3131886.930000000167638,11541503.080000000074506
20121001,3019599.360000000335276,2728234.229999999981374,2684623.000000000000000,3142496.180000000167638,11574952.769999999552965
20121002,2994663.230000000447035,2702307.450000000186265,2670241.840000000316650,3129765.080000000074506,11496977.600000001490116
20121003,3042795.760000000242144,2717234.989999999757856,2682290.920000000391155,3148861.729999999981374,11591183.400000000372529
20121004,3052074.320000000298023,2725484.419999999925494,2692785.280000000260770,3170928.970000000204891,11641272.990000000223517
20121005,3071791.260000000242144,2735305.169999999925494,2703668.320000000298023,3188328.139999999664724,11699092.890000000596046
20121008,3034677.020000000018626,2714485.179999999701977,2702890.960000000428408,3193420.580000000074506,11645473.740000000223517
20121009,2987124.399999999906868,2698771.979999999981374,2694340.000000000000000,3146315.510000000242144,11526551.890000000596046
20121010,2969727.100000000093132,2676773.500000000000000,2697449.440000000409782,3200634.870000000111759,11544584.910000000149012
20121011,2919274.930000000633299,2671273.879999999888241,2688121.120000000111759,3183235.700000000186265,11461905.630000000819564
20121012,2933772.680000000633299,2668916.899999999906868,2671019.200000000186265,3217185.300000000279397,11490894.080000000074506
20121015,2945370.880000000353903,2699164.809999999590218,2712607.960000000428408,3274050.880000000353903,11631194.530000001192093
20121016,2971466.830000000540167,2710556.879999999888241,2739815.560000000055879,3263866.000000000000000,11685705.270000001415610
20121017,3032357.380000000353903,2729019.889999999664724,2774408.080000000074506,3268958.439999999944121,11804743.789999999105930
20121018,3039896.210000000428408,2729019.889999999664724,2873910.160000000149012,3249013.050000000279397,11891839.310000000521541
20121019,3009740.890000000130385,2693665.189999999478459,2857196.920000000391155,3209122.270000000484288,11769725.269999999552965
20121022,3003361.880000000353903,2690915.379999999888241,2875853.560000000055879,3210395.380000000353903,11780526.200000001117587
20121023,2943631.149999999906868,2649275.399999999906868,2852144.080000000074506,3172626.450000000186265,11617677.079999998211861
20121024,2937252.140000000130385,2674416.520000000018626,2844370.480000000447035,3175172.669999999925494,11631211.810000000521541
20121025,2914635.649999999906868,2752589.689999999478459,2803170.400000000372529,3196391.169999999925494,11666786.910000000149012
20121026,2904197.270000000018626,2727841.399999999906868,2781404.320000000298023,3187479.399999999906868,11600922.390000000596046
20121031,2848525.910000000149012,2719984.799999999813735,2757306.160000000149012,3183660.069999999832362,11509476.939999999478459
