代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14597066.740000000223517
真實報酬,4597066.740000000223517

夏普值報酬,0.451006674000000
夏普值風險,0.108128467422891
夏普值,4.171026231566866

預期報酬,38643.992243451219110
風險,322951.734888423990924
趨勢值,0.119658723173611
找到最佳解世代,1564
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
BA[2](1),HD[9](2),
20091209,5802297.339999999850988,5490233.720000000670552,11292531.060000000521541
20091210,5754180.419999999925494,5577917.799999999813735,11332098.219999998807907
20091211,5815895.600000000558794,5677558.799999999813735,11493454.400000000372529
20091214,5862966.500000000000000,5753285.959999999962747,11616252.460000000894070
20091215,5823217.740000000223517,5783178.259999999776483,11606396.000000000000000
20091216,5766732.660000001080334,5771221.339999999850988,11537954.000000000000000
20091217,5697695.339999999850988,5739336.220000000670552,11437031.560000000521541
20091218,5589955.280000000260770,5709443.919999999925494,11299399.199999999254942
20091221,5679913.000000000000000,5771221.339999999850988,11451134.339999999850988
20091222,5763594.600000000558794,5836984.400000000372529,11600579.000000000000000
20091223,5748950.320000000298023,5779192.620000000111759,11528142.940000001341105
20091224,5803343.360000000335276,5813070.560000000521541,11616413.920000001788139
20091228,5767778.680000000633299,5815063.379999999888241,11582842.060000000521541
20091229,5775100.820000000298023,5832998.759999999776483,11608099.580000000074506
20091230,5748950.320000000298023,5805099.280000000260770,11554049.600000001490116
20091231,5662130.660000001080334,5765242.879999999888241,11427373.540000000968575
20100104,5876564.760000000707805,5713429.560000000521541,11589994.320000000298023
20100105,6069032.440000000409782,5755278.780000000260770,11824311.220000000670552
20100106,6253131.960000000894070,5735350.580000000074506,11988482.540000000968575
20100107,6506268.800000000745058,5803106.459999999962747,12309375.260000001639128
20100108,6443507.600000000558794,5775206.980000000447035,12218714.580000001937151
20100111,6367148.139999999664724,5611795.740000000223517,11978943.879999998956919
20100112,6321123.260000000707805,5575924.980000000447035,11897048.240000002086163
20100113,6397482.719999999739230,5605817.280000000260770,12003300.000000000000000
20100114,6439323.520000000484288,5639695.220000000670552,12079018.740000002086163
20100115,6361918.040000000037253,5693501.360000000335276,12055419.400000000372529
20100119,6344135.700000000186265,5755278.780000000260770,12099414.480000000447035
20100120,6297064.800000000745058,5711436.740000000223517,12008501.540000000968575
20100121,6192462.800000000745058,5675565.980000000447035,11868028.780000001192093
20100122,6042881.940000000409782,5524111.660000000149012,11566993.600000001490116
20100125,6043927.960000000894070,5504183.459999999962747,11548111.420000001788139
20100126,6036605.820000000298023,5526104.480000000447035,11562710.300000000745058
20100127,6478026.260000000707805,5548025.500000000000000,12026051.760000001639128
20100128,6543925.520000000484288,5448384.500000000000000,11992310.019999999552965
20100129,6338905.600000000558794,5581903.440000000409782,11920809.040000000968575
20100201,6453967.800000000745058,5657630.600000000558794,12111598.400000002235174
20100202,6479072.280000000260770,5785171.080000000074506,12264243.359999999403954
20100203,6428863.320000000298023,5673573.160000000149012,12102436.480000000447035
20100204,6205015.040000000037253,5565960.879999999888241,11770975.919999999925494
20100205,6108781.200000000186265,5575924.980000000447035,11684706.179999999701977
20100208,6055434.180000000633299,5697487.000000000000000,11752921.179999999701977
20100209,6248947.880000000819564,5753285.959999999962747,12002233.839999999850988
20100210,6228027.480000000447035,5709443.919999999925494,11937471.400000000372529
20100211,6337859.580000001005828,5777199.799999999813735,12115059.380000000819564
20100212,6239533.700000000186265,5779192.620000000111759,12018726.320000000298023
20100216,6407942.919999999925494,5866876.700000000186265,12274819.620000001043081
20100217,6466520.040000000037253,5982460.259999999776483,12448980.300000000745058
20100218,6578444.180000000633299,6038259.220000000670552,12616703.400000002235174
20100219,6651665.580000001005828,6008366.919999999925494,12660032.500000000000000
20100222,6691414.339999999850988,6042244.860000000335276,12733659.199999999254942
20100223,6565891.940000000409782,6127936.120000000111759,12693828.060000000521541
20100224,6640159.360000000335276,6249498.139999999664724,12889657.500000000000000
20100225,6576352.139999999664724,6249498.139999999664724,12825850.279999999329448
20100226,6606686.719999999739230,6217613.019999999552965,12824299.739999998360872
20100301,6694552.400000000372529,6263447.879999999888241,12958000.280000001192093
20100302,6740577.280000000260770,6249498.139999999664724,12990075.419999999925494
20100303,6741623.300000000745058,6271419.160000000149012,13013042.460000000894070
20100304,6856685.500000000000000,6265440.700000000186265,13122126.199999999254942
20100305,7105638.260000000707805,6337182.220000000670552,13442820.480000000447035
20100308,7033462.879999999888241,6369067.339999999850988,13402530.219999998807907
20100309,7090993.980000001378357,6313268.379999999888241,13404262.360000001266599
20100310,7323210.420000000856817,6319246.839999999850988,13642457.260000001639128
20100311,7329486.540000000037253,6402945.280000000260770,13732431.820000000298023
20100312,7304382.060000000521541,6466715.520000000484288,13771097.580000001937151
20100315,7259403.200000001117587,6514543.199999999254942,13773946.400000000372529
20100316,7188273.839999999850988,6486643.719999999739230,13674917.559999998658895
20100317,7257311.160000000149012,6480665.260000000707805,13737976.420000001788139
20100318,7413168.140000000596046,6456751.419999999925494,13869919.560000000521541
20100319,7397477.839999999850988,6448780.139999999664724,13846257.980000000447035
20100322,7521954.219999999739230,6510557.560000000521541,14032511.780000001192093
20100323,7550196.760000000707805,6494615.000000000931323,14044811.760000001639128
20100324,7564841.040000000037253,6440808.860000000335276,14005649.900000000372529
20100325,7582623.379999999888241,6500593.459999999962747,14083216.839999999850988
20100326,7593083.580000001005828,6526500.120000000111759,14119583.700000001117587
20100329,7752078.620000000111759,6496607.820000000298023,14248686.440000001341105
20100330,7691409.460000000894070,6514543.199999999254942,14205952.660000000149012
20100331,7595175.620000000111759,6446787.320000000298023,14041962.940000001341105
20100401,7634924.379999999888241,6452765.780000000260770,14087690.160000000149012
20100405,7535552.480000001378357,6508564.739999999292195,14044117.220000000670552
20100406,7569025.120000000111759,6486643.719999999739230,14055668.839999999850988
20100407,7541828.599999999627471,6498600.639999999664724,14040429.239999998360872
20100408,7560656.960000000894070,6570342.160000000149012,14130999.120000001043081
20100409,7575301.240000000223517,6626141.120000000111759,14201442.359999999403954
20100412,7523000.240000000223517,6671975.979999999515712,14194976.219999998807907
20100413,7446640.780000000260770,6843358.500000000931323,14289999.280000001192093
20100414,7499987.800000000745058,6970898.979999999515712,14470886.780000001192093
20100415,7540782.580000001005828,7002784.100000000558794,14543566.680000001564622
20100416,7404799.980000001378357,6976877.439999999478459,14381677.420000001788139
20100419,7422582.319999999366701,7008762.560000000521541,14431344.879999998956919
20100420,7469653.219999999739230,7010755.379999999888241,14480408.599999999627471
20100421,7757308.719999999739230,7028690.760000000707805,14785999.480000000447035
20100422,7906889.580000001005828,7118367.660000000149012,15025257.240000002086163
20100423,7858772.660000000149012,7251886.600000000558794,15110659.260000001639128
20100426,7776137.080000001005828,7271814.800000000745058,15047951.880000002682209
20100427,7581577.360000000335276,7032676.400000000372529,14614253.760000001639128
20100428,7570071.140000000596046,7012748.199999999254942,14582819.339999999850988
20100429,7718605.980000001378357,7086482.540000000968575,14805088.520000003278255
20100430,7576347.260000000707805,7020719.479999999515712,14597066.740000000223517
