代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12065218.269999999552965
真實報酬,2065218.269999999552965

夏普值報酬,0.197821827000000
夏普值風險,0.056776647635698
夏普值,3.484211119143637

預期報酬,15925.174782188831159
風險,100772.566953152490896
趨勢值,0.158030853670644
找到最佳解世代,2398
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](2),MCD[15](1),PG[21](3),
20190409,3431111.939999999944121,3446470.440000000409782,3539991.529999999795109,10417574.910000000149012
20190410,3428906.399999999906868,3430877.779999999795109,3539653.300000000279397,10399438.480000000447035
20190411,3434052.660000000149012,3424713.239999999757856,3543035.600000000093132,10401802.500000000000000
20190412,3436258.200000000186265,3474029.560000000055879,3553520.729999999981374,10463809.490000000223517
20190415,3455372.879999999888241,3478562.310000000055879,3576182.140000000130385,10510118.330000000074506
20190416,3451696.979999999981374,3475842.659999999683350,3599520.010000000242144,10527060.650000000372529
20190417,3475957.919999999925494,3474210.870000000111759,3580240.899999999906868,10530410.689999999478459
20190418,3490661.519999999552965,3534043.169999999925494,3587005.500000000000000,10611711.189999999478459
20190422,3484780.079999999608845,3516093.479999999515712,3585652.580000000074506,10586527.139999998733401
20190423,3544329.660000000149012,3540389.020000000018626,3489257.029999999795109,10573976.709999999031425
20190424,3527420.519999999552965,3583359.489999999757856,3507183.220000000204891,10617964.230000000447035
20190425,3517128.000000000000000,3588798.790000000037253,3493315.790000000037253,10599243.580000000074506
20190426,3548005.559999999590218,3579551.979999999515712,3580579.129999999888241,10708137.669999998062849
20190429,3559768.439999999944121,3574112.680000000167638,3544050.290000000037253,10677932.410000000149012
20190430,3606819.959999999962747,3582271.629999999888241,3601549.390000000130385,10790641.980000000447035
20190501,3572266.500000000000000,3520626.229999999515712,3549123.740000000223517,10642017.469999998807907
20190502,3557562.899999999906868,3528603.870000000111759,3570432.229999999981374,10656600.000000000000000
20190503,3581823.839999999850988,3581365.080000000074506,3588020.189999999944121,10751210.109999999403954
20190506,3563444.339999999850988,3606385.859999999869615,3574490.990000000223517,10744322.189999999478459
20190507,3528890.879999999888241,3590793.199999999720603,3541344.450000000186265,10661029.530000001192093
20190508,3517863.180000000167638,3590611.890000000130385,3553858.959999999962747,10662335.030000001192093
20190509,3484780.079999999608845,3585172.589999999850988,3525785.870000000111759,10595739.539999999105930
20190510,3542859.299999999813735,3626148.649999999906868,3585652.580000000074506,10754661.529999999329448
20190513,3532566.779999999795109,3608742.890000000130385,3589034.879999999888241,10730345.550000000745058
20190514,3579618.299999999813735,3590249.270000000018626,3571785.149999999906868,10741653.720000000670552
20190515,3615642.119999999646097,3609468.129999999888241,3608990.450000000186265,10834101.699999999254942
20190516,3645049.319999999832362,3626148.649999999906868,3656680.879999999888241,10927879.849999999627471
20190517,3617112.479999999981374,3612187.779999999795109,3634357.700000000186265,10863658.960000000894070
20190520,3591381.180000000167638,3608017.649999999906868,3630298.939999999944121,10829698.769999999552965
20190521,3573001.680000000167638,3623429.000000000000000,3597828.860000000335276,10794260.539999999105930
20190522,3650195.579999999608845,3625604.720000000204891,3609666.910000000149012,10885468.210000000894070
20190523,3664899.180000000167638,3607655.029999999795109,3611019.830000000074506,10883575.039999999105930
20190524,3647254.859999999869615,3585897.830000000074506,3608652.220000000204891,10841805.910000000149012
20190528,3609760.680000000167638,3565953.729999999515712,3533226.929999999701977,10708942.339999999850988
20190529,3573736.859999999869615,3554168.580000000074506,3524094.720000000204891,10652001.160000000149012
20190530,3620788.379999999888241,3612550.399999999906868,3562652.939999999944121,10795992.719999998807907
20190531,3611966.220000000204891,3594963.330000000074506,3480801.279999999795109,10687731.830000000074506
20190603,3674456.519999999552965,3604210.140000000130385,3510903.750000000000000,10789571.410000000149012
20190604,3675926.879999999888241,3619621.489999999757856,3540667.990000000223517,10836217.359999999403954
20190605,3733270.919999999925494,3628686.989999999757856,3610005.140000000130385,10971964.050000000745058
20190606,3778852.079999999608845,3681629.510000000242144,3631990.089999999850988,11092472.679999999701977
20190607,3785468.700000000186265,3725687.839999999850988,3679004.060000000055879,11190161.599999999627471
20190610,3777381.720000000204891,3649900.260000000242144,3677312.910000000149012,11104595.890000000596046
20190611,3773705.819999999832362,3685437.020000000018626,3699636.089999999850988,11158779.929999999701977
20190612,3796496.399999999906868,3715715.790000000037253,3709782.990000000223517,11221996.179999999701977
20190613,3759002.220000000204891,3707738.149999999906868,3751385.279999999795109,11218126.650000000372529
20190614,3772235.459999999962747,3722242.949999999720603,3761193.950000000186265,11255673.359999999403954
20190617,3739887.539999999571592,3695409.069999999832362,3754091.120000000111759,11189388.730000000447035
20190618,3722978.399999999906868,3708100.770000000018626,3707077.149999999906868,11138157.320000000298023
20190619,3758267.039999999571592,3708826.010000000242144,3734812.010000000242144,11201906.060000000521541
20190620,3797966.759999999776483,3719160.680000000167638,3779458.370000000111759,11296586.809999998658895
20190621,3789879.779999999795109,3703568.020000000018626,3761193.950000000186265,11254642.750000000000000
20190624,3817081.439999999944121,3697403.479999999515712,3799413.939999999944121,11313899.859999999403954
20190625,3805318.559999999590218,3729857.970000000204891,3778781.910000000149012,11313959.439999999478459
20190626,3758267.039999999571592,3708826.010000000242144,3711474.140000000130385,11178568.189999999478459
20190627,3755326.319999999832362,3740011.330000000074506,3713165.290000000037253,11208503.940000001341105
20190628,3743563.439999999944121,3765213.419999999925494,3708768.300000000279397,11217546.160000000149012
20190701,3793555.680000000167638,3740555.260000000242144,3737179.620000000111759,11271291.560000000521541
20190702,3821492.519999999552965,3800024.940000000409782,3770664.390000000130385,11392182.849999999627471
20190703,3830314.680000000167638,3858588.069999999832362,3858604.189999999944121,11547507.939999999478459
20190705,3831049.859999999869615,3830122.399999999906868,3827148.800000000279397,11488322.060000000521541
20190708,3822962.879999999888241,3846802.919999999925494,3857589.500000000000000,11527356.300000000745058
20190709,3792820.500000000000000,3845533.750000000000000,3819031.279999999795109,11457386.529999999329448
20190710,3809729.640000000130385,3862032.959999999962747,3847442.600000000093132,11519206.199999999254942
20190711,3825903.599999999627471,3856412.350000000093132,3868751.089999999850988,11551068.039999999105930
20190712,3831785.039999999571592,3861851.649999999906868,3889383.120000000111759,11583020.809999998658895
20190715,3832520.220000000204891,3883971.470000000204891,3905956.390000000130385,11622449.080000000074506
20190716,3833255.399999999906868,3875087.279999999795109,3919823.820000000298023,11628167.500000000000000
20190717,3836196.119999999646097,3874905.970000000204891,3921514.970000000204891,11632618.060000000521541
20190718,3825168.419999999925494,3914794.169999999925494,3904603.470000000204891,11644567.060000000521541
20190719,3778116.899999999906868,3877806.930000000167638,3890059.580000000074506,11545984.410000000149012
20190722,3765618.839999999850988,3898294.959999999962747,3899868.250000000000000,11563783.050000000745058
20190723,3994259.819999999832362,3885784.569999999832362,3850824.899999999906868,11730870.289999999105930
20190724,3953824.919999999925494,3858044.140000000130385,3808546.149999999906868,11620416.210000000894070
20190725,3901627.140000000130385,3888141.600000000093132,3814296.060000000055879,11604065.800000000745058
20190726,3982496.939999999944121,3908810.940000000409782,3880589.140000000130385,11771898.020000001415610
20190729,3969263.700000000186265,3897932.339999999850988,3923544.350000000093132,11790741.390000000596046
20190730,3949413.839999999850988,3850066.500000000000000,4072703.779999999795109,11872185.119999999180436
20190731,3869279.220000000204891,3820694.279999999795109,3992543.270000000484288,11682517.769999999552965
20190801,3825168.419999999925494,3830303.709999999962747,3948235.140000000130385,11603708.269999999552965
20190802,3847223.819999999832362,3888866.839999999850988,3938426.470000000204891,11674518.130000000819564
20190805,3797231.579999999608845,3815798.909999999683350,3824781.189999999944121,11437812.679999999701977
20190806,3842812.740000000223517,3881614.440000000409782,3865368.790000000037253,11589796.970000000670552
20190807,3909714.119999999646097,3931474.690000000409782,3907309.310000000055879,11748499.120000001043081
20190808,3947208.299999999813735,3952869.270000000018626,3972249.470000000204891,11872328.040000000968575
20190809,3927358.439999999944121,4009800.609999999869615,3949926.290000000037253,11887086.339999999850988
20190812,3911184.479999999981374,3937457.919999999925494,3924559.040000000037253,11773202.440000001341105
20190813,3933239.879999999888241,3984054.589999999850988,3965823.100000000093132,11883118.570000000298023
20190814,3895745.700000000186265,3925128.839999999850988,3916441.520000000484288,11737317.060000000521541
20190815,3960441.539999999571592,3957583.330000000074506,3970558.320000000298023,11888584.189999999478459
20190816,4000141.259999999776483,3961209.529999999795109,4031101.490000000223517,11992453.279999999329448
20190819,4020726.299999999813735,3966830.140000000130385,4066953.870000000111759,12054511.309999998658895
20190820,3961176.720000000204891,3961209.529999999795109,4021631.050000000279397,11944018.300000000745058
20190821,3977350.680000000167638,4001822.970000000204891,4031777.950000000186265,12010952.600000001490116
20190822,4006022.700000000186265,3979703.149999999906868,4039219.010000000242144,12024945.859999999403954
20190823,3950884.200000000186265,3892130.419999999925494,3968190.709999999962747,11811206.330000000074506
20190826,4009698.599999999627471,3932925.169999999925494,4035836.709999999962747,11978461.480000000447035
20190827,4022931.839999999850988,3917332.510000000242144,4077439.000000000000000,12017704.349999999627471
20190828,4051603.859999999869615,3953957.129999999888241,4106188.550000000279397,12111750.540000000968575
20190829,4047192.779999999795109,3998740.699999999720603,4098747.490000000223517,12144681.969999998807907
20190830,4046457.599999999627471,3952144.029999999795109,4066615.640000000130385,12065218.269999999552965
