代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12490565.449999999254942
真實報酬,2490565.449999999254942

夏普值報酬,0.240356545000000
夏普值風險,0.063875920312926
夏普值,3.762866254176892

預期報酬,18665.519767925350607
風險,168673.724633483914658
趨勢值,0.110660506302829
找到最佳解世代,1824
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,3
AAPL[0](13),BA[2](1),UNH[23](4),
20130807,3500919.000000000465661,3880672.650000000372529,4055836.799999999813735,11437429.449999999254942
20130808,3470880.000000000000000,3859522.950000000186265,4070298.000000000465661,11400701.950000001117587
20130809,3421342.000000000000000,3840925.799999999813735,4056393.000000000465661,11318661.800000000745058
20130812,3518837.000000000000000,3801178.949999999720603,4026358.199999999720603,11346375.149999998509884
20130813,3685896.000000000000000,3873744.300000000279397,4079753.399999999441206,11639394.699999999254942
20130814,3752824.999999999534339,3798261.750000000000000,4031920.199999999720603,11583007.949999999254942
20130815,3748608.999999999534339,3746116.800000000279397,3971294.400000000372529,11466021.199999999254942
20130816,3781810.000000000465661,3773100.899999999906868,3972963.000000000465661,11527874.900000000372529
20130819,3822389.000000000000000,3818682.149999999906868,3988536.599999999627471,11629608.750000000000000
20130820,3772324.000000000000000,3815400.299999999813735,4030251.599999999627471,11617976.899999998509884
20130821,3782337.000000000000000,3789145.500000000000000,3996323.399999999441206,11567806.899999998509884
20130822,3786552.999999999534339,3833997.450000000186265,4002997.799999999813735,11623549.250000000000000
20130823,3771796.999999999534339,3846395.550000000279397,4034701.200000000186265,11652894.750000000000000
20130826,3786552.999999999534339,3848218.800000000279397,4025801.999999999534339,11660574.799999998882413
20130827,3678518.000000000000000,3763620.000000000000000,3977968.799999999813735,11420107.800000000745058
20130828,3695908.999999999534339,3765807.899999999906868,3979081.200000000186265,11440799.099999999627471
20130829,3701705.999999999534339,3826339.800000000279397,4029139.199999999720603,11557186.000000000000000
20130830,3667977.999999999534339,3789510.150000000372529,3990205.199999999720603,11447694.349999999627471
20130903,3678518.000000000000000,3829257.000000000465661,4035813.600000000093132,11543589.599999999627471
20130904,3754405.999999999534339,3878849.400000000372529,4079753.399999999441206,11713009.800000000745058
20130905,3728583.000000000000000,3889059.600000000093132,4118131.200000000186265,11735774.800000000745058
20130906,3750717.000000000000000,3867909.899999999906868,4119243.600000000093132,11737871.500000000000000
20130909,3810795.000000000000000,3908750.700000000186265,4129811.399999999906868,11849358.099999999627471
20130910,3723840.000000000000000,3944486.400000000372529,4150946.999999999534339,11819274.400000000372529
20130911,3521471.999999999534339,3983139.300000000279397,4181538.000000000465661,11686150.300000000745058
20130912,3558889.000000000000000,4003924.350000000093132,4157065.199999999720603,11719879.549999998882413
20130913,3499865.000000000000000,4059715.799999999813735,4142604.000000000000000,11702185.800000000745058
20130916,3388668.000000000000000,4217973.900000000372529,4178200.800000000279397,11784843.700000001117587
20130917,3428193.000000000000000,4270483.500000000000000,4133148.600000000093132,11831826.099999999627471
20130918,3498283.999999999534339,4317523.349999999627471,4062511.200000000186265,11878319.550000000745058
20130919,3555727.000000000000000,4340860.950000001117587,3940147.200000000186265,11836736.150000002235174
20130920,3518837.000000000000000,4252980.300000000745058,3925129.799999999348074,11696948.099999999627471
20130923,3693801.000000000000000,4285069.500000000000000,3994654.799999999348074,11973526.299999998882413
20130924,3682207.000000000465661,4339402.349999999627471,4022464.799999999348074,12044075.149999998509884
20130925,3625291.000000000465661,4321534.500000000000000,4003554.000000000000000,11950380.500000000000000
20130926,3660599.999999999534339,4353259.050000000745058,4013565.599999999627471,12027425.650000000372529
20130927,3634249.999999999534339,4329921.449999999254942,4004110.199999999720603,11968282.649999998509884
20130930,3589455.000000000000000,4284704.849999999627471,3982974.600000000093132,11857135.449999999254942
20131001,3673774.999999999534339,4293821.099999999627471,4036926.000000000000000,12004523.099999999627471
20131002,3685896.000000000000000,4297102.950000001117587,4036369.799999999348074,12019369.750000000000000
20131003,3639520.000000000000000,4202293.949999999254942,4033588.799999999813735,11875403.750000000000000
20131004,3636358.000000000000000,4273765.349999999627471,4059730.199999999720603,11969854.549999998882413
20131007,3672194.000000000465661,4255168.199999999254942,4014121.799999999813735,11941485.000000000000000
20131008,3621074.999999999534339,4209586.949999999254942,3975744.000000000000000,11806406.949999999254942
20131009,3663235.000000000465661,4174215.899999999906868,3970181.999999999534339,11807633.900000000372529
20131010,3686423.000000000000000,4335755.849999999627471,4114794.000000000000000,12136973.849999999627471
20131011,3710138.000000000465661,4302208.050000000745058,4130923.799999999813735,12143270.850000001490116
20131014,3734380.000000000000000,4356176.250000000000000,4155952.799999999813735,12246510.050000000745058
20131015,3754405.999999999534339,4309501.050000000745058,4108675.800000000279397,12172583.850000001490116
20131016,3772851.000000000000000,4388265.450000001117587,4182094.199999999720603,12343211.650000000372529
20131017,3798146.999999999534339,4459372.200000001117587,3969625.800000000279397,12227146.000000001862645
20131018,3831348.000000000000000,4467759.150000000372529,3824457.600000000093132,12123565.750000000000000
20131021,3925154.000000000000000,4429470.900000000372529,3793310.399999999906868,12147936.300000000745058
20131022,3914087.000000000000000,4466300.550000000745058,3830019.600000000093132,12210408.150000000372529
20131023,3952030.999999999534339,4704781.650000000372529,3782742.600000000093132,12439556.250000000000000
20131024,4004730.999999999534339,4703323.049999998882413,3760494.600000000093132,12468549.649999998509884
20131025,3959936.000000000000000,4783910.699999999254942,3761050.800000000279397,12504898.500000000000000
20131028,3989448.000000000000000,4736141.550000000745058,3723229.199999999720603,12448819.750000000000000
20131029,3889845.000000000000000,4728119.250000000000000,3786636.000000000000000,12404601.250000000000000
20131030,3952030.999999999534339,4728848.550000000745058,3782742.600000000093132,12463623.150000000372529
20131031,3935167.000000000000000,4758749.849999999627471,3796647.600000000093132,12490565.449999999254942
