代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12829577.730000000447035
真實報酬,2829577.730000000447035

夏普值報酬,0.274257773000000
夏普值風險,0.077653231113934
夏普值,3.531826931935464

預期報酬,23480.535858546769305
風險,208425.003251402435126
趨勢值,0.112657001282253
找到最佳解世代,1968
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](18),MCD[15](3),UNH[23](1),V[25](2),
20091223,2537396.080000000540167,2775533.449999999720603,3156947.200000000186265,3116315.500000000000000,11586192.230000000447035
20091224,2561403.439999999944121,2778161.750000000000000,3162937.600000000093132,3120655.750000000000000,11623158.539999999105930
20091228,2545706.320000000298023,2786484.699999999720603,3133984.000000000000000,3138016.750000000000000,11604191.769999999552965
20091229,2548938.080000000540167,2785608.600000000093132,3080070.399999999906868,3184312.750000000000000,11598929.830000000074506
20091230,2537396.080000000540167,2754945.100000000093132,3096044.800000000279397,3188653.000000000000000,11577038.980000000447035
20091231,2499076.640000000596046,2735232.849999999627471,3043129.600000000093132,3164058.250000000000000,11441497.339999999850988
20100104,2593721.040000000037253,2750126.549999999813735,3147961.600000000093132,3188653.000000000000000,11680462.189999999478459
20100105,2678670.160000000614673,2729100.149999999906868,3142969.600000000093132,3151037.500000000000000,11701777.410000000149012
20100106,2759925.840000000316650,2691865.899999999906868,3173920.000000000000000,3109081.750000000000000,11734793.490000000223517
20100107,2871652.400000000372529,2711578.149999999906868,3295724.799999999813735,3138016.750000000000000,12016972.100000001490116
20100108,2843951.600000000558794,2708949.850000000093132,3264774.400000000372529,3146697.250000000000000,11964373.100000001490116
20100111,2810248.959999999962747,2729976.250000000000000,3286739.200000000186265,3138016.750000000000000,11964981.160000000149012
20100112,2789935.040000000037253,2744869.949999999720603,3199878.399999999441206,3123549.250000000000000,11858232.640000000596046
20100113,2823637.680000000167638,2741803.600000000093132,3248800.000000000000000,3152484.250000000000000,11966725.530000001192093
20100114,2842104.880000000353903,2744431.899999999906868,3326675.199999999720603,3162611.500000000000000,12075823.480000000447035
20100115,2807940.560000000521541,2728224.049999999813735,3369606.399999999906868,3116315.500000000000000,12022086.509999999776483
20100119,2800092.000000000000000,2780790.049999999813735,3507385.600000000093132,3177079.000000000000000,12265346.650000000372529
20100120,2779316.400000000372529,2760201.699999999720603,3449478.399999999441206,3162611.500000000000000,12151608.000000000000000
20100121,2733148.400000000372529,2768524.649999999906868,3304710.399999999906868,3054105.250000000000000,11860488.700000001117587
20100122,2667128.160000000614673,2776847.600000000093132,3310700.799999999348074,2991895.000000000000000,11746571.560000000521541
20100125,2667589.840000000316650,2763706.100000000093132,3294726.399999999906868,2967300.250000000000000,11693322.589999999850988
20100126,2664358.080000000540167,2795245.700000000186265,3238815.999999999534339,2935471.750000000000000,11633891.530000001192093
20100127,2859187.040000000037253,2791741.299999999813735,3318688.000000000000000,3035297.500000000000000,12004913.839999999850988
20100128,2888272.880000000353903,2752316.799999999813735,3337657.600000000093132,2989001.500000000000000,11967248.779999999329448
20100129,2797783.600000000558794,2734794.799999999813735,3294726.399999999906868,2967300.250000000000000,11794605.050000000745058
20100201,2848568.400000000372529,2798750.100000000093132,3307705.600000000093132,3026617.000000000465661,11981641.099999999627471
20100202,2859648.720000000204891,2804882.799999999813735,3399558.399999999441206,3038191.000000000000000,12102280.919999998062849
20100203,2837488.080000000540167,2856572.699999999720603,3326675.199999999720603,3020830.000000000000000,12041565.980000000447035
20100204,2738688.560000000521541,2806196.950000000186265,3240812.799999999813735,3003469.000000000000000,11789167.310000000521541
20100205,2696214.000000000000000,2775971.500000000000000,3248800.000000000000000,2986108.000000000000000,11707093.500000000000000
20100208,2672668.320000000298023,2756259.250000000000000,3235820.799999999348074,3003469.000000000000000,11668217.369999999180436
20100209,2758079.120000000577420,2784732.500000000000000,3294726.399999999906868,3012149.500000000000000,11849687.520000001415610
20100210,2748845.520000000018626,2770714.899999999906868,3265772.799999999813735,3025170.250000000000000,11810503.469999998807907
20100211,2797321.920000000391155,2794369.600000000093132,3306707.199999999720603,3080146.750000000000000,11978545.470000000670552
20100212,2753924.000000000000000,2785608.600000000093132,3212857.600000000093132,3067126.000000000000000,11819516.199999999254942
20100216,2828254.479999999981374,2804006.700000000186265,3157945.599999999627471,3106188.250000000000000,11896395.029999999329448
20100217,2854108.560000000521541,2814957.950000000186265,3249798.399999999441206,3126442.750000000000000,12045307.660000000149012
20100218,2903508.320000000298023,2824595.050000000279397,3263775.999999999534339,3145250.500000000000000,12137129.870000001043081
20100219,2935825.920000000391155,2835984.349999999627471,3188896.000000000000000,3139463.500000000000000,12100169.769999999552965
20100222,2953369.760000000242144,2837298.499999999534339,3302713.599999999627471,3143803.750000000000000,12237185.609999999403954
20100223,2897968.160000000614673,2841679.000000000000000,3275756.800000000279397,3114868.750000000000000,12130272.710000000894070
20100224,2930747.439999999944121,2858762.950000000186265,3356627.199999999720603,3097507.750000000000000,12243645.339999999850988
20100225,2902584.959999999962747,2820214.549999999813735,3339654.400000000372529,3083040.250000000000000,12145494.160000000149012
20100226,2915973.680000000167638,2796997.899999999906868,3380588.799999999813735,3084487.000000000000000,12178047.379999998956919
20100301,2954754.800000000279397,2802692.549999999813735,3398560.000000000000000,3140910.250000000000000,12296917.599999999627471
20100302,2975068.720000000204891,2806634.999999999534339,3389574.400000000372529,3126442.750000000000000,12297720.870000001043081
20100303,2975530.400000000372529,2787360.799999999813735,3404550.399999999906868,3139463.500000000000000,12306905.099999999627471
20100304,3026315.200000000186265,2778599.799999999813735,3289734.400000000372529,3148144.000000000000000,12242793.400000000372529
20100305,3136195.040000000502914,2789113.000000000000000,3368608.000000000000000,3201673.750000000000000,12495589.790000000968575
20100308,3104339.120000000111759,2852630.250000000000000,3304710.399999999906868,3278351.500000000000000,12540031.269999999552965
20100309,3129731.520000000484288,2851754.149999999441206,3302713.599999999627471,3260990.500000000000000,12545189.769999999552965
20100310,3232224.480000000447035,2844745.349999999627471,3318688.000000000000000,3310180.000000000000000,12705837.830000000074506
20100311,3234994.560000000055879,2856572.699999999720603,3344646.399999999906868,3355029.250000000000000,12791242.910000000149012
20100312,3223914.240000000223517,2870590.299999999813735,3285740.799999999348074,3372390.250000000000000,12752635.589999999850988
20100315,3204062.000000000465661,2888112.300000000279397,3247801.600000000093132,3342008.500000000000000,12681984.400000000372529
20100316,3172667.760000000242144,2894244.999999999534339,3299718.399999999441206,3314520.250000000000000,12681151.410000000149012
20100317,3203138.640000000130385,2907824.549999999813735,3269766.399999999906868,3310180.000000000000000,12690909.589999999850988
20100318,3271928.960000000428408,2920966.050000000279397,3353632.000000000465661,3259543.750000000000000,12806070.760000001639128
20100319,3265003.760000000242144,2914395.299999999813735,3433504.000000000000000,3213247.750000000000000,12826150.810000000521541
20100322,3319943.680000000167638,2935421.700000000186265,3324678.399999999441206,3227715.250000000000000,12807759.030000001192093
20100323,3332409.040000000502914,2950315.399999999441206,3310700.799999999348074,3255203.500000000000000,12848628.739999998360872
20100324,3338872.560000000055879,2926222.649999999906868,3266771.199999999720603,3210354.250000000000000,12742220.660000000149012
20100325,3346721.120000000111759,2930603.150000000372529,3306707.199999999720603,3269671.000000000000000,12853702.470000000670552
20100326,3351337.920000000391155,2946372.950000000186265,3257785.600000000093132,3263884.000000000000000,12819380.470000000670552
20100329,3421513.280000000260770,2938049.999999999534339,3278752.000000000465661,3263884.000000000000000,12902199.279999999329448
20100330,3394735.840000000316650,2945496.849999999627471,3300716.800000000279397,3291372.250000000000000,12932321.740000000223517
20100331,3352261.280000000260770,2922718.250000000000000,3261779.200000000186265,3292819.000000000000000,12829577.730000000447035
