代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12157893.059999998658895
真實報酬,2157893.059999998658895

夏普值報酬,0.207089306000000
夏普值風險,0.053413180996435
夏普值,3.877119881959852

預期報酬,17696.318387516519579
風險,98950.618472552407184
趨勢值,0.178839896714999
找到最佳解世代,1859
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,4
AAPL[0](1),DIS[6](13),KO[14](7),MCD[15](10),
20170223,3088346.200000000186265,2767594.810000000055879,2581163.669999999459833,2688640.000000000465661,11125744.679999999701977
20170224,3091286.799999999813735,2782475.199999999720603,2588598.509999999776483,2696604.800000000279397,11158965.310000000521541
20170227,3097394.200000000186265,2780205.310000000055879,2581783.239999999757856,2661811.200000000186265,11121193.949999999254942
20170228,3098751.400000000372529,2776674.370000000111759,2599750.770000000018626,2675644.800000000279397,11150821.340000001713634
20170301,3162087.399999999906868,2800634.320000000298023,2612142.169999999459833,2704988.800000000745058,11279852.690000001341105
20170302,3143312.800000000279397,2789284.870000000111759,2631348.839999999850988,2687801.600000000093132,11251748.109999999403954
20170303,3161861.200000000186265,2805678.520000000018626,2631968.409999999683350,2680884.800000000279397,11280392.930000001564622
20170306,3151908.400000000372529,2791302.549999999813735,2613381.309999999590218,2683609.600000000093132,11240201.859999999403954
20170307,3155980.000000000465661,2796094.540000000037253,2601609.479999999981374,2684448.000000000000000,11238132.020000001415610
20170308,3144217.600000000093132,2795590.120000000111759,2601609.479999999981374,2684867.200000000186265,11226284.400000002235174
20170309,3136979.200000000186265,2800382.109999999869615,2604087.759999999776483,2685915.200000000186265,11227364.269999999552965
20170310,3147384.399999999906868,2797607.799999999813735,2620196.579999999608845,2682561.600000000558794,11247750.379999998956919
20170313,3148741.599999999627471,2812740.399999999906868,2604087.759999999776483,2674806.400000000372529,11240376.160000000149012
20170314,3143991.400000000372529,2832664.990000000223517,2600370.339999999850988,2678788.800000000279397,11255815.530000001192093
20170315,3177242.800000000279397,2821567.750000000000000,2609663.889999999664724,2680465.600000000093132,11288940.040000000968575
20170316,3182445.399999999906868,2817532.389999999664724,2617718.299999999813735,2682561.600000000558794,11300257.690000001341105
20170317,3166611.400000000372529,2818793.439999999944121,2604087.759999999776483,2696395.200000000186265,11285887.800000000745058
20170320,3199862.800000000279397,2842753.389999999664724,2613381.309999999590218,2699329.600000000093132,11355327.099999999627471
20170321,3163218.400000000372529,2818541.229999999981374,2633207.549999999813735,2693880.000000000465661,11308847.179999999701977
20170322,3198958.000000000000000,2826864.160000000149012,2625772.709999999962747,2706036.800000000279397,11357631.670000001788139
20170323,3187648.000000000000000,2830899.520000000018626,2612761.739999999757856,2703940.800000000279397,11335250.060000000521541
20170324,3181314.399999999906868,2828377.419999999925494,2609663.889999999664724,2711067.200000000186265,11330422.910000000149012
20170327,3186743.200000000186265,2834430.459999999962747,2622055.290000000037253,2714211.200000000651926,11357440.150000000372529
20170328,3252793.600000000558794,2851328.529999999795109,2628870.559999999590218,2713372.799999999813735,11446365.490000002086163
20170329,3260032.000000000000000,2838213.609999999869615,2628250.989999999757856,2700587.200000000186265,11427083.800000000745058
20170330,3255734.200000000186265,2854607.260000000242144,2639403.250000000000000,2710648.000000000000000,11460392.710000000894070
20170331,3249626.799999999813735,2859903.669999999925494,2629490.129999999888241,2716726.400000000372529,11455747.000000000000000
20170403,3250531.599999999627471,2855111.680000000167638,2627631.419999999459833,2716726.400000000372529,11450001.099999999627471
20170404,3274735.000000000465661,2851076.320000000298023,2644359.809999999590218,2710019.200000000186265,11480190.329999998211861
20170405,3257770.000000000465661,2850067.479999999981374,2637544.540000000037253,2733494.400000000372529,11478876.419999999925494
20170406,3249626.799999999813735,2851328.529999999795109,2643740.239999999757856,2728044.800000000279397,11472740.370000001043081
20170407,3242388.400000000372529,2839474.660000000149012,2640022.819999999832362,2724062.400000000372529,11445948.280000001192093
20170410,3238543.000000000000000,2835691.510000000242144,2644979.379999999888241,2724481.600000000093132,11443695.490000000223517
20170411,3203708.200000000186265,2851832.949999999720603,2643120.669999999459833,2750052.799999999813735,11448714.620000001043081
20170412,3207553.600000000558794,2851076.320000000298023,2660468.629999999888241,2751310.399999999906868,11470408.950000001117587
20170413,3190588.600000000558794,2855111.680000000167638,2651175.079999999608845,2740830.399999999906868,11437705.760000001639128
20170417,3208232.200000000186265,2869739.859999999869615,2668523.040000000037253,2753196.800000000279397,11499691.900000002235174
20170418,3193981.599999999627471,2880080.469999999739230,2693925.409999999683350,2773108.800000000745058,11541096.279999999329448
20170419,3182219.200000000186265,2868478.810000000055879,2678436.159999999683350,2780235.200000000186265,11509369.370000001043081
20170420,3222030.399999999906868,2895213.070000000298023,2669762.180000000167638,2793440.000000000465661,11580445.650000000372529
20170421,3218185.000000000465661,2886385.719999999739230,2668523.040000000037253,2796374.400000000372529,11569468.160000002011657
20170424,3249174.399999999906868,2867722.180000000167638,2681534.009999999776483,2813561.600000000093132,11611992.189999999478459
20170425,3269306.200000000186265,2905049.260000000242144,2671001.319999999832362,2970132.799999999813735,11815489.580000001937151
20170426,3250079.200000000186265,2915137.660000000149012,2679055.729999999981374,2952107.200000000186265,11796379.789999999105930
20170427,3252567.399999999906868,2921695.120000000111759,2664805.619999999646097,2952736.000000000465661,11791804.139999998733401
20170428,3249400.600000000093132,2915642.079999999608845,2673479.599999999627471,2933033.600000000558794,11771555.879999998956919
20170501,3315677.200000000186265,2893699.810000000055879,2677816.589999999850988,2958604.800000000279397,11845798.400000000372529
20170502,3336713.799999999813735,2884620.250000000000000,2688349.279999999795109,2960281.600000000093132,11869964.929999999701977
20170503,3326534.800000000279397,2815262.500000000000000,2684012.290000000037253,2989416.000000000465661,11815225.589999999850988
20170504,3314546.200000000186265,2803913.049999999813735,2705077.669999999459833,3006812.799999999813735,11830349.719999998807907
20170505,3369512.800000000279397,2824594.270000000018626,2706936.379999999888241,3017502.400000000372529,11918545.849999999627471
20170508,3461123.799999999813735,2810218.299999999813735,2719327.779999999795109,3023371.200000000651926,12014041.080000000074506
20170509,3483291.400000000372529,2826611.949999999720603,2695784.119999999646097,3025886.400000000372529,12031573.869999999180436
20170510,3466778.799999999813735,2765829.339999999850988,2699501.540000000037253,3029240.000000000465661,11961349.679999999701977
20170511,3482386.599999999627471,2763811.660000000149012,2705697.239999999757856,3022742.400000000372529,11974637.900000000372529
20170512,3531019.600000000093132,2766585.969999999739230,2700740.680000000167638,3046846.400000000372529,12045192.650000000372529
20170515,3521971.599999999627471,2752462.209999999962747,2709414.659999999683350,3066129.600000000093132,12049978.069999998435378
20170516,3516769.000000000000000,2723458.060000000055879,2716849.500000000000000,3087299.200000000186265,12044375.760000001639128
20170517,3398692.600000000093132,2681338.990000000223517,2721806.059999999590218,3068854.400000000372529,11870692.049999998882413
20170518,3450492.399999999906868,2690670.760000000242144,2713751.649999999441206,3081430.399999999906868,11936345.209999999031425
20170519,3462254.800000000279397,2711856.399999999906868,2719947.349999999627471,3105324.800000000279397,11999383.350000001490116
20170522,3483291.400000000372529,2714630.709999999962747,2737295.309999999590218,3106163.200000000186265,12041380.620000001043081
20170523,3478993.600000000558794,2699245.899999999906868,2750306.279999999795109,3098408.000000000000000,12026953.779999999329448
20170524,3468588.400000000372529,2716648.389999999664724,2789958.759999999776483,3133620.800000000279397,12108816.350000001490116
20170525,3480577.000000000000000,2705551.149999999906868,2813502.419999999459833,3139489.600000000093132,12139120.169999999925494
20170526,3474695.800000000279397,2734303.089999999850988,2812263.279999999795109,3141166.400000000372529,12162428.570000000298023
20170530,3476053.000000000000000,2732537.620000000111759,2814741.559999999590218,3142633.600000000558794,12165965.780000001192093
20170531,3455468.799999999813735,2722449.219999999739230,2817219.839999999850988,3162755.200000000186265,12157893.059999998658895
