代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13563082.699999999254942
真實報酬,3563082.699999999254942

夏普值報酬,0.347608270000000
夏普值風險,0.070939162696080
夏普值,4.900089834570468

預期報酬,29112.633012795271497
風險,336522.176799180393573
趨勢值,0.086510295665204
找到最佳解世代,2169
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
AAPL[0](1),PG[21](5),
20190703,5837950.399999999441206,5542705.620000000111759,11380656.019999999552965
20190705,5832809.599999999627471,5497520.640000000596046,11330330.240000000223517
20190708,5712572.000000000000000,5541248.040000000037253,11253820.039999999105930
20190709,5747415.200000000186265,5485860.000000000000000,11233275.199999999254942
20190710,5804249.599999999627471,5526672.240000000223517,11330921.839999999850988
20190711,5761980.799999999813735,5557281.419999999925494,11319262.219999998807907
20190712,5806248.799999999813735,5586918.879999999888241,11393167.679999999701977
20190715,5860798.400000000372529,5610726.020000000484288,11471524.420000001788139
20190716,5840520.799999999813735,5630646.280000000260770,11471167.080000000074506
20190717,5807676.799999999813735,5633075.580000000074506,11440752.379999998956919
20190718,5873650.399999999441206,5608782.580000000074506,11482432.980000000447035
20190719,5785971.200000000186265,5587890.600000000558794,11373861.800000000745058
20190722,5918204.000000000000000,5601980.540000000037253,11520184.539999999105930
20190723,5964471.200000000186265,5531530.839999999850988,11496002.039999999105930
20190724,5959615.999999999068677,5470798.339999999850988,11430414.339999999850988
20190725,5912492.000000000000000,5479057.959999999962747,11391549.960000000894070
20190726,5933055.200000000186265,5574286.520000000484288,11507341.720000000670552
20190729,5988461.599999999627471,5635990.740000000223517,11624452.339999999850988
20190730,5962757.599999999627471,5850255.000000000000000,11813012.599999999627471
20190731,6084423.199999999254942,5735106.180000000633299,11819529.379999998956919
20190801,5952761.599999999627471,5671458.520000000484288,11624220.120000001043081
20190802,5826812.000000000000000,5657368.580000000074506,11484180.580000000074506
20190805,5521791.200000000186265,5494119.620000000111759,11015910.820000000298023
20190806,5626320.799999999813735,5552422.820000000298023,11178743.620000001043081
20190807,5684583.199999999254942,5612669.459999999962747,11297252.660000000149012
20190808,5809961.599999999627471,5705954.580000000074506,11515916.179999999701977
20190809,5740275.200000000186265,5673887.820000000298023,11414163.019999999552965
20190812,5725709.599999999627471,5637448.320000000298023,11363157.919999999925494
20190813,5968184.000000000000000,5696723.240000000223517,11664907.240000000223517
20190814,5790540.799999999813735,5625787.680000000633299,11416328.480000000447035
20190815,5761695.200000000186265,5703525.280000000260770,11465220.480000000447035
20190816,5897640.799999999813735,5790494.220000000670552,11688135.019999999552965
20190819,6007596.799999999813735,5841995.379999999888241,11849592.179999999701977
20190820,6007882.400000000372529,5776890.140000000596046,11784772.540000000968575
20190821,6072999.199999999254942,5791465.940000000409782,11864465.140000000596046
20190822,6067858.400000000372529,5802154.860000000335276,11870013.260000001639128
20190823,5787399.199999999254942,5700124.259999999776483,11487523.459999999031425
20190826,5897355.200000000186265,5797296.259999999776483,11694651.460000000894070
20190827,5830810.399999999441206,5857057.040000000037253,11687867.439999999478459
20190828,5869937.599999999627471,5898355.140000000596046,11768292.740000000223517
20190829,5969326.399999999441206,5887666.220000000670552,11856992.620000001043081
20190830,5961615.200000000186265,5841509.520000000484288,11803124.720000000670552
20190903,5874792.799999999813735,5896411.700000000186265,11771204.500000000000000
20190904,5974467.200000000186265,5986295.799999999813735,11960763.000000000000000
20190905,6091277.599999999627471,5964432.100000000558794,12055709.699999999254942
20190906,6090706.399999999441206,5969776.560000000521541,12060482.960000000894070
20190909,6116695.999999999068677,5935766.360000000335276,12052462.359999999403954
20190910,6188952.799999999813735,5824504.419999999925494,12013457.219999998807907
20190911,6385731.200000000186265,5892038.959999999962747,12277770.160000000149012
20190912,6371451.200000000186265,5964917.959999999962747,12336369.160000000149012
20190913,6247500.799999999813735,5933337.060000000521541,12180837.859999999403954
20190916,6280344.799999999813735,5818188.240000000223517,12098533.039999999105930
20190917,6303192.799999999813735,5886694.500000000000000,12189887.300000000745058
20190918,6362312.000000000000000,5898841.000000000000000,12261153.000000000000000
20190919,6310618.400000000372529,5922648.140000000596046,12233266.540000000968575
20190920,6218369.599999999627471,5939167.379999999888241,12157536.980000000447035
20190923,6246644.000000000000000,5986781.660000000149012,12233425.660000000149012
20190924,6216941.599999999627471,6005730.200000000186265,12222671.800000000745058
20190925,6312617.599999999627471,5977064.459999999962747,12289682.059999998658895
20190926,6280059.199999999254942,6039740.400000000372529,12319799.599999999627471
20190927,6249500.000000000000000,6052372.759999999776483,12301872.759999999776483
20190930,6396584.000000000000000,6043141.419999999925494,12439725.419999999925494
20191001,6414291.200000000186265,6017390.839999999850988,12431682.039999999105930
20191002,6253498.400000000372529,5882807.620000000111759,12136306.019999999552965
20191003,6306620.000000000000000,5914874.379999999888241,12221494.379999998956919
20191004,6483406.399999999441206,6024678.740000000223517,12508085.140000000596046
20191007,6484834.399999999441206,5968318.980000000447035,12453153.379999998956919
20191008,6408864.799999999813735,5875519.720000000670552,12284384.519999999552965
20191009,6483977.599999999627471,5926535.020000000484288,12410512.620000001043081
20191010,6571371.200000000186265,5924591.580000000074506,12495962.780000001192093
20191011,6746158.400000000372529,5883293.480000000447035,12629451.880000000819564
20191014,6736448.000000000000000,5832764.040000000037253,12569212.039999999105930
20191015,6720740.000000000000000,5694293.940000000409782,12415033.940000001341105
20191016,6693608.000000000000000,5710327.320000000298023,12403935.320000000298023
20191017,6719597.599999999627471,5666599.919999999925494,12386197.519999999552965
20191018,6751870.399999999441206,5707412.160000000149012,12459282.559999998658895
20191021,6868966.399999999441206,5785635.620000000111759,12654602.019999999552965
20191022,6853258.400000000372529,5936252.220000000670552,12789510.620000001043081
20191023,6945221.599999999627471,5976092.740000000223517,12921314.339999999850988
20191024,6956645.600000000558794,6063061.680000000633299,13019707.280000001192093
20191025,7042325.600000000558794,5988239.240000000223517,13030564.839999999850988
20191028,7112868.799999999813735,5999414.020000000484288,13112282.820000000298023
20191029,6948363.199999999254942,6005244.339999999850988,12953607.539999999105930
20191030,6947506.399999999441206,6070349.580000000074506,13017855.980000000447035
20191031,7104586.399999999441206,6049457.600000000558794,13154044.000000000000000
20191101,7306220.000000000000000,6018362.560000000521541,13324582.560000000521541
20191104,7354200.799999999813735,5785149.759999999776483,13139350.559999998658895
20191105,7343633.599999999627471,5776890.140000000596046,13120523.740000000223517
20191106,7346775.200000000186265,5845882.259999999776483,13192657.460000000894070
20191107,7409321.599999999627471,5845882.259999999776483,13255203.859999999403954
20191108,7429599.199999999254942,5815758.940000000409782,13245358.140000000596046
20191111,7488432.799999999813735,5797782.120000000111759,13286214.919999999925494
20191112,7481578.399999999441206,5794866.959999999962747,13276445.359999999403954
20191113,7553264.000000000931323,5861915.640000000596046,13415179.640000000596046
20191114,7500999.199999999254942,5854627.740000000223517,13355626.939999999478459
20191115,7590106.399999999441206,5856571.180000000633299,13446677.580000000074506
20191118,7628376.800000000745058,5922162.280000000260770,13550539.080000001937151
20191119,7605243.200000000186265,5899326.860000000335276,13504570.060000000521541
20191120,7516707.200000000186265,5941596.680000000633299,13458303.880000000819564
20191121,7483006.399999999441206,5846853.980000000447035,13329860.379999998956919
20191122,7476437.599999998696148,5844424.680000000633299,13320862.279999999329448
20191125,7607528.000000000000000,5855113.600000000558794,13462641.600000001490116
20191126,7548123.200000000186265,5940139.100000000558794,13488262.300000000745058
20191127,7649511.199999999254942,5915846.100000000558794,13565357.300000000745058
20191129,7632660.799999999813735,5930421.900000000372529,13563082.699999999254942
