代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12501481.359999999403954
真實報酬,2501481.359999999403954

夏普值報酬,0.241448136000000
夏普值風險,0.063159814425529
夏普值,3.822812625339293

預期報酬,18972.726176634267176
風險,315138.212031050235964
趨勢值,0.060204460939078
找到最佳解世代,2258
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
PG[21](1),
Stock#,PG[21](1),
張數,120148,
分配資金,10000000.000000000000000,
剩餘資金,81.959999999031425,
20181224,10496211.239999998360872,10496211.239999998360872
20181226,10824215.279999999329448,10824215.279999999329448
20181227,11056100.919999998062849,11056100.919999998062849
20181228,10955176.599999999627471,10955176.599999999627471
20181231,11044086.119999999180436,11044086.119999999180436
20190102,10967191.399999998509884,10967191.399999998509884
20190103,10890296.679999999701977,10890296.679999999701977
20190104,11112570.479999998584390,11112570.479999998584390
20190107,11068115.719999998807907,11068115.719999998807907
20190108,11108966.039999999105930,11108966.039999999105930
20190109,10927542.559999998658895,10927542.559999998658895
20190110,10953975.119999999180436,10953975.119999999180436
20190111,11026063.919999998062849,11026063.919999998062849
20190114,10951572.160000000149012,10951572.160000000149012
20190115,11054899.439999999478459,11054899.439999999478459
20190116,10978004.719999998807907,10978004.719999998807907
20190117,10890296.679999999701977,10890296.679999999701977
20190118,10984012.119999999180436,10984012.119999999180436
20190122,10866267.079999998211861,10866267.079999998211861
20190123,11394918.279999999329448,11394918.279999999329448
20190124,11330038.359999999403954,11330038.359999999403954
20190125,11245934.759999997913837,11245934.759999997913837
20190128,11236322.919999998062849,11236322.919999998062849
20190129,11238725.879999998956919,11238725.879999998956919
20190130,11356470.919999998062849,11356470.919999998062849
20190131,11590759.519999999552965,11590759.519999999552965
20190201,11710907.519999999552965,11710907.519999999552965
20190204,11778190.399999998509884,11778190.399999998509884
20190205,11707303.079999998211861,11707303.079999998211861
20190206,11764974.119999999180436,11764974.119999999180436
20190207,11671258.679999999701977,11671258.679999999701977
20190208,11739743.039999999105930,11739743.039999999105930
20190211,11807025.919999998062849,11807025.919999998062849
20190212,11925972.439999999478459,11925972.439999999478459
20190213,11923569.479999998584390,11923569.479999998584390
20190214,11829854.039999999105930,11829854.039999999105930
20190215,11832257.000000000000000,11832257.000000000000000
20190219,12013680.479999998584390,12013680.479999998584390
20190220,11928375.399999998509884,11928375.399999998509884
20190221,11988449.399999998509884,11988449.399999998509884
20190222,12044918.959999999031425,12044918.959999999031425
20190225,11963218.319999998435378,11963218.319999998435378
20190226,11994456.799999998882413,11994456.799999998882413
20190227,11883920.639999998733401,11883920.639999998733401
20190228,11840667.359999999403954,11840667.359999999403954
20190301,11827451.079999998211861,11827451.079999998211861
20190304,11879114.719999998807907,11879114.719999998807907
20190305,11905547.279999999329448,11905547.279999999329448
20190306,11886323.599999999627471,11886323.599999999627471
20190307,11840667.359999999403954,11840667.359999999403954
20190308,11823846.639999998733401,11823846.639999998733401
20190311,11964419.799999998882413,11964419.799999998882413
20190312,12020889.359999999403954,12020889.359999999403954
20190313,12156656.599999999627471,12156656.599999999627471
20190314,12173477.319999998435378,12173477.319999998435378
20190315,12308043.079999998211861,12308043.079999998211861
20190318,12196305.439999999478459,12196305.439999999478459
20190319,12243163.160000000149012,12243163.160000000149012
20190320,12221536.519999999552965,12221536.519999999552965
20190321,12314050.479999998584390,12314050.479999998584390
20190322,12214327.639999998733401,12214327.639999998733401
20190325,12250372.039999999105930,12250372.039999999105930
20190326,12377728.919999998062849,12377728.919999998062849
20190327,12363311.160000000149012,12363311.160000000149012
20190328,12441407.359999999403954,12441407.359999999403954
20190329,12501481.359999999403954,12501481.359999999403954
