代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11363374.510249998000
真實報酬,1363374.510249998400

夏普值報酬,0.127637451025
夏普值風險,0.037785280607
夏普值,3.377967530591

預期報酬,11339.278682175289
風險,131275.341982416490
起點值,0.086377826261
找到最佳解世代,4145
找到最佳解實驗#,1
找到最佳解次數,47

投資組合檔數,5
1102(1),2105(10),2382(25),3045(43),4904(46),
Stock#,1102(1),2105(10),2382(25),3045(43),4904(46),
張數,85,50,43,28,47,
FS( 68 ),2149124.850000000100,2160065.937500000000,2368286.797750000400,1882781.724000000200,2184395.205750000200,10744654.514999999000
FS( 69 ),2136431.268749999800,2132687.625000000000,2337463.795750000000,1884733.051000000000,2275171.734250000200,10766487.474749999000
FS( 70 ),2133892.552500000200,2144634.524999999900,2374280.159250000500,1901179.950000000200,2271428.372250000000,10825415.559000002000
FS( 71 ),2178743.206249999800,2166039.387500000200,2408099.842000000200,1923480.830000000100,2240077.715500000400,10916440.981250001000
FS( 72 ),2166895.863750000000,2175497.350000000100,2411096.522750000500,1911215.345999999900,2219021.304250000500,10883726.386750000000
FS( 73 ),2149124.850000000100,2202875.662500000100,2405103.161250000400,1933794.987000000200,2236802.273749999700,10927700.934500000000
FS( 74 ),2143201.178750000000,2169523.899999999900,2395685.021750000300,1962228.608999999700,2306522.390999999800,10977161.100499999000
FS( 75 ),2169434.579999999600,2169523.899999999900,2377276.839999999900,1941879.055999999900,2264409.568500000100,10922523.944499999000
FS( 76 ),2172819.534999999700,2190928.762500000200,2352875.296750000200,1951914.451999999800,2226040.108000000000,10894578.154250000000
FS( 77 ),2133892.552500000200,2193915.487499999800,2328045.656250000000,1976445.419999999900,2226040.108000000000,10858339.224250000000
FS( 78 ),2092426.853750000000,2233738.487499999800,2411096.522750000500,1986759.576999999800,2222764.666250000200,10946786.107249999000
