代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,14442820.000000000000
真實報酬,4442820.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,17968.894777795002
風險,415114.784954566510
起點值,0.043286568990
找到最佳解世代,1344
找到最佳解實驗#,2
找到最佳解次數,43

投資組合檔數,4
2308(12)[1],2603(28)[2],2912(40)[4],8046(47)[19],
Stock#,2308(12)[1],2603(28)[2],2912(40)[4],8046(47)[19],
張數,37,184,41,27,
FS( 73 ),2774540.000000000000,2998640.000000000000,2506560.000000000500,2738410.000000000000,11018150.000000000000
FS( 74 ),2843359.999999999500,2891920.000000000000,2503280.000000000500,2727610.000000000000,10966170.000000000000
FS( 75 ),2801919.999999999500,2952640.000000000000,2529110.000000000500,2749210.000000000000,11032880.000000000000
FS( 76 ),2774540.000000000000,2945279.999999999500,2522550.000000000500,2727610.000000000000,10969980.000000000000
FS( 77 ),2774540.000000000000,2937920.000000000000,2542230.000000000900,2716810.000000000000,10971500.000000000000
FS( 78 ),2801919.999999999500,2921360.000000000000,2574620.000000000500,2749210.000000000000,11047110.000000000000
FS( 79 ),2815609.999999999500,2899279.999999999500,2591020.000000000000,2760010.000000000000,11065920.000000000000
FS( 80 ),2788229.999999999500,2875360.000000000000,2591020.000000000000,2760010.000000000000,11014620.000000000000
FS( 81 ),2774540.000000000000,2891920.000000000000,2597580.000000000500,2792679.999999999500,11056720.000000000000
FS( 82 ),2758259.999999999100,2960000.000000000500,2584460.000000000900,2825080.000000000000,11127800.000000000000
FS( 83 ),2766399.999999999500,2998640.000000000000,2591020.000000000000,2890150.000000000000,11246210.000000000000
FS( 84 ),2766399.999999999500,2998640.000000000000,2604140.000000000500,2857750.000000000000,11226930.000000000000
FS( 85 ),2766399.999999999500,2952640.000000000000,2571340.000000000500,2803480.000000000000,11093860.000000000000
FS( 86 ),2815609.999999999500,2952640.000000000000,2600860.000000000500,2825080.000000000000,11194190.000000000000
FS( 87 ),2843359.999999999500,2991279.999999999500,2616850.000000000500,2803480.000000000000,11254970.000000000000
FS( 88 ),2870739.999999999500,2906640.000000000000,2623410.000000000500,2792679.999999999500,11193470.000000000000
FS( 89 ),2870739.999999999500,2891920.000000000000,2786180.000000000500,2901220.000000000000,11450060.000000000000
FS( 90 ),2857049.999999999500,3075920.000000000000,2730830.000000000000,2933619.999999999500,11597420.000000000000
FS( 91 ),2843359.999999999500,3022560.000000000500,2779620.000000000500,2922820.000000000000,11568360.000000000000
FS( 92 ),2788229.999999999500,2991279.999999999500,2740670.000000000900,2836150.000000000000,11356330.000000000000
FS( 93 ),2884429.999999999500,2967360.000000000000,2776340.000000000500,2868550.000000000000,11496680.000000000000
FS( 94 ),2857049.999999999500,2983920.000000000000,2756660.000000000500,2998690.000000000500,11596320.000000000000
FS( 95 ),2829299.999999999500,2960000.000000000500,2734110.000000000500,2933619.999999999500,11457030.000000000000
FS( 96 ),2801919.999999999500,2930560.000000000000,2747230.000000000900,2955220.000000000000,11434930.000000000000
FS( 97 ),2857049.999999999500,2967360.000000000000,2776340.000000000500,2977090.000000000000,11577840.000000000000
FS( 98 ),2898119.999999999500,2952640.000000000000,2831690.000000000900,2987890.000000000000,11670340.000000000000
FS( 99 ),2898119.999999999500,2914000.000000000000,2922710.000000000900,2977090.000000000000,11711920.000000000000
FS( 100 ),2898119.999999999500,2899279.999999999500,2912870.000000000500,2922820.000000000000,11633090.000000000000
FS( 101 ),2898119.999999999500,3098000.000000000500,2942390.000000000500,2890150.000000000000,11828660.000000000000
FS( 102 ),2857049.999999999500,3083279.999999999500,2844810.000000000000,2977090.000000000000,11762230.000000000000
FS( 103 ),2801919.999999999500,3022560.000000000500,2818570.000000000500,3183100.000000000500,11826150.000000000000
FS( 104 ),2719779.999999999500,2914000.000000000000,2792740.000000000500,3063760.000000000000,11490280.000000000000
FS( 105 ),2692399.999999999500,2875360.000000000000,2799300.000000000500,3020290.000000000500,11387350.000000000000
FS( 106 ),2733469.999999999100,2937920.000000000000,2737390.000000000500,3150429.999999999500,11559210.000000000000
FS( 107 ),2697579.999999999500,2921360.000000000000,2796020.000000000000,3063760.000000000000,11478720.000000000000
FS( 108 ),2774540.000000000000,2838560.000000000000,2812010.000000000500,2998690.000000000500,11423800.000000000000
FS( 109 ),2760850.000000000000,2899279.999999999500,2789460.000000000900,3063760.000000000000,11513350.000000000000
FS( 110 ),2788229.999999999500,3037279.999999999500,2799300.000000000500,3063760.000000000000,11688570.000000000000
FS( 111 ),2815609.999999999500,3044640.000000000000,2799300.000000000500,3042160.000000000000,11701710.000000000000
FS( 112 ),2788229.999999999500,2906640.000000000000,2864080.000000000000,2998690.000000000500,11557640.000000000000
FS( 113 ),2801919.999999999500,2884560.000000000000,2925990.000000000500,3020290.000000000500,11632760.000000000000
FS( 114 ),2774540.000000000000,2884560.000000000000,2929270.000000000000,3085360.000000000000,11673730.000000000000
FS( 115 ),2774540.000000000000,2822000.000000000000,2909590.000000000500,2977090.000000000000,11483220.000000000000
FS( 116 ),2719779.999999999500,2807279.999999999500,2880480.000000000900,2933619.999999999500,11341160.000000000000
