代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12032373.324800000000
真實報酬,2032373.324799999600

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,9035.125557763662
風險,83723.600493087404
起點值,0.107916113313
找到最佳解世代,1321
找到最佳解實驗#,1
找到最佳解次數,34

投資組合檔數,15
1102(1)[39],2227(11)[19],2408(23)[15],2801(28)[25],2882(31)[16],2884(33)[9],2886(35)[8],2891(38)[3],2892(39)[1],2912(40)[24],3008(41)[5],3045(42)[29],3481(43)[13],5880(46)[2],9999(49)[41],
FS( 25 ),662916.000000000000,654216.000000000000,727306.000000000000,685146.000000000120,789066.000000000000,674046.000000000000,704426.000000000000,683866.000000000000,687345.999999999770,665706.000000000000,666666.000000000000,649566.000000000120,663665.999999999880,669216.000000000000,666666.000000000000,10249830.000000000000
FS( 26 ),670166.000000000000,655596.000000000000,722666.000000000000,691306.000000000000,800456.000000000000,675686.000000000000,718186.000000000000,685866.000000000000,691305.999999999880,667646.000000000000,666666.000000000000,649566.000000000120,663665.999999999880,673806.000000000000,666666.000000000000,10299260.000000000000
FS( 27 ),670166.000000000000,658386.000000000000,722666.000000000000,691306.000000000000,798926.000000000120,677326.000000000120,718186.000000000000,687866.000000000000,695265.999999999880,669586.000000000000,666666.000000000000,649566.000000000120,684665.999999999880,673806.000000000000,666666.000000000000,10331060.000000000000
FS( 28 ),679916.000000000000,661146.000000000000,722666.000000000000,703626.000000000000,801306.000000000120,692086.000000000120,725546.000000000000,697465.999999999880,705385.999999999880,672486.000000000000,666666.000000000000,655266.000000000120,687665.999999999880,685535.999999999880,666666.000000000000,10423440.000000000000
FS( 29 ),679916.000000000000,661146.000000000000,738186.000000000000,699226.000000000000,807086.000000000000,695776.000000000000,733226.000000000000,701065.999999999880,705385.999999999880,669586.000000000000,666666.000000000000,646686.000000000120,678665.999999999880,688086.000000000000,666666.000000000000,10437380.000000000000
FS( 30 ),681166.000000000000,657005.999999999880,764746.000000000000,697466.000000000000,807086.000000000000,692086.000000000120,733226.000000000000,697465.999999999880,703186.000000000000,660866.000000000000,666666.000000000000,643866.000000000120,681666.000000000000,688086.000000000000,666666.000000000000,10441260.000000000000
FS( 31 ),673916.000000000000,655596.000000000000,761546.000000000000,703626.000000000000,811166.000000000000,695776.000000000000,731626.000000000000,701065.999999999880,711545.999999999880,659886.000000000000,666666.000000000000,643866.000000000120,678665.999999999880,688086.000000000000,666666.000000000000,10449710.000000000000
FS( 32 ),677416.000000000000,657005.999999999880,770986.000000000000,697466.000000000000,794846.000000000000,686755.999999999880,722666.000000000000,695465.999999999880,705385.999999999880,664746.000000000000,666666.000000000000,638166.000000000000,681666.000000000000,683496.000000000000,666666.000000000000,10409410.000000000000
FS( 33 ),679916.000000000000,655596.000000000000,772426.000000000000,697466.000000000000,813546.000000000000,690446.000000000000,722666.000000000000,701065.999999999880,701425.999999999880,658926.000000000000,666666.000000000000,638166.000000000000,696065.999999999880,683496.000000000000,666666.000000000000,10444550.000000000000
FS( 34 ),667916.000000000000,658386.000000000000,788106.000000000000,699226.000000000000,816776.000000000000,686755.999999999880,733226.000000000000,701065.999999999880,699225.999999999880,656006.000000000000,666666.000000000000,632466.000000000230,696065.999999999880,676356.000000000000,666666.000000000000,10444920.000000000000
FS( 35 ),655666.000000000000,655596.000000000000,775626.000000000000,695266.000000000120,800456.000000000000,679375.999999999880,722666.000000000000,695465.999999999880,695265.999999999880,655046.000000000000,666666.000000000000,629586.000000000120,690666.000000000000,673806.000000000000,666666.000000000000,10357830.000000000000
FS( 36 ),658166.000000000000,652836.000000000120,775626.000000000000,699226.000000000000,800456.000000000000,681016.000000000000,719466.000000000000,693466.000000000000,693066.000000000000,655046.000000000000,666666.000000000000,635286.000000000120,699065.999999999770,673806.000000000000,666666.000000000000,10369870.000000000000
FS( 37 ),649666.000000000000,657005.999999999880,771626.000000000000,699226.000000000000,793146.000000000000,679375.999999999880,714986.000000000000,689466.000000000000,691305.999999999880,655046.000000000000,666666.000000000000,626766.000000000120,711065.999999999880,671256.000000000000,666666.000000000000,10343280.000000000000
FS( 38 ),639916.000000000000,655596.000000000000,787306.000000000000,691306.000000000000,764586.000000000000,675686.000000000000,710506.000000000000,683866.000000000000,685145.999999999880,655046.000000000000,666666.000000000000,629586.000000000120,708065.999999999880,669216.000000000000,666666.000000000000,10289170.000000000000
FS( 39 ),635166.000000000000,654216.000000000000,804426.000000000000,686905.999999999880,767816.000000000000,671995.999999999880,707306.000000000000,680266.000000000000,682945.999999999770,652146.000000000000,666666.000000000000,626766.000000000120,702065.999999999880,666666.000000000000,666666.000000000000,10272030.000000000000
FS( 40 ),636416.000000000000,655596.000000000000,791946.000000000000,695266.000000000120,784986.000000000000,677326.000000000120,710506.000000000000,683866.000000000000,689105.999999999880,653106.000000000000,666666.000000000000,626766.000000000120,699065.999999999770,671256.000000000000,666666.000000000000,10308550.000000000000
FS( 41 ),637666.000000000000,652836.000000000120,780266.000000000000,695266.000000000120,777676.000000000120,674046.000000000000,706026.000000000000,681866.000000000000,689105.999999999880,651166.000000000000,666666.000000000000,626766.000000000120,693665.999999999880,669216.000000000000,666666.000000000000,10268910.000000000000
FS( 42 ),641166.000000000000,655596.000000000000,792746.000000000000,699226.000000000000,794846.000000000000,679375.999999999880,710506.000000000000,685866.000000000000,697465.999999999880,655046.000000000000,666666.000000000000,623886.000000000000,702065.999999999880,676356.000000000000,666666.000000000000,10347490.000000000000
FS( 43 ),635166.000000000000,652836.000000000120,784106.000000000000,699226.000000000000,782606.000000000000,675686.000000000000,704426.000000000000,683866.000000000000,693066.000000000000,651166.000000000000,666666.000000000000,626766.000000000120,696065.999999999880,671256.000000000000,666666.000000000000,10289580.000000000000
FS( 44 ),638666.000000000000,655596.000000000000,784906.000000000000,705386.000000000000,787536.000000000000,683066.000000000000,710506.000000000000,687866.000000000000,699225.999999999880,656986.000000000000,666666.000000000000,638166.000000000000,699065.999999999770,676356.000000000000,666666.000000000000,10356670.000000000000
FS( 45 ),642416.000000000000,659766.000000000000,768586.000000000000,703626.000000000000,784136.000000000000,684706.000000000120,713386.000000000000,689466.000000000000,697465.999999999880,660866.000000000000,666666.000000000000,640986.000000000120,729065.999999999770,676356.000000000000,666666.000000000000,10384170.000000000000
FS( 46 ),638666.000000000000,661146.000000000000,774826.000000000000,699226.000000000000,782606.000000000000,684706.000000000120,723946.000000000000,693466.000000000000,701425.999999999880,652146.000000000000,666666.000000000000,652386.000000000000,732065.999999999880,676356.000000000000,666666.000000000000,10406310.000000000000
FS( 47 ),642416.000000000000,662526.000000000000,786506.000000000000,703626.000000000000,790766.000000000000,686755.999999999880,730026.000000000000,701065.999999999880,707585.999999999880,656986.000000000000,666666.000000000000,658086.000000000120,756065.999999999880,680946.000000000000,666666.000000000000,10496700.000000000000
FS( 48 ),642416.000000000000,662526.000000000000,791946.000000000000,705386.000000000000,796375.999999999880,688396.000000000000,731626.000000000000,701065.999999999880,707585.999999999880,649226.000000000000,666666.000000000000,649566.000000000120,780065.999999999770,680946.000000000000,666666.000000000000,10520470.000000000000
FS( 49 ),637666.000000000000,658386.000000000000,790346.000000000000,703626.000000000000,800456.000000000000,681016.000000000000,721066.000000000000,701065.999999999880,705385.999999999880,650206.000000000000,666666.000000000000,646686.000000000120,774065.999999999770,680946.000000000000,666666.000000000000,10484260.000000000000
FS( 50 ),635166.000000000000,657005.999999999880,776426.000000000000,705386.000000000000,803856.000000000000,679375.999999999880,728746.000000000000,701065.999999999880,707585.999999999880,652146.000000000000,666666.000000000000,646686.000000000120,771065.999999999880,683496.000000000000,666666.000000000000,10481350.000000000000
FS( 51 ),645916.000000000000,652836.000000000120,777866.000000000000,709786.000000000000,800456.000000000000,684706.000000000120,731626.000000000000,701065.999999999880,709345.999999999770,652146.000000000000,666666.000000000000,655266.000000000120,768065.999999999880,685535.999999999880,666666.000000000000,10507960.000000000000
FS( 52 ),659416.000000000000,657005.999999999880,766986.000000000000,719906.000000000000,795696.000000000000,690446.000000000000,737706.000000000000,701065.999999999880,711545.999999999880,660866.000000000000,666666.000000000000,652386.000000000000,774065.999999999770,688086.000000000000,666666.000000000000,10548520.000000000000
FS( 53 ),660416.000000000000,659766.000000000000,754666.000000000000,719906.000000000000,790766.000000000000,688396.000000000000,737706.000000000000,699065.999999999880,711545.999999999880,656986.000000000000,666666.000000000000,658086.000000000120,783065.999999999880,688086.000000000000,666666.000000000000,10541800.000000000000
FS( 54 ),652166.000000000000,655596.000000000000,756906.000000000000,717706.000000000000,772745.999999999880,681016.000000000000,728746.000000000000,689466.000000000000,707585.999999999880,653106.000000000000,666666.000000000000,655266.000000000120,771065.999999999880,683496.000000000000,666666.000000000000,10458210.000000000000
FS( 55 ),654416.000000000000,657005.999999999880,775626.000000000000,713746.000000000120,775976.000000000000,688396.000000000000,725546.000000000000,691466.000000000000,709345.999999999770,664746.000000000000,666666.000000000000,658086.000000000120,774065.999999999770,680946.000000000000,666666.000000000000,10502710.000000000000
FS( 56 ),643666.000000000000,659766.000000000000,778666.000000000000,713746.000000000120,767136.000000000000,688396.000000000000,719466.000000000000,689466.000000000000,707585.999999999880,656006.000000000000,666666.000000000000,655266.000000000120,794465.999999999770,680946.000000000000,666666.000000000000,10487920.000000000000
FS( 57 ),637666.000000000000,657005.999999999880,783306.000000000000,711546.000000000000,765436.000000000000,681016.000000000000,722666.000000000000,683866.000000000000,703186.000000000000,654066.000000000000,666666.000000000000,646686.000000000120,791465.999999999880,680946.000000000000,666666.000000000000,10452200.000000000000
FS( 58 ),635166.000000000000,654216.000000000000,777066.000000000000,713746.000000000120,770366.000000000000,686755.999999999880,719466.000000000000,683866.000000000000,703186.000000000000,650206.000000000000,666666.000000000000,643866.000000000120,788465.999999999880,683496.000000000000,666666.000000000000,10443210.000000000000
FS( 59 ),641166.000000000000,655596.000000000000,772426.000000000000,715946.000000000000,774446.000000000000,688396.000000000000,727146.000000000000,689466.000000000000,709345.999999999770,657946.000000000000,666666.000000000000,646686.000000000120,788465.999999999880,688086.000000000000,666666.000000000000,10488460.000000000000
FS( 60 ),648416.000000000000,659766.000000000000,780266.000000000000,713746.000000000120,775976.000000000000,686755.999999999880,719466.000000000000,693466.000000000000,709345.999999999770,661826.000000000000,666666.000000000000,640986.000000000120,794465.999999999770,688086.000000000000,666666.000000000000,10505910.000000000000
FS( 61 ),650916.000000000000,659766.000000000000,784906.000000000000,713746.000000000120,766286.000000000000,679375.999999999880,719466.000000000000,695465.999999999880,709345.999999999770,656006.000000000000,666666.000000000000,626766.000000000120,854465.999999999770,683496.000000000000,666666.000000000000,10533350.000000000000
FS( 62 ),654416.000000000000,657005.999999999880,760106.000000000000,717706.000000000000,762206.000000000000,679375.999999999880,716586.000000000000,695465.999999999880,711545.999999999880,657946.000000000000,666666.000000000000,629586.000000000120,839465.999999999770,685535.999999999880,666666.000000000000,10500290.000000000000
FS( 63 ),660416.000000000000,658386.000000000000,757706.000000000000,721666.000000000000,787536.000000000000,684706.000000000120,728746.000000000000,701065.999999999880,719465.999999999880,654066.000000000000,666666.000000000000,643866.000000000120,836465.999999999880,695226.000000000000,666666.000000000000,10582660.000000000000
FS( 64 ),662916.000000000000,661146.000000000000,758506.000000000000,727826.000000000000,784136.000000000000,684706.000000000120,731626.000000000000,706666.000000000000,725625.999999999880,656986.000000000000,666666.000000000000,640986.000000000120,815465.999999999880,702366.000000000000,666666.000000000000,10592300.000000000000
FS( 65 ),659416.000000000000,665285.999999999880,746826.000000000000,727826.000000000000,781756.000000000000,683066.000000000000,728746.000000000000,701065.999999999880,723865.999999999880,654066.000000000000,666666.000000000000,638166.000000000000,785465.999999999880,704406.000000000000,666666.000000000000,10533300.000000000000
FS( 66 ),667916.000000000000,673596.000000000000,749226.000000000000,727826.000000000000,779375.999999999880,684706.000000000120,723946.000000000000,712666.000000000120,725625.999999999880,653106.000000000000,666666.000000000000,643866.000000000120,803465.999999999880,704406.000000000000,666666.000000000000,10583070.000000000000
FS( 67 ),695666.000000000000,684666.000000000000,745226.000000000000,733986.000000000120,789066.000000000000,692086.000000000120,731626.000000000000,718266.000000000000,729585.999999999880,650206.000000000000,666666.000000000000,643866.000000000120,783065.999999999880,706956.000000000000,666666.000000000000,10637610.000000000000
FS( 68 ),695666.000000000000,690186.000000000000,766186.000000000000,736185.999999999880,788216.000000000000,695776.000000000000,737706.000000000000,725866.000000000000,731786.000000000000,648266.000000000000,666666.000000000000,643866.000000000120,744065.999999999770,706956.000000000000,666666.000000000000,10644070.000000000000
FS( 69 ),695666.000000000000,687426.000000000000,759306.000000000000,738386.000000000000,793995.999999999880,695776.000000000000,736106.000000000000,723866.000000000000,731786.000000000000,644386.000000000000,666666.000000000000,652386.000000000000,741065.999999999880,709506.000000000000,666666.000000000000,10643000.000000000000
FS( 70 ),704166.000000000000,691566.000000000000,759306.000000000000,746305.999999999880,798926.000000000120,703156.000000000000,746666.000000000000,723866.000000000000,735745.999999999880,647286.000000000000,666666.000000000000,649566.000000000120,753065.999999999880,716136.000000000120,666666.000000000000,10709100.000000000000
FS( 71 ),705166.000000000000,695736.000000000000,760106.000000000000,758626.000000000000,801306.000000000120,706846.000000000120,737706.000000000000,727866.000000000000,737945.999999999880,650206.000000000000,666666.000000000000,652386.000000000000,756065.999999999880,716136.000000000120,666666.000000000000,10739440.000000000000
FS( 72 ),702916.000000000000,701255.999999999880,755306.000000000000,756866.000000000120,804536.000000000000,699466.000000000120,728746.000000000000,727866.000000000000,735745.999999999880,647286.000000000000,666666.000000000000,652386.000000000000,747065.999999999880,714096.000000000000,666666.000000000000,10706880.000000000000
FS( 73 ),702916.000000000000,698496.000000000120,756106.000000000000,763026.000000000000,800456.000000000000,703156.000000000000,736106.000000000000,727866.000000000000,735745.999999999880,647286.000000000000,666666.000000000000,658086.000000000120,744065.999999999770,716136.000000000120,666666.000000000000,10722790.000000000000
FS( 74 ),717416.000000000000,692946.000000000000,742186.000000000000,760826.000000000000,800456.000000000000,697826.000000000120,737706.000000000000,723866.000000000000,735745.999999999880,651166.000000000000,666666.000000000000,655266.000000000120,735065.999999999770,711546.000000000000,666666.000000000000,10695360.000000000000
FS( 75 ),718666.000000000000,691566.000000000000,754666.000000000000,760826.000000000000,803856.000000000000,695776.000000000000,742186.000000000000,718266.000000000000,735745.999999999880,648266.000000000000,666666.000000000000,660966.000000000230,747065.999999999880,711546.000000000000,666666.000000000000,10722740.000000000000
FS( 76 ),724666.000000000000,690186.000000000000,753066.000000000000,758626.000000000000,797226.000000000000,695776.000000000000,745386.000000000000,718266.000000000000,735745.999999999880,645346.000000000000,666666.000000000000,655266.000000000120,753065.999999999880,714096.000000000000,666666.000000000000,10720060.000000000000
FS( 77 ),730666.000000000000,688806.000000000000,744426.000000000000,752466.000000000000,793995.999999999880,692086.000000000120,743786.000000000000,718266.000000000000,729585.999999999880,645346.000000000000,666666.000000000000,660966.000000000230,744065.999999999770,706956.000000000000,666666.000000000000,10684760.000000000000
FS( 78 ),736666.000000000000,688806.000000000000,741386.000000000000,754666.000000000000,788216.000000000000,694136.000000000000,737706.000000000000,714266.000000000120,737945.999999999880,646326.000000000000,666666.000000000000,660966.000000000230,753065.999999999880,704406.000000000000,666666.000000000000,10691900.000000000000
FS( 79 ),741416.000000000000,688806.000000000000,734346.000000000000,750706.000000000000,781756.000000000000,694136.000000000000,742186.000000000000,716266.000000000120,737945.999999999880,642446.000000000000,666666.000000000000,660966.000000000230,735065.999999999770,704406.000000000000,666666.000000000000,10663790.000000000000
FS( 80 ),747666.000000000000,687426.000000000000,738986.000000000000,754666.000000000000,796375.999999999880,683066.000000000000,736106.000000000000,721866.000000000000,740145.999999999880,645346.000000000000,666666.000000000000,660966.000000000230,744065.999999999770,709506.000000000000,666666.000000000000,10699530.000000000000
FS( 81 ),747666.000000000000,683285.999999999880,750666.000000000000,752466.000000000000,790766.000000000000,674046.000000000000,731626.000000000000,720266.000000000000,740145.999999999880,643406.000000000000,666666.000000000000,663786.000000000120,738065.999999999880,709506.000000000000,666666.000000000000,10679040.000000000000
FS( 82 ),745166.000000000000,677736.000000000000,757706.000000000000,752466.000000000000,800456.000000000000,674046.000000000000,739306.000000000000,721866.000000000000,740145.999999999880,643406.000000000000,666666.000000000000,660966.000000000230,738065.999999999880,709506.000000000000,666666.000000000000,10694180.000000000000
FS( 83 ),749916.000000000000,679116.000000000120,758506.000000000000,748506.000000000000,800456.000000000000,681016.000000000000,740586.000000000000,721866.000000000000,740145.999999999880,645346.000000000000,666666.000000000000,666666.000000000000,750065.999999999770,711546.000000000000,666666.000000000000,10727080.000000000000
FS( 84 ),748916.000000000000,679116.000000000120,758506.000000000000,750706.000000000000,814396.000000000000,683066.000000000000,737706.000000000000,723866.000000000000,740145.999999999880,645346.000000000000,666666.000000000000,663786.000000000120,750065.999999999770,709506.000000000000,666666.000000000000,10738470.000000000000
FS( 85 ),746416.000000000000,673596.000000000000,757706.000000000000,742346.000000000000,812696.000000000000,681016.000000000000,731626.000000000000,723866.000000000000,744105.999999999770,643406.000000000000,666666.000000000000,663786.000000000120,738065.999999999880,709506.000000000000,666666.000000000000,10701480.000000000000
FS( 86 ),722166.000000000000,673596.000000000000,724266.000000000000,744546.000000000000,816776.000000000000,677326.000000000120,736106.000000000000,727866.000000000000,741906.000000000000,641486.000000000000,666666.000000000000,666666.000000000000,729065.999999999770,706956.000000000000,666666.000000000000,10642070.000000000000
FS( 87 ),739166.000000000000,673596.000000000000,728106.000000000000,748506.000000000000,829866.000000000000,677326.000000000120,733226.000000000000,731466.000000000000,748065.999999999880,657946.000000000000,666666.000000000000,669486.000000000120,720065.999999999770,711546.000000000000,666666.000000000000,10701710.000000000000
FS( 88 ),739166.000000000000,681906.000000000000,735946.000000000000,748506.000000000000,833096.000000000000,683066.000000000000,734506.000000000000,725866.000000000000,755985.999999999880,668606.000000000000,666666.000000000000,669486.000000000120,732065.999999999880,711546.000000000000,666666.000000000000,10753090.000000000000
FS( 89 ),730666.000000000000,677736.000000000000,725866.000000000000,748506.000000000000,836495.999999999880,679375.999999999880,736106.000000000000,735465.999999999880,755985.999999999880,669586.000000000000,666666.000000000000,672366.000000000120,732065.999999999880,714096.000000000000,666666.000000000000,10747660.000000000000
FS( 90 ),746416.000000000000,679116.000000000120,741386.000000000000,750706.000000000000,833096.000000000000,679375.999999999880,739306.000000000000,737066.000000000000,760385.999999999880,681206.000000000000,666666.000000000000,669486.000000000120,741065.999999999880,716136.000000000120,666666.000000000000,10808090.000000000000
FS( 91 ),745166.000000000000,679116.000000000120,755306.000000000000,752466.000000000000,833096.000000000000,683066.000000000000,745386.000000000000,743066.000000000000,754225.999999999770,678306.000000000000,666666.000000000000,672366.000000000120,741065.999999999880,716136.000000000120,666666.000000000000,10832110.000000000000
FS( 92 ),745166.000000000000,683285.999999999880,767786.000000000000,756866.000000000120,834796.000000000000,681016.000000000000,748266.000000000000,741065.999999999880,752025.999999999880,684126.000000000000,666666.000000000000,680886.000000000000,741065.999999999880,714096.000000000000,666666.000000000000,10863790.000000000000
FS( 93 ),751166.000000000000,677736.000000000000,770186.000000000000,760826.000000000000,826636.000000000000,684706.000000000120,751146.000000000000,741065.999999999880,754225.999999999770,692846.000000000000,666666.000000000000,683766.000000000120,744065.999999999770,716136.000000000120,666666.000000000000,10887850.000000000000
FS( 94 ),753666.000000000000,679116.000000000120,766986.000000000000,758626.000000000000,818476.000000000000,686755.999999999880,748266.000000000000,735465.999999999880,750265.999999999880,685086.000000000000,666666.000000000000,680886.000000000000,735065.999999999770,716136.000000000120,666666.000000000000,10848140.000000000000
