代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11905700.000000000000
真實報酬,1905700.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,7619.412864330909
風險,206137.911142482190
起點值,0.036962695615
找到最佳解世代,2373
找到最佳解實驗#,1
找到最佳解次數,49

投資組合檔數,1
2412(24)[1],
FS( 38 ),10344560.000000000000,10344560.000000000000
FS( 39 ),10398840.000000000000,10398840.000000000000
FS( 40 ),10344560.000000000000,10344560.000000000000
FS( 41 ),10398840.000000000000,10398840.000000000000
FS( 42 ),10453120.000000002000,10453120.000000002000
FS( 43 ),10613600.000000000000,10613600.000000000000
FS( 44 ),10592360.000000000000,10592360.000000000000
FS( 45 ),10711540.000000002000,10711540.000000002000
FS( 46 ),10754020.000000000000,10754020.000000000000
FS( 47 ),10678500.000000000000,10678500.000000000000
FS( 48 ),10613600.000000000000,10613600.000000000000
FS( 49 ),10636020.000000000000,10636020.000000000000
FS( 50 ),10689120.000000002000,10689120.000000002000
FS( 51 ),10722159.999999998000,10722159.999999998000
FS( 52 ),10657259.999999998000,10657259.999999998000
FS( 53 ),10560500.000000000000,10560500.000000000000
FS( 54 ),10549880.000000000000,10549880.000000000000
FS( 55 ),10657259.999999998000,10657259.999999998000
FS( 56 ),10657259.999999998000,10657259.999999998000
FS( 57 ),10602980.000000000000,10602980.000000000000
FS( 58 ),10560500.000000000000,10560500.000000000000
FS( 59 ),10302080.000000000000,10302080.000000000000
FS( 60 ),10323320.000000000000,10323320.000000000000
FS( 61 ),10302080.000000000000,10302080.000000000000
FS( 62 ),10409460.000000000000,10409460.000000000000
FS( 63 ),10409460.000000000000,10409460.000000000000
FS( 64 ),10699740.000000000000,10699740.000000000000
FS( 65 ),10549880.000000000000,10549880.000000000000
FS( 66 ),10506220.000000000000,10506220.000000000000
FS( 67 ),10539259.999999998000,10539259.999999998000
FS( 68 ),10560500.000000000000,10560500.000000000000
FS( 69 ),10560500.000000000000,10560500.000000000000
FS( 70 ),10453120.000000002000,10453120.000000002000
FS( 71 ),10560500.000000000000,10560500.000000000000
FS( 72 ),10560500.000000000000,10560500.000000000000
FS( 73 ),10613600.000000000000,10613600.000000000000
FS( 74 ),10613600.000000000000,10613600.000000000000
FS( 75 ),10657259.999999998000,10657259.999999998000
FS( 76 ),10657259.999999998000,10657259.999999998000
FS( 77 ),10667880.000000000000,10667880.000000000000
FS( 78 ),10667880.000000000000,10667880.000000000000
FS( 79 ),10560500.000000000000,10560500.000000000000
FS( 80 ),10646640.000000002000,10646640.000000002000
FS( 81 ),10581740.000000000000,10581740.000000000000
FS( 82 ),10625400.000000000000,10625400.000000000000
FS( 83 ),10613600.000000000000,10613600.000000000000
FS( 84 ),10699740.000000000000,10699740.000000000000
FS( 85 ),10689120.000000002000,10689120.000000002000
FS( 86 ),10722159.999999998000,10722159.999999998000
FS( 87 ),10678500.000000000000,10678500.000000000000
FS( 88 ),10678500.000000000000,10678500.000000000000
FS( 89 ),10667880.000000000000,10667880.000000000000
FS( 90 ),10667880.000000000000,10667880.000000000000
FS( 91 ),10722159.999999998000,10722159.999999998000
FS( 92 ),10711540.000000002000,10711540.000000002000
FS( 93 ),10711540.000000002000,10711540.000000002000
FS( 94 ),10754020.000000000000,10754020.000000000000
FS( 95 ),10689120.000000002000,10689120.000000002000
FS( 96 ),10808300.000000000000,10808300.000000000000
FS( 97 ),10829540.000000002000,10829540.000000002000
FS( 98 ),10808300.000000000000,10808300.000000000000
FS( 99 ),10818920.000000000000,10818920.000000000000
FS( 100 ),10829540.000000002000,10829540.000000002000
FS( 101 ),10882640.000000002000,10882640.000000002000
FS( 102 ),10882640.000000002000,10882640.000000002000
FS( 103 ),10882640.000000002000,10882640.000000002000
FS( 104 ),10882640.000000002000,10882640.000000002000
FS( 105 ),10796500.000000000000,10796500.000000000000
FS( 106 ),10882640.000000002000,10882640.000000002000
FS( 107 ),10829540.000000002000,10829540.000000002000
FS( 108 ),10829540.000000002000,10829540.000000002000
FS( 109 ),10829540.000000002000,10829540.000000002000
FS( 110 ),10722159.999999998000,10722159.999999998000
FS( 111 ),10743400.000000000000,10743400.000000000000
FS( 112 ),10667880.000000000000,10667880.000000000000
FS( 113 ),10667880.000000000000,10667880.000000000000
FS( 114 ),10722159.999999998000,10722159.999999998000
FS( 115 ),10625400.000000000000,10625400.000000000000
FS( 116 ),10539259.999999998000,10539259.999999998000
FS( 117 ),10775259.999999998000,10775259.999999998000
FS( 118 ),10699740.000000000000,10699740.000000000000
FS( 119 ),10829540.000000002000,10829540.000000002000
FS( 120 ),10754020.000000000000,10754020.000000000000
FS( 121 ),10764640.000000002000,10764640.000000002000
FS( 122 ),10722159.999999998000,10722159.999999998000
FS( 123 ),10722159.999999998000,10722159.999999998000
FS( 124 ),10754020.000000000000,10754020.000000000000
FS( 125 ),10722159.999999998000,10722159.999999998000
FS( 126 ),10808300.000000000000,10808300.000000000000
FS( 127 ),10818920.000000000000,10818920.000000000000
FS( 128 ),10732780.000000000000,10732780.000000000000
FS( 129 ),10689120.000000002000,10689120.000000002000
FS( 130 ),10722159.999999998000,10722159.999999998000
FS( 131 ),10722159.999999998000,10722159.999999998000
FS( 132 ),10678500.000000000000,10678500.000000000000
FS( 133 ),10657259.999999998000,10657259.999999998000
FS( 134 ),10667880.000000000000,10667880.000000000000
FS( 135 ),10613600.000000000000,10613600.000000000000
FS( 136 ),10592360.000000000000,10592360.000000000000
FS( 137 ),10613600.000000000000,10613600.000000000000
FS( 138 ),10613600.000000000000,10613600.000000000000
FS( 139 ),10657259.999999998000,10657259.999999998000
FS( 140 ),10667880.000000000000,10667880.000000000000
FS( 141 ),10636020.000000000000,10636020.000000000000
FS( 142 ),10764640.000000002000,10764640.000000002000
FS( 143 ),10764640.000000002000,10764640.000000002000
FS( 144 ),10764640.000000002000,10764640.000000002000
FS( 145 ),10775259.999999998000,10775259.999999998000
FS( 146 ),10775259.999999998000,10775259.999999998000
FS( 147 ),10722159.999999998000,10722159.999999998000
FS( 148 ),10732780.000000000000,10732780.000000000000
FS( 149 ),10732780.000000000000,10732780.000000000000
FS( 150 ),10636020.000000000000,10636020.000000000000
FS( 151 ),10699740.000000000000,10699740.000000000000
FS( 152 ),10689120.000000002000,10689120.000000002000
FS( 153 ),10743400.000000000000,10743400.000000000000
FS( 154 ),10764640.000000002000,10764640.000000002000
FS( 155 ),10829540.000000002000,10829540.000000002000
FS( 156 ),10936920.000000000000,10936920.000000000000
FS( 157 ),10991200.000000000000,10991200.000000000000
FS( 158 ),11098580.000000000000,11098580.000000000000
FS( 159 ),10936920.000000000000,10936920.000000000000
FS( 160 ),10829540.000000002000,10829540.000000002000
FS( 161 ),10991200.000000000000,10991200.000000000000
FS( 162 ),10991200.000000000000,10991200.000000000000
FS( 163 ),10882640.000000002000,10882640.000000002000
FS( 164 ),10882640.000000002000,10882640.000000002000
FS( 165 ),11044300.000000000000,11044300.000000000000
FS( 166 ),11044300.000000000000,11044300.000000000000
FS( 167 ),11044300.000000000000,11044300.000000000000
FS( 168 ),11098580.000000000000,11098580.000000000000
FS( 169 ),11152860.000000000000,11152860.000000000000
FS( 170 ),11098580.000000000000,11098580.000000000000
FS( 171 ),11152860.000000000000,11152860.000000000000
FS( 172 ),11152860.000000000000,11152860.000000000000
FS( 173 ),11152860.000000000000,11152860.000000000000
FS( 174 ),11313340.000000000000,11313340.000000000000
FS( 175 ),11367620.000000002000,11367620.000000002000
FS( 176 ),11421900.000000000000,11421900.000000000000
FS( 177 ),11313340.000000000000,11313340.000000000000
FS( 178 ),11367620.000000002000,11367620.000000002000
FS( 179 ),11260240.000000000000,11260240.000000000000
FS( 180 ),11260240.000000000000,11260240.000000000000
FS( 181 ),11152860.000000000000,11152860.000000000000
FS( 182 ),11313340.000000000000,11313340.000000000000
FS( 183 ),11313340.000000000000,11313340.000000000000
FS( 184 ),11421900.000000000000,11421900.000000000000
FS( 185 ),11421900.000000000000,11421900.000000000000
FS( 186 ),11475000.000000000000,11475000.000000000000
FS( 187 ),11475000.000000000000,11475000.000000000000
FS( 188 ),11475000.000000000000,11475000.000000000000
FS( 189 ),11367620.000000002000,11367620.000000002000
FS( 190 ),11421900.000000000000,11421900.000000000000
FS( 191 ),11475000.000000000000,11475000.000000000000
FS( 192 ),11475000.000000000000,11475000.000000000000
FS( 193 ),11475000.000000000000,11475000.000000000000
FS( 194 ),11582380.000000000000,11582380.000000000000
FS( 195 ),11636659.999999998000,11636659.999999998000
FS( 196 ),11690940.000000000000,11690940.000000000000
FS( 197 ),11744040.000000002000,11744040.000000002000
FS( 198 ),11690940.000000000000,11690940.000000000000
FS( 199 ),11798320.000000000000,11798320.000000000000
FS( 200 ),11798320.000000000000,11798320.000000000000
FS( 201 ),11905700.000000000000,11905700.000000000000
FS( 202 ),11959980.000000000000,11959980.000000000000
FS( 203 ),11852600.000000000000,11852600.000000000000
FS( 204 ),11798320.000000000000,11798320.000000000000
FS( 205 ),11959980.000000000000,11959980.000000000000
FS( 206 ),11852600.000000000000,11852600.000000000000
FS( 207 ),11852600.000000000000,11852600.000000000000
FS( 208 ),11582380.000000000000,11582380.000000000000
FS( 209 ),11690940.000000000000,11690940.000000000000
FS( 210 ),11744040.000000002000,11744040.000000002000
FS( 211 ),11852600.000000000000,11852600.000000000000
FS( 212 ),11852600.000000000000,11852600.000000000000
FS( 213 ),11905700.000000000000,11905700.000000000000
FS( 214 ),11852600.000000000000,11852600.000000000000
FS( 215 ),11959980.000000000000,11959980.000000000000
FS( 216 ),12013080.000000000000,12013080.000000000000
FS( 217 ),11852600.000000000000,11852600.000000000000
FS( 218 ),11798320.000000000000,11798320.000000000000
FS( 219 ),11905700.000000000000,11905700.000000000000
FS( 220 ),11959980.000000000000,11959980.000000000000
FS( 221 ),12067360.000000000000,12067360.000000000000
FS( 222 ),11905700.000000000000,11905700.000000000000
FS( 223 ),11905700.000000000000,11905700.000000000000
FS( 224 ),11798320.000000000000,11798320.000000000000
FS( 225 ),11798320.000000000000,11798320.000000000000
FS( 226 ),11959980.000000000000,11959980.000000000000
FS( 227 ),11959980.000000000000,11959980.000000000000
FS( 228 ),11852600.000000000000,11852600.000000000000
FS( 229 ),11905700.000000000000,11905700.000000000000
FS( 230 ),11959980.000000000000,11959980.000000000000
FS( 231 ),12013080.000000000000,12013080.000000000000
FS( 232 ),11959980.000000000000,11959980.000000000000
FS( 233 ),12067360.000000000000,12067360.000000000000
FS( 234 ),12121640.000000002000,12121640.000000002000
FS( 235 ),11959980.000000000000,11959980.000000000000
FS( 236 ),11959980.000000000000,11959980.000000000000
FS( 237 ),12013080.000000000000,12013080.000000000000
FS( 238 ),11852600.000000000000,11852600.000000000000
FS( 239 ),11905700.000000000000,11905700.000000000000
FS( 240 ),11905700.000000000000,11905700.000000000000
FS( 241 ),11959980.000000000000,11959980.000000000000
FS( 242 ),11959980.000000000000,11959980.000000000000
FS( 243 ),11905700.000000000000,11905700.000000000000
FS( 244 ),11959980.000000000000,11959980.000000000000
FS( 245 ),11905700.000000000000,11905700.000000000000
FS( 246 ),11905700.000000000000,11905700.000000000000
