代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12736120.000000000000
真實報酬,2736120.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,12555.034219051937
風險,313585.151439220350
起點值,0.040037081352
找到最佳解世代,2571
找到最佳解實驗#,5
找到最佳解次數,9

投資組合檔數,2
2347(18)[5],4904(45)[1],
FS( 86 ),5046870.000000000000,5269699.999999999100,10316570.000000000000
FS( 87 ),4948770.000000000000,5385949.999999999100,10334720.000000000000
FS( 88 ),5083930.000000000000,5506849.999999998100,10590779.999999998000
FS( 89 ),5076300.000000000000,5455699.999999999100,10532000.000000000000
FS( 90 ),5128620.000000000000,5362699.999999999100,10491320.000000000000
FS( 91 ),5219090.000000000000,5396799.999999999100,10615890.000000000000
FS( 92 ),5489410.000000000000,5362699.999999999100,10852110.000000000000
FS( 93 ),5414200.000000000000,5328599.999999999100,10742800.000000000000
FS( 94 ),5526470.000000000000,5275899.999999999100,10802370.000000000000
FS( 95 ),5451259.999999999100,5333249.999999999100,10784509.999999998000
FS( 96 ),5518840.000000000000,5362699.999999999100,10881540.000000000000
FS( 97 ),5444720.000000000000,5415399.999999999100,10860120.000000000000
FS( 98 ),5458890.000000000000,5502199.999999999100,10961090.000000000000
FS( 99 ),5369509.999999999100,5438649.999999999100,10808159.999999998000
FS( 100 ),5323730.000000000000,5571949.999999999100,10895680.000000000000
FS( 101 ),5504670.000000000000,5606049.999999999100,11110720.000000000000
FS( 102 ),5564620.000000000000,5616899.999999998100,11181519.999999998000
FS( 103 ),5526470.000000000000,5669599.999999999100,11196070.000000000000
FS( 104 ),5564620.000000000000,5669599.999999999100,11234220.000000000000
FS( 105 ),5624570.000000000000,5635500.000000000000,11260070.000000000000
FS( 106 ),5601680.000000000000,5726949.999999999100,11328630.000000000000
FS( 107 ),5661630.000000000000,5883499.999999999100,11545130.000000000000
FS( 108 ),5646370.000000000000,6023000.000000000000,11669370.000000000000
FS( 109 ),5578790.000000000000,6230699.999999999100,11809490.000000000000
FS( 110 ),5497040.000000000000,6219849.999999999100,11716890.000000000000
FS( 111 ),5541730.000000000000,6381049.999999999100,11922780.000000000000
FS( 112 ),5481780.000000000000,6577899.999999999100,12059680.000000000000
FS( 113 ),5556990.000000000000,6393449.999999999100,11950440.000000000000
FS( 114 ),5361880.000000000000,6346949.999999999100,11708830.000000000000
FS( 115 ),5309560.000000000900,6196599.999999999100,11506160.000000000000
FS( 116 ),5383680.000000000000,6289599.999999999100,11673280.000000000000
FS( 117 ),5361880.000000000000,6404299.999999999100,11766180.000000000000
FS( 118 ),5294300.000000000000,6531399.999999998100,11825699.999999998000
FS( 119 ),5458890.000000000000,6798000.000000000000,12256890.000000000000
FS( 120 ),5377140.000000000000,6590299.999999999100,11967440.000000000000
FS( 121 ),5286670.000000000000,6370199.999999999100,11656870.000000000000
FS( 122 ),5196200.000000000000,6486449.999999999100,11682650.000000000000
FS( 123 ),5203830.000000000000,6486449.999999999100,11690280.000000000000
FS( 124 ),5188570.000000000000,6694149.999999999100,11882720.000000000000
FS( 125 ),5143880.000000000000,6670899.999999999100,11814780.000000000000
FS( 126 ),5294300.000000000000,6833649.999999999100,12127950.000000000000
FS( 127 ),5391310.000000000900,6740649.999999998100,12131960.000000000000
FS( 128 ),5369509.999999999100,6601149.999999999100,11970659.999999998000
FS( 129 ),5474150.000000000000,6740649.999999998100,12214799.999999998000
FS( 130 ),5481780.000000000000,6856899.999999998100,12338679.999999998000
FS( 131 ),5481780.000000000000,6856899.999999998100,12338679.999999998000
FS( 132 ),5369509.999999999100,6717399.999999999100,12086909.999999998000
FS( 133 ),5437090.000000000000,6821250.000000000000,12258340.000000000000
FS( 134 ),5474150.000000000000,6890999.999999999100,12365150.000000000000
FS( 135 ),5458890.000000000000,6890999.999999999100,12349890.000000000000
FS( 136 ),5458890.000000000000,6810399.999999999100,12269290.000000000000
FS( 137 ),5286670.000000000000,6833649.999999999100,12120320.000000000000
FS( 138 ),5294300.000000000000,6810399.999999999100,12104700.000000000000
FS( 139 ),5294300.000000000000,6787149.999999999100,12081450.000000000000
FS( 140 ),5248520.000000000000,6728249.999999999100,11976770.000000000000
FS( 141 ),5256150.000000000000,6346949.999999999100,11603100.000000000000
FS( 142 ),5241980.000000000000,6289599.999999999100,11531580.000000000000
FS( 143 ),5354250.000000000000,6474049.999999999100,11828300.000000000000
FS( 144 ),5383680.000000000000,6647649.999999998100,12031329.999999998000
FS( 145 ),5474150.000000000000,6601149.999999999100,12075300.000000000000
FS( 146 ),5489410.000000000000,6543799.999999999100,12033210.000000000000
FS( 147 ),5511210.000000000000,6567049.999999999100,12078260.000000000000
FS( 148 ),5481780.000000000000,6601149.999999999100,12082930.000000000000
FS( 149 ),5497040.000000000000,6624399.999999998100,12121439.999999998000
FS( 150 ),5526470.000000000000,6590299.999999999100,12116770.000000000000
FS( 151 ),5526470.000000000000,6577899.999999999100,12104370.000000000000
FS( 152 ),5556990.000000000000,6577899.999999999100,12134890.000000000000
FS( 153 ),5578790.000000000000,6601149.999999999100,12179940.000000000000
FS( 154 ),5601680.000000000000,6590299.999999999100,12191980.000000000000
FS( 155 ),5616940.000000000000,6531399.999999998100,12148339.999999998000
FS( 156 ),5616940.000000000000,6531399.999999998100,12148339.999999998000
FS( 157 ),5639830.000000000000,6508149.999999998100,12147979.999999998000
FS( 158 ),5639830.000000000000,6312849.999999999100,11952680.000000000000
FS( 159 ),5707410.000000000000,6253949.999999999100,11961360.000000000000
FS( 160 ),5767360.000000000000,6334549.999999999100,12101910.000000000000
FS( 161 ),5669259.999999999100,6508149.999999998100,12177409.999999996000
FS( 162 ),5669259.999999999100,6357799.999999999100,12027059.999999998000
FS( 163 ),5713950.000000000000,6404299.999999999100,12118250.000000000000
FS( 164 ),5632200.000000000000,6567049.999999999100,12199250.000000000000
FS( 165 ),5518840.000000000000,6601149.999999999100,12119990.000000000000
FS( 166 ),5437090.000000000000,6554649.999999999100,11991740.000000000000
FS( 167 ),5369509.999999999100,6543799.999999999100,11913309.999999998000
FS( 168 ),5504670.000000000000,6601149.999999999100,12105820.000000000000
FS( 169 ),5511210.000000000000,6567049.999999999100,12078260.000000000000
FS( 170 ),5444720.000000000000,6740649.999999998100,12185369.999999998000
FS( 171 ),5421830.000000000000,6624399.999999998100,12046229.999999998000
FS( 172 ),5489410.000000000000,6647649.999999998100,12137059.999999998000
FS( 173 ),5556990.000000000000,6636799.999999999100,12193790.000000000000
FS( 174 ),5497040.000000000000,6577899.999999999100,12074940.000000000000
FS( 175 ),5458890.000000000000,6520549.999999999100,11979440.000000000000
FS( 176 ),5534100.000000000000,6463199.999999999100,11997300.000000000000
FS( 177 ),5541730.000000000000,6728249.999999999100,12269980.000000000000
FS( 178 ),5511210.000000000000,6925099.999999998100,12436309.999999998000
FS( 179 ),5444720.000000000000,6694149.999999999100,12138870.000000000000
FS( 180 ),5474150.000000000000,6660049.999999999100,12134200.000000000000
FS( 181 ),5451259.999999999100,6647649.999999998100,12098909.999999996000
FS( 182 ),5572250.000000000000,6647649.999999998100,12219899.999999998000
FS( 183 ),5624570.000000000000,6717399.999999999100,12341970.000000000000
FS( 184 ),5594050.000000000000,7180849.999999999100,12774900.000000000000
FS( 185 ),5632200.000000000000,7145199.999999999100,12777400.000000000000
FS( 186 ),5594050.000000000000,6948349.999999999100,12542400.000000000000
FS( 187 ),5601680.000000000000,7007249.999999999100,12608930.000000000000
FS( 188 ),5534100.000000000000,6867749.999999999100,12401850.000000000000
FS( 189 ),5624570.000000000000,6833649.999999999100,12458220.000000000000
FS( 190 ),5572250.000000000000,6774749.999999999100,12347000.000000000000
FS( 191 ),5511210.000000000000,6787149.999999999100,12298360.000000000000
FS( 192 ),5594050.000000000000,6925099.999999998100,12519149.999999998000
FS( 193 ),5609310.000000000900,6890999.999999999100,12500310.000000000000
FS( 194 ),5564620.000000000000,6798000.000000000000,12362620.000000000000
FS( 195 ),5654000.000000000000,6774749.999999999100,12428750.000000000000
FS( 196 ),5676890.000000000000,6890999.999999999100,12567890.000000000000
FS( 197 ),5692150.000000000000,6833649.999999999100,12525800.000000000000
FS( 198 ),5578790.000000000000,6751499.999999999100,12330290.000000000000
FS( 199 ),5594050.000000000000,6728249.999999999100,12322300.000000000000
FS( 200 ),5526470.000000000000,6636799.999999999100,12163270.000000000000
FS( 201 ),5556990.000000000000,6856899.999999998100,12413889.999999998000
FS( 202 ),5541730.000000000000,7018099.999999998100,12559829.999999998000
FS( 203 ),5489410.000000000000,6833649.999999999100,12323060.000000000000
FS( 204 ),5458890.000000000000,6901849.999999998100,12360739.999999998000
FS( 205 ),5497040.000000000000,6833649.999999999100,12330690.000000000000
FS( 206 ),5489410.000000000000,6890999.999999999100,12380410.000000000000
FS( 207 ),5489410.000000000000,6774749.999999999100,12264160.000000000000
FS( 208 ),5541730.000000000000,7007249.999999999100,12548980.000000000000
FS( 209 ),5541730.000000000000,7018099.999999998100,12559829.999999998000
FS( 210 ),5541730.000000000000,7018099.999999998100,12559829.999999998000
FS( 211 ),5481780.000000000000,6925099.999999998100,12406879.999999998000
FS( 212 ),5518840.000000000000,6810399.999999999100,12329240.000000000000
FS( 213 ),5489410.000000000000,6774749.999999999100,12264160.000000000000
FS( 214 ),5444720.000000000000,6948349.999999999100,12393070.000000000000
FS( 215 ),5481780.000000000000,7238199.999999999100,12719980.000000000000
FS( 216 ),5466520.000000000000,7180849.999999999100,12647370.000000000000
FS( 217 ),5489410.000000000000,7191700.000000000000,12681110.000000000000
FS( 218 ),5466520.000000000000,7227349.999999999100,12693870.000000000000
FS( 219 ),5444720.000000000000,7528049.999999999100,12972770.000000000000
FS( 220 ),5383680.000000000000,7515649.999999998100,12899329.999999998000
FS( 221 ),5263780.000000000000,7411799.999999999100,12675580.000000000000
FS( 222 ),5113360.000000000000,7342049.999999999100,12455410.000000000000
FS( 223 ),5180940.000000000000,7400949.999999999100,12581890.000000000000
FS( 224 ),5180940.000000000000,7631899.999999998100,12812839.999999998000
FS( 225 ),5180940.000000000000,7492399.999999999100,12673340.000000000000
FS( 226 ),5226720.000000000000,7365299.999999999100,12592020.000000000000
FS( 227 ),5256150.000000000000,7365299.999999999100,12621450.000000000000
FS( 228 ),5180940.000000000000,7354449.999999999100,12535390.000000000000
FS( 229 ),5316100.000000000000,7481549.999999999100,12797650.000000000000
FS( 230 ),5211460.000000000000,7504799.999999999100,12716260.000000000000
FS( 231 ),5219090.000000000000,7515649.999999998100,12734739.999999998000
FS( 232 ),5203830.000000000000,7354449.999999999100,12558280.000000000000
FS( 233 ),5294300.000000000000,7492399.999999999100,12786700.000000000000
FS( 234 ),5338990.000000000000,7469149.999999999100,12808140.000000000000
FS( 235 ),5354250.000000000000,7481549.999999999100,12835800.000000000000
FS( 236 ),5346620.000000000000,7504799.999999999100,12851420.000000000000
FS( 237 ),5316100.000000000000,7758999.999999999100,13075100.000000000000
FS( 238 ),5354250.000000000000,7909349.999999998100,13263599.999999998000
FS( 239 ),5219090.000000000000,7932599.999999998100,13151689.999999998000
FS( 240 ),5196200.000000000000,8013199.999999999100,13209400.000000000000
FS( 241 ),5083930.000000000000,7886099.999999999100,12970030.000000000000
FS( 242 ),5099190.000000000000,7839599.999999999100,12938790.000000000000
FS( 243 ),5136250.000000000000,7839599.999999999100,12975850.000000000000
FS( 244 ),5120990.000000000000,7851999.999999999100,12972990.000000000000
FS( 245 ),5128620.000000000000,8002349.999999999100,13130970.000000000000
FS( 246 ),5120990.000000000000,8002349.999999999100,13123340.000000000000
FS( 247 ),5113360.000000000000,8048849.999999998100,13162209.999999998000
FS( 248 ),5143880.000000000000,7862849.999999999100,13006730.000000000000
FS( 249 ),5099190.000000000000,7562149.999999999100,12661340.000000000000
FS( 250 ),5046870.000000000000,7689250.000000000000,12736120.000000000000
