代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,14051310.000000000000
真實報酬,4051310.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,15062.309076353034
風險,215210.680150708300
起點值,0.069988669084
找到最佳解世代,1568
找到最佳解實驗#,1
找到最佳解次數,49

投資組合檔數,6
2002(7)[15],2354(20)[18],2881(30)[2],2892(39)[10],3045(42)[13],4938(46)[1],
Stock#,2002(7)[15],2354(20)[18],2881(30)[2],2892(39)[10],3045(42)[13],4938(46)[1],
張數,75,26,50,137,21,44,
FS( 53 ),1641166.000000000000,1666666.000000000000,2046165.999999999800,1828326.000000000000,1642936.000000000200,2163426.000000000000,10988690.000000000000
FS( 54 ),1647166.000000000000,1666666.000000000000,2063166.000000000000,1846136.000000000000,1648396.000000000200,2124266.000000000000,10995800.000000000000
FS( 55 ),1641166.000000000000,1666666.000000000000,2065666.000000000000,1837916.000000000000,1670026.000000000500,2152866.000000000000,11034310.000000000000
FS( 56 ),1666666.000000000000,1679666.000000000000,2076166.000000000000,1846136.000000000000,1673596.000000000200,2166946.000000000500,11109180.000000000000
FS( 57 ),1670416.000000000000,1677326.000000000000,2098166.000000000000,1851615.999999999800,1677166.000000000000,2170906.000000000000,11145600.000000000000
FS( 58 ),1673416.000000000000,1690326.000000000000,2119666.000000000000,1869426.000000000000,1677166.000000000000,2213585.999999999500,11243590.000000000000
FS( 59 ),1680166.000000000000,1679666.000000000000,2145666.000000000000,1879016.000000000200,1673596.000000000200,2159906.000000000000,11218020.000000000000
FS( 60 ),1695916.000000000000,1666666.000000000000,2154166.000000000000,1933816.000000000000,1673596.000000000200,2106226.000000000000,11230390.000000000000
FS( 61 ),1712416.000000000000,1655746.000000000000,2067666.000000000000,1902306.000000000200,1684306.000000000200,2020426.000000000000,11042870.000000000000
FS( 62 ),1722166.000000000000,1658085.999999999800,2115166.000000000000,1916006.000000000000,1684306.000000000200,2060026.000000000000,11155760.000000000000
FS( 63 ),1702666.000000000000,1651585.999999999800,2067666.000000000000,1902306.000000000200,1673596.000000000200,2074106.000000000200,11071930.000000000000
FS( 64 ),1702666.000000000000,1634166.000000000000,2020166.000000000000,1907786.000000000000,1677166.000000000000,2113706.000000000000,11055660.000000000000
FS( 65 ),1708666.000000000200,1636246.000000000000,2020166.000000000000,1877645.999999999800,1682626.000000000200,2156386.000000000000,11081740.000000000000
FS( 66 ),1689166.000000000000,1599585.999999999800,1940166.000000000000,1826956.000000000000,1657426.000000000200,2067066.000000000000,10780370.000000000000
FS( 67 ),1683166.000000000200,1591006.000000000000,1970166.000000000000,1832435.999999999800,1659106.000000000200,2049026.000000000000,10784910.000000000000
FS( 68 ),1695916.000000000000,1599585.999999999800,1983166.000000000000,1832435.999999999800,1691656.000000000000,2027906.000000000000,10830670.000000000000
FS( 69 ),1683166.000000000200,1591006.000000000000,1979166.000000000000,1821476.000000000200,1695226.000000000200,2049026.000000000000,10819070.000000000000
FS( 70 ),1692916.000000000000,1586585.999999999800,2020166.000000000000,1842026.000000000000,1707826.000000000500,2092146.000000000200,10941670.000000000000
FS( 71 ),1705666.000000000000,1599585.999999999800,2018166.000000000000,1826956.000000000000,1696906.000000000000,2145826.000000000000,10993110.000000000000
FS( 72 ),1715416.000000000000,1658085.999999999800,2033166.000000000000,1847506.000000000000,1700686.000000000200,2166946.000000000500,11121810.000000000000
FS( 73 ),1725915.999999999800,1668746.000000000000,2065666.000000000000,1862576.000000000000,1709506.000000000200,2174426.000000000000,11206840.000000000000
FS( 74 ),1732665.999999999800,1679666.000000000000,2037165.999999999800,1857096.000000000000,1718536.000000000200,2177946.000000000500,11203080.000000000000
FS( 75 ),1732665.999999999800,1705406.000000000000,2002666.000000000000,1836546.000000000200,1718536.000000000200,2288826.000000000000,11284650.000000000000
FS( 76 ),1752916.000000000000,1696826.000000000000,2028666.000000000000,1857096.000000000000,1725676.000000000200,2256706.000000000000,11317890.000000000000
FS( 77 ),1770165.999999999800,1692406.000000000000,2111166.000000000000,1872166.000000000000,1727566.000000000200,2277826.000000000000,11451300.000000000000
FS( 78 ),1766416.000000000000,1688246.000000000000,2111166.000000000000,1877645.999999999800,1733026.000000000500,2228106.000000000000,11404610.000000000000
FS( 79 ),1779916.000000000000,1701246.000000000000,2132666.000000000000,1922855.999999999800,1743736.000000000200,2288826.000000000000,11569250.000000000000
FS( 80 ),1779916.000000000000,1701246.000000000000,2121666.000000000000,1922855.999999999800,1736596.000000000200,2256706.000000000000,11518990.000000000000
FS( 81 ),1779916.000000000000,1694746.000000000000,2115166.000000000000,1907786.000000000000,1742056.000000000200,2256706.000000000000,11496380.000000000000
FS( 82 ),1786666.000000000000,1698906.000000000000,2156166.000000000000,1918746.000000000000,1758226.000000000200,2284866.000000000000,11603580.000000000000
FS( 83 ),1786666.000000000000,1754546.000000000000,2158666.000000000000,1918746.000000000000,1761796.000000000200,2292346.000000000000,11672770.000000000000
FS( 84 ),1773166.000000000000,1759226.000000000200,2123666.000000000000,1888605.999999999800,1733026.000000000500,2284866.000000000000,11562560.000000000000
FS( 85 ),1783666.000000000200,1768326.000000000000,2149666.000000000000,1922855.999999999800,1679056.000000000200,2320946.000000000500,11624520.000000000000
FS( 86 ),1783666.000000000200,1756886.000000000000,2130166.000000000000,1918746.000000000000,1648396.000000000200,2277826.000000000000,11515690.000000000000
FS( 87 ),1786666.000000000000,1759226.000000000200,2175666.000000000000,1958476.000000000200,1657426.000000000200,2267266.000000000000,11604730.000000000000
FS( 88 ),1786666.000000000000,1747786.000000000000,2171666.000000000000,1954365.999999999800,1666456.000000000200,2277826.000000000000,11604770.000000000000
FS( 89 ),1790416.000000000000,1740766.000000000000,2169166.000000000000,1948886.000000000000,1659106.000000000200,2205665.999999999500,11514010.000000000000
FS( 90 ),1797166.000000000000,1761565.999999999800,2184666.000000000000,1963956.000000000000,1655536.000000000200,2258026.000000000500,11620920.000000000000
FS( 91 ),1790416.000000000000,1740766.000000000000,2175666.000000000000,1958476.000000000200,1655536.000000000200,2213146.000000000000,11534010.000000000000
FS( 92 ),1800166.000000000000,1729326.000000000000,2158666.000000000000,1963956.000000000000,1644826.000000000500,2254506.000000000000,11551450.000000000000
FS( 93 ),1793416.000000000000,1715546.000000000000,2132666.000000000000,1939296.000000000200,1655536.000000000200,2239546.000000000500,11476010.000000000000
FS( 94 ),1793416.000000000000,1720226.000000000200,2111166.000000000000,1928336.000000000000,1648396.000000000200,2228106.000000000000,11429650.000000000000
FS( 95 ),1776916.000000000200,1697085.999999999800,2102166.000000000000,1903676.000000000000,1637686.000000000200,2168266.000000000000,11285800.000000000000
FS( 96 ),1800166.000000000000,1713206.000000000000,2108666.000000000000,1928336.000000000000,1648396.000000000200,2160786.000000000000,11359560.000000000000
FS( 97 ),1827916.000000000000,1750126.000000000000,2132666.000000000000,1933816.000000000000,1646506.000000000200,2202146.000000000000,11493180.000000000000
FS( 98 ),1820416.000000000000,1750126.000000000000,2139166.000000000000,1928336.000000000000,1651966.000000000000,2224585.999999999500,11514600.000000000000
FS( 99 ),1813666.000000000000,1743106.000000000000,2134666.000000000000,1918746.000000000000,1630336.000000000500,2220626.000000000000,11461150.000000000000
FS( 100 ),1790416.000000000000,1750126.000000000000,2098166.000000000000,1913266.000000000200,1623196.000000000200,2205665.999999999500,11380840.000000000000
FS( 101 ),1810666.000000000000,1782106.000000000000,2095666.000000000000,1913266.000000000200,1655536.000000000200,2220626.000000000000,11477870.000000000000
