代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11441960.000000000000
真實報酬,1441960.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,7546.049090017180
風險,140922.937272775630
起點值,0.053547344641
找到最佳解世代,1873
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,8
1216(2)[10],2354(20)[9],2412(24)[1],2884(33)[5],4904(45)[6],6505(48)[12],9904(49)[2],9999(50)[25],
Stock#,1216(2)[10],2354(20)[9],2412(24)[1],2884(33)[5],4904(45)[6],6505(48)[12],9904(49)[2],9999(50)[25],
張數,27,17,15,90,21,19,41,-1,
FS( 12 ),1183850.000000000000,1280090.000000000000,1252700.000000000200,1250000.000000000000,1266380.000000000000,1244870.000000000000,1270090.000000000200,1250000.000000000000,9997980.000000000000
FS( 13 ),1187360.000000000000,1302700.000000000000,1259150.000000000200,1262600.000000000000,1266380.000000000000,1232900.000000000000,1354960.000000000000,1250000.000000000000,10116050.000000000000
FS( 14 ),1187360.000000000000,1325140.000000000000,1264400.000000000200,1259000.000000000000,1273520.000000000000,1255130.000000000000,1400879.999999999800,1250000.000000000000,10215430.000000000000
FS( 15 ),1206260.000000000000,1341800.000000000200,1263050.000000000200,1262600.000000000000,1275410.000000000000,1255130.000000000000,1375050.000000000200,1250000.000000000000,10229300.000000000000
FS( 16 ),1207340.000000000200,1323780.000000000000,1259150.000000000200,1272500.000000000000,1271840.000000000000,1267100.000000000000,1354960.000000000000,1250000.000000000000,10206670.000000000000
FS( 17 ),1196810.000000000000,1347750.000000000000,1248800.000000000000,1262600.000000000000,1253780.000000000000,1246580.000000000000,1354960.000000000000,1250000.000000000000,10161280.000000000000
FS( 18 ),1199240.000000000000,1332790.000000000200,1251350.000000000200,1272500.000000000000,1235720.000000000000,1246580.000000000000,1347580.000000000200,1250000.000000000000,10135760.000000000000
FS( 19 ),1212200.000000000000,1332790.000000000200,1251350.000000000200,1266200.000000000000,1268270.000000000000,1260260.000000000000,1373000.000000000000,1250000.000000000000,10214070.000000000000
FS( 20 ),1212200.000000000000,1325140.000000000000,1256600.000000000200,1266200.000000000000,1266380.000000000000,1255130.000000000000,1387760.000000000000,1250000.000000000000,10219410.000000000000
FS( 21 ),1212200.000000000000,1347750.000000000000,1248800.000000000000,1252700.000000000000,1268270.000000000000,1234610.000000000000,1371359.999999999800,1250000.000000000000,10185690.000000000000
FS( 22 ),1188440.000000000000,1344689.999999999800,1246100.000000000200,1240100.000000000000,1311530.000000000000,1220930.000000000000,1408260.000000000000,1250000.000000000000,10210050.000000000000
FS( 23 ),1191950.000000000000,1371720.000000000000,1252700.000000000200,1252700.000000000000,1309850.000000000000,1229480.000000000000,1406210.000000000000,1250000.000000000000,10264610.000000000000
FS( 24 ),1195730.000000000000,1407929.999999999800,1253900.000000000200,1250000.000000000000,1298930.000000000000,1229480.000000000000,1413590.000000000200,1250000.000000000000,10299560.000000000000
FS( 25 ),1180340.000000000200,1388380.000000000000,1253900.000000000200,1259000.000000000000,1275410.000000000000,1226060.000000000000,1395139.999999999800,1250000.000000000000,10228230.000000000000
FS( 26 ),1196810.000000000000,1320720.000000000000,1256600.000000000200,1259000.000000000000,1278980.000000000000,1224350.000000000000,1417280.000000000000,1250000.000000000000,10203740.000000000000
FS( 27 ),1200320.000000000000,1334150.000000000000,1252700.000000000200,1256300.000000000000,1284440.000000000200,1214090.000000000000,1434090.000000000200,1250000.000000000000,10226090.000000000000
FS( 28 ),1196810.000000000000,1301170.000000000000,1244900.000000000500,1230200.000000000000,1293470.000000000000,1212380.000000000000,1386119.999999999800,1250000.000000000000,10115050.000000000000
FS( 29 ),1181420.000000000000,1335679.999999999800,1241000.000000000200,1227500.000000000000,1284440.000000000200,1202310.000000000000,1398830.000000000200,1250000.000000000000,10121180.000000000000
FS( 30 ),1174400.000000000000,1349280.000000000000,1242200.000000000200,1227500.000000000000,1271840.000000000000,1181790.000000000000,1428350.000000000200,1250000.000000000000,10125360.000000000000
FS( 31 ),1183850.000000000000,1334150.000000000000,1238300.000000000200,1217600.000000000000,1266380.000000000000,1147780.000000000000,1411950.000000000000,1250000.000000000000,10050010.000000000000
FS( 32 ),1167110.000000000000,1310179.999999999800,1243550.000000000200,1220300.000000000000,1306280.000000000000,1162980.000000000000,1411950.000000000000,1250000.000000000000,10072350.000000000000
FS( 33 ),1138760.000000000000,1316130.000000000000,1241000.000000000200,1207700.000000000000,1293470.000000000000,1157850.000000000000,1378740.000000000000,1250000.000000000000,9983650.000000000000
FS( 34 ),1150640.000000000000,1335679.999999999800,1243550.000000000200,1214000.000000000000,1291790.000000000000,1169820.000000000000,1384070.000000000200,1250000.000000000000,10039550.000000000000
FS( 35 ),1163600.000000000000,1302700.000000000000,1250000.000000000000,1236500.000000000000,1302500.000000000000,1186920.000000000000,1417280.000000000000,1250000.000000000000,10109500.000000000000
FS( 36 ),1178990.000000000000,1341800.000000000200,1251350.000000000200,1262600.000000000000,1318880.000000000000,1190340.000000000000,1413590.000000000200,1250000.000000000000,10207550.000000000000
FS( 37 ),1167110.000000000000,1334150.000000000000,1243550.000000000200,1259000.000000000000,1320770.000000000000,1200600.000000000000,1389810.000000000200,1250000.000000000000,10164990.000000000000
FS( 38 ),1202750.000000000000,1332790.000000000200,1256600.000000000200,1266200.000000000000,1326020.000000000000,1215800.000000000000,1398830.000000000200,1250000.000000000000,10248990.000000000000
FS( 39 ),1197890.000000000000,1325140.000000000000,1255250.000000000200,1266200.000000000000,1329800.000000000000,1210670.000000000000,1387760.000000000000,1250000.000000000000,10222710.000000000000
FS( 40 ),1197890.000000000000,1326670.000000000000,1256600.000000000200,1266200.000000000000,1336940.000000000200,1229480.000000000000,1398830.000000000200,1250000.000000000000,10262610.000000000000
FS( 41 ),1197890.000000000000,1329730.000000000000,1253900.000000000200,1262600.000000000000,1335050.000000000000,1220930.000000000000,1402520.000000000000,1250000.000000000000,10252620.000000000000
FS( 42 ),1211120.000000000200,1313240.000000000000,1259150.000000000200,1262600.000000000000,1344290.000000000000,1229480.000000000000,1428350.000000000200,1250000.000000000000,10298230.000000000000
FS( 43 ),1212200.000000000000,1316130.000000000000,1259150.000000000200,1262600.000000000000,1345970.000000000000,1222640.000000000000,1428350.000000000200,1250000.000000000000,10297040.000000000000
FS( 44 ),1217060.000000000000,1307120.000000000000,1269500.000000000200,1268900.000000000000,1374950.000000000000,1232900.000000000000,1426710.000000000000,1250000.000000000000,10347140.000000000000
FS( 45 ),1201670.000000000000,1314770.000000000000,1256600.000000000200,1250000.000000000000,1331480.000000000000,1210670.000000000000,1434090.000000000200,1250000.000000000000,10249280.000000000000
FS( 46 ),1169540.000000000200,1281620.000000000000,1250000.000000000000,1220300.000000000000,1309850.000000000000,1171530.000000000000,1384070.000000000200,1250000.000000000000,10036910.000000000000
FS( 47 ),1164950.000000000000,1280090.000000000000,1250000.000000000000,1220300.000000000000,1322450.000000000000,1162980.000000000000,1389810.000000000200,1250000.000000000000,10040580.000000000000
FS( 48 ),1190870.000000000200,1293689.999999999800,1253900.000000000200,1246400.000000000000,1365920.000000000000,1190340.000000000000,1463200.000000000000,1250000.000000000000,10254320.000000000000
FS( 49 ),1208690.000000000000,1331260.000000000000,1256600.000000000200,1252700.000000000000,1376840.000000000000,1181790.000000000000,1461560.000000000200,1250000.000000000000,10319440.000000000000
FS( 50 ),1194379.999999999800,1295220.000000000000,1265600.000000000200,1246400.000000000000,1440050.000000000000,1173240.000000000000,1465250.000000000000,1250000.000000000000,10330140.000000000000
FS( 51 ),1224080.000000000000,1320720.000000000000,1270850.000000000200,1259000.000000000000,1436480.000000000000,1190340.000000000000,1468940.000000000000,1250000.000000000000,10420410.000000000000
FS( 52 ),1197890.000000000000,1317660.000000000000,1268300.000000000200,1256300.000000000000,1427450.000000000000,1178370.000000000000,1531670.000000000000,1250000.000000000000,10427640.000000000000
FS( 53 ),1221650.000000000000,1307120.000000000000,1263050.000000000200,1240100.000000000000,1411070.000000000000,1178370.000000000000,1498460.000000000000,1250000.000000000000,10369820.000000000000
FS( 54 ),1224080.000000000000,1286210.000000000000,1266950.000000000500,1223900.000000000000,1423880.000000000000,1166400.000000000000,1511170.000000000000,1250000.000000000000,10352590.000000000000
FS( 55 ),1212200.000000000000,1265130.000000000000,1268300.000000000200,1223900.000000000000,1420309.999999999800,1176660.000000000000,1549710.000000000000,1250000.000000000000,10366210.000000000000
FS( 56 ),1209770.000000000000,1281620.000000000000,1274750.000000000200,1217600.000000000000,1412960.000000000000,1180080.000000000000,1557090.000000000200,1250000.000000000000,10383870.000000000000
FS( 57 ),1235959.999999999800,1292160.000000000000,1282550.000000000000,1230200.000000000000,1447400.000000000000,1193760.000000000000,1557090.000000000200,1250000.000000000000,10489120.000000000000
FS( 58 ),1240550.000000000000,1305590.000000000000,1286450.000000000200,1230200.000000000000,1447400.000000000000,1207440.000000000000,1557090.000000000200,1250000.000000000000,10524720.000000000000
FS( 59 ),1273760.000000000000,1313240.000000000000,1289000.000000000200,1230200.000000000000,1449080.000000000000,1212380.000000000000,1575540.000000000000,1250000.000000000000,10593200.000000000000
FS( 60 ),1271330.000000000000,1322250.000000000000,1286450.000000000200,1227500.000000000000,1449080.000000000000,1204020.000000000000,1527980.000000000000,1250000.000000000000,10538610.000000000000
FS( 61 ),1259450.000000000000,1326670.000000000000,1289000.000000000200,1240100.000000000000,1447400.000000000000,1217510.000000000000,1575540.000000000000,1250000.000000000000,10605670.000000000000
