代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11293600.000000000000
真實報酬,1293600.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,4799.925548879331
風險,162420.515099383830
起點值,0.029552458604
找到最佳解世代,1562
找到最佳解實驗#,2
找到最佳解次數,3

投資組合檔數,1
2412(24)[1],
FS( 120 ),10900000.000000000000,10900000.000000000000
FS( 121 ),10943200.000000002000,10943200.000000002000
FS( 122 ),10866400.000000000000,10866400.000000000000
FS( 123 ),10800400.000000000000,10800400.000000000000
FS( 124 ),10823200.000000002000,10823200.000000002000
FS( 125 ),10877200.000000002000,10877200.000000002000
FS( 126 ),10910800.000000000000,10910800.000000000000
FS( 127 ),10844800.000000000000,10844800.000000000000
FS( 128 ),10746400.000000000000,10746400.000000000000
FS( 129 ),10735600.000000000000,10735600.000000000000
FS( 130 ),10844800.000000000000,10844800.000000000000
FS( 131 ),10844800.000000000000,10844800.000000000000
FS( 132 ),10789600.000000000000,10789600.000000000000
FS( 133 ),10746400.000000000000,10746400.000000000000
FS( 134 ),10483600.000000000000,10483600.000000000000
FS( 135 ),10505200.000000000000,10505200.000000000000
FS( 136 ),10483600.000000000000,10483600.000000000000
FS( 137 ),10592800.000000000000,10592800.000000000000
FS( 138 ),10592800.000000000000,10592800.000000000000
FS( 139 ),10887999.999999998000,10887999.999999998000
FS( 140 ),10735600.000000000000,10735600.000000000000
FS( 141 ),10691200.000000000000,10691200.000000000000
FS( 142 ),10724800.000000000000,10724800.000000000000
FS( 143 ),10746400.000000000000,10746400.000000000000
FS( 144 ),10746400.000000000000,10746400.000000000000
FS( 145 ),10637200.000000002000,10637200.000000002000
FS( 146 ),10746400.000000000000,10746400.000000000000
FS( 147 ),10746400.000000000000,10746400.000000000000
FS( 148 ),10800400.000000000000,10800400.000000000000
FS( 149 ),10800400.000000000000,10800400.000000000000
FS( 150 ),10844800.000000000000,10844800.000000000000
FS( 151 ),10844800.000000000000,10844800.000000000000
FS( 152 ),10855600.000000000000,10855600.000000000000
FS( 153 ),10855600.000000000000,10855600.000000000000
FS( 154 ),10746400.000000000000,10746400.000000000000
FS( 155 ),10834000.000000000000,10834000.000000000000
FS( 156 ),10767999.999999998000,10767999.999999998000
FS( 157 ),10812400.000000000000,10812400.000000000000
FS( 158 ),10800400.000000000000,10800400.000000000000
FS( 159 ),10887999.999999998000,10887999.999999998000
FS( 160 ),10877200.000000002000,10877200.000000002000
FS( 161 ),10910800.000000000000,10910800.000000000000
FS( 162 ),10866400.000000000000,10866400.000000000000
FS( 163 ),10866400.000000000000,10866400.000000000000
FS( 164 ),10855600.000000000000,10855600.000000000000
FS( 165 ),10855600.000000000000,10855600.000000000000
FS( 166 ),10910800.000000000000,10910800.000000000000
FS( 167 ),10900000.000000000000,10900000.000000000000
FS( 168 ),10900000.000000000000,10900000.000000000000
FS( 169 ),10943200.000000002000,10943200.000000002000
FS( 170 ),10877200.000000002000,10877200.000000002000
FS( 171 ),10998400.000000000000,10998400.000000000000
FS( 172 ),11020000.000000000000,11020000.000000000000
FS( 173 ),10998400.000000000000,10998400.000000000000
FS( 174 ),11009200.000000000000,11009200.000000000000
FS( 175 ),11020000.000000000000,11020000.000000000000
FS( 176 ),11074000.000000000000,11074000.000000000000
FS( 177 ),11074000.000000000000,11074000.000000000000
FS( 178 ),11074000.000000000000,11074000.000000000000
FS( 179 ),11074000.000000000000,11074000.000000000000
FS( 180 ),10986400.000000000000,10986400.000000000000
FS( 181 ),11074000.000000000000,11074000.000000000000
FS( 182 ),11020000.000000000000,11020000.000000000000
FS( 183 ),11020000.000000000000,11020000.000000000000
FS( 184 ),11020000.000000000000,11020000.000000000000
FS( 185 ),10910800.000000000000,10910800.000000000000
FS( 186 ),10932400.000000000000,10932400.000000000000
FS( 187 ),10855600.000000000000,10855600.000000000000
FS( 188 ),10855600.000000000000,10855600.000000000000
FS( 189 ),10910800.000000000000,10910800.000000000000
FS( 190 ),10812400.000000000000,10812400.000000000000
FS( 191 ),10724800.000000000000,10724800.000000000000
FS( 192 ),10964800.000000000000,10964800.000000000000
FS( 193 ),10887999.999999998000,10887999.999999998000
FS( 194 ),11020000.000000000000,11020000.000000000000
FS( 195 ),10943200.000000002000,10943200.000000002000
FS( 196 ),10954000.000000000000,10954000.000000000000
FS( 197 ),10910800.000000000000,10910800.000000000000
FS( 198 ),10910800.000000000000,10910800.000000000000
FS( 199 ),10943200.000000002000,10943200.000000002000
FS( 200 ),10910800.000000000000,10910800.000000000000
FS( 201 ),10998400.000000000000,10998400.000000000000
FS( 202 ),11009200.000000000000,11009200.000000000000
FS( 203 ),10921599.999999998000,10921599.999999998000
FS( 204 ),10877200.000000002000,10877200.000000002000
FS( 205 ),10910800.000000000000,10910800.000000000000
FS( 206 ),10910800.000000000000,10910800.000000000000
FS( 207 ),10866400.000000000000,10866400.000000000000
FS( 208 ),10844800.000000000000,10844800.000000000000
FS( 209 ),10855600.000000000000,10855600.000000000000
FS( 210 ),10800400.000000000000,10800400.000000000000
FS( 211 ),10778800.000000000000,10778800.000000000000
FS( 212 ),10800400.000000000000,10800400.000000000000
FS( 213 ),10800400.000000000000,10800400.000000000000
FS( 214 ),10844800.000000000000,10844800.000000000000
FS( 215 ),10855600.000000000000,10855600.000000000000
FS( 216 ),10823200.000000002000,10823200.000000002000
FS( 217 ),10954000.000000000000,10954000.000000000000
FS( 218 ),10954000.000000000000,10954000.000000000000
FS( 219 ),10954000.000000000000,10954000.000000000000
FS( 220 ),10964800.000000000000,10964800.000000000000
FS( 221 ),10964800.000000000000,10964800.000000000000
FS( 222 ),10910800.000000000000,10910800.000000000000
FS( 223 ),10921599.999999998000,10921599.999999998000
FS( 224 ),10921599.999999998000,10921599.999999998000
FS( 225 ),10823200.000000002000,10823200.000000002000
FS( 226 ),10887999.999999998000,10887999.999999998000
FS( 227 ),10877200.000000002000,10877200.000000002000
FS( 228 ),10932400.000000000000,10932400.000000000000
FS( 229 ),10954000.000000000000,10954000.000000000000
FS( 230 ),11020000.000000000000,11020000.000000000000
FS( 231 ),11129200.000000000000,11129200.000000000000
FS( 232 ),11184400.000000000000,11184400.000000000000
FS( 233 ),11293600.000000000000,11293600.000000000000
FS( 234 ),11129200.000000000000,11129200.000000000000
FS( 235 ),11020000.000000000000,11020000.000000000000
FS( 236 ),11184400.000000000000,11184400.000000000000
FS( 237 ),11184400.000000000000,11184400.000000000000
FS( 238 ),11074000.000000000000,11074000.000000000000
FS( 239 ),11074000.000000000000,11074000.000000000000
FS( 240 ),11238400.000000000000,11238400.000000000000
FS( 241 ),11238400.000000000000,11238400.000000000000
FS( 242 ),11238400.000000000000,11238400.000000000000
FS( 243 ),11293600.000000000000,11293600.000000000000
FS( 244 ),11348800.000000000000,11348800.000000000000
FS( 245 ),11293600.000000000000,11293600.000000000000
