代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,13015920.000000000000
真實報酬,3015920.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,12132.828856152852
風險,129995.529628362670
起點值,0.093332662214
找到最佳解世代,1884
找到最佳解實驗#,3
找到最佳解次數,11

投資組合檔數,11
1102(1)[38],1301(3)[10],2227(11)[21],2317(16)[6],2408(23)[14],2801(28)[20],2882(31)[15],2885(34)[4],2886(35)[3],3481(43)[9],5880(46)[5],
FS( 12 ),899229.999999999880,954690.000000000000,899890.000000000000,942970.000000000000,921279.999999999880,914489.999999999880,921280.000000000000,913239.999999999770,904790.000000000120,884189.999999999880,909090.000000000000,10065150.000000000000
FS( 13 ),890729.999999999880,986729.999999999880,898050.000000000000,954630.000000000120,931399.999999999880,917489.999999999770,918060.000000000000,945610.000000000000,904790.000000000120,884189.999999999880,912590.000000000000,10144280.000000000000
FS( 14 ),887669.999999999880,983250.000000000120,883290.000000000000,963100.000000000000,929099.999999999880,917489.999999999770,914609.999999999880,945610.000000000000,910810.000000000230,909090.000000000000,912590.000000000000,10156620.000000000000
FS( 15 ),894129.999999999880,976410.000000000000,883290.000000000000,962000.000000000120,942670.000000000000,911489.999999999770,913460.000000000000,945610.000000000000,903070.000000000230,917389.999999999880,912590.000000000000,10162120.000000000000
FS( 16 ),925409.999999999770,986729.999999999880,890650.000000000000,977950.000000000120,933700.000000000000,919889.999999999880,916910.000000000000,949759.999999999770,910810.000000000230,933990.000000000120,909090.000000000000,10254900.000000000000
FS( 17 ),915549.999999999880,986729.999999999880,888810.000000000000,976850.000000000000,949340.000000000000,914489.999999999880,918980.000000000000,941459.999999999880,904790.000000000120,938139.999999999880,912590.000000000000,10247740.000000000000
FS( 18 ),920649.999999999880,985530.000000000120,886970.000000000000,974760.000000000120,941519.999999999770,911489.999999999770,922430.000000000000,941459.999999999880,898770.000000000120,921540.000000000000,909090.000000000000,10214220.000000000000
FS( 19 ),923709.999999999880,993570.000000000000,885130.000000000000,968380.000000000120,934849.999999999880,917489.999999999770,925650.000000000120,949759.999999999770,896620.000000000120,904939.999999999880,915390.000000000000,10215500.000000000000
FS( 20 ),910789.999999999770,991290.000000000120,885130.000000000000,973660.000000000230,942670.000000000000,911489.999999999770,929100.000000000000,953079.999999999880,894900.000000000120,888340.000000000000,909090.000000000000,10189550.000000000000
FS( 21 ),909090.000000000000,986729.999999999880,890650.000000000000,966290.000000000120,936920.000000000000,914489.999999999880,925650.000000000120,949759.999999999770,892750.000000000120,921540.000000000000,909090.000000000000,10202970.000000000000
FS( 22 ),899229.999999999880,982170.000000000000,881450.000000000000,945060.000000000120,916909.999999999770,911489.999999999770,913460.000000000000,941459.999999999880,890600.000000000000,925689.999999999880,909090.000000000000,10116620.000000000000
FS( 23 ),892429.999999999880,985530.000000000120,875890.000000000000,935600.000000000000,921279.999999999880,909090.000000000000,903570.000000000000,917389.999999999880,910810.000000000230,913240.000000000120,905589.999999999880,10070430.000000000000
FS( 24 ),892429.999999999880,989009.999999999880,872210.000000000000,938790.000000000120,920129.999999999770,911489.999999999770,916910.000000000000,937310.000000000000,906940.000000000230,929840.000000000000,899290.000000000000,10114360.000000000000
FS( 25 ),895829.999999999880,992370.000000000000,877770.000000000000,954630.000000000120,921279.999999999880,917489.999999999770,923579.999999999880,945610.000000000000,909090.000000000000,933990.000000000120,902790.000000000120,10174440.000000000000
FS( 26 ),903989.999999999880,1001490.000000000000,881450.000000000000,949350.000000000000,924729.999999999880,919889.999999999880,924500.000000000000,945610.000000000000,933170.000000000120,938139.999999999880,912590.000000000000,10234920.000000000000
FS( 27 ),884269.999999999880,977610.000000000000,866690.000000000000,921850.000000000000,885629.999999999770,911489.999999999770,888160.000000000000,913239.999999999770,910810.000000000230,892490.000000000120,896490.000000000000,9948740.000000000000
FS( 28 ),902289.999999999770,1002690.000000000000,874050.000000000000,933510.000000000120,925879.999999999770,917489.999999999770,940140.000000000000,945610.000000000000,947360.000000000000,921540.000000000000,902790.000000000120,10213360.000000000000
FS( 29 ),882569.999999999880,986729.999999999880,868530.000000000000,907000.000000000120,904489.999999999770,909090.000000000000,990740.000000000000,929009.999999999770,947360.000000000000,913240.000000000120,896490.000000000000,10135260.000000000000
FS( 30 ),880869.999999999880,987810.000000000120,866690.000000000000,907000.000000000120,903569.999999999880,909090.000000000000,1039500.000000000000,937310.000000000000,961980.000000000000,896639.999999999880,892990.000000000000,10183460.000000000000
FS( 31 ),879509.999999999880,986729.999999999880,870370.000000000000,907000.000000000120,893450.000000000000,911489.999999999770,1016270.000000000000,929009.999999999770,961980.000000000000,900790.000000000000,896490.000000000000,10153100.000000000000
FS( 32 ),877809.999999999880,992370.000000000000,870370.000000000000,907000.000000000120,896670.000000000000,914489.999999999880,1028460.000000000000,929009.999999999770,953810.000000000230,900790.000000000000,896490.000000000000,10167280.000000000000
FS( 33 ),861149.999999999880,1000410.000000000000,875890.000000000000,923940.000000000120,898969.999999999880,917489.999999999770,1015120.000000000100,933159.999999999880,951660.000000000120,913240.000000000120,899290.000000000000,10190330.000000000000
FS( 34 ),861149.999999999880,994650.000000000000,875890.000000000000,927130.000000000120,918060.000000000000,909090.000000000000,1018340.000000000000,921539.999999999770,939620.000000000120,913240.000000000120,899290.000000000000,10178010.000000000000
FS( 35 ),871009.999999999880,1002690.000000000000,874050.000000000000,927130.000000000120,923579.999999999880,914489.999999999880,1032829.999999999900,933159.999999999880,955530.000000000120,929840.000000000000,905589.999999999880,10269910.000000000000
FS( 36 ),882569.999999999880,1020930.000000000100,879610.000000000000,930320.000000000120,931399.999999999880,919889.999999999880,1028460.000000000000,941459.999999999880,961980.000000000000,917389.999999999880,899290.000000000000,10313310.000000000000
FS( 37 ),885970.000000000000,1027770.000000000000,877770.000000000000,938790.000000000120,956009.999999999880,928289.999999999880,1041570.000000000000,941459.999999999880,945640.000000000120,917389.999999999880,905589.999999999880,10366260.000000000000
FS( 38 ),889369.999999999880,1026570.000000000000,877770.000000000000,929220.000000000000,1033060.000000000000,928289.999999999880,1052610.000000000000,953079.999999999880,959830.000000000230,909090.000000000000,905589.999999999880,10464490.000000000000
FS( 39 ),871009.999999999880,1020930.000000000100,879610.000000000000,922840.000000000000,996259.999999999880,931289.999999999880,1094700.000000000000,941459.999999999880,953810.000000000230,900790.000000000000,909090.000000000000,10421800.000000000000
FS( 40 ),897529.999999999880,1030050.000000000000,879610.000000000000,931310.000000000120,1022019.999999999800,945089.999999999880,1094700.000000000000,949759.999999999770,959830.000000000230,900790.000000000000,922390.000000000000,10533090.000000000000
FS( 41 ),892429.999999999880,1042530.000000000100,881450.000000000000,938790.000000000120,1022019.999999999800,939689.999999999880,1069170.000000000000,941459.999999999880,951660.000000000120,913240.000000000120,915390.000000000000,10507840.000000000000
FS( 42 ),927109.999999999880,1052850.000000000000,888810.000000000000,938790.000000000120,1022019.999999999800,961889.999999999770,1060430.000000000000,933159.999999999880,941340.000000000000,917389.999999999880,922390.000000000000,10566190.000000000000
FS( 43 ),923709.999999999880,1056210.000000000000,885130.000000000000,942970.000000000000,1038810.000000000000,953489.999999999880,1091250.000000000000,937310.000000000000,947360.000000000000,913240.000000000120,918890.000000000120,10608380.000000000000
FS( 44 ),920649.999999999880,1059690.000000000000,877770.000000000000,935600.000000000000,1027539.999999999900,948090.000000000000,1084580.000000000000,933159.999999999880,953810.000000000230,900790.000000000000,918890.000000000120,10560580.000000000000
FS( 45 ),903989.999999999880,1047090.000000000000,874050.000000000000,931310.000000000120,1024090.000000000000,939689.999999999880,1091250.000000000000,925689.999999999880,943490.000000000000,917389.999999999880,912590.000000000000,10510640.000000000000
FS( 46 ),913849.999999999880,1047090.000000000000,875890.000000000000,941870.000000000120,1017420.000000000000,948090.000000000000,1106660.000000000000,933159.999999999880,961980.000000000000,917389.999999999880,918890.000000000120,10582300.000000000000
FS( 47 ),913849.999999999880,1053930.000000000200,879610.000000000000,950340.000000000000,1017420.000000000000,948090.000000000000,1104590.000000000200,929009.999999999770,961980.000000000000,946439.999999999880,918890.000000000120,10624160.000000000000
FS( 48 ),927109.999999999880,1060770.000000000000,883290.000000000000,968380.000000000120,1017420.000000000000,964889.999999999880,1107810.000000000200,953079.999999999880,971870.000000000120,950590.000000000000,934990.000000000000,10740210.000000000000
FS( 49 ),927109.999999999880,1065329.999999999800,883290.000000000000,970470.000000000000,1039729.999999999900,958889.999999999880,1115630.000000000000,969679.999999999880,982190.000000000230,938139.999999999880,938490.000000000000,10788960.000000000000
FS( 50 ),928809.999999999880,1065329.999999999800,877770.000000000000,953530.000000000230,1077910.000000000000,956489.999999999770,1115630.000000000000,961379.999999999770,982190.000000000230,942290.000000000000,938490.000000000000,10799830.000000000000
FS( 51 ),918949.999999999880,1053930.000000000200,875890.000000000000,964090.000000000000,1073310.000000000000,964889.999999999880,1121150.000000000000,973829.999999999880,980040.000000000120,938139.999999999880,938490.000000000000,10802720.000000000000
FS( 52 ),923709.999999999880,1043729.999999999900,877770.000000000000,956720.000000000000,1086880.000000000000,956489.999999999770,1099070.000000000000,969679.999999999880,968000.000000000120,942290.000000000000,932190.000000000000,10756540.000000000000
FS( 53 ),927109.999999999880,1030050.000000000000,875890.000000000000,962000.000000000120,1088950.000000000000,956489.999999999770,1124370.000000000000,965529.999999999880,968000.000000000120,962210.000000000120,932190.000000000000,10792800.000000000000
FS( 54 ),910789.999999999770,1036890.000000000000,879610.000000000000,955730.000000000120,1111490.000000000000,958889.999999999880,1128740.000000000000,969679.999999999880,982190.000000000230,962210.000000000120,922390.000000000000,10818620.000000000000
FS( 55 ),894129.999999999880,1025490.000000000000,875890.000000000000,947260.000000000120,1093550.000000000000,953489.999999999880,1106660.000000000000,961379.999999999770,968000.000000000120,954740.000000000120,918890.000000000120,10699490.000000000000
FS( 56 ),897529.999999999880,1028850.000000000000,872210.000000000000,956720.000000000000,1093550.000000000000,958889.999999999880,1106660.000000000000,961379.999999999770,963700.000000000230,966360.000000000000,918890.000000000120,10724750.000000000000
FS( 57 ),885970.000000000000,1032329.999999999900,877770.000000000000,952540.000000000120,1087800.000000000000,958889.999999999880,1096770.000000000000,953079.999999999880,957680.000000000230,982960.000000000120,915390.000000000000,10701190.000000000000
FS( 58 ),872709.999999999880,1010610.000000000000,875890.000000000000,947260.000000000120,1110340.000000000000,948090.000000000000,1058130.000000000000,945610.000000000000,951660.000000000120,978810.000000000000,912590.000000000000,10611710.000000000000
FS( 59 ),866249.999999999880,999210.000000000000,874050.000000000000,946160.000000000230,1134950.000000000000,942089.999999999880,1062500.000000000000,945610.000000000000,947360.000000000000,970510.000000000120,909090.000000000000,10597790.000000000000
FS( 60 ),867949.999999999880,1002690.000000000000,875890.000000000000,952540.000000000120,1117010.000000000000,953489.999999999880,1085730.000000000000,949759.999999999770,951660.000000000120,966360.000000000000,915390.000000000000,10638480.000000000000
FS( 61 ),869649.999999999880,1002690.000000000000,872210.000000000000,954630.000000000120,1100219.999999999500,953489.999999999880,1075840.000000000200,945610.000000000000,945640.000000000120,958889.999999999880,912590.000000000000,10591470.000000000000
FS( 62 ),874409.999999999770,1026570.000000000000,875890.000000000000,959910.000000000230,1118160.000000000000,958889.999999999880,1099070.000000000000,957230.000000000000,951660.000000000120,970510.000000000120,922390.000000000000,10714700.000000000000
FS( 63 ),866249.999999999880,1014090.000000000000,872210.000000000000,955730.000000000120,1105740.000000000000,958889.999999999880,1082510.000000000000,953079.999999999880,943490.000000000000,962210.000000000120,915390.000000000000,10629600.000000000000
FS( 64 ),871009.999999999880,1034610.000000000000,875890.000000000000,962000.000000000120,1106890.000000000000,967289.999999999880,1089180.000000000000,969679.999999999880,951660.000000000120,966360.000000000000,922390.000000000000,10716970.000000000000
FS( 65 ),876109.999999999880,1044810.000000000100,881450.000000000000,963100.000000000000,1083430.000000000000,964889.999999999880,1084580.000000000000,965529.999999999880,955530.000000000120,1007860.000000000000,922390.000000000000,10749690.000000000000
FS( 66 ),871009.999999999880,1047090.000000000000,883290.000000000000,962000.000000000120,1092400.000000000000,958889.999999999880,1082510.000000000000,965529.999999999880,969720.000000000000,1012010.000000000100,922390.000000000000,10766850.000000000000
FS( 67 ),876109.999999999880,1048290.000000000100,885130.000000000000,959910.000000000230,1109189.999999999500,964889.999999999880,1093550.000000000000,973829.999999999880,977890.000000000120,1045210.000000000000,928689.999999999880,10862700.000000000000
FS( 68 ),876109.999999999880,1049370.000000000000,885130.000000000000,957820.000000000120,1117010.000000000000,967289.999999999880,1101139.999999999800,973829.999999999880,980040.000000000120,1078410.000000000000,928689.999999999880,10914850.000000000000
FS( 69 ),869649.999999999880,1046009.999999999900,879610.000000000000,954630.000000000120,1114710.000000000000,964889.999999999880,1106660.000000000000,969679.999999999880,965850.000000000000,1070109.999999999800,928689.999999999880,10870500.000000000000
FS( 70 ),866249.999999999880,1037969.999999999900,877770.000000000000,959910.000000000230,1094700.000000000000,967289.999999999880,1111260.000000000000,973829.999999999880,976170.000000000120,1065960.000000000000,932190.000000000000,10863310.000000000000
FS( 71 ),880869.999999999880,1035690.000000000000,872210.000000000000,962000.000000000120,1096770.000000000000,973289.999999999880,1106660.000000000000,981299.999999999880,980040.000000000120,1061810.000000000000,934990.000000000000,10885640.000000000000
FS( 72 ),899229.999999999880,1052850.000000000000,877770.000000000000,963100.000000000000,1081130.000000000000,987090.000000000000,1100220.000000000000,1005369.999999999800,988210.000000000000,1070109.999999999800,938490.000000000000,10963580.000000000000
FS( 73 ),900590.000000000000,1055130.000000000000,881450.000000000000,962000.000000000120,1063420.000000000000,987090.000000000000,1093550.000000000000,1005369.999999999800,988210.000000000000,1082560.000000000000,938490.000000000000,10957870.000000000000
FS( 74 ),889369.999999999880,1036890.000000000000,875890.000000000000,954630.000000000120,1066640.000000000000,984090.000000000000,1069170.000000000000,993749.999999999880,976170.000000000120,1065960.000000000000,932190.000000000000,10844760.000000000000
FS( 75 ),892429.999999999880,1043729.999999999900,877770.000000000000,959910.000000000230,1093550.000000000000,978690.000000000000,1073540.000000000000,997899.999999999770,971870.000000000120,1070109.999999999800,928689.999999999880,10888200.000000000000
FS( 76 ),877809.999999999880,1016370.000000000000,881450.000000000000,952540.000000000120,1097920.000000000000,978690.000000000000,1061580.000000000000,997899.999999999770,963700.000000000230,1098329.999999999800,928689.999999999880,10854990.000000000000
FS( 77 ),869649.999999999880,1020930.000000000100,877770.000000000000,954630.000000000120,1104590.000000000000,975689.999999999880,1059280.000000000000,997899.999999999770,968000.000000000120,1094180.000000000000,928689.999999999880,10851320.000000000000
FS( 78 ),866249.999999999880,1026570.000000000000,874050.000000000000,953530.000000000230,1095620.000000000000,978690.000000000000,1065950.000000000000,985450.000000000000,963700.000000000230,1090030.000000000000,932190.000000000000,10832040.000000000000
FS( 79 ),874409.999999999770,1040250.000000000100,875890.000000000000,959910.000000000230,1088950.000000000000,981690.000000000000,1071470.000000000000,1001220.000000000000,974020.000000000120,1090030.000000000000,938490.000000000000,10896340.000000000000
FS( 80 ),884269.999999999880,1046009.999999999900,881450.000000000000,956720.000000000000,1100219.999999999500,978690.000000000000,1073540.000000000000,1001220.000000000000,963700.000000000230,1098329.999999999800,938490.000000000000,10922650.000000000000
FS( 81 ),887669.999999999880,1032329.999999999900,881450.000000000000,961010.000000000120,1106890.000000000000,978690.000000000000,1060430.000000000000,989599.999999999880,963700.000000000230,1181329.999999999800,932190.000000000000,10975300.000000000000
FS( 82 ),892429.999999999880,1032329.999999999900,877770.000000000000,956720.000000000000,1071240.000000000000,984090.000000000000,1054910.000000000000,989599.999999999880,959830.000000000230,1160579.999999999800,934990.000000000000,10914500.000000000000
FS( 83 ),900590.000000000000,1041449.999999999900,879610.000000000000,970470.000000000000,1067790.000000000000,989489.999999999880,1089180.000000000000,1029439.999999999900,976170.000000000120,1156430.000000000000,948290.000000000120,11048920.000000000000
FS( 84 ),903989.999999999880,1051650.000000000000,883290.000000000000,978940.000000000120,1068939.999999999800,997889.999999999880,1084580.000000000000,1029439.999999999900,980040.000000000120,1127380.000000000000,958089.999999999880,11064240.000000000000
FS( 85 ),899229.999999999880,1046009.999999999900,888810.000000000000,996980.000000000120,1052149.999999999800,997889.999999999880,1081360.000000000000,1025289.999999999800,976170.000000000120,1085880.000000000000,960890.000000000000,11010670.000000000000
FS( 86 ),910789.999999999770,1046009.999999999900,899890.000000000000,1011720.000000000000,1055600.000000000000,997889.999999999880,1078139.999999999800,1029439.999999999900,969720.000000000000,1110780.000000000000,960890.000000000000,11070880.000000000000
FS( 87 ),948529.999999999880,1072170.000000000000,914650.000000000000,1013920.000000000100,1049850.000000000000,1006290.000000000000,1091250.000000000000,1046039.999999999900,980040.000000000120,1082560.000000000000,964390.000000000000,11169700.000000000000
FS( 88 ),948529.999999999880,1077930.000000000200,922010.000000000000,1022390.000000000100,1079980.000000000000,1009289.999999999800,1090100.000000000000,1041890.000000000000,988210.000000000000,1028610.000000000000,964390.000000000000,11173340.000000000000
FS( 89 ),948529.999999999880,1072170.000000000000,918330.000000000000,1023380.000000000100,1070090.000000000000,1012289.999999999900,1097919.999999999800,1041890.000000000000,986060.000000000230,1024460.000000000100,967890.000000000000,11163020.000000000000
FS( 90 ),960090.000000000000,1117890.000000000000,923850.000000000000,1032950.000000000100,1070090.000000000000,1023089.999999999900,1104590.000000000200,1050190.000000000000,1000250.000000000100,1041059.999999999900,976990.000000000000,11301050.000000000000
FS( 91 ),961449.999999999880,1089329.999999999800,929410.000000000000,1033940.000000000100,1071240.000000000000,1039889.999999999800,1107810.000000000200,1050190.000000000000,988210.000000000000,1045210.000000000000,976990.000000000000,11293680.000000000000
FS( 92 ),958389.999999999880,1083690.000000000000,936770.000000000000,1023380.000000000100,1064340.000000000000,1037489.999999999900,1112180.000000000000,1050190.000000000000,976170.000000000120,1032760.000000000100,974189.999999999880,11249560.000000000000
FS( 93 ),958389.999999999880,1087050.000000000000,933090.000000000000,1022390.000000000100,1065490.000000000000,1045890.000000000000,1106660.000000000000,1050190.000000000000,986060.000000000230,1028610.000000000000,976990.000000000000,11260820.000000000000
FS( 94 ),978109.999999999880,1083690.000000000000,925690.000000000000,1024480.000000000100,1045479.999999999900,1042890.000000000000,1106660.000000000000,1041890.000000000000,988210.000000000000,1016159.999999999900,970690.000000000000,11223960.000000000000
FS( 95 ),979809.999999999880,1081410.000000000000,923850.000000000000,1028660.000000000200,1063420.000000000000,1042890.000000000000,1111260.000000000000,1053510.000000000000,994230.000000000000,1032760.000000000100,970690.000000000000,11282500.000000000000
FS( 96 ),987970.000000000000,1072170.000000000000,922010.000000000000,1028660.000000000200,1061119.999999999800,1039889.999999999800,1102290.000000000000,1050190.000000000000,998530.000000000120,1041059.999999999900,974189.999999999880,11278090.000000000000
FS( 97 ),996129.999999999880,1072170.000000000000,920170.000000000000,1026570.000000000100,1048700.000000000000,1031489.999999999800,1097919.999999999800,1033589.999999999900,996380.000000000120,1028610.000000000000,964390.000000000000,11216130.000000000000
FS( 98 ),1004289.999999999800,1073370.000000000000,920170.000000000000,1018100.000000000000,1044329.999999999900,1034489.999999999900,1090100.000000000000,1050190.000000000000,988210.000000000000,1041059.999999999900,960890.000000000000,11225210.000000000000
FS( 99 ),1010749.999999999900,1055130.000000000000,920170.000000000000,1012820.000000000100,1034209.999999999900,1029090.000000000000,1081360.000000000000,1033589.999999999900,994230.000000000000,1016159.999999999900,960890.000000000000,11148410.000000000000
FS( 100 ),1019249.999999999900,1048290.000000000100,918330.000000000000,1019200.000000000100,1040879.999999999800,1034489.999999999900,1101139.999999999800,1046039.999999999900,986060.000000000230,1028610.000000000000,967890.000000000000,11210190.000000000000
FS( 101 ),1019249.999999999900,1040250.000000000100,912810.000000000000,1010730.000000000100,1057670.000000000000,1031489.999999999800,1093550.000000000000,1037739.999999999900,980040.000000000120,1020310.000000000000,967890.000000000000,11171740.000000000000
FS( 102 ),1015849.999999999900,1039170.000000000000,905410.000000000000,1022390.000000000100,1067790.000000000000,1031489.999999999800,1106660.000000000000,1041890.000000000000,990360.000000000000,1020310.000000000000,967890.000000000000,11209220.000000000000
FS( 103 ),1022309.999999999900,1053930.000000000200,907250.000000000000,1028660.000000000200,1068939.999999999800,1026089.999999999900,1106660.000000000000,1037739.999999999900,992080.000000000230,1036910.000000000000,970690.000000000000,11251270.000000000000
FS( 104 ),1020949.999999999900,1047090.000000000000,907250.000000000000,1030860.000000000100,1068939.999999999800,1029090.000000000000,1125520.000000000000,1037739.999999999900,988210.000000000000,1036910.000000000000,967890.000000000000,11260460.000000000000
FS( 105 ),1017549.999999999900,1026570.000000000000,899890.000000000000,1016010.000000000100,1067790.000000000000,1017689.999999999900,1123220.000000000000,1029439.999999999900,980040.000000000120,1020310.000000000000,967890.000000000000,11166410.000000000000
FS( 106 ),984569.999999999880,1020930.000000000100,899890.000000000000,1022390.000000000100,1019719.999999999900,1020689.999999999900,1128740.000000000000,1033589.999999999900,986060.000000000230,1007860.000000000000,964390.000000000000,11088840.000000000000
FS( 107 ),1007689.999999999900,1019729.999999999900,899890.000000000000,1023380.000000000100,1025239.999999999800,1026089.999999999900,1146450.000000000000,1041890.000000000000,982190.000000000230,995409.999999999880,970690.000000000000,11138660.000000000000
FS( 108 ),1007689.999999999900,1033410.000000000000,910970.000000000000,1023380.000000000100,1036509.999999999900,1026089.999999999900,1150820.000000000000,1074260.000000000000,983910.000000000120,1012010.000000000100,970690.000000000000,11229750.000000000000
FS( 109 ),996129.999999999880,1036890.000000000000,905410.000000000000,1024480.000000000100,1022019.999999999800,1026089.999999999900,1155419.999999999800,1061810.000000000000,986060.000000000230,1012010.000000000100,974189.999999999880,11200520.000000000000
FS( 110 ),1017549.999999999900,1051650.000000000000,907250.000000000000,1032950.000000000100,1044329.999999999900,1029090.000000000000,1150820.000000000000,1061810.000000000000,990360.000000000000,1024460.000000000100,976990.000000000000,11287270.000000000000
FS( 111 ),1015849.999999999900,1058490.000000000000,907250.000000000000,1038230.000000000100,1064340.000000000000,1031489.999999999800,1150820.000000000000,1074260.000000000000,998530.000000000120,1024460.000000000100,976990.000000000000,11340720.000000000000
FS( 112 ),1015849.999999999900,1064250.000000000000,912810.000000000000,1037130.000000000100,1082280.000000000000,1037489.999999999900,1153120.000000000000,1065959.999999999500,1002400.000000000100,1024460.000000000100,974189.999999999880,11369950.000000000000
FS( 113 ),1024009.999999999900,1077930.000000000200,905410.000000000000,1039330.000000000100,1085730.000000000000,1042890.000000000000,1142080.000000000000,1065959.999999999500,1006270.000000000100,1028610.000000000000,976990.000000000000,11395220.000000000000
FS( 114 ),1027409.999999999800,1068810.000000000000,907250.000000000000,1039330.000000000100,1081130.000000000000,1039889.999999999800,1131040.000000000000,1057660.000000000000,1002400.000000000100,1016159.999999999900,976990.000000000000,11348080.000000000000
FS( 115 ),1017549.999999999900,1072170.000000000000,901730.000000000000,1037130.000000000100,1088950.000000000000,1037489.999999999900,1142080.000000000000,1061810.000000000000,998530.000000000120,1016159.999999999900,976990.000000000000,11350600.000000000000
FS( 116 ),999529.999999999880,1076730.000000000000,910970.000000000000,1029760.000000000100,1120230.000000000000,1039889.999999999800,1133340.000000000200,1061810.000000000000,996380.000000000120,999560.000000000000,976990.000000000000,11345200.000000000000
FS( 117 ),997829.999999999880,1076730.000000000000,909090.000000000000,1028660.000000000200,1088950.000000000000,1042890.000000000000,1128740.000000000000,1053510.000000000000,994230.000000000000,999560.000000000000,976990.000000000000,11297190.000000000000
FS( 118 ),1012449.999999999900,1079130.000000000000,925690.000000000000,1036140.000000000100,1093550.000000000000,1042890.000000000000,1122300.000000000000,1041890.000000000000,996380.000000000120,1007860.000000000000,986790.000000000000,11345080.000000000000
FS( 119 ),991029.999999999880,1073370.000000000000,925690.000000000000,1039330.000000000100,1091250.000000000000,1045890.000000000000,1120000.000000000000,1041890.000000000000,1014440.000000000200,1074260.000000000000,996590.000000000000,11413750.000000000000
FS( 120 ),991029.999999999880,1061970.000000000000,925690.000000000000,1038230.000000000100,1115860.000000000000,1045890.000000000000,1106660.000000000000,1046039.999999999900,1020890.000000000100,1041059.999999999900,993790.000000000000,11387120.000000000000
