代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12513790.000000000000
真實報酬,2513790.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,10969.410525119991
風險,125469.712259359050
起點值,0.087426760830
找到最佳解世代,1812
找到最佳解實驗#,4
找到最佳解次數,5

投資組合檔數,10
1101(0)[26],1326(5)[23],2317(16)[2],2408(23)[12],2474(27)[39],2882(31)[8],2892(39)[1],3481(43)[21],4904(44)[34],9999(49)[43],
Stock#,1101(0)[26],1326(5)[23],2317(16)[2],2408(23)[12],2474(27)[39],2882(31)[8],2892(39)[1],3481(43)[21],4904(44)[34],9999(49)[43],
張數,36,13,14,27,4,29,71,102,14,-1,
FS( 80 ),1243360.000000000000,1084370.000000000000,1133140.000000000000,1079380.000000000000,1102320.000000000000,1131950.000000000200,1120700.000000000000,1112200.000000000000,1014140.000000000000,1000000.000000000000,11021560.000000000000
FS( 81 ),1252000.000000000200,1076960.000000000000,1120960.000000000000,1095040.000000000200,1065440.000000000000,1123540.000000000000,1110760.000000000200,1086700.000000000000,1028840.000000000100,1000000.000000000000,10960240.000000000000
FS( 82 ),1271080.000000000000,1085540.000000000000,1133140.000000000000,1097740.000000000000,1071280.000000000000,1133400.000000000000,1117150.000000000000,1091800.000000000000,1034160.000000000200,1000000.000000000000,11035290.000000000000
FS( 83 ),1237960.000000000000,1072149.999999999800,1122360.000000000000,1064800.000000000000,1053800.000000000000,1116580.000000000000,1103660.000000000000,1081600.000000000000,1027440.000000000100,1000000.000000000000,10880350.000000000000
FS( 84 ),1241560.000000000000,1083199.999999999800,1125019.999999999500,1070200.000000000000,1057680.000000000000,1115130.000000000200,1103660.000000000000,1112200.000000000000,1023520.000000000100,1000000.000000000000,10932170.000000000000
FS( 85 ),1248400.000000000000,1083199.999999999800,1129080.000000000000,1084510.000000000000,1082920.000000000000,1126440.000000000200,1117150.000000000000,1107100.000000000000,1024780.000000000100,1000000.000000000000,11003580.000000000000
FS( 86 ),1263880.000000000000,1080729.999999999800,1130480.000000000000,1092340.000000000200,1063520.000000000000,1116580.000000000000,1113600.000000000000,1107100.000000000000,1034160.000000000200,1000000.000000000000,11002390.000000000000
FS( 87 ),1271080.000000000000,1080729.999999999800,1138460.000000000000,1084510.000000000000,1026640.000000000000,1120640.000000000000,1117150.000000000000,1122400.000000000000,1032760.000000000000,1000000.000000000000,10994370.000000000000
FS( 88 ),1272520.000000000200,1088010.000000000000,1135799.999999999500,1083160.000000000000,1016960.000000000000,1118029.999999999800,1110760.000000000200,1091800.000000000000,1027440.000000000100,1000000.000000000000,10944480.000000000000
FS( 89 ),1252000.000000000200,1088010.000000000000,1150640.000000000000,1088560.000000000000,1020840.000000000000,1113680.000000000000,1107210.000000000000,1071400.000000000000,1043540.000000000000,1000000.000000000000,10935880.000000000000
FS( 90 ),1252000.000000000200,1102700.000000000000,1157360.000000000000,1091260.000000000000,1036360.000000000000,1131950.000000000200,1100820.000000000000,1081600.000000000000,1040880.000000000000,1000000.000000000000,10994930.000000000000
FS( 91 ),1215640.000000000200,1113750.000000000000,1160019.999999999500,1088560.000000000000,1028600.000000000000,1112520.000000000000,1097269.999999999800,1071400.000000000000,1040880.000000000000,1000000.000000000000,10928640.000000000000
FS( 92 ),1245159.999999999800,1113750.000000000000,1152040.000000000000,1066150.000000000000,1011120.000000000000,1105560.000000000000,1090880.000000000000,1071400.000000000000,1039480.000000000200,1000000.000000000000,10895540.000000000000
FS( 93 ),1252000.000000000200,1113750.000000000000,1161420.000000000000,1068850.000000000000,1013080.000000000000,1112520.000000000000,1090880.000000000000,1066300.000000000000,1042140.000000000000,1000000.000000000000,10920940.000000000000
FS( 94 ),1263880.000000000000,1129610.000000000000,1164080.000000000000,1070200.000000000000,1024720.000000000000,1127600.000000000000,1094430.000000000000,1071400.000000000000,1042140.000000000000,1000000.000000000000,10988060.000000000000
FS( 95 ),1297000.000000000200,1166400.000000000000,1168140.000000000000,1084510.000000000000,1034400.000000000000,1130499.999999999800,1097269.999999999800,1081600.000000000000,1042140.000000000000,1000000.000000000000,11101960.000000000000
FS( 96 ),1281159.999999999800,1178620.000000000000,1182980.000000000000,1096390.000000000000,1038280.000000000000,1126440.000000000200,1097269.999999999800,1081600.000000000000,1035420.000000000000,1000000.000000000000,11118160.000000000000
