代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,13708535.708799999000
真實報酬,3708535.708799999200

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,15807.865054693799
風險,326742.497732478780
起點值,0.048380192856
找到最佳解世代,1364
找到最佳解實驗#,3
找到最佳解次數,19

投資組合檔數,7
1303(4)[14],1326(5)[15],2002(8)[1],2354(20)[16],3045(41)[7],3231(42)[20],9999(49)[44],
Stock#,1303(4)[14],1326(5)[15],2002(8)[1],2354(20)[16],3045(41)[7],3231(42)[20],9999(49)[44],
張數,44,38,86,27,41,77,-1,
FS( 48 ),1297010.999999999800,1264031.000000000000,1499951.000000000200,1424250.999999999800,1510161.000000000200,1933691.000000000000,1428571.000000000000,10357670.000000000000
FS( 49 ),1302730.999999999800,1268971.000000000000,1513710.999999999800,1441260.999999999800,1530661.000000000200,1939850.999999999800,1428571.000000000000,10425760.000000000000
FS( 50 ),1253010.999999999800,1230591.000000000000,1470710.999999999800,1381590.999999999800,1530661.000000000200,1870551.000000000000,1428571.000000000000,10165690.000000000000
FS( 51 ),1274130.999999999500,1240471.000000000000,1502531.000000000000,1409940.999999999800,1524921.000000000200,1889030.999999999800,1428571.000000000000,10269599.999999998000
FS( 52 ),1307571.000000000000,1256811.000000000200,1513710.999999999800,1424250.999999999800,1522051.000000000000,1983741.000000000000,1428571.000000000000,10436710.000000000000
FS( 53 ),1319450.999999999800,1279231.000000000000,1542951.000000000200,1432890.999999999800,1518771.000000000000,2049961.000000000200,1428571.000000000000,10571830.000000000000
FS( 54 ),1326050.999999999800,1276571.000000000000,1550691.000000000200,1441260.999999999800,1539271.000000000000,2049961.000000000200,1428571.000000000000,10612380.000000000000
FS( 55 ),1349810.999999999800,1296711.000000000000,1595411.000000000200,1442880.999999999800,1542141.000000000200,2034560.999999999800,1428571.000000000000,10690090.000000000000
FS( 56 ),1365650.999999999800,1319131.000000000200,1604010.999999999800,1415610.999999999500,1530661.000000000200,2046881.000000000000,1428571.000000000000,10710520.000000000000
FS( 57 ),1376650.999999999800,1311531.000000000000,1633250.999999999800,1421550.999999999800,1527791.000000000000,2018391.000000000200,1428571.000000000000,10717740.000000000000
FS( 58 ),1368730.999999999800,1333191.000000000000,1624651.000000000200,1404270.999999999800,1536401.000000000200,2100781.000000000000,1428571.000000000000,10796600.000000000000
FS( 59 ),1365650.999999999800,1336991.000000000000,1665931.000000000200,1391580.999999999500,1518771.000000000000,2173161.000000000000,1428571.000000000000,10880660.000000000000
FS( 60 ),1383250.999999999800,1371191.000000000000,1636691.000000000200,1392930.999999999800,1524921.000000000200,2156991.000000000000,1428571.000000000000,10894550.000000000000
FS( 61 ),1385010.999999999800,1378791.000000000200,1695171.000000000200,1487160.999999999500,1495811.000000000000,2150831.000000000000,1428571.000000000000,11021350.000000000000
FS( 62 ),1370490.999999999800,1378791.000000000200,1755371.000000000000,1462590.999999999800,1481460.999999999800,2113101.000000000000,1428571.000000000000,10990380.000000000000
FS( 63 ),1344970.999999999800,1381451.000000000000,1781171.000000000200,1444500.999999999800,1478591.000000000000,2012231.000000000000,1428571.000000000000,10871490.000000000000
FS( 64 ),1352890.999999999500,1368531.000000000000,1833631.000000000000,1447741.000000000000,1472851.000000000000,2078451.000000000000,1428571.000000000000,10982670.000000000000
FS( 65 ),1352890.999999999500,1368531.000000000000,1848250.999999999800,1449360.999999999500,1481460.999999999800,2034560.999999999800,1428571.000000000000,10963629.999999998000
FS( 66 ),1380170.999999999800,1402351.000000000000,1848250.999999999800,1424791.000000000000,1467111.000000000000,2046111.000000000000,1428571.000000000000,10997360.000000000000
FS( 67 ),1381490.999999999800,1405011.000000000000,1804391.000000000200,1401840.999999999800,1464240.999999999800,2021471.000000000200,1428571.000000000000,10907020.000000000000
