代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,14181870.000000000000
真實報酬,4181870.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,19080.356506380045
風險,332614.410139553190
起點值,0.057364792158
找到最佳解世代,1785
找到最佳解實驗#,1
找到最佳解次數,22

投資組合檔數,5
1303(4)[3],2353(19)[1],3045(41)[5],4904(44)[23],9999(49)[48],
Stock#,1303(4)[3],2353(19)[1],3045(41)[5],4904(44)[23],9999(49)[48],
張數,74,47,63,93,-1,
FS( 63 ),2179080.000000000000,2152750.000000000000,2303030.000000000000,2215760.000000000000,2000000.000000000000,10850620.000000000000
FS( 64 ),2209420.000000000000,2152750.000000000000,2372330.000000000000,2226920.000000000000,2000000.000000000000,10961420.000000000000
FS( 65 ),2227180.000000000000,2249570.000000000000,2343980.000000000000,2239010.000000000000,2000000.000000000000,11059740.000000000000
FS( 66 ),2216820.000000000000,2290460.000000000000,2360360.000000000000,2239010.000000000000,2000000.000000000000,11106650.000000000000
FS( 67 ),2183520.000000000000,2268370.000000000000,2328860.000000000000,2235290.000000000500,2000000.000000000000,11016040.000000000000
FS( 68 ),2188699.999999999100,2323830.000000000000,2333270.000000000000,2276210.000000000000,2000000.000000000000,11122010.000000000000
FS( 69 ),2156140.000000000000,2268370.000000000000,2333270.000000000000,2284580.000000000000,2000000.000000000000,11042360.000000000000
FS( 70 ),2173900.000000000000,2305500.000000000000,2306180.000000000900,2336660.000000000000,2000000.000000000000,11122240.000000000000
FS( 71 ),2183520.000000000000,2372239.999999999500,2337680.000000000900,2305040.000000000500,2000000.000000000000,11198480.000000002000
FS( 72 ),2099900.000000000000,2372239.999999999500,2337680.000000000900,2276210.000000000000,2000000.000000000000,11086030.000000000000
FS( 73 ),2135420.000000000000,2361430.000000000500,2328860.000000000000,2279000.000000000000,2000000.000000000000,11104710.000000000000
FS( 74 ),2191660.000000000000,2450730.000000000000,2324450.000000000000,2310620.000000000000,2000000.000000000000,11277460.000000000000
FS( 75 ),2211640.000000000000,2595960.000000000000,2319410.000000000900,2299460.000000000000,2000000.000000000000,11426470.000000000000
FS( 76 ),2222739.999999999100,2689020.000000000000,2350910.000000000900,2339449.999999999500,2000000.000000000000,11602120.000000000000
FS( 77 ),2262699.999999999100,2657530.000000000000,2355320.000000000000,2350610.000000000000,2000000.000000000000,11626160.000000000000
FS( 78 ),2289340.000000000000,2603480.000000000000,2337680.000000000900,2336660.000000000000,2000000.000000000000,11567160.000000000000
FS( 79 ),2307840.000000000000,2622750.000000000000,2333270.000000000000,2339449.999999999500,2000000.000000000000,11603310.000000000000
FS( 80 ),2294520.000000000000,2638260.000000000000,2346500.000000000000,2367350.000000000000,2000000.000000000000,11646630.000000000000
FS( 81 ),2289340.000000000000,2688550.000000000000,2319410.000000000900,2351540.000000000500,2000000.000000000000,11648840.000000002000
FS( 82 ),2318940.000000000000,2735080.000000000000,2328860.000000000000,2327360.000000000000,2000000.000000000000,11710240.000000000000
FS( 83 ),2321900.000000000000,2792890.000000000500,2284130.000000000000,2320850.000000000000,2000000.000000000000,11719770.000000000000
FS( 84 ),2297480.000000000000,2735080.000000000000,2262080.000000000000,2311550.000000000000,2000000.000000000000,11606190.000000000000
FS( 85 ),2254560.000000000000,2680560.000000000000,2257670.000000000000,2308760.000000000000,2000000.000000000000,11501550.000000000000
FS( 86 ),2267880.000000000000,2704060.000000000000,2248850.000000000000,2388740.000000000000,2000000.000000000000,11609530.000000000000
FS( 87 ),2267880.000000000000,2603480.000000000000,2262080.000000000000,2382230.000000000000,2000000.000000000000,11515670.000000000000
FS( 88 ),2313760.000000000000,2618989.999999999500,2240030.000000000000,2327360.000000000000,2000000.000000000000,11500140.000000000000
FS( 89 ),2315980.000000000000,2611000.000000000000,2235620.000000000000,2320850.000000000000,2000000.000000000000,11483450.000000000000
FS( 90 ),2310800.000000000000,2680560.000000000000,2257670.000000000000,2327360.000000000000,2000000.000000000000,11576390.000000000000
FS( 91 ),2348540.000000000000,2673040.000000000000,2248850.000000000000,2330150.000000000000,2000000.000000000000,11600580.000000000000
FS( 92 ),2342620.000000000000,2673040.000000000000,2240030.000000000000,2323640.000000000000,2000000.000000000000,11579330.000000000000
FS( 93 ),2388500.000000000000,2704060.000000000000,2244440.000000000000,2332940.000000000000,2000000.000000000000,11669940.000000000000
FS( 94 ),2530580.000000000000,2735080.000000000000,2310590.000000000000,2351540.000000000500,2000000.000000000000,11927790.000000000000
FS( 95 ),2618640.000000000000,2777380.000000000000,2328860.000000000000,2351540.000000000500,2000000.000000000000,12076420.000000000000
FS( 96 ),2546120.000000000000,2735080.000000000000,2306180.000000000900,2311550.000000000000,2000000.000000000000,11898930.000000000000
FS( 97 ),2482480.000000000000,2676800.000000000000,2262080.000000000000,2305040.000000000500,2000000.000000000000,11726400.000000000000
FS( 98 ),2471380.000000000000,2657530.000000000000,2284130.000000000000,2283650.000000000000,2000000.000000000000,11696690.000000000000
FS( 99 ),2471380.000000000000,2657530.000000000000,2297360.000000000000,2258540.000000000500,2000000.000000000000,11684810.000000000000
FS( 100 ),2407000.000000000000,2692310.000000000000,2270900.000000000000,2274350.000000000000,2000000.000000000000,11644560.000000000000
FS( 101 ),2474340.000000000000,2735080.000000000000,2262080.000000000000,2332940.000000000000,2000000.000000000000,11804440.000000000000
FS( 102 ),2428460.000000000000,2773620.000000000000,2266490.000000000000,2290160.000000000000,2000000.000000000000,11758730.000000000000
FS( 103 ),2428460.000000000000,2792890.000000000500,2279720.000000000000,2283650.000000000000,2000000.000000000000,11784720.000000000000
FS( 104 ),2398860.000000000000,2765630.000000000000,2266490.000000000000,2290160.000000000000,2000000.000000000000,11721140.000000000000
FS( 105 ),2439560.000000000000,2862449.999999999500,2288540.000000000000,2314340.000000000000,2000000.000000000000,11904890.000000000000
