訓練日期,20121016 - 20130122
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11399735.029999999329448
真實報酬,1399735.029999999329448

夏普值報酬,0.131273503000000
夏普值風險,0.037819920993726
夏普值,3.471014733790067

預期報酬,19103.870487481974124
風險,158296.808715113351354
趨勢值,0.120683863702288
找到最佳解世代,2271
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DD[7](3),HD[9](7),V[25](1),
20121206,3488716.879999999888241,3536135.400000000372529,3538268.850000000093132,10563122.130000000819564
20121207,3566408.819999999832362,3542181.000000000000000,3540175.230000000447035,10648766.050000000745058
20121210,3602775.260000000242144,3464687.399999999906868,3543034.800000000279397,10610498.460000000894070
20121211,3654845.389999999664724,3456443.399999999906868,3548753.939999999944121,10660043.729999998584390
20121212,3666416.529999999795109,3458641.799999999813735,3523971.000000000000000,10649030.330000000074506
20121213,3652365.859999999869615,3430062.599999999627471,3507766.770000000018626,10590196.229999998584390
20121214,3697823.910000000149012,3410826.600000000093132,3499188.060000000521541,10607839.570000000298023
20121217,3744934.979999999981374,3479526.600000000093132,3553519.890000000596046,10777982.470000000670552
20121218,3859819.870000000111759,3462489.000000000000000,3591647.490000000223517,10913957.359999999403954
20121219,3816841.350000000093132,3394888.200000000186265,3554473.080000000074506,10766203.630000000819564
20121220,3824279.940000000409782,3405880.199999999720603,3633587.850000000093132,10863748.990000000223517
20121221,3765597.729999999981374,3370156.200000000186265,3592600.680000000167638,10728355.609999999403954
20121224,3787913.500000000000000,3383896.200000000186265,3603085.770000000018626,10774896.470000000670552
20121226,3816014.839999999850988,3360263.399999999906868,3568770.930000000167638,10745050.169999999925494
20121227,3780474.910000000149012,3356416.200000000186265,3560192.220000000204891,10697084.330000000074506
20121228,3721792.700000000186265,3333333.000000000000000,3542081.609999999869615,10597208.310000000521541
20121231,3805270.209999999962747,3399285.000000000000000,3612617.670000000391155,10817173.880000000819564
20130102,3890400.739999999757856,3488869.799999999813735,3703170.720000000204891,11082442.259999999776483
20130103,3901971.879999999888241,3478977.000000000000000,3706030.290000000502914,11086980.169999999925494
20130104,3958174.560000000055879,3472381.799999999813735,3735579.180000000167638,11166136.539999999105930
20130107,3954042.010000000242144,3453695.400000000372529,3762268.500000000000000,11170006.910000000149012
20130108,3896186.310000000055879,3474580.199999999720603,3797536.530000000726432,11168304.040000000968575
20130109,3943297.379999999888241,3471832.200000000186265,3855681.120000000577420,11270811.700000001117587
20130110,3982969.859999999869615,3496564.199999999720603,3825179.040000000502914,11304714.099999999627471
20130111,3985449.389999999664724,3500961.000000000000000,3840430.080000000074506,11326841.469999998807907
20130114,4035039.989999999757856,3488869.799999999813735,3828038.609999999869615,11351949.399999998509884
20130115,4012724.219999999739230,3514701.000000000000000,3823272.660000000149012,11350698.879999998956919
20130116,3961480.600000000093132,3509754.600000000093132,3817553.520000000018626,11288789.720000000670552
20130117,3979663.819999999832362,3575157.000000000000000,3809928.000000000000000,11364749.820000000298023
20130118,3978010.800000000279397,3598240.199999999720603,3771800.400000000372529,11348052.400000000372529
20130122,3996194.020000000018626,3613629.000000000000000,3789911.010000000242144,11399735.029999999329448
