代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11450558.550000000745058
真實報酬,1450558.550000000745058

夏普值報酬,0.136355855000000
夏普值風險,0.038567447408239
夏普值,3.535516715863127

預期報酬,23598.876860822099843
風險,94409.705305026160204
趨勢值,0.249962403595870
找到最佳解世代,1818
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
CAT[3](2),DIS[6](10),IBM[10](16),KO[14](15),WBA[27](3),XOM[29](1),
20101124,1795798.360000000102445,1700801.459999999962747,1692315.260000000242144,1756358.350000000093132,1687818.989999999990687,1751639.739999999990687,10384736.160000000149012
20101126,1783924.120000000111759,1692959.530000000027940,1670147.800000000279397,1742768.600000000093132,1656827.399999999906868,1735346.840000000316650,10281978.290000000968575
20101129,1774170.280000000027940,1680043.410000000149012,1658425.739999999990687,1723199.360000000102445,1711923.559999999823049,1740861.360000000335276,10288627.710000000894070
20101130,1793890.000000000000000,1684195.019999999785796,1641829.160000000149012,1717219.870000000111759,1714383.209999999962747,1743618.620000000111759,10295139.879999998956919
20101201,1854321.400000000139698,1712333.709999999962747,1676066.860000000102445,1758532.710000000195578,1754721.469999999972060,1787985.440000000176951,10543965.589999999850988
20101202,1879130.080000000074506,1722482.090000000083819,1685003.480000000214204,1763968.610000000102445,1776366.389999999897555,1791745.340000000316650,10618699.990000000223517
20101203,1895245.120000000111759,1734014.340000000083819,1687324.680000000167638,1753096.810000000055879,1813261.139999999897555,1784476.200000000186265,10667422.290000002831221
20101206,1891428.400000000139698,1732630.469999999972060,1682798.340000000316650,1739507.060000000055879,1788172.709999999962747,1787484.120000000111759,10622025.100000001490116
20101207,1915813.000000000000000,1722020.799999999813735,1671540.520000000251457,1743312.190000000176951,1781777.619999999878928,1791244.020000000018626,10625712.150000000372529
20101208,1900334.080000000074506,1705414.359999999869615,1682682.280000000027940,1750378.860000000102445,1794075.869999999878928,1801019.760000000009313,10633909.209999999031425
20101209,1901394.280000000027940,1694804.690000000176951,1674790.200000000186265,1762337.840000000083819,1789156.569999999832362,1804779.660000000149012,10627267.240000000223517
20101210,1907119.360000000102445,1691114.369999999878928,1680825.320000000065193,1757445.530000000027940,1792108.149999999906868,1809291.540000000270084,10637908.270000001415610
20101213,1942954.120000000111759,1712795.000000000000000,1674558.080000000074506,1762337.840000000083819,1792600.079999999841675,1813803.420000000158325,10699052.539999999105930
20101214,1952707.960000000195578,1717869.190000000176951,1692431.320000000065193,1736789.110000000102445,1807849.909999999916181,1809291.540000000270084,10716943.030000001192093
20101215,1974548.080000000074506,1704491.780000000027940,1679664.720000000204891,1759619.889999999897555,1826543.250000000000000,1801019.760000000009313,10745891.479999998584390
20101216,1976244.400000000139698,1707259.519999999785796,1677691.700000000186265,1775927.590000000083819,1855567.119999999878928,1810294.180000000167638,10802988.509999999776483
20101217,1963309.960000000195578,1709104.679999999934807,1682914.400000000139698,1785712.210000000195578,1848680.099999999860302,1809040.880000000121072,10798766.230000000447035
20101220,1978364.800000000046566,1709565.969999999972060,1677227.459999999962747,1775383.999999999767169,1833922.199999999953434,1810294.180000000167638,10784762.609999999403954
20101221,2006566.120000000111759,1722020.799999999813735,1691502.840000000316650,1779732.720000000204891,1811785.349999999860302,1822827.180000000167638,10834439.009999999776483
20101222,2005293.879999999888241,1750620.780000000027940,1693940.100000000093132,1782994.260000000009313,1911155.209999999962747,1824832.459999999962747,10968840.690000001341105
20101223,2002749.400000000139698,1739088.530000000027940,1693243.739999999990687,1782450.669999999925494,1927880.829999999841675,1834858.860000000335276,10980276.030000001192093
20101227,1994691.879999999888241,1728940.149999999906868,1686860.440000000176951,1768317.330000000074506,1916566.439999999944121,1830096.320000000298023,10925476.560000000521541
20101228,1986634.360000000102445,1723404.669999999925494,1691154.660000000149012,1776471.179999999934807,1941654.869999999878928,1840373.380000000121072,10959697.120000001043081
20101229,1988542.720000000204891,1734475.630000000121072,1700555.520000000251457,1779189.129999999888241,1942146.799999999813735,1839120.080000000307336,10984033.880000000819564
20101230,1990451.080000000074506,1728940.149999999906868,1702296.419999999925494,1780276.310000000055879,1930340.479999999981374,1838869.420000000158325,10971177.860000001266599
20101231,1985998.239999999990687,1730324.019999999785796,1703340.959999999962747,1787886.570000000065193,1916566.439999999944121,1832853.580000000307336,10956973.810000000521541
20110103,1996388.200000000186265,1744624.010000000009313,1711697.280000000027940,1772666.050000000046566,1934275.919999999925494,1868697.959999999962747,11028353.420000001788139
20110104,1987058.439999999944121,1798594.940000000176951,1713554.239999999990687,1736245.520000000018626,1950509.609999999869615,1877471.060000000288710,11063437.810000000521541
20110105,2004233.679999999934807,1843340.070000000065193,1706706.700000000186265,1725917.310000000055879,1977565.760000000009313,1872457.860000000335276,11130225.379999998956919
20110106,1983453.760000000242144,1829040.079999999841675,1725392.360000000102445,1713414.739999999990687,1983468.919999999925494,1884489.540000000270084,11119263.400000000372529
20110107,1987482.520000000251457,1819814.280000000027940,1716919.980000000214204,1710153.200000000186265,1971662.599999999860302,1894766.600000000325963,11100803.179999999701977
20110110,1980273.160000000149012,1822120.729999999981374,1713554.239999999990687,1713958.330000000074506,2014460.510000000009313,1883236.239999999990687,11127607.210000000894070
20110111,1992147.400000000139698,1817507.829999999841675,1709376.080000000074506,1704173.710000000195578,2008557.349999999860302,1897273.200000000186265,11129039.570000000298023
20110112,1982393.560000000055879,1806898.160000000149012,1730499.000000000000000,1713414.739999999990687,2026758.760000000009313,1919581.940000000176951,11179550.160000000149012
20110113,1996176.160000000149012,1811049.769999999785796,1727249.320000000065193,1723199.360000000102445,2048403.679999999934807,1922840.520000000018626,11228922.810000000521541
20110114,1993419.640000000130385,1812433.639999999897555,1740944.400000000139698,1716132.690000000176951,2038565.079999999841675,1951165.100000000325963,11252664.550000000745058
20110118,2040492.520000000251457,1817046.540000000037253,1748488.300000000279397,1725373.719999999972060,2064637.369999999878928,1972972.520000000018626,11369014.970000000670552
20110119,2025861.760000000242144,1803207.840000000083819,1806982.540000000037253,1723742.950000000186265,2030694.199999999953434,1961191.500000000000000,11351684.790000000968575
20110120,1984938.040000000037253,1806898.160000000149012,1808259.200000000186265,1710696.790000000037253,2046927.889999999897555,1948909.160000000149012,11306633.240000000223517
20110121,1966702.600000000093132,1833191.690000000176951,1804777.400000000139698,1706348.070000000065193,2050863.329999999841675,1979740.340000000316650,11341627.429999999701977
20110124,2005293.879999999888241,1842417.489999999990687,1852710.180000000167638,1719394.229999999981374,2041024.729999999981374,1969964.600000000325963,11430809.110000001266599
20110125,2001477.160000000149012,1838727.169999999925494,1873717.040000000037253,1711240.380000000121072,2028726.479999999981374,1972220.540000000270084,11426112.770000001415610
20110126,2030314.600000000093132,1819352.989999999990687,1869074.640000000130385,1711240.380000000121072,2031186.129999999888241,1996785.219999999972060,11457957.960000000894070
20110127,2048974.120000000111759,1820275.570000000065193,1869422.820000000065193,1704173.710000000195578,2020363.669999999925494,2002299.739999999990687,11465513.630000000819564
20110128,2028830.320000000298023,1792136.880000000121072,1847835.660000000149012,1691127.550000000046566,1985436.639999999897555,1979991.000000000000000,11325362.050000000745058
20110131,2057031.640000000130385,1793059.459999999962747,1880216.400000000139698,1708522.429999999934807,1989372.079999999841675,2022352.540000000270084,11450558.550000000745058
