代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10899994.839999999850988
真實報酬,899994.839999999850988

夏普值報酬,0.081299484000000
夏普值風險,0.026849699415753
夏普值,3.027947640721050

預期報酬,14914.639649688519057
風險,59090.260024138107838
趨勢值,0.252404366533435
找到最佳解世代,2226
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
CVX[5](5),JNJ[12](1),KO[14](17),MCD[15](7),PG[21](2),UNH[23](15),
20140404,1773714.100000000093132,1854104.100000000093132,1684293.199999999953434,1732148.600000000093132,1735184.799999999813735,1879952.500000000000000,10659401.300000000745058
20140407,1751916.300000000046566,1844119.960000000195578,1701920.399999999906868,1716928.320000000065193,1750846.239999999990687,1869576.399999999906868,10635311.620000001043081
20140408,1758784.100000000093132,1847322.420000000158325,1714259.439999999944121,1735865.180000000167638,1769552.959999999962747,1859892.040000000037253,10685680.140000000596046
20140409,1778193.100000000093132,1864088.240000000223517,1718225.560000000055879,1740643.639999999897555,1772598.239999999990687,1876724.380000000121072,10750477.160000000149012
20140410,1742211.800000000046566,1818688.660000000149012,1713818.760000000009313,1759757.480000000214204,1763897.440000000176951,1844443.179999999934807,10642821.320000000298023
20140411,1747288.000000000000000,1824905.200000000186265,1702361.080000000074506,1757279.760000000242144,1756719.280000000027940,1820462.860000000102445,10609020.179999999701977
20140414,1772221.100000000093132,1829991.460000000195578,1706767.879999999888241,1771792.120000000111759,1757806.880000000121072,1825766.200000000186265,10664349.640000000596046
20140415,1796109.100000000093132,1868797.740000000223517,1770666.479999999981374,1784534.680000000167638,1758459.440000000176951,1833375.340000000083819,10811946.779999999329448
20140416,1818952.000000000000000,1860320.640000000130385,1788734.360000000102445,1784534.680000000167638,1776078.560000000055879,1802938.780000000027940,10831563.019999999552965
20140417,1846572.500000000232831,1864276.620000000111759,1794463.199999999953434,1774269.840000000083819,1778471.280000000027940,1747369.000000000000000,10805426.439999999478459
20140421,1854933.300000000046566,1883868.140000000130385,1795785.239999999990687,1764005.000000000000000,1774120.880000000121072,1728230.860000000102445,10800947.419999999925494
20140422,1851350.100000000093132,1887258.980000000214204,1794022.520000000018626,1757810.699999999953434,1767377.760000000009313,1746907.840000000083819,10804731.900000000372529
20140423,1861651.800000000046566,1888012.500000000000000,1794903.879999999888241,1754448.080000000074506,1748018.479999999981374,1736992.899999999906868,10784031.640000000596046
20140424,1855829.100000000093132,1883114.620000000111759,1793581.840000000083819,1767013.660000000149012,1765202.560000000055879,1766045.979999999981374,10830791.760000001639128
20140425,1851200.800000000046566,1879912.160000000149012,1807242.919999999925494,1782764.880000000121072,1770858.079999999841675,1744602.040000000037253,10836584.879999998956919
20140428,1877179.000000000232831,1909111.060000000288710,1808124.280000000027940,1775331.720000000204891,1804138.639999999897555,1746446.679999999934807,10920335.380000000819564
20140429,1880762.200000000186265,1903271.280000000260770,1787853.000000000000000,1796392.340000000083819,1793262.639999999897555,1733995.360000000102445,10895540.820000000298023
20140430,1874043.699999999953434,1908169.160000000149012,1797547.959999999962747,1794268.580000000074506,1795655.359999999869615,1730306.080000000074506,10899994.839999999850988
