代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11401686.220000000670552
真實報酬,1401686.220000000670552

夏普值報酬,0.131468622000000
夏普值風險,0.039028078252021
夏普值,3.368565091805240

預期報酬,22838.971902845234581
風險,82734.701230532125919
趨勢值,0.276050696541548
找到最佳解世代,1331
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
DIS[6](7),PFE[20](10),PG[21](2),V[25](8),VZ[26](1),WMT[28](6),
20180620,1795344.399999999906868,1691250.580000000074506,1727708.359999999869615,1727606.219999999972060,1681350.040000000037253,1688271.439999999711290,10311535.039999999105930
20180621,1774233.099999999860302,1683828.819999999832362,1741146.789999999804422,1715239.689999999944121,1700229.520000000018626,1700386.639999999664724,10315068.559999998658895
20180622,1781772.849999999860302,1693569.879999999888241,1763696.020000000018626,1725438.890000000130385,1739736.579999999841675,1712703.759999999776483,10416921.980000000447035
20180625,1750105.899999999906868,1687539.700000000186265,1771895.739999999990687,1669343.290000000037253,1734142.659999999916181,1746020.559999999823049,10359051.849999999627471
20180626,1746922.449999999953434,1687539.700000000186265,1776678.909999999916181,1689996.670000000158325,1723654.059999999823049,1736126.479999999981374,10360922.270000001415610
20180627,1741895.949999999720603,1679654.080000000074506,1769618.039999999804422,1670490.700000000186265,1724003.679999999934807,1754501.199999999953434,10340167.649999998509884
20180628,1755467.499999999767169,1686611.979999999981374,1777817.759999999776483,1692418.979999999981374,1778194.780000000027940,1733703.439999999711290,10424218.439999997615814
20180629,1756137.699999999953434,1682901.100000000093132,1778045.530000000027940,1688721.769999999785796,1758965.679999999934807,1729463.119999999878928,10394238.899999998509884
20180702,1764850.299999999813735,1685220.399999999906868,1779639.919999999925494,1689359.219999999972060,1762811.500000000000000,1696146.319999999832362,10378031.660000000149012
20180703,1743236.350000000093132,1686148.120000000111759,1774401.209999999962747,1675972.769999999785796,1772600.860000000102445,1705030.799999999813735,10357394.109999999403954
20180705,1765017.849999999860302,1710268.839999999850988,1804239.079999999841675,1699430.929999999934807,1792878.820000000065193,1707655.759999999776483,10479495.279999999329448
20180706,1755635.049999999813735,1721401.479999999981374,1806516.780000000027940,1709630.130000000121072,1799871.219999999739230,1706444.239999999990687,10499502.900000000372529
20180709,1776411.249999999767169,1723720.779999999795109,1773490.129999999888241,1727861.200000000186265,1773999.340000000083819,1735116.879999999888241,10510603.579999998211861
20180710,1776578.799999999813735,1736245.000000000000000,1818133.049999999813735,1742777.530000000027940,1794976.540000000037253,1760962.639999999664724,10629677.559999998658895
20180711,1810256.350000000093132,1726040.080000000074506,1803100.229999999748543,1761391.070000000065193,1794976.540000000037253,1747232.079999999841675,10643000.349999999627471
20180712,1813774.899999999906868,1740419.740000000223517,1796950.439999999944121,1783701.820000000065193,1791480.340000000083819,1747030.159999999683350,10673361.400000000372529
20180713,1843096.149999999906868,1740883.600000000093132,1806516.780000000027940,1777582.299999999813735,1797423.879999999888241,1770856.719999999972060,10736363.430000001564622
20180716,1846447.149999999906868,1733925.700000000186265,1811527.719999999972060,1765343.260000000009313,1803717.040000000037253,1769645.199999999953434,10730610.070000000298023
20180717,1848122.649999999906868,1746449.919999999925494,1822916.219999999972060,1780387.079999999841675,1798123.119999999878928,1780750.799999999813735,10776753.789999999105930
20180718,1854657.099999999860302,1746913.779999999795109,1815855.349999999860302,1796450.820000000065193,1787984.139999999897555,1778327.759999999776483,10780192.949999999254942
20180719,1878784.299999999813735,1732997.979999999981374,1793306.120000000111759,1786634.089999999850988,1774348.959999999962747,1771260.559999999823049,10737336.009999999776483
20180720,1867893.550000000046566,1731606.399999999906868,1792167.270000000018626,1797598.229999999981374,1769803.899999999906868,1778125.839999999850988,10737199.190000001341105
20180723,1861359.099999999860302,1726040.080000000074506,1788295.179999999934807,1785359.189999999944121,1774348.959999999962747,1769443.279999999795109,10704849.789999997243285
20180724,1854824.649999999906868,1748769.220000000204891,1799228.139999999897555,1785359.189999999944121,1800920.079999999841675,1776106.639999999664724,10765211.919999998062849
20180725,1862867.050000000046566,1762221.160000000149012,1810161.099999999860302,1818634.079999999841675,1779942.879999999888241,1774895.119999999878928,10808725.389999998733401
20180726,1901906.199999999953434,1770106.779999999795109,1824282.840000000083819,1816849.219999999972060,1789382.619999999878928,1781558.479999999981374,10884090.139999998733401
20180727,1886994.250000000000000,1781703.279999999795109,1835443.569999999832362,1794028.510000000009313,1818401.079999999841675,1779539.279999999795109,10896113.969999998807907
20180730,1887161.799999999813735,1790052.760000000242144,1826788.310000000055879,1740100.239999999757856,1835182.840000000083819,1794683.279999999795109,10873973.229999998584390
20180731,1902743.949999999953434,1852210.000000000000000,1842276.669999999925494,1743414.979999999981374,1805465.139999999897555,1801750.479999999981374,10947865.220000000670552
20180801,1892858.500000000000000,1867981.240000000223517,1837037.959999999962747,1762665.969999999972060,1808611.719999999739230,1781760.399999999674037,10950919.790000000968575
20180802,1889172.399999999906868,1839221.919999999925494,1867786.909999999916181,1771207.799999999813735,1817352.219999999739230,1792260.239999999990687,10977005.490000000223517
20180803,1911624.099999999860302,1880505.459999999962747,1875303.319999999832362,1782681.899999999906868,1827491.200000000186265,1809221.519999999785796,11086831.500000000000000
20180806,1942620.849999999860302,1903698.459999999962747,1879630.949999999720603,1781279.510000000009313,1834833.219999999739230,1810634.959999999962747,11152701.949999999254942
20180807,1953008.949999999953434,1894421.260000000242144,1882364.189999999944121,1788546.439999999944121,1834133.979999999981374,1812654.159999999683350,11165132.980000000447035
20180808,1909781.050000000046566,1920861.279999999795109,1875758.859999999869615,1793646.040000000037253,1842524.860000000102445,1818307.919999999692664,11160884.009999999776483
20180809,1912796.949999999953434,1901843.020000000018626,1854120.709999999962747,1785104.209999999962747,1853363.079999999841675,1797308.239999999990687,11104540.209999999031425
20180810,1887999.550000000046566,1898596.000000000000000,1854804.020000000018626,1781534.489999999757856,1834483.599999999860302,1820932.879999999888241,11078354.539999999105930
20180813,1878616.750000000000000,1893029.680000000167638,1856853.949999999720603,1787654.010000000009313,1825743.099999999860302,1810029.199999999953434,11051930.689999999478459
20180814,1889172.399999999906868,1888391.080000000074506,1852070.780000000027940,1794665.959999999962747,1848468.399999999906868,1834461.519999999785796,11107234.139999998733401
20180815,1890847.899999999906868,1909264.779999999795109,1874620.009999999776483,1783956.799999999813735,1861404.340000000083819,1821740.559999999823049,11141838.390000000596046
20180816,1884648.550000000046566,1921325.140000000130385,1906280.039999999804422,1793263.570000000065193,1897415.200000000186265,1991757.199999999953434,11394693.699999999254942
20180817,1884648.550000000046566,1952403.760000000242144,1906280.039999999804422,1801932.890000000130385,1915595.439999999944121,1975805.519999999785796,11436670.199999999254942
20180820,1876438.599999999860302,1963536.399999999906868,1905141.189999999944121,1796960.780000000027940,1910700.760000000009313,1938450.319999999832362,11391232.050000000745058
20180821,1883140.599999999860302,1955650.779999999795109,1911063.209999999962747,1785486.679999999934807,1919790.879999999888241,1940065.679999999701977,11395201.829999998211861
20180822,1875600.849999999860302,1951476.040000000037253,1899446.939999999944121,1799510.579999999841675,1892870.139999999897555,1931786.959999999962747,11350695.510000001639128
20180823,1876606.149999999906868,1957506.220000000204891,1896030.389999999897555,1811749.619999999878928,1897764.820000000065193,1921892.879999999888241,11361554.079999998211861
20180824,1875433.300000000046566,1966783.419999999925494,1898763.629999999888241,1838522.519999999785796,1915245.820000000065193,1917248.719999999972060,11412001.410000000149012
20180827,1882135.299999999813735,1928746.899999999906868,1900585.789999999804422,1853821.320000000065193,1917693.159999999916181,1908970.000000000000000,11391956.469999998807907
20180828,1886324.049999999813735,1925036.020000000018626,1901496.870000000111759,1851271.519999999785796,1910700.760000000009313,1939863.759999999776483,11414696.979999998584390
20180829,1884145.899999999906868,1925036.020000000018626,1901724.639999999897555,1874602.189999999944121,1907903.800000000046566,1931181.199999999953434,11424597.750000000000000
20180830,1875265.750000000000000,1925036.020000000018626,1899902.479999999748543,1870904.979999999981374,1914196.959999999962747,1940469.519999999785796,11425779.710000000894070
20180831,1876941.249999999767169,1925963.740000000223517,1889425.060000000055879,1872817.329999999841675,1900911.399999999906868,1935623.439999999711290,11401686.220000000670552
