代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10673577.890000000596046
真實報酬,673577.890000000596046

夏普值報酬,0.058657789000000
夏普值風險,0.017545711251887
夏普值,3.343141133346193

預期報酬,9873.683048524138940
風險,40113.416469905241684
趨勢值,0.246144156181057
找到最佳解世代,1806
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](1),DIS[6](15),JNJ[12](11),KO[14](4),WMT[28](8),
Stock#,AAPL[0](1),DIS[6](15),JNJ[12](11),KO[14](4),WMT[28](8),
張數,14599,18166,16365,47664,28196,
20170503,2147011.929999999701977,2027793.979999999981374,2018328.800000000046566,2064823.040000000037253,2136186.679999999701977,10394144.429999999701977
20170504,2139274.459999999962747,2019619.279999999795109,2028475.100000000093132,2081028.799999999813735,2152540.359999999869615,10420938.000000000000000
20170505,2174750.029999999795109,2034515.399999999674037,2021274.500000000232831,2082458.719999999972060,2157051.719999999739230,10470050.369999999180436
20170508,2233875.979999999515712,2024160.779999999795109,2017019.600000000093132,2091991.520000000018626,2146337.239999999757856,10513385.119999999180436
20170509,2248183.000000000000000,2035968.679999999701977,2016365.000000000000000,2073879.199999999953434,2163254.839999999850988,10537650.719999998807907
20170510,2237525.729999999515712,1992188.619999999646097,2009819.000000000232831,2076739.040000000037253,2162690.919999999925494,10478963.309999998658895
20170511,2247599.039999999571592,1990735.339999999850988,2016201.350000000093132,2081505.440000000176951,2146619.199999999720603,10482660.369999999180436
20170512,2278986.889999999664724,1992733.599999999860302,2023401.950000000186265,2077692.320000000298023,2134776.879999999422580,10507591.639999998733401
20170515,2273147.289999999571592,1982560.639999999664724,2078224.699999999953434,2084365.279999999795109,2151130.560000000055879,10569428.470000000670552
20170516,2269789.519999999552965,1961669.739999999990687,2090989.400000000139698,2090084.960000000195578,2117859.279999999795109,10530392.900000000372529
20170517,2193582.739999999757856,1931332.519999999785796,2072987.900000000139698,2093898.080000000074506,2118141.239999999757856,10409942.480000000447035
20170518,2227014.449999999720603,1938053.939999999944121,2077897.400000000139698,2087701.760000000009313,2186375.560000000055879,10517043.109999999403954
20170519,2234605.929999999701977,1953313.379999999655411,2078388.350000000093132,2092468.159999999916181,2221056.639999999664724,10579832.460000000894070
20170522,2248183.000000000000000,1955311.639999999664724,2082643.250000000232831,2105814.080000000074506,2214853.519999999552965,10606805.489999998360872
20170523,2245409.189999999944121,1944230.379999999655411,2086898.150000000139698,2115823.520000000018626,2213161.759999999776483,10605523.000000000000000
20170524,2238693.649999999906868,1956764.919999999692664,2086734.500000000232831,2146328.479999999981374,2203575.120000000111759,10632096.669999998062849
20170525,2246431.119999999646097,1948771.879999999655411,2087061.800000000046566,2164440.799999999813735,2208086.479999999981374,10654792.079999998211861
