代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10781502.939999999478459
真實報酬,781502.939999999478459

夏普值報酬,0.069450294000000
夏普值風險,0.029355991829357
夏普值,2.365796202823160

預期報酬,15705.236895460637243
風險,79670.450883562662057
趨勢值,0.197127501115986
找到最佳解世代,3593
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,5
KO[14](1),MCD[15](4),PG[21](6),TRV[22](5),V[25](2),
20190322,2026025.489999999757856,2032310.629999999888241,2063114.340000000083819,2029943.530000000027940,2066834.899999999906868,10218228.890000000596046
20190325,2030436.589999999850988,2020452.519999999785796,2069202.539999999804422,2030695.879999999888241,2066294.820000000065193,10217082.349999999627471
20190326,2057344.299999999813735,2039599.559999999823049,2090714.179999999934807,2031147.289999999804422,2096944.360000000102445,10315749.689999999478459
20190327,2056020.969999999739230,2039925.929999999701977,2088278.900000000139698,2051761.679999999934807,2082362.199999999953434,10318349.679999999701977
20190328,2054697.639999999664724,2060378.449999999720603,2101470.000000000000000,2060037.530000000027940,2088438.099999999860302,10365021.720000000670552
20190329,2067048.719999999739230,2065926.739999999990687,2111617.000000000000000,2063949.750000000000000,2108961.139999999664724,10417503.349999999627471
20190401,2060873.179999999701977,2049499.449999999720603,2103296.459999999962747,2076890.170000000158325,2123408.280000000260770,10413967.539999999105930
20190402,2054256.529999999795109,2049064.289999999804422,2105528.799999999813735,2058683.300000000046566,2130429.320000000298023,10397962.239999998360872
20190403,2037053.239999999757856,2049064.289999999804422,2104311.160000000149012,2055523.429999999934807,2139610.679999999701977,10385562.799999998882413
20190404,2050286.539999999571592,2065600.369999999878928,2099034.719999999739230,2054319.670000000158325,2128539.040000000037253,10397780.339999999850988
20190405,2049845.429999999701977,2074738.729999999981374,2103499.400000000372529,2052514.030000000027940,2128674.060000000521541,10409271.650000002235174
20190408,2053374.309999999590218,2065382.789999999804422,2130287.480000000447035,2044689.589999999850988,2130024.259999999776483,10423758.429999999701977
20190409,2058667.629999999888241,2067884.959999999962747,2123996.339999999850988,2034307.159999999916181,2126513.740000000223517,10411369.830000000074506
20190410,2057344.299999999813735,2058529.019999999785796,2123793.400000000372529,2038369.850000000093132,2140960.879999999888241,10418997.449999999254942
20190411,2060432.069999999832362,2054830.159999999916181,2125822.799999999813735,2050708.389999999897555,2131509.480000000447035,10423302.899999998509884
20190412,2061755.399999999906868,2084421.039999999804422,2132113.940000000409782,2072376.070000000065193,2155543.040000000037253,10506209.490000000223517
20190415,2073224.259999999776483,2087140.789999999804422,2145710.919999999925494,2058382.359999999869615,2166344.639999999664724,10530802.969999998807907
20190416,2071018.709999999962747,2085508.939999999711290,2159713.780000000260770,2081705.209999999962747,2163509.219999999739230,10561455.859999999403954
20190417,2085575.339999999850988,2084529.830000000074506,2148146.200000000186265,2044539.120000000111759,2166344.639999999664724,10529135.129999998956919
20190418,2094397.539999999571592,2120430.530000000260770,2152205.000000000000000,2090582.940000000176951,2162564.080000000074506,10620180.089999999850988
20190422,2090868.659999999683350,2109660.319999999366701,2151393.240000000223517,2055673.900000000139698,2165804.560000000521541,10573400.679999999701977
20190423,2126598.569999999832362,2124238.179999999701977,2093555.340000000083819,2076739.699999999953434,2182817.080000000074506,10603948.869999999180436
20190424,2116453.039999999571592,2150021.410000000149012,2104311.160000000149012,2094344.690000000176951,2180521.740000000223517,10645652.039999999105930
20190425,2110277.500000000000000,2153285.110000000335276,2095990.620000000111759,2094495.159999999916181,2174175.799999999813735,10628224.190000001341105
20190426,2128804.119999999646097,2147736.819999999366701,2148349.139999999664724,2110294.510000000242144,2199964.620000000111759,10735149.210000000894070
20190429,2135861.879999999888241,2144473.120000000111759,2126431.620000000111759,2128651.850000000093132,2216437.060000000521541,10751855.530000001192093
20190430,2164092.919999999925494,2149368.669999999925494,2160931.419999999925494,2163109.479999999981374,2220217.620000000111759,10857720.109999999403954
20190501,2143360.750000000000000,2112380.069999999366701,2129475.719999999739230,2153027.990000000223517,2198074.339999999850988,10736318.869999999180436
20190502,2134538.549999999813735,2117166.830000000074506,2142260.940000000409782,2147310.129999999888241,2175526.000000000000000,10716802.449999999254942
20190503,2149095.179999999701977,2148824.719999999739230,2152813.820000000298023,2157090.679999999701977,2187947.839999999850988,10795772.239999998360872
20190506,2138067.429999999701977,2163837.740000000223517,2144696.219999999739230,2158294.439999999944121,2191188.320000000298023,10796084.150000000372529
20190507,2117335.259999999776483,2154481.799999999813735,2124808.100000000558794,2132413.600000000093132,2163239.179999999701977,10692277.939999999478459
20190508,2110718.609999999869615,2154373.009999999776483,2132316.879999999888241,2129705.140000000130385,2170665.280000000260770,10697778.919999998062849
20190509,2090868.659999999683350,2151109.309999999590218,2115472.860000000335276,2134219.240000000223517,2157838.379999999888241,10649508.449999999254942
20190510,2125716.349999999627471,2175695.849999999627471,2151393.240000000223517,2166269.350000000093132,2169990.179999999701977,10789064.969999998807907
20190513,2119540.809999999590218,2165252.009999999776483,2153422.639999999664724,2157993.500000000000000,2124353.419999999925494,10720562.379999998956919
20190514,2147771.849999999627471,2154155.429999999701977,2143072.700000000186265,2192601.600000000093132,2163239.179999999701977,10800840.759999999776483
20190515,2169386.239999999757856,2165687.169999999925494,2165396.100000000558794,2204789.669999999925494,2198074.339999999850988,10903333.519999999552965
20190516,2187030.639999999664724,2175695.849999999627471,2194010.639999999664724,2218181.500000000000000,2226158.500000000000000,11001077.129999998956919
20190517,2170268.459999999962747,2167319.019999999552965,2180616.600000000558794,2219385.260000000242144,2215626.940000000409782,10953216.280000001192093
20190520,2154829.609999999869615,2164816.849999999627471,2178181.320000000298023,2229617.219999999739230,2207255.700000000186265,10934700.699999999254942
20190521,2143801.859999999869615,2174064.000000000000000,2158699.080000000074506,2219084.319999999832362,2212521.480000000447035,10908170.740000000223517
20190522,2190118.409999999683350,2175369.480000000447035,2165801.980000000447035,2226457.350000000093132,2217652.240000000223517,10975399.460000000894070
20190523,2198940.609999999869615,2164599.269999999552965,2166613.740000000223517,2211109.410000000149012,2180791.780000000260770,10922054.809999998658895
20190524,2188353.969999999739230,2151544.469999999739230,2165193.160000000149012,2226156.410000000149012,2196049.040000000037253,10927297.050000000745058
20190528,2165857.359999999869615,2139577.569999999366701,2119937.540000000037253,2201178.390000000130385,2210496.179999999701977,10837047.039999999105930
20190529,2144242.969999999739230,2132506.219999999739230,2114458.160000000149012,2182971.520000000018626,2197264.219999999739230,10771443.089999999850988
20190530,2172474.009999999776483,2167536.599999999627471,2137593.320000000298023,2192902.540000000037253,2197669.280000000260770,10868175.750000000000000
20190531,2167180.689999999944121,2156983.969999999739230,2088481.840000000083819,2190495.020000000018626,2178361.419999999925494,10781502.939999999478459
