代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11070755.800000000745058
真實報酬,1070755.800000000745058

夏普值報酬,0.098375580000000
夏普值風險,0.031519690570509
夏普值,3.121083304416789

預期報酬,20532.350019218119996
風險,103087.026131737380638
趨勢值,0.199174918412908
找到最佳解世代,1998
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](11),PFE[20](3),UTX[24](2),WBA[27](1),
20141229,2647703.320000000298023,2620199.680000000167638,2730369.040000000037253,2989324.959999999962747,10987597.000000000000000
20141230,2638496.880000000353903,2619364.959999999962747,2714948.800000000279397,2960518.239999999757856,10933328.880000000819564
20141231,2601470.979999999981374,2600166.399999999906868,2686912.000000000000000,2966357.439999999944121,10854906.820000000298023
20150102,2600870.560000000055879,2615191.359999999869615,2687846.560000000055879,2958571.839999999850988,10862480.320000000298023
20150105,2582857.960000000428408,2601001.120000000111759,2642987.680000000167638,2900179.839999999850988,10727026.599999999627471
20150106,2552436.680000000167638,2622703.840000000316650,2605605.279999999795109,2907576.159999999683350,10688321.960000000894070
20150107,2592064.399999999906868,2658596.800000000279397,2633875.720000000204891,2981928.639999999664724,10866465.559999998658895
20150108,2637896.460000000428408,2712853.600000000093132,2678734.600000000093132,3018910.239999999757856,11048394.900000000372529
20150109,2632692.820000000298023,2725374.399999999906868,2664015.279999999795109,2945725.600000000093132,10967808.099999999627471
20150112,2619283.440000000409782,2735391.040000000502914,2674061.800000000279397,2946893.439999999944121,10975629.720000000670552
20150113,2625287.640000000130385,2707845.279999999795109,2671491.760000000242144,2929765.120000000111759,10934389.800000000745058
20150114,2609476.580000000074506,2711184.159999999683350,2652333.279999999795109,2919254.559999999590218,10892248.579999998211861
20150115,2604673.219999999739230,2704506.399999999906868,2652333.279999999795109,2911079.679999999701977,10872592.579999998211861
20150116,2617482.180000000167638,2737895.199999999720603,2713780.600000000093132,2959739.679999999701977,11028897.660000000149012
20150120,2626288.340000000316650,2762936.800000000279397,2746022.919999999925494,2960518.239999999757856,11095766.300000000745058
20150121,2650105.000000000000000,2724539.680000000167638,2781068.919999999925494,2942611.359999999869615,11098324.959999999031425
20150122,2714750.219999999739230,2738729.920000000391155,2814245.800000000279397,2959350.399999999906868,11227076.340000001713634
20150123,2694335.940000000409782,2708680.000000000465661,2803264.720000000204891,2942611.359999999869615,11148892.020000001415610
20150126,2683328.240000000223517,2737895.199999999720603,2774527.000000000000000,2952343.359999999869615,11148093.799999998882413
20150127,2651505.979999999981374,2721200.800000000279397,2784106.239999999757856,2916918.879999999888241,11073731.899999998509884
20150128,2794806.219999999739230,2666944.000000000000000,2731770.879999999888241,2871762.399999999906868,11065283.500000000000000
20150129,2957720.180000000167638,2656927.359999999869615,2720789.800000000279397,2902904.799999999813735,11238342.140000000596046
20150130,2909486.440000000409782,2608513.600000000093132,2681771.919999999925494,2870983.839999999850988,11070755.800000000745058
