代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12484362.100000001490116
真實報酬,2484362.100000001490116

夏普值報酬,0.239736210000000
夏普值風險,0.078919956431378
夏普值,3.037713410402785

預期報酬,44266.837503280825331
風險,188974.521806350996485
趨勢值,0.234247649260585
找到最佳解世代,1933
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](1),GS[8](2),MSFT[18](5),
Stock#,BA[2](1),GS[8](2),MSFT[18](5),
張數,25302,20669,57870,
20161207,3900097.799999999348074,4868833.009999999776483,3551502.899999999906868,12320434.709999999031425
20161208,3931725.299999999348074,4990573.419999999925494,3530669.699999999720603,12452969.419999998062849
20161209,3959557.500000000000000,4998841.019999999552965,3586224.899999999906868,12544624.419999999925494
20161212,3976509.839999999385327,4902110.099999999627471,3597798.899999999906868,12476419.839999999850988
20161213,3963858.839999999385327,4930633.320000000298023,3644673.599999999627471,12539166.759999999776483
20161214,3908447.459999999497086,4959156.539999999105930,3627312.600000000093132,12494917.599999997764826
20161215,3890736.059999999590218,5022610.369999999180436,3621525.600000000093132,12534873.029999999329448
20161216,3909206.519999999552965,4937867.470000000670552,3605322.000000000000000,12452396.990000000223517
20161219,3951713.879999999888241,4941381.199999999254942,3681710.399999999906868,12574806.479999998584390
20161220,3957027.299999999348074,5024470.580000000074506,3677080.799999999813735,12658579.679999999701977
20161221,3984606.479999999515712,4990366.730000000447035,3677080.799999999813735,12652055.010000001639128
20161222,3984100.439999999944121,4963083.650000000372529,3677659.500000000000000,12624844.589999999850988
20161223,3992956.139999999664724,4980652.299999998882413,3659719.800000000279397,12633329.239999998360872
20161227,3984606.479999999515712,4992847.009999999776483,3662034.600000000093132,12639489.089999997988343
20161228,3949689.719999999273568,4974038.220000000670552,3645252.300000000279397,12568981.240000000223517
20161229,3939315.899999999441206,4922985.789999999105930,3640044.000000000000000,12502346.689999997615814
20161230,3939062.879999999888241,4949235.419999999925494,3596062.799999999813735,12484362.100000001490116
