代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11562160.190000001341105
真實報酬,1562160.190000001341105

夏普值報酬,0.147516019000000
夏普值風險,0.040419598703350
夏普值,3.649616120205954

預期報酬,22750.827146818704932
風險,149114.502412891248241
趨勢值,0.152572867016132
找到最佳解世代,2263
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](3),UNH[23](2),UTX[24](1),WBA[27](4),
20141219,2563629.500000000000000,2597839.419999999925494,2625132.100000000093132,2668338.940000000409782,10454939.960000000894070
20141222,2603115.000000000000000,2611780.270000000484288,2660332.600000000093132,2706233.419999999925494,10581461.290000000968575
20141223,2609654.000000000000000,2606964.339999999850988,2661922.299999999813735,2787852.300000000279397,10666392.939999999478459
20141224,2604624.000000000000000,2602655.350000000093132,2655109.300000000279397,2793682.220000000204891,10656070.870000001043081
20141226,2609402.500000000000000,2599360.240000000223517,2662603.600000000093132,2786030.449999999720603,10657396.789999999105930
20141229,2629019.500000000000000,2593783.899999999906868,2653973.800000000279397,2798054.660000000614673,10674831.860000001266599
20141230,2622480.500000000000000,2606964.339999999850988,2638985.200000000186265,2771091.280000000260770,10639521.320000000298023
20141231,2640085.500000000000000,2562353.620000000111759,2611733.200000000186265,2776556.830000000074506,10590729.150000000372529
20150102,2601354.500000000000000,2554496.050000000279397,2612641.600000000558794,2769269.430000000167638,10537761.580000001937151
20150105,2546779.000000000000000,2512420.030000000260770,2569038.400000000372529,2714613.930000000167638,10342851.360000001266599
20150106,2538982.500000000000000,2507350.630000000353903,2532702.399999999906868,2721536.959999999962747,10300572.490000002086163
20150107,2626001.500000000000000,2532951.100000000093132,2560181.500000000465661,2791131.629999999888241,10510265.730000000447035
20150108,2684098.000000000000000,2653856.290000000037253,2603784.700000000186265,2825746.780000000260770,10767485.769999999552965
20150109,2638073.500000000000000,2629016.229999999981374,2589477.399999999906868,2757245.220000000204891,10613812.350000001490116
20150112,2626253.000000000000000,2599360.240000000223517,2599242.700000000186265,2758338.330000000074506,10583194.269999999552965
20150113,2608899.500000000000000,2612540.680000000167638,2596744.600000000093132,2742306.050000000279397,10560490.830000000074506
20150114,2581486.000000000000000,2619130.899999999906868,2578122.399999999906868,2732468.060000000055879,10511207.360000001266599
20150115,2540491.500000000000000,2647773.009999999776483,2578122.399999999906868,2724816.290000000037253,10491203.199999999254942
20150116,2618708.000000000000000,2680977.580000000074506,2637849.700000000186265,2770362.540000000037253,10707897.820000000298023
20150120,2596827.500000000000000,2677175.530000000260770,2669189.500000000000000,2771091.280000000260770,10714283.810000000521541
20150121,2603869.500000000000000,2770959.430000000167638,2703254.500000000000000,2754330.260000000242144,10832413.689999999478459
20150122,2667750.500000000000000,2885781.339999999850988,2735502.700000000186265,2769998.169999999925494,11059032.710000000894070
20150123,2650145.500000000000000,2838889.390000000130385,2724829.000000000465661,2754330.260000000242144,10968194.150000000372529
20150126,2675044.000000000000000,2829004.060000000055879,2696895.700000000186265,2763439.510000000242144,10964383.270000001415610
20150127,2644864.000000000000000,2788448.860000000335276,2706206.800000000279397,2730281.840000000316650,10869801.500000000000000
20150128,2634301.000000000000000,2749161.009999999776483,2655336.400000000372529,2688014.919999999925494,10726813.330000000074506
20150129,2706733.000000000000000,2772733.720000000204891,2644662.700000000186265,2717164.520000000018626,10841293.940000001341105
20150130,2626253.000000000000000,2693144.140000000130385,2606737.000000000000000,2687286.180000000167638,10613420.320000000298023
20150202,2626504.500000000000000,2719505.020000000484288,2647615.000000000000000,2728824.360000000335276,10722448.880000000819564
20150203,2697176.000000000000000,2732685.459999999962747,2700075.100000000093132,2725180.660000000614673,10855117.220000000670552
20150204,2726601.500000000000000,2735473.630000000353903,2675094.100000000558794,2720808.220000000204891,10857977.450000001117587
20150205,2741188.500000000000000,2758285.930000000167638,2727781.300000000279397,2725180.660000000614673,10952436.390000000596046
20150206,2742446.000000000000000,2727362.589999999850988,2720968.300000000279397,2774734.980000000447035,10965511.870000001043081
20150209,2724841.000000000000000,2699227.419999999925494,2709840.399999999906868,2783844.230000000447035,10917753.050000000745058
20150210,2783440.500000000000000,2762087.979999999981374,2711657.200000000186265,2794410.959999999962747,11051596.640000000596046
20150211,2774386.500000000000000,2784393.339999999850988,2695533.100000000093132,2897892.040000000037253,11152204.980000000447035
20150212,2820914.000000000000000,2784139.870000000111759,2715972.100000000093132,2913559.949999999720603,11234585.919999999925494
20150213,2814123.500000000000000,2774001.070000000298023,2753670.700000000186265,2868742.440000000409782,11210537.710000000894070
20150217,2816890.000000000000000,2782112.110000000335276,2755260.399999999906868,2842143.430000000167638,11196405.939999999478459
20150218,2816638.500000000000000,2782365.580000000074506,2770476.100000000093132,2834491.660000000614673,11203971.839999999850988
20150219,2790231.000000000000000,2788955.800000000279397,2791369.300000000279397,2809350.129999999888241,11179906.230000000447035
20150220,2822926.000000000000000,2854604.530000000260770,2818621.300000000279397,2810443.240000000223517,11306595.070000000298023
20150223,2823932.000000000000000,2950416.190000000409782,2809764.400000000372529,2863641.260000000242144,11447753.849999999627471
20150224,2936352.500000000000000,2925829.600000000093132,2811354.100000000558794,2929227.860000000335276,11602764.059999998658895
20150225,2925286.500000000000000,2890850.740000000223517,2801815.900000000372529,2915381.800000000279397,11533334.940000001341105
20150226,2901897.000000000000000,2880965.410000000149012,2785918.900000000372529,2975138.480000000447035,11543919.790000000968575
20150227,2886052.500000000000000,2880205.000000000000000,2768659.300000000279397,3027243.390000000130385,11562160.190000001341105
