代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11631445.469999998807907
真實報酬,1631445.469999998807907

夏普值報酬,0.154444547000000
夏普值風險,0.041699254149909
夏普值,3.703772409088463

預期報酬,24330.196530277455167
風險,41924.331739049644966
趨勢值,0.580335941469892
找到最佳解世代,2598
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,7
CSCO[4](10),CVX[5](17),DIS[6](25),HD[9](8),INTC[11](3),TRV[22](11),WMT[28](7),
20171107,1525699.689999999944121,1556266.879999999888241,1434358.560000000055879,1560017.279999999795109,1905566.139999999897555,1576392.520000000018626,1627653.240000000223517,11185957.310000000521541
20171108,1530134.790000000037253,1548700.699999999953434,1428288.680000000167638,1563734.760000000009313,1902307.419999999925494,1574034.919999999925494,1651623.620000000111759,11198827.890000000596046
20171109,1510176.839999999850988,1556266.879999999888241,1449462.680000000167638,1556299.800000000046566,1886013.819999999832362,1585940.799999999813735,1652355.540000000037253,11196519.359999999403954
20171110,1507515.780000000027940,1555470.439999999944121,1479106.280000000027940,1564306.679999999934807,1856685.339999999850988,1597846.679999999934807,1663700.300000000046566,11224634.500000000000000
20171113,1505741.740000000223517,1556134.139999999897555,1478541.639999999897555,1576126.359999999869615,1863610.119999999878928,1571677.319999999832362,1664981.160000000149012,11216815.479999998584390
20171114,1509733.330000000074506,1552019.199999999953434,1456379.520000000018626,1601958.079999999841675,1868090.859999999869615,1578042.840000000083819,1666810.960000000195578,11233037.790000000968575
20171115,1512837.899999999906868,1545780.419999999925494,1463719.840000000083819,1577270.199999999953434,1851797.260000000009313,1576274.639999999897555,1643755.480000000214204,11171438.740000000223517
20171116,1591339.170000000158325,1520825.299999999813735,1462449.399999999906868,1596620.159999999916181,1859536.719999999739230,1542089.439999999944121,1822892.900000000139698,11395756.089999999850988
20171117,1592226.189999999944121,1522683.659999999683350,1460190.840000000083819,1598907.840000000083819,1817988.040000000037253,1531598.119999999878928,1783552.200000000186265,11307149.890000000596046
20171120,1618836.790000000037253,1522816.399999999906868,1450450.800000000046566,1624739.559999999823049,1817580.699999999720603,1529829.919999999925494,1783735.180000000167638,11347992.349999999627471
20171121,1625489.439999999944121,1528789.699999999953434,1453979.800000000046566,1647711.679999999934807,1830615.579999999841675,1539967.599999999860302,1766169.100000000093132,11392725.899999998509884
20171122,1616619.240000000223517,1538612.459999999729916,1450309.639999999897555,1640086.079999999841675,1818802.719999999739230,1532659.039999999804422,1764156.320000000065193,11361248.500000000000000
20171124,1618393.280000000027940,1546576.859999999869615,1448898.040000000037253,1642659.719999999972060,1822876.119999999878928,1530537.199999999953434,1767998.900000000139698,11377943.119999999180436
20171127,1635246.659999999916181,1534364.780000000027940,1451015.440000000176951,1660103.279999999795109,1812285.280000000027940,1538199.399999999906868,1767998.900000000139698,11399216.740000000223517
20171128,1673388.519999999785796,1545780.419999999925494,1459767.360000000102445,1683075.399999999906868,1822061.439999999711290,1568023.039999999804422,1770743.600000000093132,11522842.779999997466803
20171129,1662300.769999999785796,1555470.439999999944121,1485599.639999999897555,1689557.159999999916181,1790288.919999999925494,1585940.799999999813735,1785199.020000000251457,11554359.750000000000000
20171130,1654317.589999999850988,1579496.379999999888241,1479670.919999999925494,1714054.399999999906868,1826542.179999999934807,1598200.319999999832362,1779160.680000000167638,11631445.469999998807907
